date,THE HONGKONG AND SHANGHAI BANKING,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,CITIBANK N.A.,UBS SECURITIES HONG KONG LTD,CMB WING LUNG BANK LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BNP PARIBAS,SINOPAC SECURITIES (ASIA) LTD,BANK OF CHINA (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-05-09,29.095280286114487,16.859251871591514,2.8751044184487946,0.0,1.6335333297336097,1.4254904887895083,0.9579499363166571,0.5380527825332948,1.1069149628857924,54.49157807641366
2024-05-10,29.095280286114487,16.859251871591514,2.8751044184487946,0.0,1.6335333297336097,1.4254904887895083,0.9579499363166571,0.5380527825332948,1.099927264411334,54.4845903779392
2024-05-13,29.095280286114487,16.859251871591514,2.8751044184487946,0.0,1.6459206133928772,1.409609355893012,0.9579499363166571,0.5380527825332948,1.0935748112527355,54.47474407554337
2024-05-16,29.095280286114487,16.859251871591514,2.8751044184487946,0.0,1.6449677454190872,1.409609355893012,0.9579499363166571,0.5380527825332948,1.0935748112527355,54.47379120756959
2024-05-17,29.01587462163201,16.859251871591514,2.8751044184487946,0.0,1.6449677454190872,1.4111974691826616,0.9652552574490454,0.5380527825332948,1.099927264411334,54.40963143066774
2024-05-21,29.01587462163201,16.859251871591514,2.8751044184487946,0.0,1.6449677454190872,1.4111974691826616,0.9646200121331855,0.5380527825332948,1.099927264411334,54.408996185351874
2024-05-22,29.01587462163201,16.859251871591514,2.8751044184487946,0.0,1.6449677454190872,1.4111974691826616,0.9627142761856059,0.5377351598753649,1.099927264411334,54.40677282674636
2024-05-24,28.973313185469397,16.859251871591514,2.8751044184487946,0.0,1.6449677454190872,1.4111974691826616,0.9636671441593957,0.5377351598753649,1.1094559441492318,54.374692938295446
2024-05-27,28.973313185469397,16.862428098170813,2.8751044184487946,0.0,1.6449677454190872,1.4111974691826616,0.962079030869746,0.5377351598753649,1.1094559441492318,54.376281051585096
2024-05-28,28.97267794015354,16.862428098170813,2.8751044184487946,0.0,1.6449677454190872,1.4111974691826616,0.9614437855538862,0.5377351598753649,1.1094559441492318,54.37501056095337
2024-05-29,28.97267794015354,16.862428098170813,2.8751044184487946,0.0,1.603994422546127,1.4111974691826616,0.9611261628959563,0.5377351598753649,1.1094559441492318,54.33371961542248
2024-05-31,28.97236031749561,16.862428098170813,2.8751044184487946,0.0,1.603994422546127,1.4111974691826616,0.9627142761856059,0.5377351598753649,1.1094559441492318,54.33499010605421
2024-06-11,28.97299556281147,16.862428098170813,2.8751044184487946,0.0,1.603994422546127,1.4111974691826616,0.9627142761856059,0.5377351598753649,1.1094559441492318,54.33562535137006
2024-06-12,28.97299556281147,16.862428098170813,2.8751044184487946,0.0,1.603994422546127,1.4111974691826616,0.9643023894752556,0.5377351598753649,1.1094559441492318,54.33721346465972
2024-06-18,29.925545913943317,16.86115760753909,2.8751044184487946,0.0,1.6189226874688334,1.4111974691826616,0.010799170369617488,0.5377351598753649,1.1094559441492318,54.349918370976916
2024-06-19,29.925545913943317,16.86115760753909,2.8751044184487946,0.0,1.6618017462893733,1.4111974691826616,0.015881132896496303,0.5329708200064159,1.1205727371767793,54.40423184548293
2024-06-20,30.00018723855685,16.86115760753909,2.8751044184487946,0.0,1.698328351951315,1.4111974691826616,0.015881132896496303,0.5329708200064159,1.1205727371767793,54.5153997757584
2024-06-21,30.00018723855685,16.86433383411839,2.8751044184487946,0.0,1.6999164652409644,1.4111974691826616,0.015881132896496303,0.5329708200064159,1.1205727371767793,54.52016411562736
2024-06-24,29.95413195315701,16.859569494249442,2.9046433256362776,0.0,1.7332668443236068,1.4111974691826616,0.015881132896496303,0.5329708200064159,1.1037387363064932,54.5153997757584
2024-07-04,29.95413195315701,16.859569494249442,2.9046433256362776,2.273225362804481,1.7332668443236068,1.4111974691826616,0.0003176226579299261,0.5329708200064159,1.1037387363064932,56.773061628324314
2024-07-10,29.95413195315701,16.859569494249442,2.9046433256362776,2.273225362804481,1.7173857114271103,1.4111974691826616,0.0003176226579299261,0.5329708200064159,1.1037387363064932,56.75718049542782
2024-07-17,29.95413195315701,16.859569494249442,2.9046433256362776,2.273225362804481,1.7173857114271103,1.4111974691826616,0.0015881132896496304,0.5329708200064159,1.1037387363064932,56.758450986059536
2024-07-18,29.95381433049908,16.86274572082874,2.9046433256362776,2.273225362804481,1.6697423127376214,1.4111974691826616,0.0015881132896496304,0.5806142186959049,1.1037387363064932,56.76130958998091
2024-07-19,29.95381433049908,16.86274572082874,2.9046433256362776,2.273225362804481,1.6687894447638316,1.4111974691826616,0.0015881132896496304,0.5806142186959049,1.1037387363064932,56.760356722007124
2024-07-22,29.95381433049908,16.86274572082874,2.9046433256362776,2.273225362804481,1.6687894447638316,1.4111974691826616,0.008893434422037931,0.5806142186959049,1.1037387363064932,56.76766204313951
2024-07-23,29.95603768910459,16.86274572082874,2.9046433256362776,2.273225362804481,1.6687894447638316,1.4111974691826616,0.008893434422037931,0.5806142186959049,1.1037387363064932,56.76988540174502
2024-07-24,29.95603768910459,16.866239570065968,2.9046433256362776,2.273225362804481,1.6687894447638316,1.4111974691826616,0.0034938492372291866,0.5809318413538348,1.1037387363064932,56.76829728845537
2024-07-25,29.95603768910459,16.866239570065968,2.9046433256362776,2.273225362804481,1.6687894447638316,1.4111974691826616,0.009211057079967857,0.5809318413538348,1.1037387363064932,56.77401449629811
2024-07-29,29.95413195315701,16.90594240230721,2.8989261177935393,2.273225362804481,1.6687894447638316,1.4111974691826616,0.0003176226579299261,0.5809318413538348,1.1002448870692638,56.793707101089765
2024-07-30,29.95413195315701,16.94246900796915,2.8751044184487946,2.268461022935532,1.6687894447638316,1.4111974691826616,0.0003176226579299261,0.5809318413538348,1.0970686604899647,56.79847144095871
2024-08-02,29.952543839867364,16.977089877683515,2.8751044184487946,2.257344229907985,1.6548140478149147,1.4111974691826616,0.0012704906317197043,0.5809318413538348,1.0938924339106655,56.80418864880144
2024-08-05,29.952543839867364,16.986618557421412,2.8751044184487946,2.257344229907985,1.6548140478149147,1.4111974691826616,0.0003176226579299261,0.5809318413538348,1.0938924339106655,56.81276446056556
2024-08-12,29.952543839867364,17.00249969031791,2.8751044184487946,2.257344229907985,1.6548140478149147,1.4111974691826616,0.0003176226579299261,0.5809318413538348,1.095798169858245,56.83055132940964
2024-08-14,29.912841007626117,17.00377018094963,2.8751044184487946,2.257344229907985,1.6548140478149147,1.4111974691826616,0.015563510238566378,0.5809318413538348,1.095798169858245,56.80736487538075
2024-08-16,29.869961948805578,17.062847995324596,2.8751044184487946,2.257344229907985,1.659578387683864,1.4111974691826616,0.015563510238566378,0.5809318413538348,1.095798169858245,56.828327970804125
2024-08-19,29.869961948805578,17.19466139836551,2.8751044184487946,2.257344229907985,1.5576215144883574,1.4111974691826616,0.015563510238566378,0.5809318413538348,1.095798169858245,56.858184500649536
2024-08-20,29.869961948805578,17.204190078103412,2.8751044184487946,2.257344229907985,1.5576215144883574,1.4111974691826616,0.015563510238566378,0.5809318413538348,1.095798169858245,56.86771318038743
2024-08-27,29.869961948805578,17.2178478523944,2.8751044184487946,2.257344229907985,1.5576215144883574,1.4111974691826616,0.015563510238566378,0.5809318413538348,1.095798169858245,56.881370954678424
2024-08-28,29.869961948805578,17.234999475922613,2.8751044184487946,2.257344229907985,1.5576215144883574,1.4118327144985214,0.014293019606846674,0.5809318413538348,1.095798169858245,56.89788733289078
2024-08-30,29.869961948805578,17.241351929081215,2.8751044184487946,2.257344229907985,1.5576215144883574,1.4086564879192223,0.013022528975126969,0.5809318413538348,1.095798169858245,56.899793068838356
2024-09-02,29.869961948805578,17.244528155660515,2.8751044184487946,2.257344229907985,1.5579391371462874,1.4086564879192223,0.013022528975126969,0.5809318413538348,1.095798169858245,56.903286918075594
2024-09-03,29.869961948805578,17.263585515136306,2.8751044184487946,2.257344229907985,1.5585743824621472,1.4073859972875025,0.013022528975126969,0.5809318413538348,1.095798169858245,56.921709032235526
2024-09-17,29.869961948805578,17.264538383110096,2.8751044184487946,2.257344229907985,1.5585743824621472,1.4073859972875025,0.013022528975126969,0.5809318413538348,1.095798169858245,56.92266190020931
2024-09-19,29.869961948805578,17.267714609689396,2.8751044184487946,2.257344229907985,1.5585743824621472,1.4073859972875025,0.013022528975126969,0.5809318413538348,1.095798169858245,56.925838126788605
2024-09-23,29.869961948805578,17.29598302624516,2.8751044184487946,2.257344229907985,1.5585743824621472,1.4073859972875025,0.013022528975126969,0.5809318413538348,1.095798169858245,56.95410654334437
2024-09-26,29.869961948805578,17.29598302624516,2.8751044184487946,2.257344229907985,1.5585743824621472,1.4073859972875025,0.013022528975126969,0.5841080679331341,1.095798169858245,56.95728276992368
2024-10-02,29.869961948805578,17.29598302624516,2.8751044184487946,2.257344229907985,1.5585743824621472,1.4073859972875025,0.012069661001337191,0.5841080679331341,1.095798169858245,56.956329901949886
2024-10-04,29.869961948805578,17.29598302624516,2.8751044184487946,2.257344229907985,1.5633387223310962,1.4073859972875025,0.012069661001337191,0.5841080679331341,1.0452961672473868,56.91059223920798
2024-10-07,29.869961948805578,17.29598302624516,2.8751044184487946,2.257344229907985,1.5633387223310962,1.408974110577152,0.010163925053757634,0.5841080679331341,1.027509298403311,56.892487747705964
2024-10-08,29.86932670348972,17.29280679966586,2.8751044184487946,2.257344229907985,1.5633387223310962,1.408974110577152,0.010163925053757634,0.5841080679331341,1.027509298403311,56.88867627581081
2024-10-09,29.86932670348972,17.29280679966586,2.8751044184487946,2.257344229907985,1.5633387223310962,1.4121503371564514,0.009211057079967857,0.5841080679331341,1.0259211851136614,56.88931152112667
2024-10-14,29.86932670348972,17.28772483713898,2.8751044184487946,2.257344229907985,1.5633387223310962,1.4121503371564514,0.009211057079967857,0.5841080679331341,1.0243330718240118,56.88264144531014
2024-10-15,29.86932670348972,17.28772483713898,2.8751044184487946,2.257344229907985,1.5633387223310962,1.4121503371564514,0.0073053211323883,0.5841080679331341,1.0243330718240118,56.88073570936256
2024-10-16,29.86932670348972,17.28772483713898,2.8751044184487946,2.257344229907985,1.5633387223310962,1.4121503371564514,0.00571720784273867,0.5841080679331341,1.0243330718240118,56.87914759607291
2024-10-21,29.86932670348972,17.28772483713898,2.8751044184487946,2.257344229907985,1.5633387223310962,1.4121503371564514,0.00571720784273867,0.5841080679331341,1.017980618665413,56.87279514291431
2024-10-24,29.869009080831788,17.28772483713898,2.8751044184487946,2.257344229907985,1.5633387223310962,1.4121503371564514,0.00571720784273867,0.5841080679331341,1.0176629960074832,56.87215989759845
