date,DBS VICKERS (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,MERRILL LYNCH FAR EAST LTD,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,GOLDMAN SACHS (ASIA) SECURITIES LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,CMB INTERNATIONAL SECURITIES LTD,DEUTSCHE BANK AG
2024-04-25,33.74545085579205,12.101832511235177,10.006883080164064,4.1886458863535,2.50089056807935,0.0,0.25079925545462445,0.0,0.0
2024-04-26,33.815197027987466,12.139352729280892,10.023310643934181,4.148355770820155,2.468204243156088,3.143417012908328,0.25118289776593034,0.0,0.0
2024-04-29,33.84780662444847,12.139572172682959,10.013029029991184,4.149890340065379,0.0,3.146803807232537,0.2509527123791468,0.0,0.0
2024-04-30,33.85739768223112,12.163895095219752,10.015023970009974,4.167771140910724,2.441349281364675,3.1434277548930454,0.2520269108508033,0.0,0.0
2024-05-02,33.863229045362964,12.167961703719596,10.01985786313243,4.383771736876036,2.1872246143556513,0.0,0.2526407385488928,0.0,0.0
2024-05-03,33.866835283089245,12.180545171530428,10.002578613431211,4.336683479586351,0.0,3.2653063134871916,0.25371493702054926,0.0,0.0
2024-05-06,0.0,12.103816709269251,9.99009565990594,4.404605816233813,0.0,3.220051866445549,0.2515665400772363,2.549212619042195,0.0
2024-05-07,0.0,12.10729787960204,9.988614033299676,4.404476145132592,0.0,3.2266988531312344,0.25110616930366914,0.0,0.0
2024-05-08,0.0,12.12406995416771,9.980020445526424,4.400215413623229,2.358942912896169,3.199542348483136,0.2664518617559049,0.0,0.0
2024-05-09,33.84381674441089,12.068595275952879,10.015468995091089,4.378502793372561,2.309759968586754,3.193319670193754,0.2867081757928561,0.0,0.0
2024-05-10,0.0,12.064298482066253,9.321509160154575,5.079828560686148,2.0259413866826534,3.1998415894859544,0.3121052968013063,0.0,0.0
2024-05-13,0.0,12.063607925905902,10.033175622327102,4.398393112644526,1.9921041348254738,3.189406518618434,0.3246120361498784,0.0,0.0
2024-05-14,0.0,12.046574207283921,10.082895665872345,4.388802054861879,2.1268393145561038,0.0,0.36044422802584886,0.0,4.67278253382135
2024-05-16,0.0,12.076575036028041,10.086425175136359,4.409135097361091,1.9917204925141678,3.1957749809861116,0.3953556783546852,0.0,0.0
2024-05-17,0.0,12.155605352157055,10.161388882765532,4.393484792913679,1.881384963782593,3.196005166372895,0.4276583609666414,0.0,4.6546746167277115
2024-05-20,0.0,12.1871407501464,10.165071848954067,4.399999806644275,1.6410714199805811,3.1990812104249455,0.4713168559932522,0.0,0.0
2024-05-21,0.0,12.190977173259459,10.156324804256293,4.427852238445083,1.8185443531906875,3.189336695717776,0.4721608690781251,0.0,0.0
2024-05-22,0.0,12.210466202673798,10.153597874707533,4.426589287956264,1.8011269922574,0.0,0.49602342084135165,0.0,0.0
2024-05-23,0.0,12.23079924517301,10.006875407317837,4.577762006157106,1.742352990165337,0.0,0.5454365505375508,0.0,0.0
2024-05-24,0.0,12.255352353096589,10.02217582997734,4.571283054803772,1.6722999041208808,0.0,0.547278033631819,0.0,0.0
2024-05-27,0.0,12.275301753284493,10.01695829454358,4.553482051559179,1.5157738411080761,0.0,0.5923943694413921,0.0,0.0
2024-05-28,0.0,12.295404610396924,10.02571301208758,4.607274074596623,1.4584576797989757,0.0,0.6427282406847254,0.0,0.0
2024-05-29,0.0,12.395305068260978,10.084832292259819,4.522284258803784,1.4704273199117195,3.189406518618434,0.6422678699111584,0.0,0.0
2024-05-30,0.0,12.40259427217579,10.079346207208143,4.48729454544344,1.3046938414275737,3.208588634183728,0.7002745873806094,0.0,0.0
