date,CITIC SECURITIES BROKERAGE (HK) LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CMB WING LUNG BANK LTD,DBS BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING
2025-01-02,0.0,3857211.0,3223000.0,888000.0,0.0,990000.0,0.0,1347000.0,1255000.0,2544000.0
2025-01-03,0.0,3848211.0,3104000.0,865000.0,0.0,1262000.0,0.0,1377000.0,0.0,2546000.0
2025-01-06,0.0,3839211.0,3082000.0,873000.0,0.0,1264000.0,0.0,1371000.0,0.0,2547000.0
2025-01-07,0.0,3793211.0,3089000.0,871000.0,0.0,1265000.0,0.0,1351000.0,0.0,2530000.0
2025-01-08,0.0,3798211.0,3079000.0,891000.0,0.0,1267000.0,0.0,1335000.0,0.0,2466000.0
2025-01-10,11810000.0,3804211.0,3038000.0,901000.0,0.0,1268000.0,0.0,0.0,1255000.0,2473000.0
2025-01-13,0.0,3800211.0,3048000.0,921000.0,0.0,1297000.0,0.0,1324000.0,0.0,2377000.0
2025-01-14,11813000.0,3819211.0,3024000.0,916000.0,0.0,1299000.0,0.0,1329000.0,0.0,0.0
2025-01-16,11828000.0,3725211.0,2997000.0,928000.0,0.0,1300000.0,0.0,1331000.0,0.0,0.0
2025-01-17,0.0,0.0,0.0,944000.0,0.0,1301000.0,837000.0,1321000.0,0.0,2349000.0
2025-01-20,0.0,3787211.0,2986000.0,970000.0,0.0,0.0,0.0,1327000.0,0.0,2347000.0
2025-01-22,11811000.0,3923211.0,2996000.0,0.0,0.0,0.0,0.0,1321000.0,0.0,2341000.0
2025-01-23,0.0,3961211.0,2973000.0,0.0,0.0,1271000.0,867000.0,0.0,0.0,2354000.0
2025-01-24,11814000.0,3986211.0,2984000.0,0.0,0.0,0.0,0.0,1310000.0,0.0,2355000.0
2025-01-27,11854000.0,3985211.0,2977000.0,975000.0,0.0,1264000.0,0.0,1309000.0,0.0,2347000.0
2025-02-03,0.0,3918211.0,2926000.0,0.0,0.0,1262000.0,0.0,1319000.0,0.0,2353000.0
2025-02-04,0.0,3913211.0,2914000.0,893000.0,0.0,0.0,881000.0,1312000.0,0.0,2358000.0
2025-02-06,0.0,4046211.0,2984000.0,903000.0,0.0,1260000.0,0.0,1291000.0,1249000.0,2292000.0
2025-02-07,11857000.0,4252211.0,2964000.0,894000.0,0.0,0.0,0.0,1284000.0,0.0,2285000.0
2025-02-10,11854000.0,3200211.0,2952000.0,800000.0,0.0,1234000.0,887000.0,1260000.0,0.0,2320000.0
2025-02-11,11916000.0,5337211.0,2802000.0,637000.0,0.0,1068000.0,880000.0,1290000.0,1247000.0,2595000.0
2025-02-12,11513000.0,5388211.0,2597000.0,1481000.0,0.0,1072000.0,853000.0,1242000.0,0.0,2640000.0
2025-02-13,0.0,5417211.0,2657000.0,1513000.0,0.0,1083000.0,820000.0,1186000.0,0.0,2684000.0
2025-02-14,11408000.0,5525211.0,2711000.0,1620000.0,0.0,1095000.0,817000.0,1090000.0,0.0,2273000.0
2025-02-17,0.0,5788211.0,2759000.0,0.0,0.0,1116000.0,819000.0,1092000.0,0.0,2269000.0
2025-02-18,11407000.0,5692211.0,2775000.0,1630000.0,0.0,1105000.0,0.0,1112000.0,0.0,2317000.0
2025-02-19,0.0,5728211.0,2789000.0,1669000.0,0.0,1112000.0,0.0,1110000.0,0.0,2303000.0
2025-02-20,11412000.0,5625211.0,2853000.0,1649000.0,0.0,0.0,0.0,1143000.0,1252000.0,2291000.0
2025-02-21,0.0,5620211.0,2870000.0,1691000.0,0.0,1121000.0,824000.0,1130000.0,1247000.0,2336000.0
2025-02-24,0.0,5544211.0,2898000.0,1718000.0,0.0,0.0,804000.0,1150000.0,0.0,2309000.0
2025-02-25,11407000.0,5458211.0,2933000.0,1781000.0,0.0,1122000.0,0.0,1142000.0,0.0,2318000.0
2025-02-26,0.0,5591211.0,2966000.0,1814000.0,0.0,1100000.0,0.0,1164000.0,0.0,2201000.0
2025-02-27,0.0,5810211.0,3007000.0,1834000.0,0.0,1102000.0,797000.0,1150000.0,0.0,1798000.0
2025-02-28,11417000.0,5717211.0,3143000.0,1855000.0,0.0,1084000.0,796000.0,1149000.0,0.0,1758000.0
2025-03-03,11437000.0,5944211.0,3172000.0,1898000.0,0.0,1080000.0,0.0,1148000.0,0.0,1778000.0
2025-03-04,0.0,6141211.0,3196000.0,1861000.0,0.0,1084000.0,0.0,1169000.0,0.0,1760000.0
2025-03-05,11517000.0,6129211.0,3103000.0,1782000.0,0.0,0.0,0.0,1165000.0,0.0,1792000.0
2025-03-06,0.0,6107211.0,3126000.0,1780000.0,0.0,1080000.0,0.0,1160000.0,0.0,1782000.0
2025-03-07,11402000.0,5945211.0,2940000.0,1653000.0,0.0,1071000.0,0.0,1153200.0,1322000.0,1630000.0
2025-03-10,11327000.0,5871211.0,3126000.0,1709000.0,0.0,1081000.0,806000.0,1194200.0,1353000.0,1733000.0
2025-03-11,0.0,5906211.0,3165000.0,1702000.0,0.0,1083000.0,808000.0,1145200.0,1359000.0,1742000.0
2025-03-12,0.0,5930211.0,3173000.0,1724000.0,0.0,0.0,0.0,1153200.0,0.0,1829000.0
2025-03-13,11335000.0,6200211.0,3160000.0,1728000.0,0.0,1082000.0,0.0,0.0,1348000.0,1769000.0
2025-03-14,11355000.0,6373211.0,3205000.0,1739000.0,0.0,1091000.0,0.0,1173200.0,0.0,1767000.0
2025-03-17,0.0,6337211.0,0.0,1748000.0,0.0,1098000.0,0.0,1183200.0,0.0,1784000.0
2025-03-18,0.0,6326211.0,3207000.0,1729000.0,0.0,0.0,0.0,1184200.0,0.0,1775000.0
2025-03-19,0.0,6225211.0,3171000.0,1738000.0,0.0,1078000.0,0.0,1175200.0,0.0,1751000.0
2025-03-20,0.0,6285211.0,3179000.0,1756000.0,0.0,1055000.0,0.0,1176200.0,1327000.0,1670000.0
2025-03-25,0.0,6271211.0,3278000.0,1746000.0,0.0,1086000.0,0.0,0.0,0.0,1516000.0
2025-03-26,0.0,6315211.0,3282000.0,1739000.0,0.0,1062000.0,0.0,1176200.0,1320000.0,1513000.0
2025-03-27,11365000.0,6327211.0,3329000.0,1749000.0,0.0,1065000.0,0.0,0.0,0.0,1591000.0
2025-03-28,0.0,6326211.0,3314000.0,1746000.0,0.0,1063000.0,0.0,0.0,1319000.0,1593000.0
2025-03-31,0.0,6398211.0,3340000.0,0.0,0.0,1064000.0,0.0,1153200.0,0.0,1605000.0
2025-04-01,11384000.0,6383211.0,3352000.0,1753000.0,0.0,0.0,0.0,1158200.0,0.0,1583000.0
2025-04-02,11414000.0,6396211.0,3350000.0,1695000.0,0.0,1082000.0,0.0,1160200.0,0.0,1591000.0
2025-04-03,11419000.0,6390211.0,3352000.0,0.0,0.0,1078000.0,0.0,1165200.0,1318000.0,1572000.0
2025-04-07,0.0,6461211.0,3383000.0,1705000.0,0.0,0.0,788000.0,1167200.0,0.0,1574000.0
2025-04-08,0.0,6483211.0,3381000.0,0.0,0.0,1178000.0,0.0,1171200.0,0.0,1565000.0
2025-04-09,11437000.0,6474211.0,3475000.0,1675000.0,0.0,1208000.0,0.0,1169200.0,0.0,1597000.0
2025-04-10,0.0,6559211.0,3444000.0,1687000.0,0.0,1209000.0,0.0,0.0,1278000.0,1613000.0
2025-04-11,0.0,6506211.0,3443000.0,1714000.0,0.0,1207000.0,0.0,0.0,1252000.0,1654000.0
2025-04-14,11447000.0,6523211.0,3463000.0,1687000.0,0.0,0.0,0.0,1165200.0,1250000.0,1650000.0
2025-04-16,11432000.0,6525211.0,3473000.0,1685000.0,0.0,0.0,0.0,1189200.0,0.0,1656000.0
2025-04-25,11438000.0,6526211.0,3444000.0,1720000.0,0.0,0.0,0.0,0.0,1249000.0,1608000.0
2025-04-30,11448000.0,6510211.0,3450000.0,1711000.0,0.0,1212000.0,0.0,0.0,0.0,1603000.0
