date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,MORGAN STANLEY HONG KONG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,BOCI SECURITIES LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CMB WING LUNG BANK LTD
2024-05-27,586472436.0,4871500.0,186372348.0,52189984.0,42201000.0,42676192.0,0.0,0.0,42001000.0
2024-05-28,587030936.0,4870500.0,185574779.0,53311484.0,41917500.0,43175692.0,0.0,0.0,42000000.0
2024-05-29,586666686.0,0.0,185340183.0,54570984.0,41857000.0,42705192.0,15399500.0,0.0,41993500.0
2024-05-30,586890186.0,4865500.0,185196396.0,55776484.0,41818500.0,42449192.0,15381500.0,0.0,41990000.0
2024-05-31,587532186.0,6053000.0,183909835.0,56797984.0,41810500.0,42098692.0,0.0,0.0,0.0
2024-06-03,586900686.0,4864000.0,183069932.0,57612484.0,41835500.0,42189692.0,0.0,0.0,41997500.0
2024-06-04,586341686.0,0.0,182443953.0,59413984.0,41839500.0,42403192.0,0.0,75895500.0,0.0
2024-06-05,586935186.0,0.0,181464753.0,60494984.0,41773000.0,42050192.0,15371500.0,0.0,41763000.0
2024-06-06,586803080.0,1186500.0,181821845.0,60553484.0,41735000.0,42049798.0,15396500.0,0.0,41720000.0
2024-06-07,585695580.0,4863500.0,181990065.0,61096484.0,41764000.0,42139298.0,15424500.0,0.0,41704000.0
2024-06-11,584556580.0,0.0,181479066.0,61502484.0,41724000.0,42270298.0,15454500.0,0.0,41705500.0
2024-06-12,583118580.0,0.0,181502268.0,61913484.0,42363500.0,42289798.0,15558500.0,0.0,0.0
2024-06-13,583428538.0,0.0,180902732.0,62013984.0,42341500.0,42357118.0,0.0,0.0,41699000.0
2024-06-14,582793401.0,4847000.0,182183297.0,62289984.0,43039500.0,41968618.0,0.0,0.0,0.0
2024-06-17,583656607.0,0.0,181683997.0,62030984.0,42949500.0,41420118.0,15559500.0,0.0,0.0
2024-06-18,583647107.0,0.0,181842997.0,62023484.0,42969500.0,41445618.0,15573500.0,0.0,0.0
2024-06-19,584628366.0,4845000.0,181261497.0,62027984.0,42902000.0,41048118.0,15583500.0,0.0,41701000.0
2024-06-20,584324366.0,0.0,181123997.0,62455984.0,42904500.0,40688118.0,0.0,0.0,41703500.0
2024-06-21,584046566.0,0.0,181202620.0,62241784.0,42879000.0,40676618.0,15553500.0,0.0,41698500.0
2024-06-24,583899766.0,0.0,181178820.0,62467584.0,42809000.0,40637618.0,15573500.0,75988000.0,41686500.0
2024-06-25,582901046.0,0.0,181265720.0,62269304.0,42840000.0,40711618.0,15613500.0,76099000.0,0.0
2024-06-26,582426046.0,0.0,181587720.0,61874304.0,42817500.0,40701118.0,0.0,76477500.0,0.0
2024-06-27,581297646.0,4844000.0,181657420.0,61671804.0,0.0,40779618.0,15642000.0,76977500.0,0.0
2024-06-28,580125646.0,4832000.0,182241420.0,61765804.0,42767500.0,40822618.0,15662000.0,77902000.0,41676500.0
2024-07-02,579796646.0,0.0,182060620.0,61757304.0,42747500.0,40623618.0,0.0,79496500.0,0.0
2024-07-03,578493776.0,4822000.0,180259396.0,62418804.0,42737500.0,40628618.0,15666000.0,80407000.0,0.0
2024-07-04,577328677.0,0.0,181019175.0,62228804.0,42736000.0,40635118.0,0.0,0.0,41679500.0
2024-07-05,579481612.0,4820500.0,177962710.0,62466804.0,42685000.0,40849118.0,15695000.0,0.0,0.0
2024-07-08,579848612.0,0.0,179118230.0,62505804.0,42693000.0,40888118.0,0.0,0.0,41684000.0
2024-07-09,579337704.0,4817500.0,178511475.0,62975804.0,42766500.0,40675618.0,15681000.0,0.0,41693500.0
2024-07-10,578537704.0,0.0,178896475.0,63040304.0,42776500.0,40776618.0,15711000.0,0.0,0.0
2024-07-11,577308704.0,0.0,178024275.0,63403304.0,42736500.0,40704118.0,0.0,0.0,0.0
2024-07-12,577792659.0,0.0,178867775.0,63399804.0,42722500.0,40705118.0,15744000.0,0.0,0.0
2024-07-16,577765159.0,0.0,178679975.0,63280304.0,42732500.0,40701618.0,0.0,0.0,0.0
2024-07-17,577788959.0,0.0,178714475.0,63577302.0,42731500.0,40905818.0,0.0,0.0,0.0
2024-07-18,578208959.0,0.0,178862975.0,63645802.0,42746500.0,40909318.0,15737500.0,0.0,0.0
2024-07-19,578875459.0,0.0,178487275.0,63304803.0,42772500.0,40910819.0,15757500.0,0.0,41694500.0
2024-07-22,607450329.0,0.0,179276538.0,63162803.0,0.0,41217319.0,15763500.0,0.0,0.0
2024-07-23,607540829.0,4782500.0,179209738.0,63161303.0,43070500.0,41213819.0,15791500.0,0.0,0.0
2024-07-24,607323345.0,0.0,179665222.0,63335803.0,43351000.0,41267319.0,15792500.0,80437000.0,41695500.0
2024-07-25,606182845.0,0.0,179583222.0,63264303.0,44170500.0,41085819.0,0.0,0.0,0.0
2024-07-26,605059845.0,0.0,180134722.0,64044803.0,44338500.0,40920819.0,0.0,0.0,41705000.0
2024-07-29,603665976.0,0.0,180489185.0,64012303.0,45470000.0,40915319.0,15787500.0,0.0,0.0
2024-07-30,602024601.0,0.0,181129017.0,64326803.0,45428000.0,41019694.0,0.0,0.0,41711500.0
2024-07-31,599881601.0,0.0,181711355.0,64708303.0,45442500.0,41197194.0,15836000.0,0.0,41715500.0
2024-08-01,598896864.0,0.0,182113400.0,64889803.0,45431000.0,41440194.0,0.0,0.0,0.0
2024-08-02,596365864.0,0.0,182387900.0,65106303.0,45448000.0,41056194.0,15828500.0,80407000.0,0.0
2024-08-05,594998864.0,4782000.0,183413869.0,65158303.0,45688000.0,41540694.0,0.0,0.0,0.0
2024-08-06,585718282.0,4767000.0,180063126.0,65146303.0,47479500.0,42179694.0,15670500.0,0.0,0.0
2024-08-07,585395782.0,0.0,179200926.0,64151803.0,53330000.0,42191694.0,15700500.0,0.0,41699500.0
2024-08-08,584686182.0,0.0,179089935.0,64717303.0,54400000.0,41576694.0,0.0,0.0,41713500.0
2024-08-09,583313582.0,4747000.0,177865328.0,65438803.0,54536000.0,41592694.0,15680500.0,0.0,41708500.0
2024-08-12,666518217.0,5929500.0,175599528.0,65832303.0,54322500.0,41766694.0,15631500.0,0.0,41718500.0
2024-08-13,666103717.0,0.0,177914876.0,66177803.0,54312500.0,41789694.0,15611500.0,0.0,0.0
2024-08-14,663387717.0,5849000.0,175141637.0,66970803.0,53708500.0,41759194.0,15511500.0,80392500.0,41710000.0
2024-08-15,662497581.0,4649000.0,177187193.0,66356303.0,53299500.0,41846194.0,15431500.0,0.0,41692500.0
2024-08-16,661818581.0,0.0,178182328.0,66931303.0,53271000.0,41673594.0,15465000.0,0.0,41678000.0
2024-08-19,663462581.0,4639000.0,180350660.0,67280303.0,51946500.0,41959594.0,15660000.0,0.0,41680000.0
2024-08-20,662822081.0,0.0,181495724.0,66955303.0,52006500.0,42075594.0,15668500.0,0.0,0.0
2024-08-21,660110581.0,0.0,184060836.0,65905803.0,52038500.0,41750094.0,15698500.0,80966000.0,0.0
2024-08-22,659487581.0,0.0,185083488.0,66799803.0,47996500.0,41626594.0,15705000.0,81138000.0,41680500.0
2024-08-23,657200415.0,0.0,188304551.0,67501303.0,47954500.0,41632594.0,15556000.0,81820000.0,0.0
2024-08-26,652970415.0,0.0,189300303.0,69362803.0,47933000.0,41760094.0,15540000.0,82184500.0,0.0
2024-08-27,650894915.0,0.0,189059721.0,70182303.0,48749500.0,41710094.0,15553000.0,77166000.0,41692500.0
2024-08-28,649134861.0,0.0,189854769.0,70591803.0,48468500.0,41602094.0,15563500.0,0.0,41742000.0
2024-08-29,647606768.0,0.0,192465585.0,70680303.0,47703500.0,42141594.0,0.0,0.0,41736000.0
2024-08-30,646171768.0,0.0,193950285.0,70739803.0,46837500.0,42342094.0,15588000.0,77266000.0,41746000.0
2024-09-02,649572732.0,0.0,185202785.0,71053803.0,45838500.0,45222094.0,15549500.0,0.0,41749500.0
2024-09-03,648219347.0,4638500.0,166007950.0,71048303.0,44058500.0,48534479.0,15589500.0,77466000.0,41759500.0
2024-09-04,647656847.0,0.0,167394824.0,71457803.0,42765000.0,48550479.0,15596500.0,0.0,41769500.0
2024-09-05,647564847.0,0.0,186927416.0,71098303.0,42347000.0,45201979.0,15633000.0,77666000.0,0.0
2024-09-09,647370347.0,1174500.0,192017445.0,71560303.0,42363500.0,43044479.0,15611000.0,0.0,41800000.0
2024-09-10,666722434.0,0.0,201127476.0,48790303.0,43554000.0,41360479.0,15587500.0,0.0,41802000.0
2024-09-11,666410489.0,0.0,200851515.0,50003801.0,44938500.0,40438479.0,15629000.0,77766000.0,41822000.0
2024-09-12,660862989.0,25204000.0,200269885.0,48100301.0,41510000.0,40427979.0,15652500.0,76666000.0,41806500.0
2024-09-13,657172489.0,34273000.0,197064799.0,47677371.0,43528500.0,39921979.0,15784500.0,77266000.0,41816500.0
2024-09-16,654571489.0,39187000.0,195911755.0,46870871.0,43461500.0,0.0,15844500.0,0.0,41806500.0
2024-09-17,652264103.0,44896500.0,195881442.0,46805871.0,42400500.0,39945979.0,15848500.0,0.0,41814500.0
2024-09-19,651041903.0,0.0,195272078.0,47019071.0,42404000.0,40886979.0,15860500.0,0.0,41834500.0
2024-09-20,650528903.0,0.0,198541535.0,46725571.0,42547000.0,40746479.0,0.0,0.0,0.0
2024-09-23,647626630.0,47489500.0,202045679.0,46225571.0,41004000.0,40070979.0,15760500.0,0.0,41815500.0
2024-09-24,643176130.0,51297000.0,203676461.0,47053571.0,40461000.0,40125979.0,0.0,77554000.0,41810500.0
2024-09-25,635684630.0,57018000.0,207537929.0,47022071.0,36823500.0,40241479.0,15714500.0,77742500.0,41811000.0
2024-09-26,633667720.0,61261500.0,208424895.0,47704071.0,32607500.0,40242479.0,16124500.0,77779500.0,41801000.0
