date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,CHINA MERCHANTS BANK CO LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,HANG SENG SECURITIES LTD,NANYANG COMMERCIAL BANK LTD
2024-08-01,38.47546400722464,26.287239819605567,16.54593853303006,8.191387592967939,0.7914100298113973,2.965063200718607,3.2556084591407046,1.8110321737065922,1.1914339267885332,0.4854222570059627
2024-08-02,38.480035158081876,26.29001739602272,16.548714303937178,8.172670598609514,1.153184281833035,2.620243234913713,3.246661535836257,1.8113359951192967,1.1916338034909113,0.48550369215549954
2024-08-05,38.4545291003127,26.267633685925528,16.53936433733324,8.168053067860082,1.152532736684252,2.602447934804869,3.2335573718707002,1.8103125965185458,1.2762998634012268,0.4952693052888553
2024-08-06,38.39601267605751,26.23381076738133,16.519188520785452,8.170623725627605,1.232601649290348,2.6431443681109372,3.229612863544927,1.8081042568208063,1.2722360295280646,0.4946651428530172
2024-08-07,38.38515281776944,26.239737320132996,16.524420545554968,8.15816528436647,1.2191996255885045,2.6427276593652342,3.2030509230566557,1.8086769269762228,1.3240470819747305,0.494821815214784
2024-08-08,38.353221439619766,26.217909323800797,16.510674409812086,8.181446284229118,1.2545169943887062,2.6405292589410285,3.169567203726583,1.8309757968209655,1.3467490998521725,0.4944101888087791
2024-08-09,38.36321513782842,26.234628234198688,16.521992606557244,8.233440593120237,1.282957759221301,2.806570392055135,3.0405055838456043,1.8447676649011016,1.1771729174030814,0.49474911086919
2024-08-12,38.31174686712077,26.220924956998363,16.525207914469238,8.228773304741207,1.315809247608859,2.8083704883782588,3.0404452535183895,1.8451266709973997,1.2087499032838949,0.49484539288362445
2024-08-13,38.28799019385759,26.21648681709548,16.527943568554466,8.23364707720898,1.3511425313090215,2.7912776686380254,3.0409485819195656,1.8454321212126952,1.210204128483125,0.4949273117210517
2024-08-14,38.2279096826779,26.192507310005407,16.512825908329752,8.301294569600813,1.3586775129568256,2.8062662328185684,3.050696873221772,1.843744154669214,1.2116031405428005,0.4944746151769538
2024-08-15,38.21165162050642,26.198147722476623,16.517171990012677,8.300972810631205,1.3690615587220045,2.793218457919145,3.0514997992548127,1.8567624796069067,1.206908802792226,0.4946047580779705
2024-08-16,38.18466858281619,26.171200405359897,16.509028064682532,8.415885332124889,1.3846714790314112,2.745065859865286,3.0499952325817095,1.8558469878387711,1.1925341559386289,0.4911038997606883
2024-08-19,38.17075457269682,26.165955959685878,16.505719821289983,8.414198873241098,1.4232195585756213,2.7244767807313637,3.0431218580772836,1.8629897180602883,1.1985573701693988,0.49100548747226813
2024-08-20,38.026266177790596,26.158748277895832,16.50117315093822,8.64977861788714,1.4078024114332097,2.648600762212393,3.054804521077135,1.862476538374188,1.1994793074324825,0.4908702349587992
2024-08-21,37.98535124133509,26.13920924363788,16.4888477527935,8.53571824540272,1.4205135933107844,2.7066779496837583,3.2185512949621797,1.863587692776626,1.151039402105108,0.4905035839923548
2024-08-22,37.944741560399756,26.14140061236631,16.490230087851785,8.533055426402738,1.4569192757723801,2.7094073865479453,3.221323644495656,1.8637439258039747,1.1486333752220357,0.4905447051374179
2024-08-23,37.902811231278385,26.135006581877395,16.487775055458147,8.552928219669456,1.5380222858223178,2.769055643669852,3.220844060290008,1.863466455344987,1.0396187927642266,0.49047167382522733
2024-08-26,37.825850582726304,26.117915912715368,16.482042617292407,8.604982741065685,1.5412394710207904,2.766091878700642,3.2244766777192244,1.8628185688840626,1.0842804023058237,0.49030114756969606
2024-08-27,37.79748793853972,26.05834164068102,16.46968402381676,8.636021623933503,1.5400838161961277,2.782763345837714,3.234555923681221,1.8739188156655977,1.117209362526384,0.489933509121953
2024-08-28,37.739094209519855,25.977233079897122,16.471742502187706,8.67584663561971,1.5527748955160012,2.8093581921883644,3.2912038550552705,1.874153029105599,1.1185988570051442,0.4899947439052232
