date,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BNP PARIBAS,UBS SECURITIES HONG KONG LTD,HANG SENG BANK LTD,HANG SENG SECURITIES LTD
2024-08-27,79.15392125009045,9.197526962178623,2.628566275271889,1.9928282025417081,2.254943049228455,1.6632376342573814,0.6563027249104509,1.3191875975729497,0.6046428380080162,0.5288434659400731
2024-08-28,79.05284207954301,9.106564194119764,2.627806276534009,1.9832029578780594,2.263826908548583,1.6576318998357067,0.6530864609444034,1.525870725771148,0.6038558555521167,0.5253126412731891
2024-08-29,79.11355785225173,9.095320141847235,2.6297693761419176,1.977311227361425,2.2452844093945705,1.6571679727062052,0.8271883944632676,1.321629187949892,0.6043413714964366,0.5284300663873225
2024-08-30,78.90767642889274,9.077304429155244,2.667865469639421,1.969652948053674,2.251567423651689,1.652877333220904,0.824150660740732,1.5187680965419545,0.60277664722355,0.5273605628800881
2024-09-02,78.89498337518613,9.068062774801207,2.668924405587979,1.9666447388711983,2.260906360240462,1.652309697262996,0.836110929413064,1.5186702278714097,0.6026785442321677,0.530708946533384
2024-09-03,78.91053209582623,9.024334458246932,2.6917869967225116,1.9942203048524232,2.231939816544075,1.6501027510718433,0.8441944597509999,1.5198713402661053,0.6027996025334096,0.5302181741854758
2024-09-04,79.18170478967804,9.074527870139473,2.3118353627347457,2.0156094672730798,2.240359066948263,1.6571219702742057,0.861181662149426,1.5195496122397767,0.6048710977791047,0.5332391007838894
2024-09-05,79.14783821812034,9.078796678269406,2.302849293056792,2.0561718822215824,2.240538446343232,1.656778639866194,0.8568029785520671,1.51925965695027,0.6046364207917672,0.5363277858283485
2024-09-09,79.15720609606647,9.090780559884648,2.3037880937133153,2.058738278583604,2.2131578347059992,1.6617091037296978,0.850686381621875,1.532463337837486,0.6046862404429891,0.5267840734139075
2024-09-10,79.14803335488111,9.102409376727508,2.3122320489658943,2.055840385918405,2.205740011641652,1.6618747142159824,0.8482943411368533,1.5323514469039607,0.6045829870188456,0.5286413325897845
2024-09-11,78.91850318537792,9.154720284602256,2.561938157414926,2.048221077693964,2.1882913646955826,1.6548149936942087,0.8684236222357875,1.4959091515636012,0.6028296896896881,0.5063484730320686
2024-09-12,78.77706669714487,9.160079512363323,2.748044524118308,2.044252121662096,2.1573854536111408,1.6542345944669343,0.8753649993250101,1.4763817860767414,0.6017493078923795,0.5054410033391932
2024-09-13,78.76227683644491,9.201175580132116,2.746705349534009,2.028159938632899,2.154832474377392,1.65387707439255,0.8698099703962953,1.4762117554424061,0.6016192553242382,0.5053317653231856
2024-09-16,78.75209636793532,9.210699141463515,2.7455999671319744,2.032215866362194,2.153059556795753,1.6533621088319845,0.8707391179389363,1.4760181535036947,0.6015403542764941,0.5046693657601301
2024-09-17,78.7489573820451,9.34430108683119,2.77355526704677,2.0313368134180663,2.1298264974273438,1.6536724945094263,0.863377280020175,1.3486061828808078,0.6015448367360343,0.5048221590850765
2024-09-19,78.74801849957966,9.822131890995244,2.7467799392390146,2.03161065672771,2.13620943486718,1.6536527786406667,0.8580303376434154,0.8972126571186958,0.601537664832835,0.5048161403555709
2024-09-20,78.73088782625265,9.819548210156519,2.7454374181022208,2.0314667015792045,2.140810678039441,1.6532930465980464,0.8714025485397532,0.9017854319335266,0.6014068076325336,0.5039613311660923
2024-09-23,78.74140589219407,9.828105937196868,2.7455321380758626,2.0326514402415037,2.140073801535126,1.6538276047745621,0.8692919130764223,0.8810516640669064,0.6014928443120794,0.5065667645265992
2024-09-24,78.76306113339965,9.824548281188392,2.756468880117607,2.037086035535108,2.1434945141237836,1.65398431418738,0.8542067117302949,0.8587857854247751,0.6016582651917222,0.5067060791012916
2024-09-25,78.76526943812732,9.837736535212937,2.756977706162856,2.037280648156672,2.143244313556053,1.6541703607992155,0.8566108378304843,0.8348056597939607,0.6016717180431853,0.5122327823173144
2024-09-26,78.79179355518598,9.852213380714435,2.7608867376340696,2.0366314132505146,2.154972986110737,1.6518632673695048,0.8536698299998517,0.7937014009503831,0.6017001055337496,0.5025673232507808
2024-09-27,78.77259382620983,9.866300091321566,2.806334767279643,2.0254544410300284,2.151967205492289,1.6515013662197282,0.8326174094096253,0.793527511588438,0.6015682810877953,0.49813510036106456
2024-09-30,78.7111647422221,9.859406336352055,2.8530671732653454,2.025196076910335,2.151162224625137,1.6512403142710856,0.8407941531586461,0.7930501165221062,0.60109347485051,0.5138253878226801
2024-10-02,78.6829174266063,9.836496717106517,2.8646584030355324,2.046559751470301,2.1410723448738933,1.6550120024135848,0.8477820247937161,0.7914487619019903,0.6008948119249047,0.5331577558732669
2024-10-03,78.67216333125255,9.824434793847892,2.814099276150586,2.0255316031991244,2.1849141711016316,1.6799170275569129,0.8372455662796624,0.7993359658860123,0.6007513047654783,0.5616069599601484
2024-10-04,78.64917759013663,9.837429450404688,2.8089365841495457,2.0140969910924884,2.209889038290171,1.677954447666766,0.8395904412585818,0.8055084231017307,0.6005814635873398,0.556835570312062
2024-10-07,78.63405244011584,9.836597566023793,2.7948640271277947,2.0361770877957,2.2285102410674886,1.6819491368184682,0.828124372882825,0.7998507070706701,0.6004671008045617,0.5594073202928561
2024-10-08,78.62368244033374,9.838089911953542,2.7903773709804733,2.0494120279821457,2.217334989731858,1.6867316802147962,0.8311860053233845,0.8014644788048081,0.6004219908605203,0.5612991038147369
2024-10-09,78.62875269971316,9.835450499183192,2.782459417799126,2.054886201920178,2.2034581693357023,1.694170178534722,0.8330474513445025,0.8033291013346457,0.6003698396104598,0.5640764412243103
2024-10-10,78.60831724943873,9.866286929837928,2.778540221189154,2.052274535255205,2.210657038714609,1.699307435046611,0.8142433065824942,0.8015120608572479,0.600345542517146,0.568515680560876
2024-10-14,78.57897269159939,9.904945171273793,2.748658445515198,2.0483537291672063,2.215458717526246,1.6980263646233764,0.8510759007629339,0.803414321044979,0.6001554997762361,0.5509391587106427
2024-10-15,78.57299372329283,9.917078806932969,2.734966714750685,2.054468575079307,2.217411761873428,1.693903713394339,0.8463255378683656,0.8102591786937006,0.6001609383271757,0.5524310497872
2024-10-16,78.5875260054205,9.912928139402519,2.730149728218778,2.0529385384922367,2.221267598002212,1.692451613672535,0.8412865128631991,0.8101208018893814,0.6002787554013975,0.5510523066372354
2024-10-17,78.57824766560736,9.926627929984926,2.7047929813607947,2.055224086030333,2.221005346769252,1.6934414083120104,0.8438266387228129,0.8231108864555544,0.6002078842268189,0.5535151725301407
2024-10-18,78.59223713025575,9.922665430704805,2.7131282604628257,2.0647329695441434,2.210162510448952,1.6935299221403664,0.8403017489768034,0.8236345864451095,0.6002920207519106,0.5393154202693319
2024-10-21,78.60839039245843,9.971054768631038,2.7098696429305473,2.065678081050143,2.139287217671857,1.6960483109422289,0.8697475075098733,0.8001233920399491,0.6003938135925047,0.5394068731734312
2024-10-22,78.59791120198267,9.97920868501678,2.7062671094404545,2.0669134519819394,2.1393237762335504,1.693907835605592,0.8712774595049464,0.8079084702101706,0.6003205915889409,0.5369614184349628
2024-10-23,78.59836781339686,9.983745052779911,2.6950923620144267,2.0646671570556006,2.134251105133813,1.6937465107039444,0.8752866444244287,0.8178672583681287,0.6003161273558887,0.5366599687669975
2024-10-24,78.60382990515559,9.975028311640468,2.714309376879993,2.0652177751074343,2.1337640913097893,1.6938321637685387,0.8566963917287689,0.8188010329893166,0.6003464854500358,0.5381744659700577
2024-10-25,78.6025638849366,9.980222053739311,2.7123321247498096,2.0666718462586364,2.1297139216820025,1.6911022472500652,0.85281552441659,0.8260757829554716,0.6003368160638252,0.5381657979476968
