date,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,DBS BANK LTD,HANG SENG SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,KGI ASIA LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD
2025-01-22,1212789.0,0.0,254150.0,0.0,105300.0,141550.0,0.0,0.0,111450.0,0.0
2025-01-23,0.0,795585.0,253950.0,215050.0,0.0,140550.0,0.0,62850.0,111950.0,0.0
2025-02-04,1207639.0,792735.0,248200.0,0.0,0.0,139550.0,667647.0,0.0,0.0,0.0
2025-02-06,1206539.0,791685.0,250450.0,214850.0,0.0,136300.0,666247.0,0.0,0.0,0.0
2025-02-07,1205289.0,791935.0,250150.0,214050.0,0.0,0.0,666047.0,0.0,0.0,0.0
2025-02-10,1205139.0,791283.0,252050.0,0.0,0.0,134150.0,665347.0,0.0,0.0,0.0
2025-02-11,1205239.0,790483.0,246450.0,213250.0,0.0,132450.0,665397.0,0.0,107550.0,0.0
2025-02-13,1182439.0,791233.0,245750.0,0.0,0.0,131450.0,665047.0,0.0,106950.0,0.0
2025-02-14,1182939.0,783090.0,245550.0,0.0,0.0,132200.0,665197.0,0.0,106750.0,0.0
2025-02-17,1182339.0,787490.0,240450.0,0.0,0.0,0.0,666147.0,0.0,109500.0,0.0
2025-02-18,1181639.0,798790.0,218000.0,212600.0,0.0,133250.0,665297.0,0.0,109000.0,0.0
2025-02-19,1182789.0,802740.0,219350.0,211100.0,0.0,0.0,667397.0,0.0,0.0,0.0
2025-02-20,1182889.0,803790.0,219650.0,0.0,0.0,0.0,667447.0,0.0,108500.0,0.0
2025-02-25,1222370.0,840290.0,223600.0,211550.0,0.0,130400.0,668293.0,0.0,110600.0,154887.0
2025-02-26,1226243.0,842590.0,220150.0,211500.0,0.0,131400.0,668043.0,0.0,0.0,0.0
2025-02-28,1225426.0,848590.0,0.0,209500.0,0.0,131800.0,669893.0,0.0,109800.0,0.0
2025-03-03,1230851.0,850990.0,218650.0,208800.0,0.0,0.0,672944.0,0.0,0.0,154886.0
2025-03-04,1230406.0,861240.0,219400.0,208550.0,0.0,0.0,673894.0,0.0,0.0,0.0
2025-03-07,1230012.0,859490.0,219300.0,0.0,0.0,0.0,675294.0,63300.0,107550.0,0.0
2025-03-11,1226887.0,859840.0,218150.0,208500.0,112900.0,0.0,674774.0,0.0,105850.0,0.0
2025-03-14,1225520.0,860843.0,218300.0,212300.0,0.0,131650.0,0.0,0.0,0.0,0.0
2025-03-18,1265481.0,856643.0,219000.0,0.0,0.0,131500.0,670237.0,0.0,0.0,154873.0
2025-03-20,1263017.0,860643.0,221400.0,180950.0,0.0,131300.0,672549.0,0.0,104350.0,161861.0
2025-03-21,1260925.0,860743.0,223650.0,181850.0,0.0,131100.0,672566.0,0.0,0.0,161894.0
2025-03-24,1285663.0,862243.0,224750.0,0.0,0.0,130450.0,673874.0,0.0,0.0,161886.0
2025-03-25,1306800.0,863093.0,226350.0,0.0,0.0,0.0,0.0,0.0,104550.0,168886.0
2025-03-26,1395255.0,860093.0,226300.0,181750.0,0.0,0.0,678374.0,0.0,103750.0,0.0
2025-04-01,1708849.0,857843.0,225900.0,0.0,112750.0,0.0,675527.0,63800.0,0.0,162045.0
2025-04-02,1708860.0,0.0,225500.0,182350.0,109750.0,0.0,675427.0,0.0,102950.0,0.0
2025-04-03,1707944.0,858443.0,224500.0,182450.0,108900.0,0.0,680347.0,0.0,103000.0,162025.0
2025-04-07,1735640.0,861363.0,226500.0,183950.0,0.0,0.0,752447.0,0.0,0.0,0.0
2025-04-08,1734895.0,860842.0,222900.0,0.0,0.0,0.0,754247.0,0.0,102150.0,0.0
2025-04-09,1721045.0,862192.0,226450.0,182150.0,0.0,130050.0,751047.0,0.0,104400.0,0.0
2025-04-10,1719181.0,863192.0,223650.0,180750.0,0.0,0.0,750297.0,0.0,0.0,0.0
2025-04-14,1370289.0,864616.0,222850.0,180250.0,0.0,129950.0,752497.0,0.0,104350.0,0.0
2025-04-15,1370239.0,0.0,222650.0,180200.0,0.0,0.0,752447.0,0.0,108050.0,0.0
2025-04-17,1378748.0,865616.0,215650.0,0.0,0.0,0.0,753847.0,0.0,107650.0,0.0
2025-04-28,1356260.0,868316.0,212950.0,0.0,0.0,0.0,755297.0,0.0,105350.0,0.0
