date,KARL-THOMSON SECURITIES CO LTD,PHILLIP SECURITIES (HONG KONG) LTD,SOUTH CHINA SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,KGI ASIA LTD,LUK FOOK SECURITIES (HK) LTD,THE BANK OF EAST ASIA LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-09-20,10.787062632280874,0.0,6.144762299297328,1.1206909243580585,1.3877275840238972,1.2492594301762594,0.0,0.12996461002748042,0.3195012405020492,0.6015939956350167,21.740562716300964
2024-09-23,10.787062632280874,0.0,6.152377413166126,1.1206909243580585,1.3877275840238972,1.2492594301762594,0.0,0.12996461002748042,0.3195012405020492,0.6015939956350167,21.748177830169762
2024-09-24,10.787062632280874,0.0,6.152377413166126,1.2729932017340122,1.3877275840238972,1.2492594301762594,0.0,0.12996461002748042,0.3195012405020492,0.6015939956350167,21.900480107545715
2024-09-25,10.787062632280874,0.0,6.152377413166126,1.2729932017340122,1.3877275840238972,1.2492594301762594,0.0,0.2061157487154572,0.3195012405020492,0.6015939956350167,21.97663124623369
2024-10-02,10.787062632280874,0.0,6.152377413166126,1.270454830444413,1.4131112969198893,1.2492594301762594,0.0,0.2061157487154572,0.5378011714075828,0.6015939956350167,22.21777651874562
2024-10-03,10.787062632280874,0.0,6.152377413166126,1.1733621286172427,1.4131112969198893,1.2492594301762594,0.0,0.45995287767537985,0.5758767407515711,0.5880137092356609,22.399016228823
2024-10-04,10.787062632280874,0.0,4.878115025787314,1.9348735154970105,1.4131112969198893,1.2492594301762594,0.0,0.7137900066353026,0.5961837110683649,0.5981671943940577,22.170562812759073
2024-10-07,10.787062632280874,0.0,4.870499911918516,1.9348735154970105,1.4131112969198893,1.2492594301762594,0.0,0.7137900066353026,0.5961837110683649,0.5981671943940577,22.162947698890274
2024-10-08,10.787062632280874,0.0,4.870499911918516,1.9348735154970105,1.4131112969198893,1.2492594301762594,0.8181170666378308,0.7137900066353026,0.5961837110683649,0.6032439369732562,22.986141508107305
2024-10-09,10.787062632280874,0.0,4.870499911918516,1.939950258076209,1.4029578117614925,1.2492594301762594,0.8181170666378308,0.7137900066353026,0.5961837110683649,0.6032439369732562,22.981064765528107
2024-10-10,10.787062632280874,0.0,4.870499911918516,1.9475653719450068,1.4029578117614925,1.2492594301762594,0.8181170666378308,0.7137900066353026,0.5961837110683649,0.6032439369732562,22.988679879396905
2024-10-14,10.787062632280874,0.0,4.870499911918516,1.9653339709722013,1.4029578117614925,1.2492594301762594,0.8181170666378308,0.7137900066353026,0.5758767407515711,0.6032439369732562,22.986141508107305
2024-10-15,11.269353177304726,0.0,3.8551513960788255,2.4730082288920467,1.4029578117614925,1.2492594301762594,0.8181170666378308,0.7137900066353026,0.5758767407515711,0.6032439369732562,22.96075779521131
2024-10-17,11.29473689020072,0.0,3.8551513960788255,2.4730082288920467,1.4029578117614925,1.2492594301762594,0.8181170666378308,0.7137900066353026,0.5758767407515711,0.6032439369732562,22.986141508107305
2024-10-21,11.370888028888695,0.0,3.8551513960788255,2.4730082288920467,1.3318834156527142,1.2492594301762594,0.8181170666378308,0.7137900066353026,0.5758767407515711,0.6026093441508564,22.990583657864104
2024-10-22,11.370888028888695,0.0,3.8551513960788255,2.4730082288920467,1.3344217869423134,1.2492594301762594,0.8181170666378308,0.7137900066353026,0.5758767407515711,0.6026093441508564,22.9931220291537
2024-10-24,11.373426400178294,0.0,3.8551513960788255,2.4730082288920467,1.3344217869423134,1.2492594301762594,0.8181170666378308,0.7137900066353026,0.5758767407515711,0.6026093441508564,22.995660400443303
2024-10-25,11.375964771467896,0.0,3.8551513960788255,2.4730082288920467,1.3344217869423134,1.2492594301762594,0.8181170666378308,0.7137900066353026,0.5758767407515711,0.6026093441508564,22.9981987717329
2024-10-29,12.124784301899666,0.0,3.0809481527510614,2.4730082288920467,1.3471136433903095,1.2492594301762594,0.8181170666378308,0.7137900066353026,0.5758767407515711,0.6026093441508564,22.985506915284905
2024-10-30,12.239011009931632,0.0,3.0809481527510614,2.4780849714712447,1.3471136433903095,1.2492594301762594,0.8181170666378308,0.7137900066353026,0.5758767407515711,0.6026093441508564,23.104810365896068
2024-10-31,12.635070540104445,0.0,3.145961643703869,2.5513977608854845,1.3869672642273256,1.2862180876002982,0.8423206128895179,0.734907093839691,0.5929137393651469,0.6204372122245471,23.796193954840327
2024-11-01,12.635070540104445,0.0,3.145961643703869,2.540943890418348,1.3869672642273256,1.2862180876002982,0.8423206128895179,0.734907093839691,0.5929137393651469,0.6204372122245471,23.785740084373188
2024-11-05,12.635070540104445,0.0,3.1407347084703012,2.540943890418348,1.3869672642273256,1.2862180876002982,0.8423206128895179,0.734907093839691,0.5929137393651469,0.6204372122245471,23.78051314913962
2024-11-08,12.635070540104445,0.0,3.1407347084703012,2.540943890418348,1.3869672642273256,1.2862180876002982,0.8423206128895179,0.734907093839691,0.5929137393651469,0.6230506798413311,23.7831266167564
2024-11-11,12.635070540104445,0.0,3.1407347084703012,2.53571695518478,1.392194199460894,1.2862180876002982,0.8423206128895179,0.734907093839691,0.5929137393651469,0.6230506798413311,23.7831266167564
2024-11-12,12.635070540104445,3.919067702924,3.135507773236733,2.53571695518478,1.392194199460894,1.2862180876002982,0.8423206128895179,0.734907093839691,0.5929137393651469,0.6230506798413311,27.696967384446836
2024-11-14,12.635070540104445,3.919067702924,3.135507773236733,2.53571695518478,1.392194199460894,1.2862180876002982,0.8344802100391654,0.734907093839691,0.5929137393651469,0.6230506798413311,27.689126981596484
2024-11-18,12.635070540104445,3.919067702924,3.1302808380031646,2.606280580837951,1.392194199460894,1.2862180876002982,0.8344802100391654,0.734907093839691,0.5929137393651469,0.6230506798413311,27.75446367201609
2024-11-26,12.635070540104445,3.921681170540784,3.1302808380031646,2.606280580837951,1.392194199460894,1.2862180876002982,0.8344802100391654,0.734907093839691,0.5929137393651469,0.6230506798413311,27.75707713963287
2024-11-27,12.635070540104445,3.921681170540784,3.1250539027695963,2.606280580837951,1.392194199460894,1.2862180876002982,0.8344802100391654,0.734907093839691,0.5929137393651469,0.6230506798413311,27.751850204399304
2024-12-04,12.635070540104445,3.9242946381575683,3.1250539027695963,2.606280580837951,1.392194199460894,1.2862180876002982,0.8344802100391654,0.734907093839691,0.5929137393651469,0.6230506798413311,27.75446367201609
2024-12-05,12.635070540104445,3.942588911475057,3.1250539027695963,2.629801789389008,1.319017106190939,1.2862180876002982,0.8344802100391654,0.7845629785585889,0.5929137393651469,0.6047564065238424,27.75446367201609
2024-12-06,12.635070540104445,3.942588911475057,3.1185202337276356,2.629801789389008,1.319017106190939,1.2862180876002982,0.8344802100391654,0.81069765472643,0.5929137393651469,0.6073698741406265,27.776678146758748
2024-12-09,12.635070540104445,3.919067702924,3.1185202337276356,2.629801789389008,1.319017106190939,1.2862180876002982,0.8344802100391654,0.8525131365949759,0.5929137393651469,0.6073698741406265,27.794972420076242
2024-12-16,12.635070540104445,3.919067702924,3.1185202337276356,2.629801789389008,1.319017106190939,1.2862180876002982,0.8344802100391654,0.8525131365949759,0.5955272069819311,0.6073698741406265,27.79758588769302
2024-12-18,12.635070540104445,3.919067702924,3.1185202337276356,2.629801789389008,1.319017106190939,1.2862180876002982,0.8344802100391654,0.8525131365949759,0.5955272069819311,0.6067165072364304,27.79693252078883
