date,UOB KAY HIAN (HONG KONG) LTD,CGS INTERNATIONAL SECURITIES HK LTD,SINOMAX SECURITIES LTD,UPBEST SECURITIES CO LTD,PHILLIP SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,LONG BRIDGE HK LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,USMART SECURITIES LTD
2024-11-08,39.86581257139552,19.16364214757725,0.0,28.93994823372905,8.986798154922857,2.0287172665095365,0.0,0.3976459360585335,0.6145437193631882,0.0028919704440620616
2024-11-13,39.792737139888,19.187691241845158,0.0,28.886900294440277,9.04249177299232,2.076958605161365,0.0,0.396917037122568,0.6134172391894233,0.0028866693608914037
2024-11-14,39.79043990301351,19.186583535388525,0.0,28.88523265211869,9.041969749451564,2.0826117076550053,0.0,0.3968941230804757,0.613381826578917,0.0028865027133125505
2024-11-22,39.79848139273032,19.220775471316802,0.0,28.71207090683373,9.152062822992752,2.103242197649912,0.0,0.3969743338048907,0.6135057886075583,0.002887086064035569
2024-11-26,40.9100752140207,19.222162872280528,0.0,28.714143411915867,8.05555154542436,2.0846266006438667,0.0,0.3970029883497668,0.6135500729041852,0.0028872944607255774
2024-11-27,40.94199234270028,19.237159575236582,0.0,28.736545546485587,8.004045365888897,2.100700715162898,0.0,0.397312721230947,0.5793541862313082,0.0028895470634977966
2024-11-28,40.9100752140207,19.22793746120198,0.0,28.714143411915867,8.012242128513476,2.156808962162006,0.0,0.3970029883497668,0.5789025393754782,0.0028872944607255774
2024-11-29,40.86601566444056,19.2112968598999,0.0,28.689293080817553,8.067331131272628,2.18811752657618,0.0,0.39665940659752774,0.5784015347113041,0.0028847956843456564
2024-12-02,40.87250064918203,19.21434548025044,0.0,28.693845754349518,8.051299806688018,2.1899073833636287,0.0,0.3967223520586284,0.578493320638218,0.0028852534695172974
2024-12-03,40.875449049961766,19.215731536652576,0.0,28.695915629102764,8.05188059959892,2.1828517017009794,0.0,0.3967509702364636,0.5785350511448069,0.002885461601719735
2024-12-11,40.89314839138028,19.224052076266908,0.0,28.708341151509025,7.98175598631699,2.214107356783049,0.0,0.39692276604650495,0.578785560671449,0.002886711025792763
2024-12-16,40.989583333333336,19.269386574074073,0.0,28.595196759259263,7.965856481481481,2.228009259259259,0.0,0.39785879629629634,0.5512152777777778,0.002893518518518519
2024-12-18,40.98365398524519,19.266599161001015,0.0,28.591060321134094,7.964704180529438,2.242152466367713,0.0,0.3978012440329814,0.5511355417329669,0.0028930999566035005
2024-12-19,41.00619463903202,19.277195623227,0.0,28.60678515602385,7.969084698662653,2.243385630753199,0.0,0.3980200312626643,0.49643952990215945,0.0028946911364557404
