date,YUET SHEUNG INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,WATON SECURITIES INTERNATIONAL LIMITED,THE HONGKONG AND SHANGHAI BANKING,VALUABLE CAPITAL LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,BANK OF CHINA (HONG KONG) LTD,CHINA SKY SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,QUAM SECURITIES LTD
2024-05-03,62.35400641302373,7.199572222588564,11.4655872298319,4.533468869948419,3.6150414118247514,5.1023747673537105,3.984830245138191,0.0,0.0,1.745118840290733
2024-05-07,62.360658415462225,7.189672158304328,11.466810392842572,4.533952506008274,3.618983110089898,5.102919094997548,3.98169931057056,0.0,0.0,1.7453050117245967
2024-05-08,62.38284201098126,7.1566566830809615,11.47088948838312,4.535565371732456,3.620270493185977,5.104734359557706,3.983115722924574,0.0,0.0,1.7459258701539526
2024-05-09,62.38284201098126,7.153099376907053,11.474446794557029,4.535565371732456,3.620270493185977,5.104734359557706,3.983115722924574,0.0,0.0,1.7459258701539526
2024-05-10,62.40815056950409,7.145325122831168,11.449208453446834,4.5374054389359415,3.6217392276118496,5.106805337155354,3.9847316627267246,0.0,0.0,1.7466341877880474
2024-05-13,62.419257294113514,7.143037387455233,11.437008528332587,4.538212957059645,3.622383785411451,5.107714190886737,3.9854408219762223,0.0,0.0,1.7469450347646065
2024-05-14,62.40148843178625,7.1410039821659295,11.462219715888644,4.536921065987216,3.621352603023679,5.1062601801503185,3.984306288302656,0.0,0.0,1.7464477326953145
2024-05-16,62.421479113449294,7.161089191582964,11.416058573279255,4.538374495176805,3.622512724503086,5.107896000453895,3.9855826841172304,0.0,0.0,1.7470072174374711
2024-05-20,62.432590583126554,7.144563201539646,11.418090713345022,4.5391823582922495,3.623157557673743,5.1088052424701,3.9862921463371226,0.0,0.0,1.7473181972155576
2024-05-21,62.437036278712135,7.137951158028141,11.418903771957613,4.539505584075192,3.623415555226136,5.109169029919922,3.986576001952151,0.0,0.0,1.7474426201287092
2024-05-24,62.44592956956653,7.085554305300517,11.420530236609604,4.540152173758183,3.663101600898073,5.109896760269014,3.9871438344761074,0.0,0.0,1.7476915191219733
2024-05-29,62.45348820865571,7.086816078768166,11.422563969105063,4.540960669932949,3.6495077635139554,5.11080671478728,3.9878538526462144,0.0,0.0,1.7480027425906601
2024-06-05,62.45571259245567,7.097753481280976,11.422970802525832,4.541122403723009,3.6353910882196674,5.110988744582368,3.987995886626395,0.0,0.0,1.748065000586081
2024-06-11,62.437921957397315,7.1420201230388685,11.419716946370894,4.539828855893892,3.6165522893579807,5.109532869182537,3.9868598979956005,0.0,0.0,1.7475670607629192
2024-06-12,62.4156979114021,7.175071831858007,11.415652232064073,4.538212957059645,3.6152650199886125,5.107714190886737,3.9854408219762223,0.0,0.0,1.7469450347646065
2024-06-13,62.40681272219098,7.184727052262022,11.414027156426942,4.5411257955851765,3.6147503687898617,5.106987082025649,3.9848734743861454,0.0,0.0,1.7466963483332325
2024-06-14,62.36456552934339,7.230220496712214,11.412808653297422,4.540641008233821,3.614364476538473,5.106441886219069,3.984448069686057,0.0,0.0,1.7465098799695606
2024-06-17,62.35125292796597,7.250023522419431,11.410372427358729,4.539671743985326,3.613592939158225,5.105351843745252,3.9835975327118884,0.0,0.0,1.7461370626551707
2024-06-18,62.349538296098814,7.264710693654715,11.405503094431731,4.5377344563778035,3.612050852149635,5.103173154312027,3.9818975476537823,0.0,0.0,1.7453919053214935
2024-06-19,62.34732108930281,7.271564537403323,11.401541412511973,4.5375730903765445,3.611922404306784,5.102991680791804,3.9817559477230544,0.0,0.0,1.7453298375837054
2024-06-20,62.35087718106643,7.271564537403323,11.401541412511973,4.5375730903765445,3.608366312543166,5.102991680791804,3.9817559477230544,0.0,0.0,1.7453298375837054
2024-06-21,62.22388436547182,7.4207820257810875,11.388759302743132,4.53531517080714,3.606570771017245,5.1004524060409455,3.9797746056056074,0.0,0.0,1.7444613525330284
2024-06-24,62.310992132003804,7.398404239868552,11.380032726141017,4.534670463605002,3.552750832653543,5.099727363066754,3.9792088699831667,0.0,0.0,1.7442133726781623
2024-06-25,62.22127806385067,7.43696763418694,11.379223932556917,4.534348178734191,3.6058018001266325,5.099364918874265,3.978926062483286,0.0,0.0,1.7440894091871009
2024-06-26,61.827749198128245,7.7489336890474645,11.39379982909407,4.540156324378251,3.6175367829117295,5.105896806804694,4.0196039182210885,0.0,0.0,1.7463234514144554
2024-06-27,61.82994917959223,7.7456511720781664,11.394205248161615,4.540317874165955,3.617665503655585,5.106078487012653,4.019746945490031,0.0,0.0,1.74638558984377
2024-06-28,61.82115019297083,7.758779838555718,11.39258374497634,4.539671743985326,3.6171506756347025,5.105351843745252,4.019174897476663,0.0,0.0,1.7461370626551707
2024-07-03,61.785483712527224,7.768141344993874,11.401101789274966,4.543065980611722,3.623415555226136,5.109169029919922,4.022179967317447,0.0,0.0,1.7474426201287092
2024-07-04,61.77448662911521,7.8450734901733625,11.399072528357484,4.542257368741537,3.562254662147066,5.108259658420146,4.021464066980654,0.0,0.0,1.7471315960645348
2024-07-05,61.774693182734985,7.853516246241562,11.395827212988763,4.540964188299814,3.5612404884260367,5.106805337155354,4.020319156365438,0.0,0.0,1.7466341877880474
2024-07-08,61.587965766673356,7.702947336304226,11.38893704966705,4.538218623251251,3.9147470522042727,5.103717652324095,4.017888384550892,0.0,0.0,1.7455781350248538
2024-07-09,61.70994783063454,7.591072905092244,11.379395538435281,4.537250392801519,3.9174676784870166,5.102628772468792,4.01703116673031,0.0,0.0,1.745205715350302
2024-07-10,61.67319951640208,7.795323615239766,11.36064869460392,4.6050921769694355,3.7085915934436726,5.099002526196867,4.014176413828991,0.0,0.0,1.7439654633152768
2024-07-11,61.695121717202774,7.805203671250995,11.314922873464404,4.606729091483372,3.724128139774019,5.100815004844628,4.015603282907997,0.0,0.0,1.7374762190718147
2024-07-12,61.47118349747789,7.822976545832335,11.314922873464404,4.606729091483372,3.9302934849175646,5.100815004844628,4.015603282907997,0.0,0.0,1.7374762190718147
2024-07-15,61.643118156286924,7.815532645434244,11.309294910423107,4.604437736839767,3.7791206949664042,5.098277895343414,4.013605950083244,0.0,0.0,1.7366120106228997
2024-07-16,61.385522549721536,7.9727301371029675,11.264961949877014,4.600841638421975,3.9359206207704043,5.094296104271246,4.010471295467057,0.0,0.0,1.7352557043677945
2024-07-17,61.60457681926561,7.732993871814353,11.27256536402728,4.603947028797225,3.9385772151446634,5.09773455734878,4.013178208666841,0.0,0.0,1.7364269349352497
2024-07-18,61.59090804426535,7.735721882165855,11.271364142651006,4.624768723601289,3.9310534150610956,5.097191335151958,4.0127505584119625,0.0,0.0,1.7362418986914823
2024-07-19,61.61210405706981,7.577821525586959,11.295437315561793,4.666682944882615,3.960807103562841,5.10807782296457,4.039119098061252,0.0,0.0,1.7399501323101616
2024-07-22,61.86254145742607,7.430477137113142,11.320421195228313,4.677004975086449,3.7983273813688343,5.119376155033604,4.048053047468034,0.0,0.0,1.7437986512755577
2024-07-23,61.76979856438809,7.409208579475964,11.35152644620193,4.6883785429307325,3.8433260260012645,5.131825483680855,4.057897126364227,0.0,0.0,1.748039230956935
2024-07-24,61.89210353151676,7.368252296735231,11.321565317223905,4.6760040737447355,3.8331819817341475,5.118280584152323,4.047186744834593,0.0,0.0,1.7434254700582967
2024-07-25,61.924547464585366,7.333892742867691,11.323584734781084,4.676838128441182,3.8338657030020893,5.119193527317389,4.047908637942189,0.0,0.0,1.740169061063012
2024-07-26,61.99076203376964,7.3200569831594775,11.315173486647206,4.674836896821659,3.796566623986285,5.117003010632403,4.046176526943963,0.0,0.0,1.7394244380393633
2024-07-29,61.994827662646365,7.3192739988997975,11.313963167826468,4.674336856492027,3.7961605271602297,5.11645567434482,4.045743730786806,0.0,0.0,1.7392383818434867
2024-07-31,61.99076203376964,7.3200569831594775,11.315173486647206,4.674836896821659,3.796566623986285,5.117003010632403,4.046176526943963,0.0,0.0,1.7394244380393633
2024-08-01,61.96433654995567,7.349314095891341,11.327290932320306,4.679843190555881,3.764935631639426,5.122482821089007,4.050509586822089,0.0,0.0,1.7412871917262842
2024-08-02,61.951537620447716,7.330754550429093,11.315173486647206,4.674836896821659,3.7716056336905175,5.117003010632403,4.099664363292037,0.0,0.0,1.7394244380393633
2024-08-05,61.91758852390149,7.362278746737434,11.32526955605741,4.679008063781439,3.77853992152968,5.121568704444216,4.074770027779763,0.0,0.0,1.7409764557685632
2024-08-06,61.917079980322434,7.36306711860064,11.326482295233467,4.67950910407509,3.7753751177576067,5.1221171352767,4.075206364700633,0.0,0.0,1.7411628840334314
2024-08-07,61.82058417162855,7.352830901154143,11.365834645269327,4.695767433489249,3.7884921543871695,5.139913247183122,4.089365124953987,0.0,0.0,1.7472123219344438
2024-08-08,61.692476219969826,7.4787303883731795,11.366648911322502,4.6961038455640365,3.7887635678513205,5.1402814785540745,4.089658093425218,0.0,0.0,1.7473374949398452
2024-08-09,61.657062687497245,7.487044332447374,11.375698911177032,4.701324403427618,3.7893893951960065,5.145995819159903,4.094204478560878,0.0,0.0,1.7492799725339374
2024-08-12,61.717467406087536,7.475249388249737,11.357777856097266,4.693918028290624,3.783419664755684,5.137888917312773,4.087754548359576,0.0,0.0,1.7465241908468085
2024-08-13,61.63913238847578,7.5085606912731295,11.300391655286889,4.773045599513471,3.7893893951960065,5.145995819159903,4.094204478560878,0.0,0.0,1.7492799725339374
2024-08-14,61.81973744793397,7.402446111498369,11.286226076700354,4.767062359763954,3.7846392152986996,5.139545068565946,4.05325655337706,0.0,0.0,1.7470871668616506
2024-08-15,61.83990289397495,7.4890981069183225,11.308908083635814,4.77664275809827,3.623573398085517,5.1498740479872405,4.061402411224502,0.0,0.0,1.750598300075384
2024-08-16,61.61022210019712,7.686480039071143,11.308908083635814,4.77664275809827,3.655872259710524,5.1498740479872405,4.061402411224502,0.0,0.0,1.750598300075384
2024-08-19,61.59936773129767,7.602280355996391,11.343919226140093,4.791430721627464,3.6671904403620568,5.1658174947674,4.0739760688698725,0.0,0.0,1.756017960939051
2024-08-20,61.87484802062937,7.331234234163528,11.34228599465795,4.790740879312557,3.6666624596211137,5.165073750423381,4.073389521501143,0.0,0.0,1.7557651396909582
2024-08-21,61.862051578923214,7.1412288921290905,11.418318360097727,4.822855336789183,3.691241721703336,5.199697526891418,4.097071772582667,0.0,0.0,1.7675348108833686
2024-08-22,62.088677378267896,6.960584371965194,11.40138015204637,4.815700997199073,3.6857660449637084,5.191984170533937,4.0909940777858695,0.0,0.0,1.764912807237947
2024-08-23,62.21813335875711,6.89259677482246,11.378736931060512,4.80613698122669,3.678446087735258,5.181672853538917,4.082869334840734,0.0,0.0,1.7614076780183163
2024-08-26,61.21476445605077,6.68015553797028,11.180312315844008,4.72232663505597,3.6143006334571877,5.091313840199337,4.011671469765429,0.0,1.7544632013787957,1.7306919102782137
2024-08-27,61.15477529278341,6.729964608369824,11.166428361617134,4.714966102821016,3.6086671442101945,5.083378179976076,4.005418611915644,0.0,1.8084073594967158,1.727994338809986
2024-08-28,69.00652043899642,5.351404378150808,8.893149819162769,3.8115111368850014,2.874009174792562,4.04849628529236,3.1899893726690385,0.0,1.448712782228311,1.3762066118227267
2024-08-29,69.079224143251,5.191279133092254,8.918562945745037,3.8224029375361797,2.882221963336866,4.060065296346719,3.199105108417586,0.0,1.4669992028960097,1.3801392693783483
2024-08-30,68.00390764433621,5.9335351668871485,9.032024623232633,3.8710314275703595,2.8816404934918656,4.111717319440019,3.320032653683031,0.0,1.4484133135727733,1.3976973577859522
2024-09-02,67.93966717531421,6.022395851948444,9.023492444448888,3.867374624849454,2.878918327321314,4.1078331507468295,3.316896356634391,0.0,1.4470450576324196,1.396377011104044
2024-09-03,67.94355708188091,6.019877900679684,9.024009087287652,3.8675960525745894,2.876220395278823,4.108068345998916,3.3170862665567555,0.0,1.4471279086428237,1.3964569610998405
2024-09-04,67.14889397084205,6.100585396759326,9.210694943412483,3.9476076608559945,3.052602311840309,4.193054769302999,3.414928995738268,0.0,1.5062855286241783,1.4253464226243924
2024-09-09,66.45758343263985,6.324077507022009,9.115869100393956,4.011074945195869,3.718124770755825,4.149886478987795,3.29301444851805,0.0,1.5196971043261924,1.4106722121604505
2024-09-10,66.37312767247101,6.428681772437936,9.104284453244489,4.04641282881655,3.7162879277931866,4.144612711885617,3.2888296132572483,0.0,1.5177658397880778,1.3799971803058868
2024-09-11,66.10392558876089,6.356583468283114,9.067358479865664,4.030001024773744,4.210358672349271,4.127802619950266,3.2754904831619287,0.0,1.4540795988744666,1.374400063980653
2024-09-12,66.14388103540942,6.340277808968881,9.072839097767833,4.032436893589472,4.212903555422491,4.130297603355384,3.2774703003071606,0.0,1.4146629073513388,1.3752307978280154
2024-09-13,66.12675135970261,6.338635829377441,9.070489450467855,4.031392589336167,4.237710111574143,4.129227955529907,3.276621514259167,0.0,1.4142965436536232,1.3748746460990868
2024-09-16,66.12679796404281,6.340965954213004,9.06970650512327,4.031044608107893,4.2373443214564555,4.128871529361047,3.2763386832637096,0.0,1.414174464586031,1.3747559698457894
2024-09-17,66.13157800545433,6.335393715334024,9.069967471886104,4.03116059517557,4.237466244478988,4.128990331246926,3.2764329548368463,0.0,1.4142151552668043,1.374795526320405
2024-09-23,66.12781906774327,6.343113184562796,9.068662788228615,4.030580726574548,4.236856699519155,4.128396390174501,3.275961651213731,0.0,1.4140117252757962,1.3745977667075795
2024-09-24,66.12002143812967,6.3445734167016505,9.070750462289364,4.031508596430239,4.237832055647975,4.129346777928189,3.276715802109288,0.0,1.4143372413600732,1.3749142094035463
2024-09-25,66.1181188273914,6.347268361688653,9.070489450467855,4.031392589336167,4.237710111574143,4.129227955529907,3.276621514259167,0.0,1.4142965436536232,1.3748746460990868
2024-09-26,65.95673500924735,6.708393423662063,9.04913747821159,3.8869780297882404,4.227734523241612,4.119507734672175,3.268908332732548,0.0,1.4109672833389368,1.371638185105481
2024-09-27,65.5292310246452,7.0464257838601,9.077803464094927,3.899291253849544,4.244007031608621,4.132557569626363,3.279263626852641,0.0,1.4154369654852665,1.3759832799773353
2024-09-30,65.2508508793015,7.458100689903198,9.033681217229308,3.8803389277737717,4.223379230325116,4.112471463334832,3.2633249165849287,0.0,1.4085572991143342,1.3692953764330191
2024-10-02,64.99408640908774,7.534535314749245,9.011986658423032,3.871020219372117,4.459106525963582,4.10259528419423,3.2554879791721043,0.0,1.4051746217292433,1.3660069873087128
2024-10-03,65.00151985658123,7.4381815825434865,9.013017369574442,3.8714629523519424,4.545394871014684,4.10306450267728,3.255860313030397,0.0,1.405335333146957,1.3661632190795852
2024-10-04,63.794637219690784,7.377309542105626,8.80796919763407,3.8148519907864284,4.8198429103680525,4.043066917857107,3.2082510796960904,1.4030991812493656,1.3847856377190024,1.3461863228934678
