date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,DEUTSCHE BANK AG,HANG SENG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,BNP PARIBAS,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-04-17,39.936755383938944,21.57832612580687,12.623254563454198,6.883644079326123,5.6714628875616695,5.723823242886484,3.6454392072770805,3.2753524539390573,0.6619420558095754
2024-04-18,39.91855148111897,21.597983670319532,12.625934246153697,6.887110198339844,5.6838939889198485,5.731052851683946,3.641802398326413,3.275245810840714,0.6384253542970354
2024-04-19,2.5393369632715013,1.3339578307192885,0.7876966667114734,0.44536674108172203,0.359164453506662,0.4406520916725216,0.23394637204744878,0.2043334107054989,0.03859986309555668
2024-04-22,39.92501292342991,21.234785602855418,12.281530244714615,6.947925012018555,5.599984467351071,6.5005110847607845,3.6565924309874487,3.143001712253786,0.7106565216284121
2024-04-23,40.342123293126164,20.89321100047064,12.251124980718824,6.94122890488747,5.600516111071932,6.443954889513714,3.6475398409621116,3.1332752799029966,0.7470256993461507
2024-04-24,39.03565656912224,20.420952251447574,12.251935340265712,6.968924512607363,5.609835688804657,6.453135710865425,3.6501156651388067,4.682997506687469,0.926446755060753
2024-04-25,38.973599402484254,21.25327471125767,12.276630059475385,6.96386695602591,5.621922498148047,5.608700608015906,3.6594221380968706,4.694385832540233,0.9481977939557221
2024-04-26,38.57171541072265,21.606952335979344,12.288859589604293,6.969243045230522,5.639621070824836,5.599847980805106,3.6646285811845307,4.700233003501931,0.958898982146787
2024-04-29,38.48336210788026,21.646113879305677,12.301918239968568,6.991494685005882,5.613187538649224,5.607986417937221,3.6716482057745097,4.706399704974212,0.9778892205044486
2024-04-30,2.4707988137659913,1.3792582895388277,0.7876966667114734,0.44751806409966244,0.3592895304263097,0.35910659292363295,0.2325523397472073,0.3015527485323515,0.06339010856973058
2024-05-02,38.441267632748755,21.518386621693587,12.316359335669771,6.994003877537453,5.607473429742694,5.6538887473208215,3.633706745660358,4.7172506289824865,1.117662980644076
2024-05-03,38.27123172047908,21.82711546997372,12.323901838222893,6.995623742498432,5.611298795682859,5.627231287566152,3.6320183614943944,4.694986395076502,1.0165923890059685
2024-05-06,38.364365239202726,21.61934071188683,12.358285327446,7.015926335891351,5.625384399819807,5.620792255056064,3.6408137472040596,4.73330857319205,1.0217834103011096
2024-05-07,38.34592958185435,21.59150145424711,12.367179048881763,7.020975393490521,5.63061096444567,5.647419839283372,3.6375427843479566,4.735929450090113,1.0229114833591493
2024-05-08,38.464589875867766,21.558088169795436,12.347157728833063,7.011569603561045,5.626592878742023,5.61004569416347,3.6328302509808856,4.7290466261243065,1.0200791719320037
2024-05-09,38.49715529670903,21.545169988847363,12.344230748981886,7.000499194820888,5.622906988842743,5.623220205740459,3.6366731968665738,4.719171179949678,1.0109731992413769
2024-05-10,38.488202776398204,21.544254696440067,12.341685339336744,7.002974978315084,5.618612089671803,5.627939638939539,3.647367671063056,4.718198075664543,1.0107647341709598
2024-05-13,38.53176106605664,21.470489914024096,12.35527536034907,7.006370308941033,5.63186152639128,5.623150700389489,3.6556289254824756,4.723393509612631,1.0020686887532921
2024-05-14,38.51357715034917,21.596655527630983,12.335230295800596,6.9762004348738555,5.571408439545571,5.632438851433965,3.650873248755268,4.715730327285518,1.0078857243250745
2024-05-16,38.36640384156985,21.702292569117397,12.339834466257424,6.980371813659321,5.588770977882003,5.659229086196828,3.647141620911355,4.717490491119886,0.9984651332859295
2024-05-17,38.349817721198335,21.70013685543487,12.337272114669643,6.986758151025669,5.576640352107139,5.69018074674545,3.6405074440991068,4.716510909968832,1.0021757047509523
2024-05-20,38.28984835973463,21.822493956839537,12.330703048789667,6.9536693876728215,5.553700372737072,5.699681579987038,3.638177449185521,4.713999571108569,0.9977262739451525
2024-05-21,38.33302476430537,21.810438216371494,12.331857162496236,6.914375172860271,5.582808309097911,5.668102359847368,3.638517970763603,4.714440786138746,1.006435258118997
2024-05-22,38.074025004329336,21.8858552438938,12.374943161386012,6.949143787433876,5.602706944173687,5.6835831643878,3.6961095606005046,4.710712960985004,1.022920172809979
2024-05-23,37.97609632339434,21.98516268343214,12.368216803513114,6.951258196968131,5.624013528888076,5.688702824882448,3.6850667773353925,4.70815246912667,1.0133303924596944
2024-05-24,37.91630179517364,22.072131377539648,12.36874789300828,6.949330116559479,5.611080917633656,5.692699143833256,3.6689819829058874,4.708176712715463,1.0125500606306936
2024-05-27,37.90342025496368,22.028601065057753,12.3773929068615,6.954187282025857,5.652342420157272,5.714758271965384,3.6837309129560856,4.711467446204163,0.9740994398083066
2024-05-28,37.873282265092314,21.98151177194343,12.373453570266427,6.964547559744583,5.689835887108839,5.77148516487762,3.691595755780962,4.709967933643886,0.944320091541933
2024-05-29,37.990590004975815,21.97807770920231,12.343960557440752,6.949123025031498,5.673137853802354,5.697400327101227,3.685148499342742,4.69874138772551,0.9838206353777922
2024-05-30,37.98889392056695,21.92845255017632,12.351319737667556,6.970131451210136,5.651025652387994,5.718446948391323,3.691659934381825,4.701934888747057,0.9981349164708364
2024-05-31,2.42765252971816,1.3977783790002944,0.7877514504022791,0.44449608064405444,0.36039020731920945,0.3645151440676548,0.2356995251993827,0.3000425948199091,0.06650735060734231
2024-06-03,37.92150900244041,21.887908844763647,12.344244013896127,6.974762387253897,5.674052120514225,5.73049808360632,3.6946410438779207,4.702127554485979,1.070256949161472
2024-06-04,37.346715448095175,22.278263242524744,12.357284151112093,6.989586150148261,5.694565242125983,5.7095518044680835,3.701683252963735,4.75182959493403,1.170521113627899
2024-06-05,37.157882121545974,22.333512565345796,12.352173296322988,6.988326493928105,5.6952967420545715,5.88031970933433,3.6993546196544664,4.742173553974725,1.150960897839047
2024-06-06,37.127724348465144,22.3897068074632,12.349904259454311,6.98898926286441,5.7029373171031645,5.860369945956951,3.701596738530305,4.7276966338799875,1.1510746862825247
2024-06-07,36.982230055380576,22.47020318105345,12.411363264569674,7.035196390231987,5.738804234636906,5.750313173235377,3.719623626462021,4.735463092320553,1.1568029821094536
2024-06-11,36.93281292474483,22.47119874499149,12.422442650154277,7.04305406300534,5.744715898989384,5.78896798926857,3.7237328070706863,4.730619792743857,1.1424551290315652
2024-06-12,36.898496179711024,22.465589022100804,12.428502611465953,7.046489831343326,5.747518307265667,5.825724523724954,3.7227873811532057,4.732927500956453,1.131964642278617
2024-06-13,36.73938646944473,22.65840446638595,12.442137885027106,7.0542205145559285,5.756983870906135,5.750668654361456,3.7288466266199203,4.7381199817595,1.131231530939274
2024-06-14,36.88400289378213,22.56418405636608,12.416716815221267,7.039019351165772,5.747980859998001,5.789612080256519,3.721228058873244,4.728439323988484,1.1088165603484985
2024-06-17,36.99442778459793,22.53324748112871,12.384522572729036,7.020768480241411,5.740547607791776,5.789246991712958,3.711579605076713,4.716179358292908,1.1094801184285477
2024-06-18,36.855012059222446,22.70294382622776,12.346590836688927,6.999656996245146,5.734724183005675,5.856963636094892,3.700211653099167,4.701734484097232,1.1021623253187558
2024-06-19,36.86028012616485,22.66121306299632,12.341694077851852,6.996880875070788,5.721479105995771,5.893037951294064,3.7007031615092076,4.731606227799542,1.0931054113176053
2024-06-20,36.90709260612744,22.720738145988502,12.338362730174971,6.996950746781898,5.7207181338945245,5.826980433581503,3.6977457306426285,4.698601119377593,1.0928103534309321
