date,YUANTA SECURITIES (HONG KONG) CO LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,NANYANG COMMERCIAL BANK LTD,CHINA CONSTRUCTION BANK (ASIA),PHILLIP SECURITIES (HONG KONG) LTD,CGS INTERNATIONAL SECURITIES HK LTD,CHIEF SECURITIES LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),VALUABLE CAPITAL LTD,DOO FINANCIAL HK LTD
2024-08-28,52.81348186232505,47.065124250214225,0.0,0.0,0.0,0.07140816909454442,0.0,0.028563267637817767,0.021422450728363327,0.0
2024-08-29,52.86142428999572,47.017268445839875,0.0,0.0,0.0,0.07135721421435706,0.0,0.028542885685742828,0.02140716426430712,0.0
2024-08-30,52.94705294705294,46.93163978878265,0.0,0.0,0.0,0.07135721421435706,0.0,0.028542885685742828,0.02140716426430712,0.0
2024-09-02,53.032681604110174,46.84601113172542,0.0,0.0,0.0,0.07135721421435706,0.0,0.028542885685742828,0.02140716426430712,0.0
2024-09-03,53.1183102611674,46.76038247466819,0.0,0.0,0.0,0.07135721421435706,0.0,0.028542885685742828,0.02140716426430712,0.0
2024-09-04,53.20393891822464,46.674753817610956,0.0,0.0,0.0,0.07135721421435706,0.0,0.028542885685742828,0.02140716426430712,0.0
2024-09-05,53.28956757528186,46.58912516055373,0.0,0.0,0.0,0.07135721421435706,0.0,0.028542885685742828,0.02140716426430712,0.0
2024-09-10,53.38233195376052,46.49636078207507,0.0,0.0,0.0,0.07135721421435706,0.0,0.028542885685742828,0.02140716426430712,0.0
2024-09-11,53.482232053660624,46.39646068217497,0.0,0.0,0.0,0.07135721421435706,0.0,0.028542885685742828,0.02140716426430712,0.0
2024-09-12,53.57499643213929,46.3036963036963,0.0,0.0,0.0,0.07135721421435706,0.0,0.028542885685742828,0.02140716426430712,0.0
2024-09-13,53.63921792493221,46.23947481090338,0.0,0.0,0.0,0.07135721421435706,0.0,0.028542885685742828,0.02140716426430712,0.0
2024-09-16,53.731982303410874,46.14671043242472,0.0,0.0,0.0,0.07135721421435706,0.0,0.028542885685742828,0.02140716426430712,0.0
2024-09-17,53.860425288996716,46.01826744683887,0.0,0.0,0.0,0.07135721421435706,0.0,0.028542885685742828,0.02140716426430712,0.0
2024-09-19,54.02454688168974,45.854145854145855,0.0,0.0,0.0,0.07135721421435706,0.0,0.028542885685742828,0.02140716426430712,0.0
2024-09-23,54.1173112601684,45.76138147566719,0.0,0.0,0.0,0.07135721421435706,0.0,0.028542885685742828,0.02140716426430712,0.0
2024-09-25,54.21007563864707,45.66861709718852,0.0,0.0,0.0,0.07135721421435706,0.0,0.028542885685742828,0.02140716426430712,0.0
2024-09-26,54.28143285286142,45.597259882974164,0.0,0.0,0.0,0.07135721421435706,0.0,0.028542885685742828,0.02140716426430712,0.0
2024-09-27,54.367061509918656,45.511631225916936,0.0,0.0,0.0,0.07135721421435706,0.0,0.028542885685742828,0.02140716426430712,0.0
2024-09-30,54.452690166975884,45.426002568859715,0.0,0.0,0.0,0.07135721421435706,0.0,0.028542885685742828,0.02140716426430712,0.0
2024-10-02,54.56686170971885,45.31183102611674,0.0,0.0,0.0,0.07135721421435706,0.0,0.028542885685742828,0.02140716426430712,0.0
2024-10-03,54.652490366776085,45.22620236905951,0.0,0.0,0.0,0.07135721421435706,0.0,0.028542885685742828,0.02140716426430712,0.0
2024-10-07,54.92364778079064,44.955044955044954,0.0,0.0,0.0,0.07135721421435706,0.0,0.028542885685742828,0.02140716426430712,0.0
2024-10-08,55.009276437847866,44.869416297987726,0.0,0.0,0.0,0.07135721421435706,0.0,0.028542885685742828,0.02140716426430712,0.0
2024-10-09,55.0949050949051,44.7837876409305,0.0,0.0,0.0,0.07135721421435706,0.0,0.028542885685742828,0.02140716426430712,0.0
2024-10-10,55.187669473383764,44.691023262451836,0.0,0.0,0.0,0.07135721421435706,0.0,0.028542885685742828,0.02140716426430712,0.0
2024-10-14,55.273298130440985,44.60539460539461,0.0,0.0,0.0,0.07135721421435706,0.0,0.028542885685742828,0.02140716426430712,0.0
2024-10-15,55.273298130440985,43.89182246325103,0.7135721421435707,0.0,0.0,0.07135721421435706,0.0,0.028542885685742828,0.02140716426430712,0.0
2024-10-16,55.30184101612673,43.86327957756529,0.7135721421435707,0.0,0.0,0.07135721421435706,0.0,0.028542885685742828,0.02140716426430712,0.0
2024-10-17,55.330383901812475,43.83473669187955,0.7135721421435707,0.0,0.0,0.07135721421435706,0.0,0.028542885685742828,0.02140716426430712,0.0
2024-10-18,55.33751962323391,43.827600970458114,0.7135721421435707,0.0,0.0,0.07135721421435706,0.0,0.028542885685742828,0.02140716426430712,0.0
2024-10-21,55.344655344655344,43.82046524903668,0.7135721421435707,0.0,0.0,0.07135721421435706,0.0,0.028542885685742828,0.02140716426430712,0.0
2024-10-22,55.351791066076785,43.81332952761524,0.7135721421435707,0.0,0.0,0.07135721421435706,0.0,0.028542885685742828,0.02140716426430712,0.0
2024-10-29,55.35892678749822,43.806193806193804,0.7135721421435707,0.0,0.0,0.07135721421435706,0.0,0.028542885685742828,0.02140716426430712,0.0
2024-10-30,55.35892678749822,43.542172113600685,0.7135721421435707,0.2640216925931212,0.0,0.07135721421435706,0.0,0.028542885685742828,0.02140716426430712,0.0
2024-10-31,55.35892678749822,43.49222206365064,0.7135721421435707,0.3139717425431711,0.0,0.07135721421435706,0.0,0.028542885685742828,0.02140716426430712,0.0
2024-11-07,55.43028400171257,43.42086484943628,0.7135721421435707,0.3139717425431711,0.0,0.07135721421435706,0.0,0.028542885685742828,0.02140716426430712,0.0
2024-11-08,55.46596260881975,43.3851862423291,0.7135721421435707,0.3139717425431711,0.0,0.07135721421435706,0.0,0.028542885685742828,0.02140716426430712,0.0
2024-11-12,55.530184101612676,43.32096474953618,0.7135721421435707,0.3139717425431711,0.0,0.07135721421435706,0.0,0.028542885685742828,0.02140716426430712,0.0
2024-11-14,55.58726987298416,43.24960753532182,0.7135721421435707,0.3139717425431711,0.0,0.07135721421435706,0.014271442842871414,0.028542885685742828,0.02140716426430712,0.0
2024-11-15,55.615812758669904,43.22106464963608,0.7135721421435707,0.3139717425431711,0.0,0.07135721421435706,0.014271442842871414,0.028542885685742828,0.02140716426430712,0.0
2024-11-18,55.65149136577708,43.1853860425289,0.7135721421435707,0.3139717425431711,0.0,0.07135721421435706,0.014271442842871414,0.028542885685742828,0.02140716426430712,0.0
2024-11-19,55.687169972884256,43.13543599257885,0.7135721421435707,0.3139717425431711,0.0,0.07135721421435706,0.028542885685742828,0.028542885685742828,0.02140716426430712,0.0
2024-11-20,55.71571285857,43.10689310689311,0.7135721421435707,0.3139717425431711,0.0,0.07135721421435706,0.028542885685742828,0.028542885685742828,0.02140716426430712,0.0
2024-11-21,55.744255744255746,43.07835022120736,0.7135721421435707,0.3139717425431711,0.0,0.07135721421435706,0.028542885685742828,0.028542885685742828,0.02140716426430712,0.0
2024-11-25,55.80847723704867,43.01412872841444,0.7135721421435707,0.3139717425431711,0.0,0.07135721421435706,0.028542885685742828,0.028542885685742828,0.02140716426430712,0.0
2024-11-26,55.84415584415584,42.97845012130727,0.7135721421435707,0.3139717425431711,0.0,0.07135721421435706,0.028542885685742828,0.028542885685742828,0.02140716426430712,0.0
2024-11-28,55.85360633516444,42.96925162302918,0.7134194192765927,0.3139045444817008,0.0,0.07134194192765927,0.02853677677106371,0.02853677677106371,0.02140258257829778,0.0
2024-11-29,55.83767206333358,42.985521717423865,0.7132158904500393,0.31381499179801725,0.0,0.07132158904500392,0.02852863561800157,0.02852863561800157,0.021396476713501176,0.0
2024-12-02,55.930390129092075,42.89280365166535,0.7132158904500393,0.31381499179801725,0.0,0.07132158904500392,0.02852863561800157,0.02852863561800157,0.021396476713501176,0.0
2024-12-09,52.20691032554424,46.69462752146995,0.6657346381732242,0.2929232407962186,0.0,0.06657346381732242,0.026629385526928964,0.026629385526928964,0.019972039145196723,0.0
2024-12-13,52.27348378936156,46.62805405765262,0.6657346381732242,0.2929232407962186,0.0,0.06657346381732242,0.026629385526928964,0.026629385526928964,0.019972039145196723,0.0
2024-12-17,52.30677052127022,46.59476732574396,0.6657346381732242,0.2929232407962186,0.0,0.06657346381732242,0.026629385526928964,0.026629385526928964,0.019972039145196723,0.0
2024-12-27,52.41328806337794,46.48824978363624,0.6657346381732242,0.2929232407962186,0.0,0.06657346381732242,0.026629385526928964,0.026629385526928964,0.019972039145196723,0.0
2025-01-02,52.51980560548566,46.381732241528525,0.6657346381732242,0.2929232407962186,0.0,0.06657346381732242,0.026629385526928964,0.026629385526928964,0.019972039145196723,0.0
2025-01-06,52.205541961510484,46.70326036637788,0.6613319224918986,0.2909860458964354,0.0,0.06613319224918987,0.02645327689967595,0.02645327689967595,0.01983995767475696,0.0
2025-01-07,52.27828847298459,46.630513854903775,0.6613319224918986,0.2909860458964354,0.0,0.06613319224918987,0.02645327689967595,0.02645327689967595,0.01983995767475696,0.0
2025-01-13,52.39071489980821,46.51808742808015,0.6613319224918986,0.2909860458964354,0.0,0.06613319224918987,0.02645327689967595,0.02645327689967595,0.01983995767475696,0.0
2025-01-14,52.41716817670788,46.49163415118048,0.6613319224918986,0.2909860458964354,0.0,0.06613319224918987,0.02645327689967595,0.02645327689967595,0.01983995767475696,0.0
2025-01-15,52.47007473050724,46.438727597381124,0.6613319224918986,0.2909860458964354,0.0,0.06613319224918987,0.02645327689967595,0.02645327689967595,0.01983995767475696,0.0
2025-01-24,50.1554130017856,48.75338932610277,0.6613319224918986,0.2909860458964354,0.0,0.06613319224918987,0.02645327689967595,0.02645327689967595,0.01983995767475696,0.0
2025-01-27,47.84075127306395,51.068051054824416,0.6613319224918986,0.2909860458964354,0.0,0.06613319224918987,0.02645327689967595,0.02645327689967595,0.01983995767475696,0.0
2025-02-03,45.50624958666754,53.40255274122082,0.6613319224918986,0.2909860458964354,0.0,0.06613319224918987,0.02645327689967595,0.02645327689967595,0.01983995767475696,0.0
2025-02-21,45.50624958666754,53.38271278354606,0.6613319224918986,0.2909860458964354,0.0,0.06613319224918987,0.02645327689967595,0.02645327689967595,0.01983995767475696,0.01983995767475696
2025-03-25,45.50624958666754,53.25044639904768,0.6613319224918986,0.2909860458964354,0.13226638449837974,0.06613319224918987,0.02645327689967595,0.02645327689967595,0.01983995767475696,0.01983995767475696
2025-03-27,45.4461396208969,53.31219866587412,0.6604583581005218,0.29060167756422955,0.13209167162010435,0.06604583581005218,0.026418334324020867,0.026418334324020867,0.01981375074301565,0.01981375074301565
2025-03-28,53.62921867776237,45.12911960900865,0.6604583581005218,0.29060167756422955,0.13209167162010435,0.06604583581005218,0.026418334324020867,0.026418334324020867,0.01981375074301565,0.01981375074301565
