date,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,CHINA INTERNATIONAL CAPITAL CORPORATION,CITIC SECURITIES BROKERAGE (HK) LTD,CMB INTERNATIONAL SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,MORGAN STANLEY HONG KONG SECURITIES LTD
2024-04-17,0.25924205591282934,1.9120014300801884,0.20106109328732474,0.00990906707641377,0.0,0.0,0.0,0.0,0.6074586908396808
2024-04-18,0.2594461328091399,1.9118200283945792,0.2035326912537529,0.010249195236931406,4.156066808744246,0.0,0.0,1.56474826485603,0.607481366050382
2024-04-19,0.2594234575984387,1.9129084385082356,0.20228555466518822,0.011110853243576082,4.159241338242411,0.0,0.0,0.0,0.6075040412610833
2024-04-22,0.0,1.9117973531838777,0.20409957152128227,0.012312639410738391,0.0,0.0,0.0,0.0,0.0
2024-04-23,0.0,0.0,0.2033059391467411,0.012063212093025459,4.1501485787512395,0.0,0.0,0.0,0.0
2024-04-24,0.0,1.9117066523410733,0.20369141772866112,0.011881810407416054,0.0,0.0,0.0,0.0,0.6075493916824856
2024-04-25,0.0,0.0,0.20405422109987992,0.012652767571256026,0.0,0.0,0.0,0.0,0.6075947421038879
2024-04-26,0.0,1.911683977130372,0.2172511937279642,0.012063212093025459,0.0,0.0,0.0,0.0,0.6076400925252903
2024-04-29,0.25937810717703635,1.9118880540266825,0.2173872449921712,0.012743468414060731,0.0,0.0,0.0,0.0,0.6076854429466926
2024-04-30,0.25931008154493285,1.9119560796587862,0.22015362069771466,0.014149331477533621,0.0,0.0,0.0,0.0,0.607730793368095
2024-05-02,0.25901530380581755,1.9102327636454968,0.22407643214901807,0.014512134848752432,0.0,0.0,0.0,0.0,0.0
2024-05-03,0.25874320127740347,1.9100740371705887,0.21330570706595958,0.01469353653436184,0.0,0.0,0.0,0.0,0.0
2024-05-06,0.2594461328091399,1.9156294637923768,0.0,0.017323860975698217,4.154638270470072,0.0,0.0,0.0,0.6097942375419019
2024-05-07,0.0,1.9158562158993884,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-08,0.2537546549231448,1.9160602927956987,0.21589068108589365,0.013151622206681894,0.0,0.0,0.0,0.0,0.6079348702644056
2024-05-09,0.0,1.9158788911100895,0.22437120988813333,0.014035955424027743,4.155772031005131,0.7717335630543813,0.0,0.0,0.6094994598027866
2024-05-10,0.2519406380670508,0.0,0.22956383313870254,0.015192391169787704,4.1575860478612245,0.0,0.0,0.0,0.6094541093813843
2024-05-13,0.2518952876456484,0.0,0.22604917548002035,0.015895322701524148,4.159853568931342,0.7715521613687718,0.0,0.0,0.6090459555887632
2024-05-14,0.25130573216741786,1.9159469167421932,0.2340988752789377,0.017323860975698217,4.1575860478612245,0.0,0.0,0.0,0.6081616223714172
2024-05-16,0.0,0.0,0.2437811902483397,0.017142459290088813,4.154184766256049,0.0,0.0,0.0,0.6084110496891303
2024-05-17,0.24772304887663207,1.9122055069764992,0.24870171097049482,0.01757328829341115,0.0,0.7671304952820426,0.0,0.0,0.6083656992677279
2024-05-20,0.24656661313087214,1.910776968702325,0.2532821035321323,0.018525647142860528,0.0,0.0,0.0,0.0,0.6083430240570267
2024-05-21,0.24618113454895216,1.9107316182809226,0.25611650486977927,0.020679792159472216,0.0,0.7607814362857134,0.0,0.0,0.6085471009533373
2024-05-22,0.24799515140504616,2.04685090812008,0.25740899187974625,0.0209745698985875,4.148969467794778,0.7598744278576663,0.0,0.0,0.0
2024-05-23,0.2491742623615073,2.046714856855873,0.26044747011370384,0.02113329637349573,0.0,0.0,0.0,0.0,0.0
2024-05-24,0.24915158715080615,2.046737532066574,0.2598352394247721,2.601263891301752,1.569473778766155,0.0,0.0,0.0,0.6085924513747396
2024-05-27,0.2556593726220436,0.0,0.26332722187275315,2.5845749362256862,0.0,0.0,0.0,0.0,0.6086378017961419
2024-05-28,0.2556140222006412,2.046306703063252,0.26539066604656014,2.584506910593583,0.0,0.0,0.0,0.0,0.0
2024-05-29,0.2548884154582036,0.0,0.26700060600634357,2.584393534540077,0.0,0.0,0.0,0.0,0.6082069727928197
2024-05-30,0.25584077430765295,2.045898549270631,0.2672046829026542,2.5840534063795597,0.0,0.0,0.0,0.0,0.6086378017961419
2024-05-31,0.2557954238862506,2.0455810963208143,0.27892776683516196,2.567704579464012,0.0,0.0,0.0,0.0,0.6097262119097984
2024-06-03,0.2603077908157846,0.0,0.2826011509687525,2.5566617518525394,0.0,0.0,0.0,0.0,0.6099983144382125
2024-06-04,0.21965113802857658,2.0485515489226684,0.33296279393606365,2.5178250114762073,0.0,0.0,0.004807144668649244,0.0,0.625281406450805
2024-06-05,0.22028604392820952,2.050070788039647,0.34776970652393135,2.50900435451345,0.0,0.0,0.0,0.0,0.6236714664910215
2024-06-06,0.22012731745330127,2.058778068948899,0.3299243157021061,2.5454595175098373,0.0,0.0,0.0,0.0,0.6240725909683252
2024-06-07,0.22024069350680717,2.058914120213106,0.33273604182905187,2.5424112889352783,0.0,0.0,0.0,0.0,0.6247528472893605
2024-06-11,0.2196738132392778,2.0605694105942916,0.3494476721158184,2.5292596667285965,0.0,0.0,0.0,0.0,0.6251156506605794
2024-06-12,0.21951508676436954,2.0646962989419055,0.39794994780563314,2.453297710879658,0.0,0.0,0.007482819531387973,1.567219862822458,0.6258639326137181
2024-06-13,0.219447061132266,2.064991076681021,0.3982900759661508,2.450463309542011,0.0,0.0,0.0,0.0,0.6265895393561558
2024-06-14,0.2196284628178754,2.0609095387548093,0.4224845257843052,2.438332071816882,0.0,0.0,0.0,0.0,0.6269069923059722
2024-06-17,0.21958311239647305,2.060977564386913,0.4323255672286154,2.4177203052895133,0.0,0.0,0.0,0.0,0.6155467117446832
2024-06-18,0.2195604371857719,2.058959470634508,0.4743200574471928,2.3653859189912,0.0,0.0,0.0,0.0,0.6198550017779066
2024-06-19,0.21969648844997894,2.059095521898715,0.4800795609652914,2.359581065051699,0.0,0.0,0.0,0.0,0.6207166597845513
2024-06-20,0.21965113802857658,2.0598211286411527,0.4830953639885478,2.3554088262826824,0.0,0.0,0.0,0.0,0.6229161552225653
2024-06-21,0.2195604371857719,2.0597984534304516,0.49461437102474504,2.3040431249855233,0.0,0.0,0.0,0.0,0.6411470246263106
2024-06-24,0.21951508676436954,2.059979855116061,0.5092172067163022,2.3026599371327516,0.0,0.0,0.0,0.0,0.6430970927466116
2024-06-25,0.21949241155366836,2.0605467353835905,0.5094893092447164,2.3033401934537867,0.0,0.0,0.0,0.0,0.6450018104455104
2024-06-26,0.21990056534628954,2.0605013849621883,0.5110765739937986,2.3028413388183613,0.0,0.0,0.0,0.0,0.6459088188735574
2024-06-27,0.21965113802857658,2.059458325269934,0.508151471813347,2.343339265130661,0.0,0.0,0.0,0.0,0.6077010888420764
2024-06-28,0.21960578760717425,2.059481000480635,0.5071991129638975,2.380604840157508,0.0,0.0,0.0,0.0,0.6076103879992717
2024-07-02,0.22021801829610596,2.05841526557768,0.5067682839605752,2.380514139314703,0.0,0.0,0.0,0.0,0.6075877127885705
2024-07-03,0.21993253739337817,0.0,0.5066549079070694,2.3824415322243033,0.0,0.0,0.0,0.0,0.6079278409490881
2024-07-04,0.21990986218267702,2.0652178287880325,0.5094212836126127,2.3817386006925667,0.0,0.0,0.0,0.0,0.6077917896848811
2024-07-05,0.0,0.0,0.5095346596661187,2.381647899849762,0.0,0.0,0.0,0.0,0.6076103879992717
2024-07-08,0.0,2.0578710605208514,0.32203334237809694,2.3817159254818656,0.0,0.0,0.0,0.0,0.607247584628053
2024-07-09,0.2214971269317593,2.0547192062333886,0.5107364458332809,2.381303916903425,0.0,0.0,0.0,0.0,0.6070208325210411
2024-07-10,0.0,2.0526557620595813,0.5081741470240481,2.3796939769436416,0.0,0.0,0.0,0.0,0.0
2024-07-11,0.0,2.0483928224477603,0.5051583440007917,2.3789003445691006,1.5726936586857219,0.0,0.0,0.0,0.6077237640527776
2024-07-12,0.2204540672395052,2.048619574554772,0.5055438225827118,2.380510284528884,1.5794962218960744,0.0,0.0,0.0,0.6079958665811916
