date,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIC SECURITIES BROKERAGE (HK) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,CLSA LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD
2024-05-02,0.0,91579141.0,23845977.0,6445930.0,1601818.0,0.0,193001150.0
2024-05-03,0.0,91531641.0,23934677.0,6553830.0,1673323.0,0.0,193000950.0
2024-05-06,0.0,91534841.0,24332764.0,6146130.0,2078538.0,0.0,193040950.0
2024-05-07,0.0,91394841.0,24344208.0,6227330.0,2553367.0,0.0,193022106.0
2024-05-08,0.0,91391641.0,24399966.0,6162630.0,3713867.0,0.0,193020950.0
2024-05-10,0.0,0.0,23720408.0,6254230.0,4465910.0,43920400.0,192871707.0
2024-05-13,0.0,0.0,23590458.0,6260230.0,4210381.0,44020400.0,192871207.0
2024-05-14,0.0,0.0,23096529.0,6179830.0,3249556.0,44120400.0,192873591.0
2024-05-20,0.0,91371641.0,22861950.0,5850930.0,4262867.0,0.0,192866505.0
2024-05-22,0.0,91341641.0,22710693.0,5084830.0,5137480.0,0.0,192849305.0
2024-05-29,0.0,0.0,22709073.0,8486334.0,7157267.0,44206600.0,192757105.0
2024-06-05,0.0,0.0,34603183.0,17236466.0,11650428.0,44120400.0,192700305.0
2024-06-06,0.0,91425041.0,34308683.0,17310366.0,11120300.0,0.0,192694105.0
2024-07-11,720351500.0,0.0,35198362.0,16727966.0,12143937.0,45665000.0,192815937.0
2024-07-12,720347700.0,0.0,35217162.0,16712966.0,12090969.0,45865000.0,192815505.0
2024-07-15,720344000.0,0.0,35227762.0,16936766.0,12066369.0,0.0,192809105.0
2024-07-16,720338600.0,0.0,35223634.0,17132166.0,12276665.0,0.0,192804905.0
2024-07-17,720337400.0,0.0,35751134.0,17335766.0,11988765.0,45585000.0,192795605.0
2024-07-18,0.0,0.0,35667290.0,17366166.0,12096094.0,45485000.0,192725505.0
2024-07-19,0.0,0.0,35439290.0,17342566.0,12034400.0,45685000.0,192671505.0
2024-07-22,0.0,0.0,35650918.0,17278766.0,11824400.0,45785000.0,192334005.0
2024-07-23,0.0,0.0,35562918.0,17281566.0,11207300.0,45955000.0,191807905.0
2024-07-24,0.0,0.0,35160218.0,17337266.0,9955900.0,45855000.0,191380605.0
2024-07-30,0.0,0.0,35225043.0,17496166.0,9517599.0,45814500.0,191095101.0
2024-07-31,0.0,0.0,35081009.0,17488766.0,9680659.0,45794500.0,191159505.0
2024-08-01,0.0,0.0,42999309.0,17479466.0,9676659.0,37794500.0,191183505.0
2024-08-08,0.0,0.0,42522676.0,17036366.0,9719467.0,34304500.0,191196505.0
2024-08-21,0.0,91428041.0,48754683.0,17402866.0,9479611.0,0.0,190783605.0
2024-08-28,0.0,91447641.0,47307803.0,17942866.0,8502720.0,35468600.0,0.0
2024-08-30,0.0,91472641.0,45820721.0,18085566.0,8719842.0,36198600.0,190766405.0
2024-09-02,0.0,91675941.0,45311521.0,18090466.0,8928342.0,36358600.0,0.0
2024-09-04,0.0,91585241.0,45100121.0,18018666.0,8915909.0,36475600.0,0.0
2024-09-10,0.0,91582241.0,73385390.0,18960766.0,11627990.0,8623259.0,0.0
2024-09-11,0.0,91597341.0,73319290.0,19072166.0,11428190.0,8749059.0,0.0
2024-09-12,3061700.0,91552341.0,70927490.0,18952266.0,11082290.0,0.0,0.0
2024-09-13,5409100.0,0.0,69031890.0,18950566.0,11204691.0,9235059.0,0.0
2024-09-16,6058300.0,0.0,36266385.0,18831466.0,11226291.0,42001290.0,0.0
2024-09-17,6324500.0,0.0,36169185.0,18826266.0,11233891.0,42136790.0,0.0
2024-09-19,0.0,0.0,36016185.0,18839966.0,8212737.0,42191590.0,190766449.0
2024-09-20,0.0,0.0,35687653.0,18844766.0,8643913.0,42248990.0,190766405.0
2024-09-23,7377900.0,91526041.0,35029093.0,17948066.0,8198373.0,0.0,0.0
2024-09-24,8229400.0,0.0,35977597.0,17220366.0,7728541.0,0.0,190812405.0
2024-09-25,8819300.0,0.0,35890197.0,17238966.0,7931453.0,0.0,190766749.0
2024-09-26,9007600.0,0.0,35781876.0,17295766.0,8053192.0,0.0,190766405.0
2024-09-27,9008200.0,91426041.0,34740688.0,17331666.0,7422078.0,42528390.0,190790339.0
2024-09-30,9326500.0,91420041.0,33493388.0,17371066.0,7831557.0,0.0,190966439.0
2024-10-02,9387500.0,0.0,32970894.0,17336666.0,8701091.0,0.0,190966405.0
2024-10-03,9963800.0,71420041.0,32964593.0,37221866.0,8199883.0,42012200.0,0.0
2024-10-07,0.0,71429041.0,33946403.0,36805766.0,9447819.0,0.0,190766405.0
2024-10-09,0.0,71428041.0,34491948.0,37806166.0,11058710.0,42533000.0,190774005.0
2024-10-10,10445300.0,71430341.0,33675548.0,37775466.0,10225985.0,43481500.0,190795539.0
2024-10-14,10486800.0,71428213.0,33308467.0,37695266.0,9816899.0,44025400.0,190805739.0
2024-10-15,10501100.0,71434213.0,33563567.0,37701766.0,9210919.0,44388800.0,190776405.0
2024-10-16,10926200.0,71428213.0,42120019.0,37650466.0,9332260.0,35588800.0,0.0
2024-10-17,11020400.0,0.0,46134817.0,37575766.0,9283660.0,31588800.0,190765542.0
2024-10-18,11061400.0,0.0,47022424.0,37532566.0,8697829.0,0.0,190766405.0
2024-10-21,11819000.0,0.0,46615861.0,37511666.0,8772192.0,32113900.0,190765542.0
2024-10-22,732550900.0,0.0,67568075.0,37541966.0,8439688.0,11268900.0,0.0
2024-10-25,732669400.0,0.0,52080069.0,37564866.0,8656970.0,25313900.0,190798742.0
2024-10-28,12533300.0,0.0,35307052.0,37571366.0,8997918.0,41613900.0,190765542.0
2024-10-29,12730100.0,71430213.0,34794852.0,37584466.0,9316840.0,0.0,0.0
2024-11-01,13327800.0,0.0,33079578.0,37558966.0,9075086.0,41513900.0,190455542.0
2024-11-04,13478400.0,0.0,33869485.0,37545066.0,8922586.0,0.0,190465542.0
2024-11-05,13631200.0,0.0,33930526.0,37532766.0,8718686.0,41516500.0,190435542.0
2024-11-06,6243100.0,0.0,33731926.0,37657066.0,8679132.0,41513900.0,0.0
2024-11-08,14029700.0,0.0,33905126.0,37610666.0,8819351.0,41013900.0,0.0
2024-11-11,16616300.0,71428213.0,33896326.0,35874866.0,8703803.0,40013900.0,0.0
2024-11-12,17805300.0,70605813.0,37918115.0,34914166.0,9689355.0,35013900.0,0.0
2024-11-15,19317700.0,0.0,33906408.0,34824366.0,9832468.0,35315600.0,0.0
2024-11-18,20460900.0,0.0,39551031.0,34809466.0,9642633.0,35782900.0,190438321.0
2024-11-19,20872000.0,70598513.0,39026175.0,34796866.0,9397268.0,36003900.0,190435542.0
2024-11-20,21150600.0,0.0,39065775.0,34782266.0,10530787.0,34753900.0,190435642.0
2024-11-21,21345900.0,0.0,38900280.0,34770166.0,10539887.0,34776200.0,190435542.0
2024-11-22,21478300.0,0.0,39171080.0,34761866.0,10543747.0,34433900.0,190435642.0
2024-11-25,21976100.0,70386261.0,39961280.0,34771766.0,10576347.0,33507800.0,190435542.0
2024-11-26,22592700.0,70146549.0,38769680.0,34738966.0,10389528.0,33890000.0,0.0
2024-11-27,23038300.0,0.0,38323576.0,34738266.0,10940323.0,34105900.0,0.0
2024-11-28,23385200.0,0.0,45327276.0,34736166.0,11143237.0,26936000.0,0.0
2024-11-29,23827200.0,0.0,45129067.0,34710766.0,10003141.0,27167400.0,0.0
2024-12-02,24015000.0,70146749.0,44966639.0,34711766.0,9963301.0,0.0,0.0
2024-12-05,26013000.0,69704803.0,43665488.0,34749766.0,12801983.0,0.0,0.0
2024-12-09,27606500.0,69286416.0,43071328.0,34750866.0,11918840.0,0.0,0.0
2024-12-10,28895200.0,68448736.0,42397428.0,34708266.0,13732417.0,0.0,0.0
2024-12-11,30197600.0,67965432.0,41996543.0,34754666.0,14194174.0,26322400.0,190435762.0
2024-12-12,31527400.0,67792031.0,41851743.0,34762066.0,14794444.0,25322400.0,190452562.0
2024-12-13,32203300.0,67791531.0,41274343.0,34781766.0,15471014.0,0.0,190435542.0
2024-12-16,33213000.0,67670520.0,43087283.0,34774266.0,15889716.0,23322400.0,0.0
2024-12-18,34933100.0,67477673.0,41794983.0,34830766.0,15554738.0,0.0,0.0
2024-12-19,35579000.0,67270330.0,37574940.0,34852366.0,12888901.0,0.0,0.0
2024-12-20,36292600.0,66986430.0,40798090.0,34850266.0,12113951.0,20322400.0,0.0
2024-12-23,38315100.0,0.0,40524014.0,34929466.0,12740323.0,17639442.0,190415133.0
2024-12-27,39852600.0,66831276.0,40364093.0,34961066.0,11451973.0,17137400.0,190369333.0
2024-12-30,40829500.0,65814336.0,39684115.0,34930066.0,14300620.0,16372400.0,190375733.0
2025-01-02,41709200.0,64955231.0,40424995.0,34932266.0,14875654.0,15372400.0,190369333.0
2025-01-03,43179800.0,63005395.0,41391471.0,34956766.0,14930695.0,13822400.0,0.0
2025-01-06,44758600.0,62390846.0,41882540.0,34383466.0,14048706.0,12822400.0,0.0
2025-01-07,767432900.0,61640544.0,42047540.0,34242066.0,14558263.0,11322400.0,0.0
2025-01-08,49668900.0,61453532.0,40993977.0,33912366.0,13273764.0,11822400.0,0.0
2025-01-09,52122500.0,60882577.0,41127677.0,33591466.0,12570146.0,0.0,190375588.0
2025-01-10,53271900.0,60496166.0,41084707.0,33543366.0,12179161.0,12322400.0,0.0
2025-01-13,54295900.0,60345181.0,40738407.0,33391466.0,12059261.0,0.0,190389488.0
2025-01-14,55311300.0,59830072.0,40244166.0,33796666.0,12180945.0,12822400.0,190389988.0
2025-01-15,56280600.0,59168760.0,40235022.0,33638466.0,11607859.0,13322400.0,0.0
2025-01-16,57488100.0,57950908.0,40122163.0,33668666.0,11517166.0,14072400.0,190369333.0
2025-01-17,58305700.0,57617008.0,39594281.0,33715466.0,10637346.0,14572400.0,190370292.0
2025-01-20,58705600.0,55461029.0,43557055.0,33794966.0,11096321.0,0.0,190369333.0
2025-01-21,60231900.0,55307308.0,42449755.0,33725766.0,10907117.0,15072400.0,0.0
2025-01-22,61124100.0,54544808.0,41325753.0,33824766.0,12756532.0,0.0,190375388.0
2025-01-23,782181100.0,54241508.0,41670853.0,33037966.0,12726869.0,0.0,190377988.0
2025-01-24,61754000.0,54216508.0,41306153.0,32987866.0,13066778.0,0.0,190369333.0
2025-01-27,62781700.0,54176709.0,39463353.0,32994266.0,12414568.0,0.0,190378388.0
2025-02-03,63260400.0,53786909.0,38980153.0,33387766.0,11369712.0,0.0,190369333.0
2025-02-04,63176800.0,53350809.0,38581653.0,33467666.0,11409549.0,0.0,0.0
2025-02-06,0.0,53345809.0,39132900.0,33364366.0,11748221.0,0.0,190369633.0
2025-02-07,62322300.0,53342709.0,37989512.0,33420366.0,11276419.0,0.0,190369333.0
2025-02-11,62733300.0,53220309.0,38683709.0,33610566.0,11223181.0,0.0,190388733.0
2025-02-12,62623800.0,53169509.0,38614027.0,33557126.0,11389789.0,0.0,190369333.0
2025-02-13,62352200.0,53130509.0,39941509.0,33606526.0,9709246.0,0.0,0.0
2025-02-14,61843200.0,52706909.0,39687586.0,33771726.0,11665320.0,0.0,0.0
2025-02-17,62599200.0,52613009.0,39749852.0,33598226.0,9417419.0,0.0,190403633.0
2025-02-18,62646900.0,52608009.0,39755560.0,33314726.0,10237738.0,0.0,190369333.0
2025-02-19,62023000.0,52553009.0,39816660.0,33243526.0,10850590.0,0.0,0.0
2025-02-21,62293800.0,52543009.0,39701538.0,33010526.0,11543815.0,0.0,190369533.0
2025-02-24,62426200.0,0.0,39642038.0,32999326.0,11366982.0,0.0,190369833.0
2025-02-25,62014800.0,52544009.0,39968466.0,32628726.0,14750733.0,0.0,190369333.0
2025-02-27,61677300.0,52509309.0,39828476.0,32507226.0,12193833.0,0.0,0.0
2025-02-28,61498400.0,52233609.0,43214876.0,32430826.0,13309122.0,0.0,0.0
2025-03-03,61640600.0,51993309.0,40403076.0,32330526.0,13321879.0,0.0,0.0
2025-03-05,62458600.0,51587009.0,43201123.0,32168326.0,11353302.0,0.0,0.0
2025-03-07,62424800.0,51588009.0,43348704.0,32477026.0,10700903.0,0.0,0.0
2025-03-10,62227300.0,51374709.0,43616546.0,32245826.0,11267027.0,0.0,0.0
2025-03-11,61739900.0,51023009.0,44337979.0,32180626.0,11185278.0,0.0,0.0
2025-03-12,61784300.0,50988009.0,45662812.0,32169126.0,11458719.0,0.0,0.0
2025-03-13,61767700.0,50908009.0,46058346.0,32182626.0,11501919.0,0.0,0.0
2025-03-14,61794700.0,50896409.0,44641046.0,32103926.0,11584905.0,0.0,0.0
2025-03-17,61889600.0,50891409.0,45089046.0,32101926.0,11867129.0,0.0,0.0
2025-03-18,62184700.0,50874409.0,45001353.0,32120426.0,11358529.0,0.0,0.0
2025-03-19,61673500.0,50831909.0,45004553.0,32116626.0,11824340.0,0.0,0.0
2025-03-20,61462700.0,50817509.0,45432748.0,32131026.0,11607591.0,0.0,0.0
2025-03-24,61498000.0,50822509.0,45658974.0,32104826.0,11791694.0,0.0,0.0
2025-03-25,61380500.0,50824509.0,46309481.0,32034926.0,12567837.0,0.0,0.0
2025-03-26,61522000.0,50829509.0,46077881.0,31908726.0,11793437.0,0.0,0.0
2025-03-27,61637800.0,50836509.0,45875381.0,31882126.0,15486655.0,0.0,0.0
2025-03-28,61742700.0,50602709.0,44945555.0,31887026.0,14607561.0,0.0,0.0
2025-03-31,61590100.0,50603585.0,44915652.0,31886826.0,15027817.0,0.0,0.0
2025-04-01,61810300.0,50587685.0,44995952.0,31979826.0,12688505.0,0.0,190383533.0
2025-04-02,62342000.0,50581628.0,48923652.0,31971926.0,12540705.0,0.0,190369333.0
2025-04-03,62547800.0,50568795.0,48613552.0,31974326.0,12489605.0,0.0,190375333.0
2025-04-07,62903900.0,0.0,48124955.0,31976326.0,12438002.0,0.0,190369333.0
2025-04-08,63617900.0,50374495.0,47700652.0,31916126.0,12548533.0,0.0,0.0
2025-04-09,63421300.0,50305195.0,48336739.0,31817526.0,12580478.0,0.0,0.0
2025-04-10,63682900.0,50296541.0,48265159.0,31896926.0,12334871.0,0.0,0.0
2025-04-11,63842500.0,50304841.0,48245259.0,31828326.0,12337175.0,0.0,0.0
2025-04-14,63874600.0,50293841.0,49322790.0,31845426.0,12714465.0,0.0,190379533.0
2025-04-15,64188600.0,50238841.0,49305114.0,31849526.0,13166794.0,0.0,190369333.0
2025-04-16,63991900.0,50220141.0,49360310.0,31847126.0,13288567.0,0.0,190369633.0
2025-04-17,64026400.0,50222141.0,49252644.0,31854626.0,13264567.0,0.0,190369333.0
2025-04-22,64088000.0,50214141.0,49140609.0,31872626.0,13052584.0,0.0,0.0
2025-04-23,64299500.0,50213141.0,48545393.0,31885026.0,13457991.0,0.0,0.0
2025-04-24,64786300.0,49723143.0,48536563.0,31880926.0,14777495.0,0.0,0.0
2025-04-25,64675100.0,49685143.0,48470563.0,31858526.0,14992772.0,0.0,0.0
2025-04-28,784939400.0,49715443.0,48340342.0,31844226.0,14555176.0,0.0,0.0
2025-04-29,784778300.0,49705443.0,48323642.0,31914926.0,14893421.0,0.0,0.0
2025-04-30,65034400.0,49698443.0,48257142.0,31913526.0,14749876.0,0.0,0.0
2025-05-02,65064600.0,49660443.0,48353026.0,31918126.0,14667835.0,0.0,0.0
