date,MORTON SECURITIES LTD,BNP PARIBAS,EVERBRIGHT SECURITIES INVESTMENT,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,NANYANG COMMERCIAL BANK LTD,UPBEST SECURITIES CO LTD
2025-03-10,75.3861597539578,12.135476257818778,8.145067819622106,1.220174379046258,1.0268380776320192,0.7848863460715267,0.6876818549909209,0.613715510860591
2025-03-12,75.38682386012695,12.135583163976019,8.144258633594765,1.2201851280396434,1.026847123450301,0.7848932604423635,0.6876879130493735,0.6137209173205858
2025-03-14,75.38748797799695,12.135690072016832,8.143743082269218,1.220195877222415,1.0265625204691677,0.7849001749350245,0.6876939712145628,0.6137263238758365
2025-03-17,75.3854956594892,12.13536935354506,8.143527861806241,1.2201636302422532,1.0291781615596982,0.7848794318225105,0.6876757970392019,0.6137101044958498
2025-03-18,75.38704523145017,12.135618799780335,8.143695254516572,1.2201887110795242,1.024207313650605,0.7878320376017961,0.6876899324259101,0.6137227194950852
2025-03-19,75.38806355628253,12.135782727175842,8.143805259187527,1.2193242397316675,1.023751306675899,0.7878426796016935,0.6876992217107336,0.6137310096341074
2025-03-20,75.38894907849944,12.135925276337042,8.14390091783887,1.219044907490921,1.0228823678989771,0.7878519337483489,0.6877072995537057,0.6137382186327021
2025-03-21,75.38894907849944,12.135925276337042,8.14390091783887,1.219044907490921,1.021707749298723,0.789026552348603,0.6877072995537057,0.6137382186327021
2025-03-24,75.38474303323568,12.135248197645089,8.143446559258432,1.2189768954265254,1.0260553209255951,0.7901570846214426,0.6876689314896128,0.6137039773976243
2025-03-25,75.38478730495224,12.135255324395768,8.143451341716306,1.2189776113034714,1.025997195816332,0.7901575486624287,0.6876693353416762,0.6137043378117804
2025-03-27,75.39142865138245,12.136324431804699,8.144168774018386,1.2182040094432058,1.020507963582257,0.7878778465155998,0.6877299185236246,0.6137584047297733
2025-03-28,75.38766507807179,12.135718581145836,8.143762213527575,1.218143196162719,1.0204570193754183,0.7928305593333616,0.6876955867433069,0.6137277656399914
2025-04-07,75.38744370310825,12.13568294475551,8.143738299468673,1.2184332678863405,1.020454022815766,0.7928282311960464,0.6876935673335628,0.6137259634358562
2025-04-08,75.38323782581175,12.135005893102505,8.14328395903292,1.223944306972213,1.0203970915259402,0.7927839991848012,0.6876552008016878,0.6136917235681927
2025-04-11,75.38523002497783,12.135326592362949,8.143499166603995,1.2178102094646754,1.0204240581871427,0.796328632538395,0.6876733738883991,0.6137079419766238
2025-04-22,75.38567275020344,12.135397861167222,8.14354699205342,1.217817361466461,1.0201364090839593,0.7963333092472595,0.6873837705944315,0.6137115461838005
2025-04-23,75.38682386012695,12.135583163976019,8.143671340850918,1.216602642302174,1.0198583397985161,0.796345468947389,0.6873942666774499,0.6137209173205858
2025-04-29,75.38925901619008,12.135975169334625,8.143934398897754,1.2166419411762894,1.0198912834097804,0.7931409781830014,0.6874164709862475,0.6137407418222208
2025-04-30,56.33278338740414,9.068311180273385,6.085356168785451,0.9091059897219084,0.7620888638086558,0.5913386706622775,0.5136551766437436,0.45860278660745396
