date,CITIBANK N.A.,CHINA INTERNATIONAL CAPITAL CORPORATION,TIGER BROKERS (HK) GLOBAL LTD,THE HONGKONG AND SHANGHAI BANKING,GOLDMAN SACHS (ASIA) SECURITIES LTD,BNP PARIBAS,UOB KAY HIAN (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,MIB SECURITIES (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-03-21,27.09142579838596,0.0,23.929572460200013,14.838883930326347,0.00345589982564587,18.90464686146129,3.5958961965989773,11.26477176201708,0.0,0.3713470911846822
2024-03-22,27.084123491378826,0.0,23.923122408956704,14.83858927134044,0.0034549683116790303,18.90057013572149,3.6182688246412327,11.260809155505227,0.0,0.3710617441444021
2024-03-25,27.07928255138371,0.0,23.92069865620717,14.835196184138539,0.0034543507803682172,18.85875877571333,3.674021559216298,11.25787033076933,0.0,0.37071759179125935
2024-03-26,27.080210473155468,0.0,23.921518343251563,14.832185241283074,0.003454469150095714,18.859405006012203,3.6763701711045433,11.257329971408145,0.0,0.3695263246349034
2024-03-27,27.079934597877937,0.0,23.921274646640764,14.829718836526046,0.0034544339582482774,18.859212878864767,3.6804076541765833,11.256289167469673,0.0,0.3697077844859819
2024-03-28,27.079132083575058,0.0,23.920565739276984,14.82844587273369,0.0034543315860416594,18.85837615750623,3.6852994942343646,11.255029492897863,0.0,0.36969682818976696
2024-04-02,14.810796529391116,0.0,13.08323438649819,8.109838151264633,0.001889329469940584,10.314343030767475,2.016365349581629,6.155375846003241,0.0,0.20220384032179117
2024-04-03,14.810796529391116,15.10376902528437,13.087083958608526,8.107609451621807,0.001889329469940584,10.300717571587475,2.0463008379659424,6.154869323357144,0.0,0.20068427238350114
2024-04-05,14.8112523997726,15.107517292865486,13.089110049192913,8.107457494827978,0.001889329469940584,10.298640828738478,2.049188017048693,6.154362800711048,0.0,0.20068427238350114
2024-04-08,14.810796529391116,15.108783599480727,13.089869833162057,8.106900319917273,0.001889329469940584,10.297881044769332,2.050606280457764,6.153856278064951,0.0,0.20068427238350114
2024-04-09,14.810847181655722,15.10989794930214,13.089869833162057,8.106596406329613,0.001889329469940584,10.296260172301823,2.0525310665129313,6.153856278064951,0.0,0.20068427238350114
2024-04-10,14.810796529391116,15.119927097694855,13.094428536976926,8.10416509762835,0.001889329469940584,10.286940155613644,2.0668150051328573,6.153349755418854,0.0,0.20453384449383585
2024-04-11,14.810999138449555,15.123827322069799,13.094580493770755,8.100619439105673,0.001889329469940584,10.280507318008217,2.0723361019753113,6.152843232772757,0.0,0.20453384449383585
2024-04-12,14.810999138449555,15.13917495824653,13.09680919341358,8.097073780582996,0.001889329469940584,10.24484812372301,2.11057856175561,6.152336710126661,0.0,0.19946861803286914
