date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,GOLDMAN SACHS (ASIA) SECURITIES LTD,BOCI SECURITIES LTD,CITIBANK N.A.,BNP PARIBAS,HAITONG INTERNATIONAL SECURITIES CO LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD
2024-07-15,24.686469919478277,5.606871503242223,8.235619561431848,3.277738494030227,3.5884176259034875,2.195852096946855,1.3252468714121197,1.184681944384385,1.098554877010578
2024-07-16,24.8004748718347,5.694436611406134,8.2331755453804,3.274542534500631,3.529313336340515,2.1743875157526316,1.3245888797442615,1.1162414110461742,1.0942309317646532
2024-07-17,24.556991306064663,5.426565148459791,8.227723614418148,3.2495388511220233,3.7712274039850953,2.198187121378464,1.3356807392881551,1.1011622159938705,1.0469495304885648
2024-07-18,24.427068642274055,5.425386027390989,8.228376812146712,3.252828809461314,3.8085920248372753,2.2008414127671982,1.3348347500009092,1.1040855789753543,1.0423435888135582
2024-07-19,24.462181709637633,5.40977085112581,8.22619049383204,3.246342891592427,3.9416117614096815,2.2502433331911744,1.3307928011840666,1.0896990611516857,1.0488295066824451
2024-07-22,24.5302368478561,6.546926527334854,8.227154827620689,3.241924947536809,4.045024128899906,2.2013768769866204,1.3298528130871263,1.0911936422258204,1.0469495304885648
2024-07-23,24.690880813623167,6.595986762085591,8.226284257644709,3.2408909606301743,3.8669966342602904,2.183376104930217,1.334270757142745,1.123482233355714,1.0552214257416381
2024-07-24,24.733838269653333,6.653456741343819,8.224429473131826,3.2393869796750705,3.8576383477641785,2.1660623701738673,1.335210745239685,1.125362209549594,1.0501454900181613
2024-07-25,24.693042786246124,6.592258017302649,8.223566752056454,3.239198982055682,3.9948262265554417,2.166670354474968,1.3300408107065145,1.121014764601246,1.047795519775811
2024-07-26,24.663057165953738,6.6041958661337885,8.220934362390379,3.238728988007212,4.008435797217584,2.1905150325300484,1.327784839273858,1.1213907598400221,1.0466675340594829
2024-07-29,24.36489294160433,6.725820456002824,8.366377357647185,0.0,3.9735325351972417,2.3194301230795458,1.3241188856957917,1.1118028812512326,1.0336956983217092
2024-07-30,24.338479276080314,6.840894362823093,8.367938395879772,3.2376010022908837,4.089373613302828,2.21110283982685,1.3281608345126341,1.1184999674460971,1.0317217233181348
2024-07-31,24.162154937253142,6.931771413663659,8.366153483651756,3.2371922553833885,4.108376129375671,2.2293446612670267,1.3191374712217838,1.1151600568864128,1.0300919429372435
2024-08-01,23.90155184475537,6.906270278016609,0.0,3.238320000464518,4.216477449829973,2.2445815310794157,1.3144385333837427,1.10801767137259,1.0268966652073754
2024-08-02,23.810204493183846,6.37405974447692,0.0,3.237850106680714,4.254733241376467,2.236359329650411,1.3172578960865675,1.1094273527240024,1.0262388139100498
2024-08-05,23.829752074590104,6.451426910171458,0.0,3.23963570305917,4.3107703775746495,2.1305091763355586,1.3193254287353056,1.1051983086697654,1.0259568776397672
2024-08-06,23.78605195269632,6.45569410960094,0.0,3.250725196356947,4.329165403507987,2.1463372665067304,1.3192314499785447,1.1380438841576739,1.0268026864506146
2024-08-07,23.7385926805321,6.9842306376238215,8.366905266716465,3.252894226062987,4.540579497833977,2.1451593367694906,1.3141565971134603,1.1057151918319499,1.0282123678020272
2024-08-08,23.74188193701873,7.106700699124935,8.365019395004545,3.23954924260295,4.6077145384286675,2.130657944707511,1.3201712375461532,1.084194056533721,1.0227615999098991
2024-08-09,23.656173310852857,7.127776375116117,8.384643287161285,3.231373090764758,4.768617212507119,2.1229408321067176,0.0,1.0831602902093518,1.0183445983421404
2024-08-12,23.66871247346305,7.980122207315693,8.390354940082183,3.230809218224193,4.395489266463696,2.124449191152729,0.0,1.0804349062632879,1.0161830869366415
2024-08-13,23.674126384768222,7.8780351917072835,8.41881865792572,3.2258605488731042,4.524297310530361,2.111906439165944,1.3097321807690983,1.0815728996259761,1.0062374191332406
2024-08-14,23.707348921526986,9.167402060858874,8.475341752525324,3.2261424633188476,3.2145658345473773,2.122645124233184,1.3482604883539668,1.0908760763354932,1.0070831624704695
2024-08-15,23.63224714810977,9.259327783611914,0.0,3.2172151725369877,3.157860012401191,2.2582921596188994,0.0,1.086365445203606,1.004545932458783
2024-08-16,23.68449529205413,9.158990250641057,8.468041718910033,3.2367612407751647,3.030191484730188,2.134206435653102,0.0,1.0952927359854658,1.009734285918236
2024-08-19,23.62830039285511,9.201844582381591,8.425496647316479,3.2569651093867424,3.026958207951962,2.110388564804323,0.0,1.0978299659971522,1.0108619437012079
2024-08-20,23.500405205969727,9.324028934368075,8.418742212125183,3.2617576549643723,2.7774051443075223,2.1558623046174787,1.3575636650634837,1.095668621913123,1.0118956300022652
2024-08-21,23.448908833880687,9.283050837235441,8.437434972321837,3.264952685349459,3.0750737210504333,2.1235502105612416,0.0,1.0952927359854658,1.0118016585203509
2024-08-22,23.412447898897934,9.11806059580735,8.459564316597838,3.284216839141893,3.072396379559213,2.1200215814153593,0.0,1.0982058519248095,1.014244917050123
2024-08-23,23.445619832013683,9.178009514751622,8.48243594160948,3.314381684836388,3.139453160438261,2.11828780757404,1.358503379882627,1.096608336732266,1.0167821470618095
2024-08-26,23.394217431406553,9.180252473067693,8.454910191013068,3.3198320307874183,3.1585206319190484,2.1474791557016433,0.0,1.09472890709398,1.0168761185437238
2024-08-27,23.378148307999208,9.567772915929277,8.422301569945652,3.3197380593055033,3.2358956694552523,2.1481568780292095,1.3452534009327086,1.093601249311008,0.0
2024-08-28,23.355407209375947,9.771591280955285,8.42306433646435,3.3196440878235896,3.2410256196386955,2.149547655961541,1.3457232583422802,1.0880569318780637,1.017252004471381
2024-08-29,23.358978125688687,9.769533305501362,8.421653589592111,3.32227528931719,3.276948379944526,2.1309164000998,1.3344466805125628,1.0904062189259216,1.0175339189171242
2024-08-30,23.28906334314444,9.925751591007199,8.420931700668046,3.3230270611725046,3.1534799546434242,2.1614357532098163,0.0,1.096279436545566,1.0197892344830677
