date,GET NICE SECURITIES LTD,PRUDENTIAL BROKERAGE LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,BNP PARIBAS,STANDARD CHARTERED BANK (HONG KONG) LTD,GLOBAL MASTERMIND SECURITIES LTD
2024-08-12,34.239997425803814,19.719841012867615,15.464084932528394,11.22046835397635,1.41414943668525,6.1226787017586295,0.8697773260218608,5.058017024161118,5.0283744760780715,0.8626113101188942
2024-08-13,34.23021470930344,19.714206853154852,15.459666685734987,11.217262551722824,1.437580802013615,6.082792746410388,0.8695021261178804,5.056571897107336,5.069836775165418,0.8623648532692638
2024-08-14,34.22083453470556,19.70880452939172,15.455430242172813,11.214188662699955,1.437186858854451,6.079934422948155,0.8692638547010788,5.055186234538041,5.097042122294529,0.862128537693699
2024-08-15,32.36965399399963,24.052216886139387,14.619366712409027,10.404697051188753,1.36845798476027,5.944832648189674,0.8222409122614457,4.781725270939076,4.821316958947595,0.8154915811651469
2024-08-16,32.36984661138692,24.052360010164627,14.619453705746077,10.404263085370575,1.368466127843965,5.944768847332982,0.8222458050507314,4.781753724855471,4.821345648456483,0.8154964337921707
2024-08-19,32.364010738453715,24.04802367460987,14.616818003600068,10.402387328649858,1.3727265937816109,5.916653982702423,0.8220975645571713,4.780891635285781,4.8610410682348295,0.8153494101246747
2024-08-20,31.6701225519416,23.620642196149706,14.303431711058618,10.024989726729913,1.3300635290994978,5.798621324287475,0.8044716963414985,4.67838875782944,4.75681977753458,3.0124487290276765
2024-08-22,31.666183992167486,23.6177046858499,14.30165290768719,9.842932999267013,1.3401522517217412,5.830952264087381,0.7999616506400652,4.677806944047728,4.910578209652017,3.012074094879474
2024-08-23,31.63827903011037,23.596892226941122,14.289049965638922,9.834259182682633,1.3389712790556219,5.869875034241012,0.8433178442277508,4.673684754101618,4.906250896368776,3.0094197866321766
2024-08-26,31.602076020860554,23.569890805443265,14.272699309916314,9.823006049229424,1.3814498425010378,5.8719604051398,0.8423528535692495,4.668336756120361,4.962251785591921,3.0059761716280757
2024-08-27,31.60903170204418,23.575078586330424,14.27584076005282,9.825168112832403,1.4169702277224057,5.816026306947164,0.8425382571449412,4.6693642665317645,4.96334398729888,3.0066377930950208
2024-08-28,31.599294605460358,23.56781633232245,14.27144311694859,9.822141490195913,1.4473385253490656,5.8142346921195225,0.8422787149842474,4.6679258785647795,4.9618150394893235,3.0057116045657457
2024-08-29,31.59213860573059,23.562479147128567,14.268211195338838,9.816165106776337,1.4734088882374614,5.812917996212062,0.8420879719207686,4.666868776602769,4.960691383169615,3.0050309288829937
2024-08-30,31.389752955844617,23.562479147128567,14.268211195338838,9.816165106776337,1.4998070164834576,5.786519867966066,0.8420879719207686,4.666868776602769,4.960691383169615,3.207416578768966
2024-09-03,31.399530252145265,23.5698184001811,14.272655465057472,9.818882008978266,1.4694667679332614,5.788322256133258,0.8423502659128322,4.668322415275532,4.962236541858106,3.2084156265249115
2024-09-04,31.425808548042617,23.589544002990856,14.284600263611457,9.82709944040928,1.4618870826139436,5.735904866177163,0.84305522962914,4.6722293386208085,4.948770475375759,3.211100752528978
2024-09-05,31.43510194154545,23.59652001809122,14.28882457532893,9.829953566902146,1.4006347788022564,5.77284947036043,0.8402203110270732,4.673611033087409,4.950233949937203,3.2120503549178836
2024-09-09,31.439998836623108,23.600195835110714,14.291050458828797,9.811500333148839,1.4008529667873522,5.778155483559369,0.8403511988070098,4.674339078534992,4.951005087129879,3.2125507214699445
2024-09-10,31.44018393731576,23.60033477953684,14.29113459634268,9.81155809763913,1.4008612142066923,5.777600759344096,0.8403561463132034,4.67436659836429,4.951034235810059,3.2125696351272515
2024-09-11,31.433327245698763,23.59518785616121,14.28801788738896,9.800606734441782,1.4003354149777416,5.807181309290002,0.8401728756632859,4.673347180337547,4.94995448020151,3.2118690158392047
2024-09-12,31.481873467443368,23.631628708025772,14.310084570919795,9.815742975796157,1.384847719543196,5.6793594309849995,0.8414704544530508,4.680564785611493,4.95759840047135,3.21682948675082
2024-09-13,31.469421714722223,23.622281894616638,14.304424627121342,9.80744978533076,1.3842999827200357,5.6771131231430525,0.8851006234160842,4.678713522364215,4.955637564518012,3.215557162047637
2024-09-16,31.476433032287787,23.627544886783696,14.307611621295008,9.805223026057035,1.3826230748660746,5.662495356761731,0.8852978218776416,4.679755929390343,4.956741669608332,3.216273581072356
2024-09-19,31.488936198256905,23.636930293156112,14.313294934983672,9.76939557810904,1.3831722846752057,5.664744630660471,0.8856494826133953,4.6816148364977686,4.958710601847179,3.217551159200253
2024-09-20,31.4750444045079,23.626502523909647,14.306980420582374,9.765085669779046,1.3825620784752544,5.6843037615095575,0.8852587657003528,4.679549475276563,4.978581209687621,3.2161316905716824
2024-09-23,31.459823359818408,23.615076962561705,14.300061695208877,9.74272532599304,1.381893484051303,5.70346661777873,0.8848306626272857,4.677286487787983,5.020259005582801,3.2145763985898705
2024-09-24,31.45983861928812,23.615088416966508,14.300068631400345,9.742730051665541,1.3818941543335719,5.70342352530459,0.8848284461042081,4.67728875648831,5.020261440640664,3.214577957808136
2024-09-25,31.461356316862883,23.61622766509972,14.300758500784083,9.738790339980563,1.3819608202002338,5.703284157970573,0.8848711323367404,4.6775144000425595,5.020503630014403,3.214733036708237
