date,KINGSWAY FINANCIAL SERVICES GROUP LTD,CITIBANK N.A.,RAFFAELLO SECURITIES (HK) LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,HANG SENG BANK LTD,ZHESHANG INTERNATIONAL FINANCIAL
2024-05-13,0.0,45.19495259073308,0.0,16.13571335220224,10.258514116279002,6.253831118823765,6.6084211262504216,15.548567695711494,0.0
2024-05-17,0.0,44.96691387454277,0.0,16.147337691452286,10.478866486643696,6.252964281968132,6.60750514005237,15.546412525340743,0.0
2024-05-21,0.0,44.70355690272657,0.0,16.147337691452286,10.74222345845989,6.252964281968132,6.60750514005237,15.546412525340743,0.0
2024-05-23,0.0,44.69736144916898,0.0,16.158958808674427,10.740734696688943,6.252097685381858,6.606589407746867,15.544257952338924,0.0
2024-05-24,0.0,44.74338695343601,0.0,16.14538803222406,10.731829360669739,6.246913958915699,6.601111765827731,15.531369928926765,0.0
2024-05-27,0.0,44.74361929835208,0.0,16.14547187252053,10.73188508926254,6.246946398093829,6.600626761040974,15.531450580730041,0.0
2024-05-30,0.0,44.766564736781326,0.0,16.138767399189888,10.727428630018947,6.244352328013086,6.5978858237407625,15.525001082255988,0.0
2024-06-07,0.0,44.76044652951937,0.0,16.150228640527295,10.725962521727364,6.243498917840022,6.596984096453941,15.522879293932004,0.0
2024-06-13,0.0,44.77570927695649,0.0,16.145751145609673,10.722988852205612,6.241819853341761,6.595155146324444,15.518575725562018,0.0
2024-06-24,0.0,44.77571702095844,0.0,16.145753938032847,10.722990706756837,6.241820932870502,6.595138991866774,15.5185784095146,0.0
2024-06-25,0.0,44.77575574100834,0.0,16.145681424607982,10.722999979522589,6.24182633051981,6.595144695049834,15.518591829291442,0.0
2024-06-26,0.0,44.77653015606963,0.0,16.145960670790725,10.723185438205505,6.241934285466417,6.593529219765306,15.518860229702419,0.0
2024-06-27,0.0,44.776692786635884,0.0,16.145656108783545,10.723224385343968,6.241956956479643,6.593553167788675,15.518916594968282,0.0
2024-06-28,0.0,44.77671601967036,0.0,16.17328537088639,10.723229949243986,6.214287424067646,6.593556588949072,15.518924647182544,0.0
2024-07-02,0.0,44.79055240524117,0.0,16.17328537088639,10.723229949243986,6.214287424067646,6.5797202033782645,15.518924647182544,0.0
2024-07-03,0.0,44.81822517638279,0.0,16.214794527598816,10.723229949243986,6.1451054962136045,6.5797202033782645,15.518924647182544,0.0
2024-07-12,0.0,44.835285029380984,0.0,16.182902071278697,10.72731169781569,6.147444602593012,6.582224743863684,15.524831855067934,0.0
2024-07-15,0.0,44.82780340846448,0.0,16.185198377638905,10.728833871896157,6.148316906959546,6.582812651847167,15.527034783193738,0.0
2024-07-16,0.0,44.827958553730234,0.0,16.185254393252265,10.72887100348985,6.1483381857684085,6.582489342801108,15.527088520958133,0.0
2024-07-18,0.0,44.81799267219132,0.0,16.191846732944793,10.729799376870442,6.148870203862828,6.583058928163994,15.528432085966626,0.0
2024-07-24,0.0,44.78698918744819,0.0,16.249822216589724,10.722376885334265,6.144616635325135,6.578505003392412,15.517690071910275,0.0
2024-07-26,0.0,43.85116468842529,2.089500803695836,15.910282050774939,10.498332734139911,6.016224821345988,6.441047088475356,15.193447813142683,0.0
2024-07-29,0.0,43.73268238697264,2.2864990774297076,15.934841733735055,10.46996708792288,5.999969468313648,6.423643900025749,15.152396345600316,0.0
2024-07-30,0.0,43.73268238697264,2.6242389706984977,15.934841733735055,10.46996708792288,5.999969468313648,6.085904006756959,15.152396345600316,0.0
2024-08-05,0.0,41.79274224465564,4.549350572617887,15.978644559273485,10.454431222587548,6.018045509962977,6.076873435380876,15.129912455521582,0.0
