date,YUE XIU SECURITIES CO LTD,QUAM SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,ZHONGTAI INTERNATIONAL SECURITIES LTD,BOCI SECURITIES LTD,CITIBANK N.A.,CMB INTERNATIONAL SECURITIES LTD,CMB WING LUNG BANK LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD
2024-04-16,3.079563669376002,0.0,8.35567470956211,0.41562052285912876,0.0,1.073372803098004,0.0,2.75366327645148,0.0
2024-04-17,3.061832418400783,0.0,8.36631346014724,0.0,0.0,1.053513802005759,0.0,2.9040242847213356,0.0
2024-04-18,3.1242464218335533,0.0,8.29255145609033,0.0,0.0,1.0577693022398116,0.0,0.0,0.0
2024-04-19,3.0717619189469056,0.0,8.289714455934295,0.0,0.0,1.0513860518887328,0.0,2.899768784487283,0.0
2024-04-22,3.052612167893669,0.0,0.0,0.0,0.0,0.9095360440869824,0.0,2.8820375335120643,0.0
2024-04-23,3.037008667035477,0.0,8.286168205739251,0.0,0.0,0.8896770429947373,0.0,0.0,0.0
2024-04-24,3.090202419961133,0.0,0.0,0.36384527001148986,0.0,0.859179291317361,0.0,2.874235783082968,0.0
2024-04-25,0.0,0.0,8.362767209952196,0.0,0.0,0.8449942905371859,0.0,0.0,0.0
2024-04-26,3.258294679206207,0.0,0.0,0.0,0.0,0.8208797892108883,0.0,2.8643062825368455,0.0
2024-04-29,0.0,0.0,0.0,0.0,0.0,0.8059855383917047,0.0,0.0,0.0
2024-04-30,3.1894974254223585,0.0,8.359930209796161,0.0,0.0,0.7988930380016172,0.0,0.0,0.0
2024-05-02,0.0,0.0,0.0,0.0,0.0,0.7967652878845908,0.0,0.0,0.0
2024-05-03,0.0,0.0,0.0,0.0,0.0,0.7960560378455821,0.0,0.0,0.0
2024-05-06,0.0,0.0,0.0,0.0,0.0,0.7903820375335121,0.0,0.0,0.0
2024-05-07,3.205100926280551,0.0,8.347872959133012,0.0,0.0,0.7832895371434245,0.0,0.0,0.0
2024-05-08,0.0,0.0,8.347163709094003,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-09,0.0,0.0,8.311701207143567,0.0,0.0,0.7754877867143283,0.0,0.0,1.7291515951033378
2024-05-10,0.0,0.0,8.256379704100885,0.0,0.0,0.770523036441267,0.0,3.1472970481013376,0.0
2024-05-13,3.1483609231598506,0.0,8.254961204022866,0.0,0.0,0.7719415365192845,0.0,0.0,0.0
2024-05-14,0.0,0.0,8.214533951799368,0.0,0.0,0.7691045363632495,0.0,0.0,0.0
2024-05-17,3.224959927372796,0.0,8.14502744797651,0.40356327219598,0.0,0.7719415365192845,0.0,3.088429294863611,0.0
2024-05-20,3.2696426798303473,3.8278224605302356,8.220917202150446,0.0,0.0,0.7726507865582932,0.0,3.060059293303261,0.0
2024-05-21,3.1277926720285967,3.8271132104912264,8.25283345390584,0.33263826829510473,1.4575088301629857,0.5889550264550265,0.0,3.335957558477666,0.0
2024-05-22,3.0958764202732034,0.0,8.232265202774586,0.0,0.0,0.590373526533044,0.0,3.4721335659673462,0.0
2024-05-23,3.0824006695320367,3.8278224605302356,0.0,0.3411492687632098,0.0,0.6010122771181753,0.0,0.0,0.0
2024-05-24,3.0575769181667307,3.8271132104912264,8.231555952735578,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-27,3.1589996737449817,0.0,0.0,0.0,0.0,0.6038492772742102,0.0,0.0,0.0
2024-05-28,3.1448146729648068,0.0,8.159212448756685,0.3198717675929472,1.4518348298509156,0.6088140275472715,0.0,0.0,0.0
