date,THE HONGKONG AND SHANGHAI BANKING,CMB INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,GUOYUAN SECURITIES BROKERAGE (HONG KONG),STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,TOTAL_CCASS_PCT
2024-05-14,2.4211936027910745,3.4090930314649595,2.5320261999435956,0.655323754578173,1.1736558708007343,1.034513028065765,1.0287231916566588,2.392509819375781,0.5606802871011783,15.20771878577792
2024-05-16,2.4211936027910745,3.4090930314649595,2.534640964773515,0.6437440817599609,1.1930798381087033,1.034513028065765,1.0287231916566588,2.392509819375781,0.5606802871011783,15.218177845097596
2024-05-17,2.4211936027910745,3.4090930314649595,2.5673255251475005,0.6269348792819109,1.1996167501835004,1.034513028065765,1.0287231916566588,2.373832927733503,0.5588125979369506,15.220045534261825
2024-05-20,2.4230612919553027,3.4090930314649595,2.558734154992053,0.5759469650984926,1.2182936418257784,1.034513028065765,1.0287231916566588,2.3551560360912256,0.5589993668533734,15.162520708003607
2024-05-21,2.4632166089861998,3.4090930314649595,2.566204911648964,0.5423285601423926,1.2212819444885428,1.034513028065765,1.0287231916566588,2.3364791444489477,0.5627347451818289,15.16457516608426
2024-05-22,2.4531310874993695,3.4569058740691903,2.568072600813192,0.5255193576643427,1.214184725664477,1.034513028065765,1.0287231916566588,2.3178022528066697,0.5666568924267072,15.165509010666373
2024-05-23,2.458734154992053,3.4569058740691903,2.568072600813192,0.5255193576643427,1.214184725664477,1.034513028065765,1.0287231916566588,2.2991253611643923,0.5720731910029677,15.157851485093039
2024-05-24,2.4699402899774197,3.4569058740691903,2.572368285890916,0.5255193576643427,1.2149318013301682,1.034513028065765,1.0287231916566588,2.2804484695221143,0.5730070355850816,15.156357333761658
2024-05-27,2.4699402899774197,3.4569058740691903,2.5682593697296148,0.5255193576643427,1.2153053391630138,1.034513028065765,1.0287231916566588,2.2617715778798364,0.5825322503226432,15.143470278528484
2024-05-28,2.4774110466343306,3.4569058740691903,2.5682593697296148,0.5255193576643427,1.2263247052319577,1.034513028065765,1.0287231916566588,2.243094686237559,0.5825322503226432,15.143283509612063
