date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,BNP PARIBAS,BANK OF CHINA (HONG KONG) LTD,CITIC SECURITIES BROKERAGE (HK) LTD,UBS SECURITIES HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-07-29,36.10559118000831,20.10161966355328,17.744852367922107,8.2900574273657,3.273362917588354,4.517360869169881,2.9420927321231494,2.6187518477307634,2.3004849179784443,2.1058260765600094
2024-07-30,36.06964329408427,20.077688894471187,17.78533754076995,8.335189321640133,3.2509724149808483,4.516344607882243,2.9422212738840323,2.6188662139932437,2.300585427516778,2.103151010777307
2024-07-31,35.81454244711373,20.121235807246755,17.832995327213098,8.493314622049052,3.258585604767762,4.508713569997958,2.9418666786930094,2.6370925817413564,2.29225064699831,2.0994027141789733
2024-08-01,35.77642002403963,20.143361949401253,17.806633115294538,8.56957372988669,3.2583607010210893,4.501505651488876,2.939093739164659,2.6162763745722994,2.295666773322451,2.093107941808514
2024-08-02,35.565694768492214,20.324150237319497,17.794280396026828,8.570129119547607,3.318861777466559,4.487443728325088,2.938935720930248,2.615941748827647,2.2817234454794866,2.102839057584835
2024-08-05,35.41241826532279,20.483999912187283,17.706925702482472,8.667284637114015,3.363912087054546,4.485780908131026,2.939117092387248,2.5738165237048487,2.278324204934226,2.0884206666815475
2024-08-06,35.479159626359035,20.62851667588714,17.65201174101137,8.559520476974022,3.3746385055233183,4.471846976055324,2.9352867441897557,2.5704622464942593,2.2771953883394582,2.051361619166314
2024-08-07,35.44688639974053,20.707388655710094,17.69301337590641,8.442706214203364,3.371244067082514,4.466490287315411,2.93107228833345,2.569624957993872,2.2782783166515643,2.0932954370627908
2024-08-08,35.33040309156528,20.747924584236817,17.587514991057557,8.45139944457597,3.499604597092988,4.477993909540992,2.9341101511309367,2.567398617998101,2.2925487736315175,2.1111018391698386
2024-08-09,35.28078134962961,20.77160509569475,17.63384647244867,8.549572602371146,3.3675146425635636,4.476872187850018,2.933216612916348,2.5699561164070146,2.30540164020674,2.111233279912135
2024-08-12,33.26277553899683,25.33350423921656,16.41838125323682,8.212118951325351,3.155941104926315,4.221638073605843,2.766078640934724,2.4203680551231495,2.172257354768317,2.036936787866104
2024-08-13,33.24181721654853,25.394164367583414,16.3099022679464,8.338895614147797,3.1501575888927866,4.222509446161414,2.7670085362902723,2.421455655193607,2.150160530391599,2.003928776844173
2024-08-14,33.00952215827101,25.524707013244974,16.327297183577393,8.434074779290137,3.135091328032965,4.22745399970316,2.76944022670683,2.4279703669694688,2.153009705456392,1.9914332387476676
2024-08-15,32.977667386256456,25.57447492104017,16.322951768961236,8.393569205794973,3.1453120197600763,4.226328887555515,2.7687031563941873,2.4246746127274745,2.1524366945203117,2.0138813469895993
2024-08-16,32.976220042064455,25.59247078508352,16.3342833864912,8.37696968383527,3.135487987188401,4.225604763823054,2.7683783931185224,2.424435880085408,2.152686662653264,2.013462415656903
2024-08-19,32.94167951389043,25.67276355986471,16.347880283707475,8.34741412968526,3.1294215132367666,4.213745061897804,2.767069296402861,2.423472045888338,2.149842503819396,2.0067120916069627
2024-08-20,33.019217224938835,25.660016043412316,16.33979124355681,8.321078898640236,3.103320500115923,4.2148272551440416,2.7665809311720375,2.422907381404354,2.1494630740985805,2.0027974475168646
2024-08-21,32.94089901196266,25.648047264065514,16.334332112785773,8.423319645122804,3.109037874866599,4.212848172348849,2.76599483441054,2.4218746159790134,2.148546864439469,1.9950996040187814
2024-08-22,32.93259778463066,25.66632904115543,16.338849507136498,8.4015035519205,3.105688209876061,4.217348503271597,2.7684998117604174,2.422241186980514,2.150492660275244,1.9964497429930808
2024-08-23,32.90570167418334,25.709044829553196,16.304677421757468,8.420294438804952,3.0901550902484853,4.22091849300546,2.770453339300815,2.425092915539592,2.152147209078572,2.001514588528119
2024-08-26,32.95408388007306,25.647634153154385,16.271197451452554,8.46295699879612,3.0841581995941834,4.22134273220725,2.7716320740952,2.4268105209657556,2.1485365301438843,2.0116474595176106
2024-08-27,32.966434755480705,25.63871203980735,16.28528243082362,8.42829006801233,3.0923428515798888,4.2245015917727,2.773555905677788,2.4285407591073955,2.1500278617212842,2.0123117360169376
2024-08-28,33.06140392193344,25.702926201551563,16.235097526087372,8.598604562132413,3.1047385140063657,3.9227974605490274,2.77688271256516,2.426918763599232,2.1530648359585913,2.017565501616831
2024-08-29,32.95879627623404,25.697097842839216,16.20923327787618,8.752318668545591,3.1249289415216834,3.9119417921126507,2.7710749527297702,2.421842941975507,2.146641889222095,2.0061234169432667
2024-08-30,32.87631521288109,25.68877377451601,16.389892616113656,8.64792761856064,3.147167830996594,3.914085881167489,2.7701336781536905,2.4210202940040784,2.1422113498579103,2.002471743748839
2024-09-02,32.92354255385108,25.74569880118089,16.571371147100663,8.402284990148843,3.121997991029965,3.906493346733815,2.7657288545675986,2.424059760795665,2.131459645204705,2.0073629093867815
2024-09-03,32.71716752911544,25.849867351827164,16.765955815716428,8.223073201676582,3.1695389397875453,3.9212243652053678,2.7704635405544757,2.42784392810246,2.1383990173383682,2.01646631067617
2024-09-04,32.65850331380242,25.853230188964886,16.774376028786005,8.29892761987704,3.147447095260446,3.922117645191233,2.7697711349821503,2.420703486979431,2.138595619293677,2.0163278668627136
2024-09-05,32.61637227616369,25.84735157490815,16.900528328983835,8.141970433865405,3.2067932773208385,3.9348723038462277,2.7686188461931374,2.4186062527475247,2.1375689012435797,2.027317804727612
2024-09-09,32.59365262017986,25.949039116518957,16.85560921801395,7.99316230081918,3.2878407738192306,3.9440683016763485,2.7763782356087874,2.425109895797667,2.1436512947124045,2.0314882428536225
2024-09-10,32.54624104695277,26.20077727204698,16.758996121671462,8.032112821619858,3.139256602231401,3.9445071664829348,2.7758813231566712,2.424401062564565,2.1470224687410835,2.0308041145322675
2024-09-11,32.41146663464707,26.312158809742233,16.593167155944474,8.203659571105884,3.1523949602903043,3.9534263857719214,2.7774184534747146,2.4257435624565007,2.1486237166294,2.0219407499375
2024-09-12,32.40271655278959,26.335901924408,16.576522032406828,8.172602520022364,3.177554230678166,3.954345786905304,2.778160952506623,2.429600031882973,2.1513978785358767,2.0211980898642805
2024-09-13,32.40936508871508,26.321898299558445,16.481915097335296,8.222904614472954,3.2189594783592055,3.9713647475327187,2.7811894499980467,2.428012752707668,2.1536514712551833,2.0107390000654015
2024-09-16,32.343498982360494,26.398523056612618,16.61747657891417,8.09966207053661,3.2044344597070085,3.9695624805709047,2.7797988510019844,2.4267987426026227,2.1505111502161083,2.0097336274774835
2024-09-17,32.14740764054481,26.31419707256888,16.83776022340361,8.132945689686695,3.2289140959015463,3.9678886525098767,2.780971836240678,2.429015516115389,2.1514185963911943,2.0094806766373257
2024-09-19,32.163857299208516,26.371314723340728,16.846376016360644,8.133715994652233,3.138676325688492,3.970607473187594,2.782394844838169,2.430028939517994,2.1525194659216114,2.010508917284024
2024-09-20,32.1469187229346,26.46082675857683,16.837504144357307,8.07117248696604,3.138537235437551,3.973195567861007,2.780929541505145,2.429162070266674,2.1523033568794956,2.0094501152153543
2024-09-23,32.1746793313209,26.44562669197556,16.820508246114347,8.017405624159116,3.17293930847313,3.975197864561966,2.780918236081137,2.4343359391552393,2.1733965748114388,2.0049921833471664
