date,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,CHINA SECURITIES DEPOSITORY AND CLEARING,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD
2024-08-16,42.76439956298624,31.014977788593455,4.525291989989663,5.056915055391537,4.365660948052903,2.785856891751309,5.090580508419092,2.28132448660717,1.7224661942292823,0.39252657397935076
2024-08-19,41.27762486535526,29.979458171292915,7.753270238351918,4.893604260430681,4.224133281823103,2.6982963350478593,4.921155170790197,2.2059352950994082,1.663592813873911,0.3829295679347469
2024-08-20,41.23154464736918,29.95033850191186,7.770352488688265,4.934735788373792,4.232579249428617,2.7025149480755486,4.916705910136669,2.2134901023754154,1.6651550057725606,0.3825833578680947
2024-08-21,41.18613255144007,29.918593095759416,7.858797876490684,4.929216922020972,4.227320597823904,2.723820169496488,4.911207207880289,2.1994633470450657,1.6632927443815375,0.3821554876615759
2024-08-22,42.74130581973339,30.94951985583129,4.579903310659945,5.046881890146711,4.3828268235273,2.807283091708049,5.0803025175041645,2.274467785446164,1.7205607417804363,0.41694816366254756
2024-08-23,42.73105647447309,30.95629553584868,4.573348684394486,5.046141891530919,4.388519836297014,2.8148362841346577,5.079557618591809,2.273048181342694,1.720308464712136,0.41688702867451277
2024-08-26,42.82365649655352,30.883368928771816,4.581565234437318,5.0381577935197885,4.381576239931721,2.8109247946731313,5.07152064960604,2.2690902589288986,1.7239121811862446,0.416227422391524
2024-08-27,42.84030183706492,30.826840473887092,4.571217971433884,5.044024922467597,4.392653144906128,2.8182883587412006,5.073877370457565,2.2741226502350163,1.7256173580756842,0.43305591273091487
2024-08-28,42.87076126618151,30.769090579951037,4.549694160427873,5.0514295750771545,4.412577760694547,2.823000660428768,5.075685367610153,2.2696874663330675,1.7253278528544758,0.45274531044141414
2024-08-29,42.87790932935067,30.77323754980713,4.544625266596846,5.052500556806394,4.413185797010745,2.820010256566172,5.076488825346636,2.251955842554254,1.723339601234883,0.4667469747262659
2024-08-30,42.87003962239716,30.773028760500328,4.542125474622674,5.052436574601668,4.4117731100654245,2.818346384619234,5.0764245393671175,2.251927324972092,1.7233177777702562,0.48058043108405263
2024-09-02,42.847611951818664,30.81378703118758,4.539854606724186,5.049910573043474,4.409567412757625,2.816304475228868,5.073886544855526,2.2498973763457224,1.7188398665548852,0.48034016148346853
2024-09-03,42.86194666413996,30.825368103462512,4.5242382781930015,5.05195675971392,4.416147710898376,2.8002611112115146,5.075942446413638,2.248638343300949,1.716822984174186,0.47867759849194674
2024-09-04,42.859637475169336,30.82595359330468,4.524143317504465,5.052052715400676,4.415688911135433,2.8003142987170304,5.076038857678925,2.2487714999193025,1.7168555931089653,0.48054373806118544
2024-09-05,42.861446251659295,30.82614876152795,4.5140418882892215,5.052084701439626,4.424761576116842,2.7992466633805555,5.076070995581231,2.2487857375563265,1.7168664630291672,0.480546961419782
2024-09-09,42.90857506411617,30.84098852271207,4.389773137762919,5.054694755637916,4.456005555175914,2.819063078630411,5.078693441798149,2.253657771899453,1.7177534462815378,0.4807952259854516
2024-09-10,42.9413077586164,30.84583107599369,4.369529411961267,5.055458760113309,4.452153695025005,2.8079042148859696,5.079461073614956,2.25128318208721,1.716202930720338,0.48086789698185356
