date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BRIGHT SMART SECURITIES INTERNATIONAL,FUTU SECURITIES INTERNATIONAL,FIRST SHANGHAI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD
2024-09-25,46.30190696845482,0.0,15.665656745678133,11.121012297273214,12.386383888789878,14.525040099803958
2024-09-26,46.293656450463295,0.0,15.662865288667142,11.119030648610122,12.384176764076978,14.540270848182466
2024-10-02,46.066215735137064,0.0,15.646137415450337,11.05375578497686,12.370950516197937,14.862940548237807
2024-10-09,46.19361740060617,0.0,15.671242645747904,10.857550365484043,12.390800499197718,14.886789088964164
2024-10-10,46.28275985024069,0.0,15.671242645747904,10.768407915849528,12.390800499197718,14.886789088964164
2024-10-15,46.266262698271255,0.0,15.665656745678133,10.800213865621101,12.386383888789878,14.881482801639637
2024-10-21,45.3529000698812,0.0,15.356394129979037,12.6659678546471,12.141858839972047,14.482879105520615
2024-10-22,44.3836553256967,0.0,15.028209950418875,14.532398700632587,11.882373055223114,14.173362968028721
2024-10-23,44.48623696358352,0.0,15.028209950418875,14.429817062745768,11.882373055223114,14.173362968028721
2024-10-28,44.14584046559398,0.0,15.046217048955837,14.720985963711058,11.896610749743239,14.19034577199589
2024-11-01,44.18405747519672,0.0,15.035921997947316,14.71091344509066,11.888470749230242,14.180636332535066
2024-11-06,44.18405747519672,0.0,15.035921997947316,14.762230585015395,11.888470749230242,14.129319192610332
2024-11-11,44.21431016775077,0.0,15.046217048955837,15.080451900034234,11.896610749743239,13.762410133515921
2024-11-18,44.36667804711505,0.0,15.005121201775351,15.039262546944348,11.864117446227382,13.724820757937865
2024-11-19,44.40464005458888,0.0,14.994882292732855,15.029000341180485,11.856021835551006,13.715455475946776
2024-11-21,44.45012787723785,0.0,14.987212276214834,15.004262574595057,11.84995737425405,13.70843989769821
2024-11-22,44.389579431295765,0.0,14.96679720756002,15.120040864975312,11.83381576706964,13.689766729099267
2024-11-27,44.6480561740024,0.0,15.053947593766056,15.242336016441172,11.902723069018666,13.152937146771707
2024-11-28,44.640410958904106,0.0,15.0513698630137,15.256849315068493,11.90068493150685,13.150684931506849
2024-11-29,38.02159323023052,14.808870732419024,12.824627954479137,12.999708199591478,10.140064196089876,11.205135687189962
2024-12-02,38.032691185055455,14.813193228254523,12.828371278458844,12.974314068884999,10.14302393461763,11.208406304728546
2024-12-03,38.06884480746791,14.804550758459744,12.820886814469079,12.966744457409568,10.13710618436406,11.201866977829638
2024-12-10,38.02508751458576,14.862893815635939,12.820886814469079,12.95215869311552,10.13710618436406,11.201866977829638
