date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,FIRST SHANGHAI SECURITIES LTD,GEO SECURITIES LTD,GRANSING SECURITIES CO LTD,TIGER BROKERS (HK) GLOBAL LTD,HANG SENG SECURITIES LTD,VALUABLE CAPITAL LTD,BOCI SECURITIES LTD
2024-07-24,19.980243292351883,13.558357408513663,12.824177497024747,11.398511175414882,0.0,19.232934562551627,7.251358334215665,6.7996882227979265,3.9042364430949164,5.050493064034693
2024-07-26,19.980243292351883,13.558357408513663,12.815965313180788,11.398511175414882,0.0,19.232934562551627,7.259570518059623,6.7996882227979265,3.9042364430949164,5.050493064034693
2024-07-29,19.95558850505194,13.56392688157354,12.821229828003448,11.403193431458252,0.0,19.24083502627898,7.2625525889114515,6.794265826956754,3.9058402169912694,5.052567694774369
2024-07-31,19.93915739059739,13.572142438800816,12.837660942458,11.403193431458252,0.0,19.24083502627898,7.2625525889114515,6.786050269729478,3.9058402169912694,5.052567694774369
2024-08-01,19.97036676992113,13.601258787279836,12.850099328741733,11.40694200685207,0.0,19.24716007208037,7.1745391728975925,6.788281050187184,3.9071241850847342,5.054228626955348
2024-08-02,19.998309263730366,13.59790625425267,12.83871571449477,11.40413034431296,0.0,19.242415897968986,7.172770742496552,6.786607827379328,3.906161129894285,5.05298282547008
2024-08-07,19.99502358858279,13.595672150256705,12.869465873033455,11.402256672536119,0.0,19.23925441432247,7.1633773908151985,6.785492803685038,3.905519356813488,5.043937749954738
2024-08-08,20.050859720022505,13.580763405528993,12.854914893912436,11.39663934946406,0.0,19.229776193404057,7.135215846314315,6.782149929868382,3.903595302249426,5.066085359235825
2024-08-15,20.02948008103885,13.730324244884295,12.824803917582578,11.384487449828798,0.0,19.20927205151228,7.127607776585896,6.774918323889471,3.858422612498893,5.06068354217894
2024-08-19,20.040952916478943,13.735146621915757,12.821648991746137,11.38168684454696,0.0,19.204546534530966,7.125854371694026,6.773251681264979,3.8574734332937908,5.05943860452844
2024-08-21,20.042596421925815,13.736273004896685,12.822700461206878,11.382620226527427,0.0,19.206121448506654,7.126438744129924,6.773807137688513,3.8495890394355228,5.0598535156825815
2024-08-26,20.027848801704103,13.743035184302855,12.82901290133961,11.388223734848545,0.0,19.2155763595211,7.129946992495234,6.695094068902314,3.8843032280633993,5.086958728822837
2024-08-28,20.04096971418993,13.740780384860285,12.826908064180225,11.386355285835295,0.0,19.21242368834745,7.128777192644719,6.693995614727378,3.883665936181661,5.086124119033056
2024-08-29,20.04588424162938,13.73852632517956,12.824803917582578,11.384487449828798,0.0,19.20927205151228,7.135809856881163,6.692897520936815,3.8830288533846895,5.085289783064736
2024-08-30,20.19028767747035,13.57782571177594,12.827960396418456,11.387289433697216,0.0,19.213999894610147,7.13756614359984,6.694544796755713,3.883984555980501,5.08654138969184
2024-09-02,20.195258194406545,13.556549993082653,12.831118429400737,11.390092797170373,0.0,19.218730065542516,7.139323295056357,6.696192883639067,3.8849407291328513,5.087793612568898
2024-09-03,20.34797766916567,13.43676612307798,12.834278017677525,11.392897541267427,0.0,19.223462566029042,7.1410813118895256,6.640384806113363,3.894105512628309,5.089046452151156
2024-09-04,20.270554668386232,13.415344181759176,12.993850305676602,11.38168684454696,0.0,19.204546534530966,7.1340544342621435,6.625650555038865,3.89027368356626,5.084038792232793
2024-09-05,20.28041773789793,13.334436988254145,13.068722512212513,11.382620226527427,0.0,19.206121448506654,7.134639479163446,6.6179931720516105,3.8905927146031285,5.084455720783145
2024-09-09,20.288736865657935,13.323498642291348,13.05767516885615,11.387289433697216,0.0,19.213999894610147,7.129362044584207,6.620707905615024,3.8921886549961338,5.08654138969184
2024-09-10,20.31808894778857,13.31585152278542,13.025582450038305,11.380753615629756,0.0,19.202971878821966,7.125270095088082,6.616907901882718,3.93095165591154,5.083621932053638
2024-09-11,20.4652964569009,13.304942281432744,12.957562307590473,11.371429736660708,0.0,19.18723951243471,7.0866619036106,6.619679558517184,3.9277311558716694,5.079457086981008
2024-09-12,20.46865031596246,13.307122699455423,12.959685796876471,11.373293290054402,0.0,19.19038392313214,7.079629252598705,6.6125703782953185,3.928374833658416,5.080289509966664
2024-09-13,20.476649047820665,13.301672993828362,12.929806399262434,11.368635551350033,0.0,19.1825248279984,7.134064528260719,6.593480993398254,3.9349566942216017,5.078208963859526
2024-09-16,20.426457200374777,13.269068267336145,12.889942599939443,11.340769037648077,0.0,19.135505105311093,7.288159929093721,6.659025047322177,3.9253114272816205,5.065761385692944
2024-09-17,20.416278364861654,13.2571532137365,12.87836798491145,11.330585513965604,0.0,19.118322243305073,7.363247934868138,6.653045528733406,3.921786666152274,5.061212549465903
2024-09-19,20.411279695912576,13.253907366528777,12.875214878502408,11.327811362625612,0.0,19.113641362585867,7.361445136230765,6.675900356360051,3.9208264660177203,5.059973375236225
2024-09-20,20.411279695912576,13.253907366528777,12.88337612588182,11.327811362625612,0.0,19.113641362585867,7.353283888851352,6.675900356360051,3.9208264660177203,5.059973375236225
2024-09-23,20.401453435449298,13.260986352007054,12.882324767489328,11.326886947361452,0.0,19.112081578328905,7.360844399510107,6.675355564079011,3.9205065037834212,5.059560451991426
2024-09-24,20.439099609013248,13.264233667753409,12.885479357574612,11.32966064589073,0.0,19.11676169501159,7.3626469038857625,6.587201830860099,3.9541168660535932,5.060799423956954
2024-09-25,20.61960082295444,13.24909311872881,12.87077114021313,11.316728328296072,0.0,19.09494073837853,7.346089498411211,6.54706977494362,3.949603412675204,5.006103165398983
2024-09-26,20.60112452162767,13.237221199438526,12.86738417502422,11.306587914598344,0.0,19.077830616707004,7.339506996435957,6.622662805885053,3.946064349848508,5.001617420434714
2024-09-27,20.599202465644744,13.230754570199718,12.869240195323103,11.30106443569759,0.0,19.068510740924896,7.368489419529049,6.619427511687421,3.9441366238765325,4.999174037116946
2024-09-30,20.66238630021451,13.224294256013671,12.84668039802543,11.295546350806514,0.0,19.05919996656258,7.364891532766496,6.616195376949349,3.9422107804450235,4.988595038216422
2024-10-02,20.686520959858804,13.218915478186178,12.84145520881351,11.290952061456554,0.0,19.051447930786203,7.370030668357089,6.61350434147275,3.940607346981833,4.986566004087081
2024-10-03,21.05558749335303,12.530604329053263,12.910752723058108,11.323190794565674,0.0,19.1058449862196,7.456337454058376,6.632387691629606,3.9844905244104947,5.000804003651843
2024-10-04,21.690915788265354,12.332015443899461,12.939643727644887,11.305666959861925,0.0,19.076276671467312,7.420362104059232,6.231149297042055,3.9783241041323936,5.0256459036273835
2024-10-07,21.67285988388576,12.322866417100549,13.085193177872387,11.304746155142215,0.0,19.074722979353794,7.452336262215509,6.084038456693973,3.9780000843620753,5.025236583373737
2024-10-08,21.699061081464098,12.36459661669445,13.021096659632365,11.305666959861925,0.0,19.076276671467312,7.444797983655476,6.084534019464596,3.9783241041323936,5.0256459036273835
2024-10-09,21.721026806344156,12.358556772588884,12.957746928365527,11.300144380511878,0.0,19.066958313515002,7.457443985986226,6.09784448199092,3.9926634056848957,5.04761492501251
2024-10-10,21.72492857197431,12.351517741345589,12.787633070578053,11.29370818647953,0.0,19.05609839534226,7.632203370978241,6.0943713484677,4.014799346810324,5.044739968023997
2024-10-14,21.754619926196924,12.331450334775413,12.766857111115312,11.275359394160317,0.0,19.025138113201344,7.709161430157161,6.084469874802649,4.01639999399189,5.036543821598989
2024-10-15,21.744021727652814,12.32544282191478,12.760637481128354,11.269866377140444,0.008119500271715017,19.01586963635657,7.737883758944411,6.081505703514548,4.022562824613054,5.034090168463311
