date,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,CMB WING LUNG BANK LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,UBS SECURITIES HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CMB INTERNATIONAL SECURITIES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD
2024-08-30,106049283.0,95308932.0,0.0,18961400.0,22122932.0,47209720.0,9472000.0,0.0,21630000.0
2024-09-02,106053683.0,95293332.0,0.0,18935800.0,22128132.0,47266120.0,9475200.0,0.0,21659200.0
2024-09-03,106133683.0,95356532.0,40014000.0,18995800.0,22094541.0,47116511.0,9463200.0,0.0,21664000.0
2024-09-04,106079283.0,95352132.0,0.0,19032200.0,0.0,47173711.0,9470400.0,0.0,21666000.0
2024-09-05,106112198.0,95350932.0,0.0,19028200.0,22096141.0,47095711.0,9484800.0,0.0,0.0
2024-09-09,106279186.0,95332932.0,0.0,19019400.0,22098541.0,46906323.0,9503200.0,0.0,21670800.0
2024-09-10,106228330.0,95282532.0,0.0,19038600.0,22101341.0,46963179.0,9502000.0,0.0,21671600.0
2024-09-11,106178226.0,95200132.0,40012000.0,19306200.0,22060044.0,46749879.0,9488000.0,0.0,21693600.0
2024-09-12,106279586.0,95201332.0,40016000.0,19335000.0,22064044.0,46745423.0,9498000.0,0.0,21700000.0
2024-09-13,106289986.0,95184132.0,0.0,19329400.0,22069244.0,46741023.0,9506400.0,0.0,21721600.0
2024-09-16,106296595.0,95182132.0,0.0,19335000.0,22070844.0,46811254.0,9504800.0,0.0,21726000.0
2024-09-17,105654289.0,95092932.0,40016800.0,19325400.0,22075644.0,47428423.0,9492000.0,0.0,21759600.0
2024-09-19,106579528.0,95100532.0,40017200.0,0.0,22078044.0,46480023.0,9502000.0,0.0,21768800.0
2024-09-20,106572728.0,95129732.0,0.0,0.0,22082444.0,46460623.0,9521600.0,0.0,21780000.0
2024-09-23,106606786.0,95154532.0,40016800.0,19193400.0,22055244.0,46268502.0,9558800.0,0.0,21808400.0
2024-09-24,106592543.0,95208932.0,40018000.0,19212600.0,22118529.0,46157117.0,9578800.0,0.0,0.0
2024-09-25,106591353.0,95228132.0,0.0,19139400.0,22086929.0,46105252.0,9621200.0,0.0,21822400.0
2024-09-26,106698053.0,95219332.0,40012400.0,18978200.0,22082529.0,46021652.0,9639600.0,0.0,21860400.0
