date,UBS SECURITIES HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA INTERNATIONAL CAPITAL CORPORATION,DBS BANK LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,SINOMAX SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,PHILLIP SECURITIES (HONG KONG) LTD
2024-05-14,50.17733159522816,24.998610284195777,0.0,1.5534528376019547,0.307745839478247,3.534616543788218,1.9396038744584683,3.1357009087017316,14.13230110412868,0.22063701241876676
2024-05-16,50.19410124219997,25.006460009858532,0.0,1.5539225978370323,0.3078389010469011,3.5362658203928845,1.940190405796896,3.1081506403531614,14.132366650017634,0.22070373249697697
2024-05-17,50.216606849919685,24.999730822280874,0.0,1.553765904382401,0.30780785938437427,3.5359092326782435,1.948047242057177,3.086726667121426,14.130723944860883,0.22068147731493437
2024-05-20,50.21522819777836,25.00903331840516,0.0,1.5529478362645786,0.3080508855962478,3.535368075075751,1.9450653515773444,3.084952274199263,14.128706358258045,0.22064770284525212
2024-05-21,50.222744889155756,24.999205089417813,0.0,1.552760874469959,0.3081588489314739,3.5349424466389667,1.9383764545520128,3.0927762003140726,14.134765559543327,0.21626963697661925
2024-05-22,50.243539422876694,24.99872602495265,0.0,1.5530901454295734,0.3081366835298234,3.536352741211943,1.9390046779690437,3.071427377604924,14.133367006885456,0.2163559195398948
2024-05-23,50.48815679716439,24.996434526228672,0.0,1.552564770418724,0.30810497733059605,3.5351564736512673,1.9450939929500766,2.7903087743658563,14.167969486048957,0.2162102018414564
2024-05-24,35.18437777216469,17.410232583985856,0.0,1.0811821166961353,0.21424602172265722,2.46228845668098,1.3517554938115686,1.868100530436979,9.861884314220763,0.15059358423844404
2024-05-27,50.55896480179031,25.021069945332975,0.0,1.5538180340209948,0.30746749715348626,3.53809056405687,1.944196483181395,2.68473576165611,14.17523173948683,0.21642517332102537
2024-05-28,50.5024941037161,24.98787747521365,0.0,1.5521670554017637,0.3084462427167415,3.5383200775133745,1.9431460571619221,2.7771139136605867,14.1742398595821,0.2161952150337659
2024-05-29,35.151191513008335,17.510707552412224,0.0,1.0811821166961353,0.2149532710280374,2.4646627936347563,1.3532710280373832,1.9292288961859057,9.86905784288962,0.15059358423844404
2024-05-30,50.356454185396004,25.081187627619666,0.0,1.551013899423887,0.4576512837520721,3.5356913431031027,1.9258313878745152,2.668871548176969,14.207264128158942,0.21603459649484194
2024-05-31,35.06610982571357,17.516565092195,10.283708007072494,1.0811821166961353,0.30674412730487494,2.616216216216216,1.3550896691083607,1.8250568325334682,9.915231118969437,0.15059358423844404
2024-06-03,43.76102096702337,21.88975195079447,12.833928183754798,1.349300624803357,0.38174073839754824,3.2650023716155623,1.6918270379683247,2.2748091367234244,12.364680237281974,0.18793875163717444
2024-06-04,43.76520385019988,21.88456191313345,12.83576515340655,1.3494937554071258,0.37706628620384136,3.2654697040007585,1.6994465795595204,2.269018446328634,12.366008659724507,0.1879656520357276
2024-06-05,43.74621498664709,21.91499504900908,12.829826276125308,1.3488693689596192,0.3515556181691784,3.2639588300009703,1.6986602762451946,2.309098350785032,12.348942560343517,0.1878786837150091
2024-06-06,43.74597072771338,21.920986805789468,12.829939481794506,1.3488812708869162,0.33636946746675417,3.268147342331098,1.6926877998415994,2.3076691286890654,12.361467633999792,0.18788034148742627
