date,FULBRIGHT SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,BRIGHT SMART SECURITIES INTERNATIONAL,KGI ASIA LTD
2024-08-15,61.049268370564015,0.0,13.965951868458665,11.85642193099389,6.075271816317122,7.053086013666316,0.0
2024-08-19,61.075088289936005,0.0,13.855964757132936,11.85832278941688,6.156407377171657,7.054216786342524,0.0
2024-08-27,48.519984451188606,20.55683289256291,11.007617236356708,9.420627189735747,4.890845000461064,5.604093229694969,0.0
2024-09-17,48.544716188946055,20.567311177046573,10.962255798223207,9.42542909731677,4.893337975208107,5.606949763259289,0.0
2024-09-20,48.5818611054857,20.583048647920705,10.9578909593231,9.432641144366494,4.833318114970227,5.611240027933773,0.0
2024-10-03,48.349802028534064,20.484730404004196,11.38321492105732,9.387584616119769,4.81023099325749,5.584437037027166,0.0
2024-10-08,48.349802028534064,20.484730404004196,11.510133944626117,9.387584616119769,4.683311969688691,5.584437037027166,0.0
2024-10-18,48.31913893886503,20.47173913829326,11.566253568364289,9.381631078839723,4.680341847602362,5.580895428035337,0.0
2024-10-25,48.38664914611441,20.50034170411567,11.569712053394372,9.394738842603292,4.686881095922357,5.4616771578499,0.0
2024-11-04,48.39279579326298,20.502945901122573,11.558478587410544,9.395932273967883,4.687476479252931,5.46237096498309,0.0
2024-11-18,48.35593931713594,20.56349171643529,11.549675525236957,9.388776230431443,4.683906446521371,5.458210764238997,0.0
2024-12-10,46.753577961913415,19.88208329132425,11.166956173936073,9.07766217873637,4.528696749690524,5.277343095845326,3.313680548554042
2024-12-17,46.83980693810721,19.91875239263255,11.187551714214592,9.094404373666205,4.35261626357526,5.287076252365429,3.3197920654387576
2024-12-18,46.92635457119912,19.955557003633697,11.023449688807254,9.111208438934055,4.360658752645882,5.29684537750771,3.3259261672722826
2025-02-03,46.89746984487765,19.943273696994826,11.078217704099554,9.105600188205413,4.357974622676647,5.293584993646775,3.323878949499138
2025-02-13,46.9040063136079,19.94081885003144,11.076854069948823,9.092170219014815,4.369747340593309,5.292933398465135,3.3234698083385736
2025-02-18,46.916315461046196,19.94081885003144,11.027617480195659,9.092170219014815,4.4066747829081825,5.292933398465135,3.3234698083385736
2025-03-03,46.922848805842726,19.938364607335142,11.026260241565595,9.091051188120378,4.406132425571593,5.292281963675376,3.3230607678891895
2025-03-04,46.92938054263704,19.935910968682837,11.024903336982304,9.089932432644463,4.405590201721269,5.291630689218284,3.322651828113806
2025-03-06,46.912061381913574,19.91625209841827,11.070040931650043,9.086577817711428,4.403964330595269,5.289677827251301,3.3214256124601187
2025-03-07,46.94821527568557,19.921153330188687,11.072765180973958,9.088813952485404,5.254065764046059,4.392743507645066,3.3222429889752596
2025-03-10,47.125710933072426,19.60024988159981,11.457795413479852,9.111235982012916,5.267027501222857,4.107541353412673,3.3304389351994645
2025-03-13,47.244982559998626,19.616951838221418,11.474780326890313,9.124742380812348,5.274835286473896,3.928331665336531,3.3353759422668663
2025-03-18,47.1699305533592,19.543677931531654,11.552200208149417,9.10786562753486,5.376052730692619,3.9210659824776437,3.329206966254603
2025-03-26,47.38611770696774,19.63324965770327,11.146830137521315,9.149608397184233,5.400692019406074,3.9390368398420446,3.344465241375321
2025-04-03,47.37438126463654,19.628386957116433,11.144069326224349,9.147342251390844,5.399354393250955,3.962828912477766,3.3436368949031148
2025-04-10,47.41089152357052,18.865261343017085,11.357407578644946,9.149608397184233,5.908555259763067,3.9638106564448243,3.344465241375321
2025-04-24,47.38741218239678,18.843537907670253,11.413686908427277,9.145077227863005,5.905629160288247,3.9618476547007107,3.342808958653724
