date,ZHONGTAI INTERNATIONAL SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,PHILLIP SECURITIES (HONG KONG) LTD,HANG SENG SECURITIES LTD,TOTAL_CCASS_PCT
2024-05-02,52.61482006944408,8.824917728506739,3.630479654806415,0.5579193979380124,0.664839003888228,0.44935969576881846,0.26774917461824427,0.0,0.0,67.01008472497053
2024-05-06,52.574817722639736,8.824917728506739,3.630479654806415,0.5579193979380124,0.664839003888228,0.44935969576881846,0.27334950317085266,0.0,0.0,66.9756827067188
2024-05-07,52.561483607038284,8.824917728506739,3.630479654806415,0.5579193979380124,0.6635055923280833,0.44935969576881846,0.27334950317085266,0.0,0.0,66.96101517955721
2024-05-08,52.52148126023394,8.824917728506739,3.630479654806415,0.5579193979380124,0.6635055923280833,0.44935969576881846,0.27334950317085266,0.0,0.0,66.92101283275285
2024-05-09,52.50814714463249,8.824917728506739,3.630479654806415,0.5580527390940269,0.6635055923280833,0.4480262842086736,0.27334950317085266,0.0,0.0,66.90647864674727
2024-05-10,51.34781240499443,8.824917728506739,3.630479654806415,0.5589861271861283,0.6635055923280833,0.4480262842086736,0.26774917461824427,0.0,0.0,65.74147696664872
2024-05-13,51.33447828939298,8.824917728506739,3.630479654806415,0.5589861271861283,0.6635055923280833,0.4480262842086736,0.26774917461824427,0.0,0.0,65.72814285104727
2024-05-14,51.32114417379153,8.824917728506739,3.630479654806415,0.5589861271861283,0.6635055923280833,0.4480262842086736,0.26774917461824427,0.0,0.0,65.71480873544581
2024-05-16,52.27573350969924,8.824917728506739,3.630479654806415,0.5589861271861283,0.6635055923280833,0.4480262842086736,0.26774917461824427,0.0,0.0,66.66939807135351
2024-05-17,52.26879976958648,8.824917728506739,3.630479654806415,0.5589861271861283,0.6635055923280833,0.4480262842086736,0.2676158334622298,0.0,0.0,66.66233099008475
2024-05-20,52.25959922982148,8.824917728506739,3.630479654806415,0.5589861271861283,0.6635055923280833,0.4480262842086736,0.26774917461824427,0.0,0.0,66.65326379147577
2024-05-21,52.24813189040424,8.824917728506739,3.62914624324627,0.5589861271861283,0.6635055923280833,0.4480262842086736,0.2672158099941863,0.0,0.0,66.63992967587433
2024-05-22,52.24146483260351,8.824917728506739,3.62914624324627,0.5589861271861283,0.6625722042359818,0.4480262842086736,0.2682825392423022,0.0,0.0,66.63339595922962
2024-05-23,52.234531092490755,8.824917728506739,3.6284795374661982,0.5589861271861283,0.6589719930235908,0.4480262842086736,0.2682825392423022,0.0,0.17787710212332455,66.80007240424771
2024-05-27,52.23186426937046,8.824917728506739,3.6284795374661982,0.5589861271861283,0.6589719930235908,0.4480262842086736,0.2682825392423022,0.0,0.17787710212332455,66.79740558112742
2024-05-28,52.21853015376902,8.824917728506739,3.6284795374661982,0.5589861271861283,0.6589719930235908,0.4480262842086736,0.2682825392423022,0.0,0.17787710212332455,66.78407146552597
2024-05-29,52.21186309596829,8.824917728506739,3.6284795374661982,0.5589861271861283,0.6589719930235908,0.4480262842086736,0.2682825392423022,0.0,0.17787710212332455,66.77740440772524
2024-05-30,52.210529684408144,8.824917728506739,3.6284795374661982,0.5589861271861283,0.6589719930235908,0.4480262842086736,0.2682825392423022,0.0,0.17787710212332455,66.7760709961651
2024-05-31,52.209196272848004,8.824917728506739,3.6284795374661982,0.5589861271861283,0.6589719930235908,0.4480262842086736,0.2682825392423022,0.0,0.17787710212332455,66.77473758460496
2024-06-03,52.20799620244387,8.824917728506739,3.6284795374661982,0.5589861271861283,0.6589719930235908,0.4480262842086736,0.26814919808628773,0.0,0.17787710212332455,66.77340417304481
2024-06-14,53.35499682648048,8.824917728506739,3.6284795374661982,0.5589861271861283,0.6589719930235908,0.4480262842086736,0.26814919808628773,0.0,0.17787710212332455,67.92040479708142
2024-06-28,53.339795934694834,8.824784387350725,3.6284795374661982,0.5587194448740993,0.6589719930235908,0.4480262842086736,0.2702826565825195,0.0,0.17787710212332455,67.90693734032396
2024-07-02,53.339795934694834,8.824784387350725,3.6284795374661982,0.5587194448740993,0.6589719930235908,0.4480262842086736,0.26961595080244705,0.0,0.17787710212332455,67.9062706345439
2024-07-03,53.339795934694834,8.824784387350725,3.6284795374661982,0.5587194448740993,0.6589719930235908,0.4480262842086736,0.26894924502237466,0.0,0.17787710212332455,67.90560392876382
2024-07-05,53.321261514008825,8.824784387350725,3.6284795374661982,0.5573860333139544,0.6589719930235908,0.4480262842086736,0.26814919808628773,0.0,0.17787710212332455,67.88493604958158
2024-07-08,53.30979417459157,8.824784387350725,3.6284795374661982,0.5573860333139544,0.6589719930235908,0.4480262842086736,0.26814919808628773,0.0,0.17787710212332455,67.87346871016433
2024-07-09,53.29832683517432,8.824784387350725,3.6284795374661982,0.5573860333139544,0.6589719930235908,0.4480262842086736,0.2688159038663602,0.0,0.17787710212332455,67.86266807652716
2024-07-10,53.290859730437525,8.824784387350725,3.6284795374661982,0.5573860333139544,0.6589719930235908,0.4480262842086736,0.2682825392423022,0.0,0.17787710212332455,67.85466760716629
2024-07-15,53.28485937841687,8.824784387350725,3.6284795374661982,0.5573860333139544,0.6589719930235908,0.4480262842086736,0.26814919808628773,0.0,0.17787710212332455,67.84853391398961
2024-07-22,53.28405933148078,8.824784387350725,3.6284795374661982,0.5573860333139544,0.6589719930235908,0.4480262842086736,0.26814919808628773,0.0,0.17787710212332455,67.84773386705353
2024-07-23,53.280992484892444,8.824784387350725,3.6284795374661982,0.5573860333139544,0.6589719930235908,0.4480262842086736,0.2672158099941863,0.0,0.17787710212332455,67.8437336323731
2024-07-24,53.28045912026839,8.824784387350725,3.6284795374661982,0.5573860333139544,0.6589719930235908,0.4480262842086736,0.2672158099941863,0.0,0.17787710212332455,67.84320026774904
2024-08-01,53.28045912026839,8.824784387350725,3.6284795374661982,0.5573860333139544,0.6589719930235908,0.44789294305265903,0.2673491511502008,0.0,0.17787710212332455,67.84320026774904
2024-08-14,53.28045912026839,8.824784387350725,3.6284795374661982,0.5573860333139544,0.6589719930235908,0.44789294305265903,0.2672158099941863,0.0,0.17787710212332455,67.84306692659302
2024-08-19,53.277792297148096,8.824784387350725,3.6284795374661982,0.5573860333139544,0.6576385814634459,0.4433593437481666,0.2672158099941863,0.0,0.17787710212332455,67.8345330926081
2024-08-20,53.277792297148096,8.824784387350725,3.6284795374661982,0.5573860333139544,0.6576385814634459,0.44055917947186235,0.2672158099941863,0.0,0.17787710212332455,67.8317329283318
2024-08-21,53.277792297148096,8.824784387350725,3.6284795374661982,0.5573860333139544,0.6576385814634459,0.4398924736917899,0.2672158099941863,0.0,0.17787710212332455,67.83106622255173
2024-08-22,53.277792297148096,8.824784387350725,3.6284795374661982,0.5573860333139544,0.6576385814634459,0.4346921686072249,0.2672158099941863,0.0,0.17787710212332455,67.82586591746715
2024-08-23,53.277792297148096,8.824784387350725,2.2077295201318474,0.5573860333139544,0.6572385579954024,0.4346921686072249,0.2672158099941863,0.0,0.17787710212332455,66.40471587666477
2024-08-27,53.27325869784361,8.824784387350725,2.2077295201318474,0.5573860333139544,0.6572385579954024,0.4346921686072249,0.2672158099941863,0.0,0.17787710212332455,66.40018227736027
2024-08-29,53.27325869784361,8.824784387350725,2.2077295201318474,0.556719327533882,0.6572385579954024,0.4346921686072249,0.2672158099941863,0.0,0.17787710212332455,66.39951557158021
2024-09-03,53.26659164004288,8.824784387350725,2.2077295201318474,0.556719327533882,0.6572385579954024,0.4346921686072249,0.2672158099941863,0.0,0.17787710212332455,66.39284851377948
2024-09-05,53.25992458224216,8.824784387350725,2.2077295201318474,0.5560526217538095,0.6572385579954024,0.4346921686072249,0.2672158099941863,0.0,0.17787710212332455,66.38551475019868
2024-09-09,53.25325752444143,8.824784387350725,2.2077295201318474,0.5560526217538095,0.6572385579954024,0.4346921686072249,0.2672158099941863,0.0,0.17787710212332455,66.37884769239795
2024-09-13,53.25285750097339,8.824784387350725,2.2077295201318474,0.5560526217538095,0.6572385579954024,0.4346921686072249,0.2672158099941863,0.0,0.17787710212332455,66.37844766892991
2024-09-25,53.25285750097339,8.824784387350725,2.2077295201318474,0.5556525982857661,0.6572385579954024,0.4346921686072249,0.2672158099941863,0.0,0.17787710212332455,66.37804764546186
2024-09-26,53.25285750097339,8.824784387350725,2.207996202443877,0.5556525982857661,0.6572385579954024,0.4346921686072249,0.2662824219020849,0.0,0.17787710212332455,66.3773809396818
2024-09-27,53.25005733669709,8.82345097579058,2.207996202443877,0.5556525982857661,0.6572385579954024,0.4346921686072249,0.26588239843404143,0.0,0.17787710212332455,66.3728473403773
2024-09-30,54.017511135518546,8.950616866472519,2.239818423078016,0.5596029222197725,0.666710852548556,0.440957066201723,0.2697143653261662,0.0,0.180440713592975,67.32537234495828
2024-10-02,53.99654538543841,8.950616866472519,2.239818423078016,0.5636608093320583,0.6695513735271561,0.440957066201723,0.2710669943635948,0.0,0.180440713592975,67.31265763200645
2024-10-03,53.9927580241336,8.950616866472519,2.239818423078016,0.5636608093320583,0.6695513735271561,0.440957066201723,0.2710669943635948,0.0,0.180440713592975,67.30887027070165
2024-10-04,53.9740917434171,8.950616866472519,2.239818423078016,0.5636608093320583,0.6629234912437559,0.44068654039423727,0.2918974815399952,0.0,0.180440713592975,67.30413606907065
2024-10-07,53.9740917434171,8.950616866472519,2.239818423078016,0.5596029222197725,0.6629234912437559,0.44068654039423727,0.2918974815399952,0.0,0.19072069427743232,67.31035816264283
2024-10-08,53.9731449030909,8.950616866472519,2.239818423078016,0.5596029222197725,0.6621119138212987,0.44068654039423727,0.29284432186619525,0.0,0.19072069427743232,67.30954658522036
2024-10-09,53.9731449030909,8.948452660012633,2.239818423078016,0.5596029222197725,0.661976650917556,0.44068654039423727,0.29893115253462393,0.0,0.19072069427743232,67.31333394652516
2024-10-10,53.96462334015509,8.948317397108891,2.239818423078016,0.5596029222197725,0.661976650917556,0.44055127749049444,0.2960906315560239,0.0,0.19072069427743232,67.30170133680328
2024-10-14,53.95677809173801,8.948317397108891,2.239818423078016,0.5596029222197725,0.661976650917556,0.44055127749049444,0.2962258944597667,0.0,0.19072069427743232,67.29399135128993
2024-10-15,53.95258494172198,8.948317397108891,2.239818423078016,0.5596029222197725,0.661976650917556,0.44055127749049444,0.2955495799410524,0.0,0.19072069427743232,67.28912188675518
