date,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,KGI ASIA LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,THE HONGKONG AND SHANGHAI BANKING,DBS BANK LTD,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CHINA MERCHANTS BANK CO LTD
2024-05-10,0.0,40.34050126857166,28.60820702785169,10.091936147597593,6.489161574520981,0.7380864152107539,5.327229105455817,5.15595269083608,0.0,3.248925769955427
2024-05-13,0.0,40.30602601775943,28.60860800819595,10.11590525732236,6.4892525283594935,0.7380967604289839,5.3205759638974985,5.16835927536239,0.0,3.253176188673892
2024-05-14,0.0,40.49763631254304,28.530309836718693,10.082628130007967,6.471492258196081,0.7290877277366357,5.285606467912795,5.134645051893707,0.0,3.268594214991083
2024-05-16,0.0,40.42638033739533,28.58488931999058,10.009485867021379,6.483872449840399,0.808908533203986,5.265748069333427,5.169676176366333,0.0,3.2510392468485687
2024-05-17,0.0,40.431249876420345,28.572925528606792,10.038704226623258,6.484653461389398,0.8809985371320427,5.197751305718618,5.142286214986616,0.0,3.251430849122931
2024-05-20,0.0,40.42705973753925,28.56996434074913,10.04942795697867,6.483981416901977,0.9699782991373945,5.110942542408328,5.13755182292177,0.0,3.251093883363482
2024-05-21,0.0,40.40159785055617,28.405011652891854,10.038339935652228,6.479897657085918,1.2028217302042503,5.074972764394475,5.148312139147445,0.0,3.2490462700676597
2024-05-22,0.0,40.39334377238515,28.399208486702758,10.032091133576383,6.478573808905466,1.2467945189284138,5.093526429741219,5.108079362397623,0.0,3.248382487362986
2024-05-23,0.0,40.401824037160274,28.38165715816117,10.014602693056792,6.479933934513643,1.470434703788508,4.954354430297506,5.055126654429214,0.0,3.2420663885928986
2024-05-24,0.0,40.473199087230824,28.431797028056288,9.950973748808318,6.491381576298439,1.5341634024765114,4.917959742758738,4.970958624694044,0.0,3.2295667896768383
2024-05-27,0.0,40.40985530273512,28.387298998140515,9.93539968125541,6.48122204641393,1.688550268345173,4.910542722020558,4.9626187210111405,0.0,3.2245122600781557
2024-05-28,0.0,40.540764113823485,28.380942155495177,9.51582037385377,6.479770689287588,2.1909009108408117,4.740094036562962,4.955909112870394,0.0,3.1957986072658167
2024-05-29,0.0,40.518432734420344,28.41809047526416,9.490717988250887,6.488252176345929,2.501518453232858,4.687158890018272,4.702854692077772,0.0,3.1929745903897717
2024-05-30,0.0,40.38738773531777,28.394533369424853,9.407517273967745,6.482873755745736,2.9438839224328985,4.640985955342275,4.579094940610762,0.0,3.1637230471579585
