date,CMB WING LUNG BANK LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA INTERNATIONAL CAPITAL CORPORATION,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,VALUABLE CAPITAL LTD,TOTAL_CCASS_PCT
2024-08-01,64.76534968838081,12.566680543328381,6.567031148407519,2.860038801848493,3.828884803284925,1.2502786786218727,0.6363423946303609,0.9823931021420922,0.46375395770235095,0.49457447376041297,94.41532759210722
2024-08-02,64.76453432773165,12.61999429713466,6.597898372982769,2.850906762577928,3.8426294542278665,1.2184796133047289,0.6361094344448873,0.9811118211219876,0.4565321919526699,0.49422503348220265,94.46242130896135
2024-08-05,64.76767929023555,12.675555301370109,6.597898372982769,2.8696600575085514,3.776468761553369,1.2018229600433679,0.6382060761141496,0.9811118211219876,0.4595606743638265,0.49445799366767623,94.46242130896135
2024-08-06,64.77024185227576,12.675904741648319,6.590560127140351,2.7978781520386695,3.798716459266096,1.2087669207718716,0.6477574437185665,0.9811118211219876,0.46596707946434995,0.49457447376041297,94.43147907120638
2024-08-07,64.7738527351506,12.51259965163134,6.581824120185091,2.785839934454322,3.779963164335473,1.3295434982093517,0.6535814483554059,0.9751713363924112,0.4551344308398285,0.4937591131112555,94.34126943266507
2024-08-08,64.7732703346869,12.627449023069815,6.585900923430879,2.7659602770269345,3.7822927661902086,1.2232078897091934,0.6529990478917219,0.9751713363924112,0.45991011464203685,0.49422503348220265,94.34038674652231
2024-08-09,64.77152313329586,12.782716986687955,6.585900923430879,2.723625936762026,3.797085737967781,1.2313969061489607,0.6513683265934069,0.9751713363924112,0.4597936345493001,0.49422503348220265,94.47280795531078
2024-08-12,64.7675628101428,12.915247570283505,6.581824120185091,3.1927386776108255,3.811762229652617,1.31001141737869,0.6472915233476193,0.9751713363924112,0.4608419553839312,0.4943415135749395,95.15679315395244
2024-08-13,64.7675628101428,13.09589258578584,6.581824120185091,3.1897800832553114,3.707629026745926,1.2429188839622987,0.634595193239309,0.9745889359287272,0.4618902762185623,0.49504039413136014,95.15172230959523
2024-08-14,64.76698040967912,13.113112769735864,6.581824120185091,3.1852373596385766,3.7122882304553975,1.1684764566942158,0.6344787131465722,0.9745889359287272,0.45338722944877663,0.49504039413136014,95.0854146190437
2024-08-15,64.76173880550597,13.150829023764036,6.566681708129309,3.1769817165857632,3.7297602443659166,1.1539047970928433,0.6317996710136261,0.9745889359287272,0.45117410768677757,0.4949239140386234,95.09238292411159
2024-08-16,64.76115640504229,13.209302030317904,6.566681708129309,3.1741928337253666,3.7078946013573657,1.124056190928577,0.6337798325901516,0.9745889359287272,0.44406882202983333,0.49480743394588655,95.0905287939954
2024-08-19,64.76103992494954,13.172494321013078,6.566681708129309,3.3855140464508633,3.734452062501354,0.8611226491114083,0.6368083150013081,0.9745889359287272,0.4340515340544694,0.4949239140386234,95.02167741117869
2024-08-20,64.71328308692746,13.344651898078055,6.569011309984045,3.4146066968132676,3.6504699156381277,0.8216251815051044,0.6088530927444783,0.9606113248003123,0.39916574627980056,0.4930602325548348,94.9753384853255
2024-08-21,64.71584564896767,13.360959111061204,6.568545389613098,3.3776757515703264,3.6411515082191848,0.8211592611341573,0.621782383038262,0.9606113248003123,0.4066204722149551,0.4932931927403083,94.96764404335948
2024-08-22,64.71666100961683,13.438068932452962,6.568778349798571,3.352298117285669,3.6145940470751965,0.7344048880637957,0.6248108654494187,0.9606113248003123,0.41232799675905796,0.49364263301851874,94.91619816432033
2024-08-23,64.71572916887493,13.53940661313397,6.573670513693516,3.3492737116777582,3.578368738234055,0.7299786445397977,0.6238790247075243,0.9606113248003123,0.4182684814886342,0.4937591131112555,94.98294533426176
2024-08-26,64.71200180590736,13.561867818856681,6.573204593322569,3.3223668102555592,3.5732436141536357,0.750362660768736,0.6264415867477338,0.9547873201634728,0.41442463842832017,0.4937591131112555,94.98245996171532
2024-08-27,64.71223476609283,13.563382060062262,6.573204593322569,3.2674094058606724,3.570230157674442,0.8743468670000016,0.6270239872114176,0.9547873201634728,0.415589439355688,0.4938755932039923,95.05208418994735
2024-08-28,64.71223476609283,13.534960917434486,6.566332267851098,3.1807275998880855,3.61169707068874,0.9427086839869459,0.6274899075823648,0.9547873201634728,0.4208310435288436,0.4937591131112555,95.04552869032811
