date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA INTERNATIONAL CAPITAL CORPORATION,DBS BANK LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,EVERBRIGHT SECURITIES INVESTMENT,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,TOTAL_CCASS_PCT
2025-03-20,88.07506863638578,5.362003315706628,4.777740429659374,0.31784412304741566,0.4204613149779213,0.005014710062000991,0.0032939762171967286,0.00766955656541328,0.024680239716906832,0.04336003469786052,99.0371363370365
2025-03-21,88.07506863638578,5.362003315706628,4.777740429659374,0.39621125872221546,0.45319950547092575,0.007718720389550544,0.0032939762171967286,0.0095869457067666,0.021140444379023782,0.05078377214258748,99.15674700478006
2025-03-24,88.07506863638578,5.362003315706628,4.777740429659374,0.5253154609066724,0.4633272532432023,0.02271368675141625,0.0013274232517061445,0.014749147241179383,0.026302645913436565,0.04729314062884169,99.31584113968825
2025-03-25,88.07506863638578,5.362003315706628,4.777740429659374,0.7606626870517581,0.5615074100453197,0.07954706745409414,0.0013274232517061445,0.021140444379023782,0.025122714134142216,0.04616237267368461,99.71028250074151
2025-03-26,88.07506863638578,5.362003315706628,4.777740429659374,0.7724128410205643,0.6324016444512552,0.09105140230221406,0.0013274232517061445,0.027187594747907332,0.025319369430691272,0.04621153649782187,99.81072419345395
2025-03-27,88.07506863638578,5.362003315706628,4.777740429659374,0.7484208948415791,0.6407594945545902,0.09670524207799949,0.0013274232517061445,0.03161233892026115,0.03175983039267294,0.044785785597841195,99.81018339138843
2025-03-28,88.07506863638578,5.362003315706628,4.777740429659374,0.681312274894213,0.6134293247166849,0.17050014210803366,0.0013274232517061445,0.04203506963736124,0.03266936113921233,0.0334068185012713,99.78949279600027
2025-03-31,88.07506863638578,5.362003315706628,4.777740429659374,0.6830821725631545,0.6124952120580768,0.17939879427687858,0.0013274232517061445,0.04346082053734192,0.03615999265295812,0.033505146149545834,99.80424194324145
2025-04-01,88.07506863638578,5.362003315706628,4.777740429659374,0.6721186397805444,0.6140192906063321,0.17831719014585876,0.0013274232517061445,0.05570261274752081,0.03478586376832157,0.0350783885219383,99.80616179057401
2025-04-02,88.07506863638578,5.362003315706628,4.777740429659374,0.6611059431737972,0.6191323283166076,0.1814636748906437,0.0013274232517061445,0.05535846597855995,0.040538031192381536,0.03345598232540857,99.8071942308809
2025-04-03,88.07506863638578,5.362003315706628,4.777740429659374,0.5798873056990361,0.6210005536338237,0.28008630610999646,0.0013274232517061445,0.057423346592325064,0.041649133617883714,0.03380012909436942,99.82998657975092
2025-04-07,88.07506863638578,5.362003315706628,4.777740429659374,0.5897692343506263,0.6210988812820981,0.2697619030411709,0.0013274232517061445,0.05732501894405054,0.03987923594894219,0.0334068185012713,99.82738089707165
2025-04-08,88.07506863638578,5.362003315706628,4.777740429659374,0.5781665718542318,0.6157670645544118,0.28805084562023336,0.0013274232517061445,0.058701606019893944,0.03953508917998134,0.03168608465646704,99.82804706688871
2025-04-09,88.07506863638578,5.362003315706628,4.777740429659374,0.5586485336717377,0.6121240251858405,0.2861826203030173,0.0013274232517061445,0.057030035999226944,0.038207665928275195,0.03429176733574207,99.80262445342734
2025-04-10,88.07506863638578,5.362003315706628,4.777740429659374,0.5502906835684028,0.624965616050494,0.2795455040444866,0.0013274232517061445,0.05762000188887413,0.039830072124804924,0.0359141735322718,99.80430585621282
2025-04-11,88.07506863638578,5.362003315706628,4.777740429659374,0.5395729699064791,0.6244248139849841,0.25693014494134486,0.0013274232517061445,0.059439063381952914,0.04479561836266865,0.03601250118054633,99.77731491676145
2025-04-14,88.07506863638578,5.362003315706628,4.777740429659374,0.5363773213375569,0.6326917110136652,0.2557502131620505,0.0013274232517061445,0.05968488250263923,0.041649133617883714,0.05704478514646813,99.79933785178375
2025-04-15,88.07506863638578,5.362003315706628,4.777740429659374,0.5271345223997512,0.6363789978239599,0.2618956911792086,0.0024581912068632303,0.05983237397505103,0.040174218893765774,0.05704478514646813,99.79973116237684
2025-04-16,88.07506863638578,5.362003315706628,4.777740429659374,0.5295927136066144,0.6328465770596975,0.2626331485412675,0.0024581912068632303,0.06061899516124727,0.03919094241102048,0.05635649160854642,99.79850944134704
2025-04-17,88.07506863638578,5.362003315706628,4.777740429659374,0.5271836862238883,0.6297984199631871,0.261404052937836,0.0024581912068632303,0.06037317604056094,0.037617700038628014,0.05635649160854642,99.7900040997713
2025-04-22,88.07506863638578,5.362003315706628,4.777740429659374,0.6072223919193552,0.6032991187532015,0.2520137625276184,0.0013274232517061445,0.05644007010957977,0.047302973393669144,0.03468507792884018,99.81710319963575
2025-04-23,88.07506863638578,5.362003315706628,4.777740429659374,0.5987170503436084,0.6038890846428486,0.24955557132075515,0.0013274232517061445,0.056685889230266094,0.049712000776395114,0.0342426035116048,99.80894200482896
2025-04-24,88.07506863638578,5.362003315706628,4.777740429659374,0.612187938157219,0.5369795781832384,0.2469990524656174,0.043903294954577295,0.056931708350952424,0.04961367312812058,0.033308490852996774,99.79473611784451
2025-04-25,88.07506863638578,5.362003315706628,4.777740429659374,0.6120896105089444,0.5383561652590818,0.30348828639933445,0.0013274232517061445,0.0575216742405996,0.04646718838333565,0.033505146149545834,99.80756787594433
2025-04-28,88.07506863638578,5.362003315706628,4.777740429659374,0.6159735526157883,0.5341772402074143,0.3026033375648637,0.0013274232517061445,0.06081565045779633,0.05138357079706211,0.03271852496334959,99.81381168160976
2025-04-29,88.07506863638578,5.362003315706628,4.777740429659374,0.6161702079123373,0.5345213869763751,0.2893782688719395,0.0013274232517061445,0.06155310781985529,0.054579219365984304,0.03217772289783969,99.80451971884781
2025-04-30,88.07506863638578,5.362003315706628,4.777740429659374,0.5539288065545603,0.5364043614408325,0.2676970224274058,0.09331293821252823,0.056685889230266094,0.04813875840400264,0.0400390183773883,99.81101917639876
2025-05-02,88.07506863638578,5.362003315706628,4.777740429659374,0.5867210772541159,0.5299860241997124,0.24272179976567537,0.09331293821252823,0.0565383977578543,0.04966283695225785,0.03915406954291754,99.81290952543685
