date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,CITIC SECURITIES BROKERAGE (HK) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,UBS SECURITIES HONG KONG LTD,BOCI SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CHINA GALAXY INTERNATIONAL SECURITIES,BANK OF CHINA (HONG KONG) LTD
2024-07-26,3738465620.0,2110768347.0,862278825.0,491648600.0,676339707.0,476336471.0,184033696.0,732000.0,125170946.0
2024-07-29,3737667265.0,2106862075.0,862299171.0,479688600.0,675457084.0,476461922.0,184209696.0,742000.0,125714335.0
2024-07-30,3720262565.0,2106322299.0,862273207.0,483466600.0,692261487.0,476346675.0,187094696.0,752000.0,119163434.0
2024-07-31,3716402057.0,2044903891.0,862266798.0,483210600.0,692407632.0,476749456.0,187811094.0,742000.0,119188226.0
2024-08-01,3719079932.0,2039009650.0,862189067.0,484016600.0,693724909.0,476796259.0,187917094.0,0.0,119398597.0
2024-08-02,3734772340.0,2128230670.0,862100737.0,485290600.0,694456846.0,476891867.0,188727727.0,0.0,118941203.0
2024-08-05,3737096828.0,2128992573.0,862065244.0,487153270.0,694456438.0,477013117.0,188661727.0,0.0,118901203.0
2024-08-06,3742075966.0,2147059346.0,861952032.0,483191270.0,682391147.0,477236588.0,193128604.0,0.0,119297732.0
2024-08-07,3750060647.0,2113132385.0,861769343.0,484120944.0,686791806.0,477083224.0,193159104.0,0.0,119114232.0
2024-08-08,3755200165.0,2116911571.0,861723216.0,485346944.0,687886557.0,476722628.0,192605104.0,0.0,119201996.0
2024-08-09,3762521201.0,2115185481.0,861576843.0,488148944.0,682259971.0,476732919.0,191953104.0,0.0,119555590.0
2024-08-12,4260171529.0,2115698973.0,861567910.0,487799452.0,681549971.0,476542779.0,193435104.0,0.0,119507583.0
2024-08-13,4259179560.0,2118538353.0,861511408.0,488147452.0,680147971.0,476524329.0,194065104.0,0.0,119633675.0
2024-08-14,4272633873.0,2115726934.0,861453307.0,488255981.0,674791583.0,476403530.0,193849104.0,0.0,119013177.0
2024-08-15,4266587464.0,2118101350.0,861537855.0,489755981.0,675664995.0,476431821.0,194235104.0,0.0,119135289.0
2024-08-16,4278073967.0,2116619300.0,861279512.0,490149981.0,678946575.0,476410922.0,194246304.0,0.0,118817289.0
2024-08-19,4285520493.0,2106821588.0,861232313.0,493553981.0,676245900.0,476461293.0,195032304.0,774000.0,118497159.0
2024-08-20,4279009373.0,2101277985.0,861204365.0,498295981.0,682582588.0,476935902.0,195313304.0,788000.0,121499376.0
2024-08-21,4273658392.0,2087479511.0,871371796.0,498329981.0,686090588.0,476827310.0,193694194.0,798000.0,121818376.0
2024-08-22,4268485772.0,2098146531.0,872132927.0,494757981.0,686986256.0,477160310.0,193898304.0,776000.0,122715184.0
2024-08-23,4276746613.0,2086867395.0,872056288.0,489925927.0,689330618.0,477383339.0,194967334.0,0.0,123491109.0
2024-08-26,4272743242.0,2098219111.0,872045126.0,492351927.0,689970618.0,477248363.0,196714936.0,0.0,123133109.0
2024-08-27,4275110803.0,2099460798.0,872010734.0,479059927.0,688106418.0,477578321.0,196847936.0,0.0,123933151.0
2024-08-28,4270862969.0,2097523405.0,871990587.0,479683927.0,688338581.0,477592947.0,196787936.0,0.0,124220287.0
2024-08-29,4272043016.0,2090784913.0,863022591.0,479149927.0,688424126.0,477470427.0,205413936.0,0.0,124098479.0
2024-08-30,4262586565.0,2100403523.0,862983860.0,479211927.0,687978624.0,477560023.0,205197429.0,0.0,123940193.0
2024-09-02,4309188780.0,2105561209.0,862976337.0,479437927.0,689643540.0,477579956.0,205677429.0,0.0,123814193.0
2024-09-03,4309428398.0,2092644240.0,862955326.0,480833927.0,689987476.0,477559524.0,203606429.0,772000.0,123284193.0
2024-09-04,4322663085.0,2095831354.0,862814434.0,479123927.0,682003395.0,477447131.0,203848708.0,0.0,123888195.0
2024-09-05,4336891258.0,2094777183.0,871033083.0,481525927.0,674648395.0,477562973.0,203174708.0,0.0,107212582.0
2024-09-09,4319612191.0,2085072040.0,878264074.0,478227927.0,675826395.0,476976869.0,203494708.0,0.0,111229776.0
2024-09-10,4312663886.0,2104372347.0,877772016.0,479333927.0,675399259.0,476978663.0,203664708.0,0.0,115399776.0
2024-09-11,4296729246.0,2087151609.0,877106497.0,481273927.0,675351259.0,476966018.0,218782708.0,0.0,120086065.0
2024-09-12,4285465764.0,2099932168.0,876910918.0,476721927.0,675641035.0,477156025.0,219336108.0,0.0,124399178.0
2024-09-13,4290580055.0,2096679429.0,876778452.0,474331927.0,674147303.0,477103622.0,219401108.0,0.0,132344668.0
2024-09-16,4294320153.0,2094380460.0,876675186.0,477057927.0,673909303.0,485845705.0,219434108.0,0.0,132185754.0
2024-09-17,4285867502.0,2093401028.0,1176618802.0,476765927.0,674460303.0,494623394.0,219275713.0,0.0,132057754.0
2024-09-19,4272990285.0,2087729003.0,1176268364.0,0.0,674274366.0,503484131.0,219223212.0,0.0,131825721.0
2024-09-20,4268383871.0,2080036495.0,1176059680.0,0.0,675628366.0,512345391.0,217506212.0,0.0,131768721.0
2024-09-23,4266721562.0,2069153120.0,1045846303.0,471107927.0,674698684.0,521382472.0,218047212.0,130772000.0,131849725.0
2024-09-24,4249808406.0,2072298952.0,1044531168.0,465632787.0,674169084.0,530463293.0,211274712.0,0.0,132307078.0
2024-09-25,4254121940.0,2066925437.0,1044139135.0,469686787.0,674517731.0,539178529.0,211072229.0,130762000.0,132672163.0
2024-09-26,4250571814.0,2090357582.0,1043610704.0,470678787.0,676240891.0,538592939.0,208637229.0,130752000.0,131706272.0
2024-09-27,4232509787.0,2077460959.0,1043516838.0,469658787.0,672063714.0,538665550.0,208820229.0,0.0,131052571.0
2024-09-30,4243421166.0,2091047613.0,1043300388.0,470006787.0,672104032.0,537975599.0,208736229.0,130790000.0,130646513.0
2024-10-02,4240954861.0,2101034586.0,1042854309.0,464898787.0,671851490.0,537099907.0,209733480.0,130780000.0,127903179.0
2024-10-03,4231754946.0,2119708815.0,1041614126.0,469700787.0,668681636.0,536948153.0,211109045.0,130742000.0,124994601.0
2024-10-04,4234989874.0,2119736888.0,1040730530.0,0.0,669719934.0,533976450.0,210152420.0,130788000.0,124045608.0
2024-10-07,4235800201.0,2114062220.0,1040084432.0,0.0,671908962.0,533844483.0,211489537.0,130790000.0,120914857.0
2024-10-08,4237150084.0,2113892636.0,1039526566.0,0.0,671802020.0,533125456.0,209436357.0,130828000.0,120262357.0
2024-10-09,4255218841.0,2098297733.0,1038286976.0,0.0,676135062.0,532844269.0,211398297.0,0.0,117540580.0
2024-10-10,4258454058.0,2107117446.0,1037612662.0,471866787.0,670915062.0,533021957.0,207742797.0,130814000.0,119024004.0
2024-10-14,4252550863.0,2110854768.0,1037555826.0,476306787.0,670674173.0,532922039.0,207414786.0,130754000.0,119130004.0
2024-10-15,4265234286.0,2104330672.0,1037188905.0,476938787.0,669029971.0,532661201.0,207723386.0,0.0,119016004.0
2024-10-16,4271140308.0,2107706895.0,1035602419.0,477816787.0,668641971.0,531473591.0,207985386.0,130750000.0,118721990.0
2024-10-17,4277498159.0,2102777389.0,1035567879.0,479648787.0,668793527.0,530583314.0,208071800.0,130776000.0,118408470.0
2024-10-18,4292256671.0,2095250838.0,1034634278.0,479044787.0,673551977.0,530487173.0,208885790.0,0.0,118216034.0
2024-10-21,4281839912.0,2107749540.0,1034474412.0,476834870.0,674984977.0,530362334.0,210412790.0,0.0,118092034.0
2024-10-22,4282716345.0,2099914843.0,1034172565.0,478596670.0,684372705.0,528243306.0,210292790.0,130774000.0,115669630.0
2024-10-23,4286851879.0,2109068150.0,1033062227.0,484426670.0,682330212.0,527571459.0,213928204.0,130812000.0,116015801.0
2024-10-24,4291032165.0,2113247720.0,1033349164.0,487500670.0,680910712.0,527418466.0,213043604.0,130822000.0,117418777.0
2024-10-25,4292893019.0,2122268181.0,1033255694.0,481864670.0,678375269.0,527093543.0,212086644.0,130838000.0,117552797.0
2024-10-28,4298706389.0,2128115178.0,1033116507.0,478477781.0,678116756.0,527310928.0,212026644.0,130848000.0,118795797.0
2024-10-29,4299564410.0,2134797898.0,1032007018.0,475967781.0,677728756.0,527172492.0,212943644.0,130444000.0,118711797.0
2024-10-30,4290809242.0,2140814621.0,1031995279.0,471771781.0,677984948.0,527098534.0,216025604.0,0.0,118657797.0
2024-10-31,4290621746.0,2147653768.0,1031957025.0,466478573.0,676224968.0,527151470.0,213199604.0,130428000.0,119451795.0
2024-11-01,4285939392.0,2142710025.0,1031955311.0,463428573.0,675430208.0,527488561.0,215273604.0,0.0,119619795.0
2024-11-04,4278039918.0,2156265517.0,1031951528.0,462816573.0,680243740.0,527495987.0,209332604.0,0.0,120067173.0
2024-11-05,4282033822.0,2157460044.0,1031916462.0,463752573.0,680367759.0,527488055.0,209358604.0,130426000.0,120543173.0
2024-11-06,4276752029.0,2150567280.0,1031658696.0,464237267.0,686861495.0,527550852.0,209010242.0,0.0,120911173.0
2024-11-07,4289201974.0,2144298538.0,1031899336.0,463303267.0,675062498.0,527614307.0,210090242.0,0.0,121132476.0
2024-11-08,4285986502.0,2140386195.0,1032230995.0,464528212.0,678574053.0,527960440.0,208066958.0,130396000.0,122966147.0
2024-11-11,4275265123.0,2134855653.0,1032457916.0,463092212.0,677588321.0,528396834.0,206582958.0,130400000.0,126452147.0
2024-11-12,4269794389.0,2135716258.0,1032455996.0,465994376.0,677270321.0,528384834.0,206670958.0,0.0,126394147.0
2024-11-13,4256756547.0,2127674349.0,1032234809.0,467684376.0,676878321.0,528340258.0,219724958.0,0.0,126294147.0
2024-11-14,4243935842.0,2115197825.0,1032126129.0,467457893.0,676899422.0,528826915.0,211324957.0,130410000.0,133886796.0
2024-11-15,4249459421.0,2122924002.0,1032108102.0,467343893.0,676973888.0,528860060.0,214390325.0,0.0,133978806.0
2024-11-18,4275073465.0,2121363030.0,1032026855.0,475235893.0,677544085.0,528978159.0,215544325.0,0.0,142962806.0
2024-11-19,4230985670.0,2117036558.0,1032037464.0,481125266.0,680708316.0,529357659.0,218706957.0,0.0,151963306.0
2024-11-20,4190828961.0,2122815406.0,1032095981.0,477435457.0,683313316.0,529805986.0,217882957.0,0.0,160802572.0
2024-11-21,4178079596.0,2143313455.0,1032126773.0,478927457.0,679567047.0,529893583.0,221828957.0,0.0,166205645.0
2024-11-22,4159395820.0,2154950549.0,1031860892.0,481659457.0,682687752.0,530045583.0,220452957.0,130416000.0,171345645.0
2024-11-25,4071944337.0,2118599671.0,1031803686.0,486159457.0,685885620.0,530021283.0,221834957.0,130410000.0,174340279.0
2024-11-26,4057503908.0,2115766097.0,1031935193.0,490945457.0,690171754.0,530306583.0,223092957.0,0.0,178577773.0
2024-11-27,4057129106.0,2090740398.0,1031765693.0,492821457.0,694522163.0,530357643.0,187614335.0,0.0,182303462.0
2024-11-28,4062305983.0,2096563930.0,1031768674.0,492431806.0,689351773.0,530396188.0,187872335.0,0.0,186525526.0
2024-11-29,4134963040.0,2176743331.0,1031720524.0,496282380.0,689315589.0,530360034.0,188322957.0,0.0,190297965.0
2024-12-02,4153808256.0,2179659226.0,1031716539.0,504112853.0,679631470.0,530485667.0,189198957.0,0.0,175085667.0
2024-12-03,4147348040.0,2199751879.0,1031597859.0,503612853.0,682825202.0,530388482.0,183958957.0,0.0,175324994.0
2024-12-04,4156288834.0,2191973296.0,1031386643.0,505508853.0,684311455.0,530765329.0,184118937.0,0.0,175318572.0
2024-12-05,4149750499.0,2194494134.0,1047378783.0,512312853.0,686163676.0,530577779.0,184082927.0,0.0,165891948.0
2024-12-06,4134883913.0,2187534376.0,1047139904.0,516841416.0,687363676.0,532582745.0,197718927.0,0.0,165988522.0
2024-12-09,4126098848.0,2190063222.0,1046181565.0,516177416.0,694585776.0,534753931.0,200486927.0,0.0,168160522.0
2024-12-10,4128111822.0,2195515586.0,1045648944.0,516640030.0,694114085.0,536934602.0,200490927.0,0.0,170647022.0
2024-12-11,4121110874.0,2201430368.0,1045367253.0,505687773.0,691327767.0,538785450.0,200590927.0,0.0,173163022.0
2024-12-12,4130310443.0,2210259048.0,1044931885.0,502019773.0,690693390.0,538450922.0,204808677.0,130414000.0,171429313.0
2024-12-13,4125785785.0,2216394307.0,1044723499.0,492969773.0,691899639.0,538478344.0,204696677.0,0.0,174867636.0
2024-12-16,4130485907.0,2204069457.0,1044918266.0,493544030.0,690401611.0,538338984.0,210577677.0,0.0,174632288.0
2024-12-17,4145857469.0,2208820740.0,1044272724.0,490872030.0,687283079.0,538816799.0,206385677.0,0.0,178196634.0
2024-12-18,4142923388.0,2197260099.0,1044062948.0,495183518.0,691306876.0,538845534.0,207281673.0,0.0,180438586.0
2024-12-19,4140800019.0,2191786567.0,1047152077.0,494697518.0,689118538.0,538844983.0,207175673.0,0.0,183224586.0
2024-12-20,4145672487.0,2192594415.0,1046508266.0,499343518.0,686057460.0,540080250.0,204989673.0,0.0,184712586.0
2024-12-23,4133214851.0,2190899359.0,1046429274.0,504947518.0,686786249.0,542567267.0,208274673.0,130424000.0,187101586.0
2024-12-27,4146540498.0,2176338351.0,1044973041.0,512745518.0,687353638.0,542668599.0,203815673.0,130224000.0,189009586.0
2024-12-30,4140230728.0,2168789919.0,1044794958.0,517493518.0,689761638.0,542964845.0,203143873.0,0.0,185898878.0
2025-01-02,4120378123.0,2152344888.0,1044024276.0,609057865.0,686959517.0,537052778.0,201781830.0,130214000.0,154193260.0
2025-01-03,4106739370.0,2153751210.0,1042272531.0,618006768.0,687755087.0,536375977.0,201014630.0,130204000.0,154915518.0
2025-01-06,4106192920.0,2156585854.0,1042027993.0,619910768.0,687355324.0,536473275.0,202729610.0,0.0,158997518.0
2025-01-07,4110255869.0,2147559978.0,1041614002.0,619266768.0,688368983.0,536816848.0,207957610.0,0.0,159206524.0
2025-01-08,4108887615.0,2137958842.0,1041524077.0,631835384.0,687406985.0,536056985.0,210635610.0,0.0,159508896.0
2025-01-09,4119241762.0,2122709061.0,1041538535.0,634003384.0,682175318.0,536180321.0,210068610.0,130206000.0,162698896.0
2025-01-10,4116742732.0,2125148340.0,1041594200.0,626829384.0,687333032.0,536359232.0,211982610.0,0.0,166041503.0
2025-01-13,4117611608.0,2123213736.0,1041389250.0,635433384.0,688530619.0,536199798.0,212108610.0,130200000.0,165945503.0
2025-01-14,4109255317.0,2118449138.0,1041107620.0,634939384.0,693359707.0,536645798.0,212386653.0,130198000.0,170961015.0
2025-01-15,4107834565.0,2117164910.0,1041008308.0,636659868.0,692225097.0,536623050.0,211544653.0,0.0,172948928.0
2025-01-16,4111152139.0,2102644007.0,1040589465.0,641216355.0,672868057.0,536751050.0,211334653.0,0.0,175200908.0
2025-01-17,4116289127.0,2112985195.0,1040389361.0,640366355.0,673045079.0,538263050.0,211347252.0,0.0,176478908.0
2025-01-20,4103749186.0,2112444763.0,1040353137.0,640950355.0,678964851.0,540034409.0,211266652.0,0.0,176891047.0
2025-01-21,4098530369.0,2116665070.0,1040692011.0,638148355.0,673638851.0,541761270.0,211354652.0,0.0,179864738.0
2025-01-22,4101279423.0,2116582942.0,1040180727.0,636226577.0,670282851.0,541573835.0,211058651.0,0.0,180091438.0
2025-01-23,4105192816.0,2118907881.0,1040135602.0,630987166.0,672559891.0,541638905.0,211097651.0,0.0,180333438.0
2025-01-24,4111960481.0,2110405117.0,1039797733.0,608170945.0,671926486.0,542932131.0,214433650.0,0.0,185591438.0
