date,CHEER UNION SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,CHINA MERCHANTS SECURITIES (HK) CO LTD,CITIBANK N.A.,BOCI SECURITIES LTD,VALUABLE CAPITAL LTD,CMB WING LUNG BANK LTD
2024-05-17,0.0,24.62241126757912,25.325299762097437,14.805475938838091,9.881275109323647,4.703287678829611,5.094975949153062,9.340933991070214,6.226340303108815
2024-05-20,0.0,24.567960125955093,25.379783584108605,14.85090971147311,9.87509935382543,4.708160591328531,5.138666295981655,9.335095946504547,6.144324390823034
2024-05-21,56.19327353556886,10.80324663580103,11.119922537219287,6.523178448273462,4.308119574120484,2.0539863017932816,2.241799101091163,4.0759454755399345,2.680528390592491
2024-05-22,56.13439452610166,10.791927052140483,11.224030742399579,6.512172746716657,4.3036055496255425,2.0484294518829578,2.239450156062837,4.0682700276935435,2.677719747376735
2024-05-23,56.06624735915422,10.816231819441402,11.268214300663395,6.533851846766881,4.29838097156886,2.0425420972682065,2.2367314630949324,4.063331147010764,2.674468995031342
2024-05-24,55.990088278893715,10.77097582866926,11.25290782167222,6.643834370406915,4.292542151301348,2.0397675558132593,2.2336931393432495,4.057811612932303,2.7183792409677316
2024-05-27,55.98438468789965,10.769878612311471,11.295904255286096,6.595619238155945,4.292104879178578,2.0395597690385117,2.2334655977825077,4.060793847952175,2.728289112395068
2024-05-28,55.93121303609336,10.800358275048731,11.295342468467322,6.633455810352369,4.288028415582095,2.034230308925215,2.2313443445839836,4.056937074000936,2.7290902669459856
2024-05-29,55.87529587058655,10.781088181541918,11.290827921161908,6.731882373550156,4.283741464135908,2.0321965895279663,2.229113560657694,4.049492176728077,2.7263618621098273
2024-05-30,55.841231812149886,10.835479987052508,11.283944531712024,6.727778319495704,4.281129905355085,2.0309576723589045,2.2277545941697476,4.047023426701833,2.7246997510043127
2024-05-31,55.8506898836876,10.83731523927631,11.25536836191068,6.742467779327327,4.281855018888456,2.0313016644653086,2.2281319186240327,4.0477088886059205,2.7251612452143705
2024-06-03,55.848798013076006,10.836948139098094,11.248212356787418,6.75240150276015,4.281709976531949,2.0312328567221942,2.2280564435080694,4.047571777649788,2.7250689338663387
2024-06-04,55.76945501992311,11.217311831845114,11.161198550464965,6.652494192906225,4.275627058054972,1.9742261811399233,2.231656218560165,4.057719523636836,2.660311423468692
2024-06-05,55.76002443959535,11.327020582878127,11.189749087294546,6.614167396415045,4.325633866493536,1.9366904768741207,2.0959993420004883,4.05703336577674,2.693681442672046
2024-06-06,55.703905531794895,11.427113926797379,11.154123336764972,6.634539329768763,4.321280391928703,1.9313627375789348,2.090511268494482,4.046193052748408,2.6909704241234644
2024-06-07,55.74708615965969,11.44873605310869,10.88483087062576,6.934185071864171,4.3246301678325985,1.8956666622203848,2.085369388046403,4.04391966146991,2.635575965172393
2024-06-11,55.749913686192265,11.514915403000566,10.946923969644928,6.873672039180255,4.324849515737314,1.8633016175632777,2.085475159265692,4.005238966207677,2.6357096432080267
2024-06-12,55.28443959110644,11.418773642900785,10.848818269702514,6.812928381728145,4.28873994566602,1.8474089943378336,2.9133899970772337,3.971797928183977,2.6137032492970516
2024-06-13,55.25886945429575,11.463766105715859,10.8431301603718,6.809777268827467,4.28675631938768,1.8465545314712495,2.9120424971051047,3.9666093025058657,2.6124943603192237
2024-06-14,55.30038657620343,11.51128673749752,10.84456860761208,6.707562092908597,4.289977047326165,1.8479418857611465,2.914230374355338,3.9695894974247734,2.614457180910952
2024-06-17,55.32450995595861,11.543148795801615,10.849299273399419,6.640025098340506,4.29184844012938,1.8487480031616876,2.915501632846774,3.9713211293508293,2.615597671011177
