date,QUAM SECURITIES LTD,HANG SENG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,LONG BRIDGE HK LTD,FUTU SECURITIES INTERNATIONAL,HUATAI FINANCIAL HOLDINGS (HONG KONG),TOYO SECURITIES ASIA LTD,BANK OF CHINA (HONG KONG) LTD
2025-03-18,50.77927063339731,21.61996161228407,16.7447216890595,3.547024952015355,3.247600767754319,2.3416506717850285,0.0,1.7197696737044146
2025-03-24,50.783169533169534,21.62162162162162,16.74600737100737,3.5472972972972974,3.247850122850123,2.341830466830467,0.0,1.7122235872235874
2025-03-25,50.93569503273008,21.686561417019636,16.79630342703119,3.557951482479784,2.9572583750481325,2.3488640739314595,0.0,1.7173661917597227
2025-03-26,50.90433310243978,21.673208650811976,16.785961671669362,3.55576079427384,2.9554375432925424,2.4089894558608482,0.0,1.7163087816516587
2025-03-27,50.90041557641989,21.67154071109743,16.7923657072495,3.555487147914422,2.93212251808527,2.4318916422964443,0.0,1.7161766969370478
2025-03-28,50.8964986533282,21.66987302808773,16.798768757214315,3.5552135436706425,2.9318968834166985,2.431704501731435,0.0,1.7160446325509813
2025-04-01,50.93569503273008,21.686561417019636,16.819407008086255,3.557951482479784,2.934154793993069,2.3488640739314595,0.0,1.7173661917597227
2025-04-22,50.77537233225856,21.618301857822818,16.766467065868262,3.5467526485490555,2.9249193919852603,2.656226009519423,0.0,1.711960693996622
2025-04-23,50.943541554340285,21.68990217977355,16.821997997381192,3.558499576369098,2.9114996533928985,2.35692829084187,0.0,1.7176307479011013
2025-04-24,49.65465465465466,21.14114114114114,16.396396396396394,3.4684684684684686,2.8453453453453452,2.6126126126126126,2.2072072072072073,1.6741741741741742
2025-04-25,49.65465465465466,21.14114114114114,16.396396396396394,3.4684684684684686,3.0330330330330333,2.6126126126126126,2.0195195195195197,1.6741741741741742
2025-04-28,49.815470362280635,21.209610604805302,16.449499133840476,3.47970173985087,3.042856066882579,2.2972056940573924,2.026060103939143,1.6795962943436018
2025-04-30,49.718108697286326,21.168157558445465,16.41734947004435,3.4729008494324587,3.0369089679019767,2.4956776666917238,2.0145831767270543,1.6763136134706456
2025-05-02,49.755510419017526,21.184081847588956,16.429699842022117,3.4755134281200633,3.039193560520575,2.422327540810953,2.0160986985631535,1.6775746633566537
