date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,MORGAN STANLEY HONG KONG SECURITIES LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,BNP PARIBAS,BANK OF CHINA (HONG KONG) LTD,CITIC SECURITIES BROKERAGE (HK) LTD
2024-06-06,30.001943868501,11.543749867384339,14.763236784908637,4.837572178548344,0.674684992277414,3.7879281585725453,0.7320259461157625,0.2688416374226039,18.026640942659046
2024-06-07,30.047041111013638,11.650837133398847,14.76914328857073,4.838109608467894,0.6747800005130444,3.751765648885664,0.7448009118257067,0.26713148918125385,18.026482595599663
2024-06-11,30.073738425225827,11.562061913066831,14.769111619158853,4.796902478163148,0.6765851569900251,3.8038987262879234,0.7282488937082696,0.2664981009437168,0.0
2024-06-12,30.06443791069289,11.525033403312177,0.0,0.0,0.6767118346375325,3.788734778493049,0.7343013933591144,0.2678915550662983,0.0
2024-06-13,30.014115215220574,11.421215845726893,14.770005171614958,4.795920726394966,0.6752233722793205,3.915795467537111,0.7276191474530983,0.26814491036131316,0.0
2024-06-14,30.08255281428645,11.416350157286134,14.795911700612582,4.795915817636125,0.6781369581719909,3.9442816284791617,0.7174735346642298,0.26839826565632796,18.026640942659046
2024-06-17,30.118402588531048,11.402883056579622,14.79359207453966,4.811755432333393,0.6842491546642235,3.986245499380705,0.7164811736430686,0.2691900009532493,18.026957636777816
2024-06-18,30.21230239474592,11.30945971666644,14.7718046275978,4.8275844377776815,0.7063227347423899,3.9978528138747493,0.7168981014504274,0.2720085786102892,0.0
2024-06-19,30.222879978312783,11.722294410887184,14.777623723683114,6.346695027680649,0.7224107959758311,2.289219795535943,0.7300409073793214,0.2736870574397624,0.0
2024-06-20,30.09905257787429,12.295325658145801,14.76902547835855,6.372283912477146,0.7157918888935689,1.9722371684252165,0.7879845301256863,0.2756505609761273,18.026799289718433
2024-06-21,30.055697153014883,12.23339707330297,14.785875188947628,6.37336067248096,0.7227591595064766,2.12158093070701,0.7218964847269511,0.27622061038991064,0.0
2024-06-24,29.912234717212737,12.306152796678258,14.784367249901113,6.3436682236405195,0.766589625544041,2.1590353940514078,0.7350392906558451,0.27761406451249215,0.0
2024-06-25,29.77288930495458,12.465810177978929,14.767517539312033,6.350382138958412,0.7807775220648709,2.1669533804088585,0.7987581473520731,0.2785324774569209,0.0
2024-06-26,29.678039416383413,12.515735580679252,14.773739153622302,6.3436682236405195,0.7184521194912246,2.2718336051096695,0.7478402252835283,0.27881750216381257,18.027749372074737
2024-06-27,29.70585181058778,12.532911486210663,14.782451408829623,4.821699627662725,0.714905145361017,3.717304736698926,0.7591937094413801,0.2777090727481227,18.027432677955968
2024-06-28,29.77318098023797,12.393529970822971,14.779379475877565,0.0,0.7406840466287753,3.755214764533172,0.7330632777017888,0.2786591551044283,0.0
2024-07-02,29.862900424085097,12.410189031552552,14.783825861305077,0.0,0.7488864243048802,3.700450592392184,0.7150750517557364,0.2800842786388867,18.019008614396725
2024-07-03,29.899478594802858,12.342242150023704,14.779379475877565,0.0,0.7845778514900934,3.7356113985814003,0.7173283304107744,0.27998927040325616,0.0
2024-07-04,29.847533950401267,12.375108824016563,0.0,4.8326889135839926,0.7887898832697148,3.719283124858873,0.7090687894462319,0.28103436099519225,0.0
2024-07-05,29.75398250771704,12.415894117755109,14.780836268823903,4.821699627662725,0.79024667621605,3.7941230122297767,0.7112954657952933,0.27631561862554116,0.0
2024-07-08,29.756421052431563,12.425572923412911,14.779379475877565,0.0,0.8040862092062346,3.818056220173352,0.763632177515921,0.2766323127443097,0.0
2024-07-09,29.583094361229545,12.525251922254126,14.770512040552047,4.821731297074602,0.7891065773884832,3.8817212388693894,0.8078585112019461,0.2772657009818468,0.0
2024-07-10,29.651151927352906,12.385852988689903,15.485829363308643,4.821699627662725,0.8084882574571172,3.8329394186319385,0.7996376069198933,0.2793242127538422,17.995256555489085
2024-07-11,29.652365815910144,12.4990483341731,15.282131706116726,0.0,0.8421211728703349,3.99912814109103,0.791885093239499,0.27948255981322645,18.00475737905214
2024-07-12,29.63779788644679,12.869785829268302,14.779394993889387,0.0,0.8438313211116851,4.0107508152498355,0.7990094441353158,0.27907085745882737,0.0
2024-07-15,29.606825201631224,13.108763211291032,0.0,4.8270834276817896,0.826191458696278,3.643791480991544,0.7774522338178014,0.277867419807507,0.0
2024-07-16,29.670037347737427,13.030175090677442,14.785475520969744,4.821699627662725,0.8027560939074068,3.60925757081043,0.766995944098421,0.2798625927557487,0.0
2024-07-17,29.598686162778876,13.016509106064344,14.779410828595324,0.0,0.8001908715453818,4.085724822580037,0.8004508774168908,0.28084434452393114,0.0
2024-07-18,29.679601510124236,13.060936223821667,14.788911652158381,4.824993246497917,0.8006342433116577,3.9024621700957782,0.7651553178801382,0.0,0.0
2024-07-19,29.675072784225847,13.059574439110962,14.786789801562634,4.821699627662725,0.7846095209019701,3.9128980330444976,0.7555080232871519,0.2798625927557487,0.0
2024-07-22,29.722990821254356,21.173838785592064,14.781406318237686,0.0,0.7812525632430237,3.8730061334149983,0.7759015410652513,0.26988672801454006,18.014891590852734
2024-07-23,29.8135020003984,21.137323637003934,14.779379475877565,0.0,0.7838494550169257,3.865186797275544,0.7534480863916221,0.27109016566586047,18.015049937912117
2024-07-24,29.822464443959554,21.207219295792623,0.0,4.827748485331203,0.7791623820591514,3.8324247906889397,0.7444856428304727,0.2718819009627818,0.0
2024-07-25,29.7818503233922,21.409919208163362,14.769878810661572,4.837661011248659,0.7817830258919611,3.8009650303187112,0.7292536058000627,0.2739404127347772,0.0
2024-07-26,29.605705054533146,21.60193338592567,14.911916122929256,4.821699627662725,0.7883385941504697,3.7542064104590134,0.7691960181415058,0.2777090727481227,0.0
2024-07-29,29.740933443247307,21.460601668154602,14.775157626580265,0.0,0.7953771209401002,3.5432474321649114,0.953525771458956,0.2773290398056005,18.015081607323996
2024-07-30,29.721607818037693,21.439163059784565,14.784626780731443,0.0,0.805099630386294,3.7091384621523606,0.8647915630153207,0.27742404804123105,18.01492326026461
2024-07-31,29.584233351627695,21.47303618768687,15.110251515302183,0.0,0.7715933926205837,3.5070836557015554,0.7237950659689684,0.27615727156615694,0.0
2024-08-01,29.49521063484186,21.49694659365389,14.78754907571238,0.0,0.7546185878545906,3.437528443090542,0.742828382506957,0.27584057744738844,18.004630701404633
2024-08-02,28.627032344920433,21.384340299231607,14.863078247832783,0.0,0.788504858562823,4.356803587257622,0.7475124468706029,0.3071932952054727,0.0
2024-08-05,27.965002766323124,21.563894146890966,15.091340284346982,4.837407655953643,0.8252809631048184,4.393082006991973,0.7332564611142376,0.2859114504242276,18.006214171998476
2024-08-06,27.897825926544066,21.698634985009285,14.780742527364746,4.821699627662725,0.808591183045717,4.545614404008588,0.7661451453483492,0.28654483866176467,18.00779764259232
2024-08-07,27.729493659942086,21.81930177814247,14.78948328504276,4.822206338252754,0.7762408788135118,4.57067203442085,0.765765112405827,0.28391627747598586,18.0412088721224
2024-08-08,27.575548648808706,21.852868346137804,14.799522488607723,4.821699627662725,0.7727255740951812,4.41522209283508,0.7706738712467393,0.283251219826572,18.05628351217578
2024-08-09,27.5750102688068,21.90726230285395,14.798210741567782,4.823283098256567,0.8058517789183692,4.4603014421300085,0.7569926853159388,0.287969962196223,0.0
2024-08-12,27.584025758632848,22.76274068357159,0.0,4.821699627662725,0.8172844366059131,4.450567690042599,0.7728432259603036,0.28822331749123786,0.0
2024-08-13,27.553939817349836,22.796637088491618,14.800476054599333,4.825309940616686,0.8115522730562028,4.452606408432171,0.7828349254074508,0.28575310336484333,0.0
2024-08-14,27.54982073529407,22.3559502549546,14.79547228752279,5.1371850833269725,0.7992012024242301,3.9871457024133043,0.7997387906908398,0.2863864916023804,0.0
2024-08-15,27.543708538801837,22.80591020898328,14.790927726918463,4.821699627662725,0.7960976000602986,3.940913744873118,0.7256689450697218,0.28701987983991745,0.0
2024-08-16,27.439877838410627,22.87479608857428,14.79090714180074,0.0,0.7900487423918197,3.96481179976951,0.7739041512581782,0.27612560215428006,0.0
2024-08-19,27.447193472554176,22.819580468966986,14.79030542297508,0.0,0.7748474246909303,3.9591570679318386,0.6970074939329324,0.27992593157950246,18.051533100394252
2024-08-20,27.409095170066326,22.87723146634761,14.827262518205952,0.0,0.8061684730371378,3.9989129474373266,0.6891930665523189,0.28195277393962104,0.0
2024-08-21,27.35218523692362,23.029017890367463,14.774406269783485,4.8743142384725715,0.8121223224699862,3.8244884360726004,0.7565198609966174,0.28211112099900526,0.0
2024-08-22,27.286946248457305,23.09197858134336,14.772126072128353,4.821699627662725,0.8119006365868481,3.702537764981928,0.7300692515029511,0.28426464100663124,0.0
2024-08-23,27.397789190026288,23.118935584732935,0.0,0.0,0.8169044036633908,3.61785724125853,0.711681040884894,0.2846446739491535,18.052103149808037
2024-08-26,27.41837430774624,23.184955224202017,0.0,0.0,0.8191529319066474,3.6405906535331503,0.7565805079203616,0.28480302100853777,0.0
2024-08-27,27.40086112297834,23.236492599966873,14.773186997426228,0.0,0.8001196153686588,3.44975473623972,0.9312135623622974,0.28467634336103037,0.0
2024-08-28,27.275861954300407,23.181260512265407,14.773535360956872,4.821706119892159,0.8605131838178173,3.613520907037292,0.8792339232605813,0.2830612033553108,0.0
2024-08-29,27.21040127995095,23.274748616125873,14.77375704684001,4.821699627662725,0.815162586010164,3.7442813751238666,0.7801256072213859,0.28090768334768484,0.0
2024-08-30,27.21603843526503,23.316030961283825,14.77394706331127,0.0,0.8289625322355026,3.726302491654318,0.7760845902658996,0.27875416334005887,0.0
2024-09-02,27.267817923683687,23.926906047305867,14.776543955085172,0.0,0.8361514887315482,3.549585748257945,0.7250415740204413,0.2789758492231968,0.0
2024-09-03,27.33831403452156,21.316855157727925,14.827639225860228,4.830820418283258,0.8774484018189643,4.817133056817142,2.049887399406072,0.2766006433324329,18.03636345210524
2024-09-04,27.387749986461326,21.482822827692114,14.786700810515258,4.842854794796462,1.040522120925849,4.9903142270715835,1.4358984184612404,0.2874315821943166,18.3873555439364
2024-09-05,27.237446957693784,20.370387073052783,15.50488627355848,4.841778034792649,1.085682702262241,6.521979363577833,0.8022094798584125,0.293575448098426,18.403000233403567
2024-09-09,26.95235891197835,20.058910489890966,15.931360666780463,4.988827031489846,1.0902842678079478,6.313024425667297,0.7707617538646975,0.3027279081308365,18.531261351504817
