date,WEALTH LINK SECURITIES LTD,VALUABLE CAPITAL LTD,HSBC BROKING SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,SDICS INTERNATIONAL SECURITIES (HONG,BOCI SECURITIES LTD
2024-04-25,0.0,21.401091719843162,20.885984469900823,15.746597985700008,12.55139540247559,12.82755439378796,2.9799338817559775,5.903282847697393,3.555008841393096,4.149150457445991
2024-04-26,0.0,21.400038746459774,20.884956840748973,15.74582322388996,12.555698035923504,12.826923254333607,2.9773271708011597,5.905452487922482,3.5548339283682515,4.148946311552288
2024-04-29,0.0,21.398564757786733,20.883518329810517,15.749658531905512,12.55975307290536,12.821119916952991,2.979582022142999,5.904553748400281,3.5545890790477883,4.148660541047817
2024-04-30,0.0,21.408047479526363,20.889170763034816,15.719473163277922,12.563152555906122,12.82705073180994,2.9840793736816624,5.906151903234875,3.553090592122301,4.149783437405998
2024-05-02,0.0,21.424653418839462,20.905374216540967,15.73412904842317,12.579053871446538,12.864087980117795,2.986394084588027,5.787608342203455,3.5558466775057607,4.162852360334826
2024-05-03,0.0,21.416559988719538,20.90949338288855,15.731071822428785,12.57906944811326,12.877706125500064,2.9771305879694365,5.788748724636664,3.5565473166724857,4.163672603071217
2024-05-06,0.0,21.417440447934233,20.90794850529533,15.690504732579837,12.589222659985088,12.871829066838568,3.0175468409344606,5.785858227632996,3.5562845446311866,4.163364974168297
2024-05-07,0.0,21.412957900458416,20.903572591561627,15.70076337005627,12.606286091718902,12.85682363941799,3.016915285683595,5.784647280682694,3.5555402346681175,4.162493605752391
2024-05-08,0.0,21.411534425079175,20.9021829787365,15.689871138700553,12.615296547181948,12.85227576995165,3.0290253383109227,5.782293035580738,3.5553038719942878,4.162216894464227
2024-05-09,0.0,21.412061616114983,20.902697628610557,15.690257451948971,12.615607158795378,12.850130034008894,3.0290999184402074,5.782435406183155,3.555391410061093,4.162319375836757
2024-05-10,0.0,21.418127979955614,20.905013866701143,15.677221365492999,12.617005100360442,12.851553963167826,3.02943557447542,5.783076160662893,3.555785384712462,4.162780604471203
2024-05-13,0.0,21.406881189794206,20.895237685020813,15.74372905968969,12.59264500924527,12.84431331165335,3.0218656066652105,5.780371718389938,3.554122529850999,4.1608338896905215
2024-05-14,0.0,21.403456963298602,20.89189530058477,15.771972080976242,12.585708880501286,12.836106471270414,3.015229956657223,5.781908005032561,3.553554015436058,4.160168326242837
