date,SPDB INTERNATIONAL SECURITIES LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,THE HONGKONG AND SHANGHAI BANKING,WEALTH LINK SECURITIES LTD,USMART SECURITIES LTD,FOSUN INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,VALUABLE CAPITAL LTD,CITIBANK N.A.
2024-06-24,0.0,9.164540368929575,13.395577615019347,0.0,18.695427746157815,18.194633190478605,16.876776526389435,11.101397150488904,8.278900988030212,4.2927464145061105
2024-06-25,0.0,9.166909090264072,13.398762346311138,0.0,18.71250044181478,18.202024115813366,16.830372873798964,11.103649952219913,8.337779991356385,4.248001188421384
2024-06-26,0.0,9.170125040185894,13.40436593761885,0.0,18.727192333421485,18.208409779449372,16.904003514501216,11.115672494551282,8.376825695252037,4.093405205019863
2024-06-27,0.0,9.171699941679815,13.397813453193008,0.0,18.727961317922187,18.202574569294466,16.88820497135295,11.130164806195006,8.387230724227082,4.094350216135488
2024-06-28,0.0,9.170416793231881,13.42211446099948,0.0,18.723987319606177,18.200027974284218,16.890806561037877,11.110555661051954,8.40456062698609,4.0775306028023195
2024-07-02,0.0,9.169506389541741,13.423038241304559,0.0,18.73611738650458,18.198221145543275,16.912594979017467,11.078316036577252,8.405982530727538,4.07622329078359
2024-07-03,0.0,9.165007181698726,13.399763698872412,0.0,18.734140664322748,18.189291812182393,16.819051073107552,11.07288023182597,8.400504860193838,4.219360477796361
2024-07-04,0.0,9.22942176204559,13.4312149074894,0.0,18.70826297551136,18.189127733947835,16.761618577085482,11.063759752869975,8.402684231388816,4.213910059661539
2024-07-05,0.0,9.231295377023846,13.432588141829743,0.0,18.691760379788207,18.192820210361024,16.71584903974205,11.075930415710769,8.445893175421025,4.213863260123337
2024-07-08,0.0,9.24545531743916,13.49295204026795,0.0,18.69738930760811,18.22072628850542,16.562571520631614,11.155270086867656,8.519843176511275,4.105792262168817
2024-07-09,0.0,9.244878897078673,13.499791151033957,0.0,18.66188792462634,18.219590292791317,16.62930667271035,11.178067422739606,8.537835185309719,4.02864245371004
2024-07-10,0.0,9.243793082956774,13.502722916613447,0.0,18.628526567706178,18.217450395811017,16.616060253648,11.176754554978084,8.586522939981545,4.028169288304953
2024-07-11,0.0,9.24153874533071,13.50394614788318,0.0,18.611789729454326,18.213007600141566,16.602072316722975,11.174028814786316,8.626429730467764,4.027186915213162
2024-07-12,0.0,9.237075063456647,13.501937752189406,0.0,18.605057216216057,18.204210680695873,16.60985261373947,11.156895238645092,8.650701584131514,4.0342698509259405
2024-07-15,0.0,9.263279218437829,13.496786849364655,0.0,18.565807708390004,18.19361634058154,16.588456477960303,11.145890827970826,8.714240558288857,4.031922019005986
2024-07-16,0.0,9.262819546240937,13.509650657540414,0.0,18.54323272041269,18.19271351779109,16.51680767771487,11.16789366808263,8.774258032162189,4.032624180055174
2024-07-17,0.0,9.265160170785244,13.513064415063832,0.0,18.54295485600004,18.19731063982016,16.46773586094616,11.170715686356573,8.809415186004983,4.033643185023011
2024-07-18,0.0,9.26963572652051,13.383253840778284,0.0,18.529339539244525,18.20610089023129,16.65175638107968,11.124194902702571,8.828117013203554,4.007601706239587
2024-07-19,0.0,9.269552031618955,13.385390237057518,0.0,18.51608028913707,18.205936508602214,16.56763697503453,11.12590024931813,8.925549759759333,4.003953949472251
2024-07-22,0.0,9.266121841446875,13.380436984313052,0.0,18.517351459605987,18.199199416640024,16.512316669680086,11.125844634443641,9.018820678971208,3.9799083148991303
2024-07-23,0.0,9.262070554605824,13.377544439746355,0.0,18.479956573634983,18.182387252404403,16.416358417161693,11.120526224473185,9.074962572316897,4.086193965656659
2024-07-24,0.0,9.261355780173073,13.370702058686469,0.0,18.438865749924524,18.179214207973697,16.397265344550764,11.118585559404664,9.158126260890539,4.075885038396264
2024-07-25,0.0,9.258056053277771,13.365938213495838,0.0,18.441308635889,18.17273713879708,16.406744358422507,11.117778483644155,9.201728138619231,4.035708977854419
2024-07-26,0.0,9.260935556793882,13.36739079760149,0.0,18.452453538715716,18.17838934701308,16.38119537938411,11.121236410670173,9.231185167563005,4.007213802258548
2024-07-29,0.0,9.256888069787086,13.352537257149688,0.0,18.449795701223735,18.170444491524634,16.4096307374858,11.133497405910875,9.274910728477352,3.9522956084408345
2024-07-30,0.0,9.27402017606988,13.366867143041192,0.0,18.436544465866252,18.204073285984236,16.304129215841712,11.093163583690306,9.4193710885398,3.9018310409666266
2024-07-31,0.0,1.6370159219618694,2.357876620233421,0.0,3.2487734332514626,3.2133160428755545,2.867347528241413,1.957486987336931,1.6735091462139275,0.6844341657852119
2024-08-01,0.0,9.27829216488036,13.363992297062039,0.0,18.415230937324235,18.212458818461677,16.294026834211895,11.035951600544237,9.538870143908637,3.861177203606921
2024-08-02,0.0,9.286764003555287,13.367154300955802,0.0,18.42797736173969,18.22908828110867,16.28268741475145,11.046028325864226,9.637079997848561,3.723220314176311
2024-08-05,0.0,9.289745404771706,13.371445661227007,0.0,18.433893436930298,18.234940505409266,16.288819102530834,11.027418395306515,9.671825466442774,3.681912027381603
2024-08-06,0.0,9.28772960001051,13.354982129156024,0.0,18.444811652958325,18.23098366070693,16.310600339176403,11.022313122777136,9.673795361918954,3.6747841332957236
2024-08-07,0.0,9.275946272147992,13.332620755246055,0.0,18.462045218515627,18.20785404055411,16.350407315627518,10.999299249553147,9.738276229932346,3.633550918423202
2024-08-08,0.0,9.27309928241377,13.314988018067961,0.0,18.511444189322752,18.202265653987958,16.354416130395744,10.980125881882687,9.756501050798544,3.6071597931305828
2024-08-09,0.0,9.270463189296446,13.134773082367012,0.0,18.942969829635146,18.208823146306585,16.151227033228377,10.842990043260823,9.842619301441879,3.6061343744637306
2024-08-12,0.0,9.247596425007504,13.052411834138116,0.0,18.993469279437413,18.163908792151513,16.099234915222365,10.768532337399831,10.092010681192177,3.5828357354510807
2024-08-13,0.0,9.214457434828613,13.00698369761327,0.0,19.103460695015333,18.09881797639688,16.221391895978645,10.678813897457742,10.106526348816159,3.569548053893359
2024-08-14,0.0,9.209872425582336,12.96958038534671,0.0,19.098437810635673,18.089812210365032,16.209734091460565,10.672603684997044,10.172773665307371,3.5771857263052653
2024-08-15,0.0,9.23242831284547,13.028756099991663,0.0,19.14745865086554,18.13411594726532,16.183375070844676,10.573815439340661,10.075906918015143,3.6241435608315262
2024-08-16,0.0,9.225256410826905,13.06129269788917,0.0,19.08364066488895,18.12002906802185,16.379152012544804,10.588052867719561,9.817522811697224,3.725053466411538
2024-08-19,0.0,9.253292114829982,13.059550166055494,0.0,19.1267732412015,18.175096130535366,16.19877849608056,10.403141458668431,9.846908031468868,3.936460361159797
2024-08-20,0.0,9.252042002676522,13.033017649036807,0.0,19.123288568686224,18.172640689997973,16.140749061082108,10.274292445415666,10.09956417590783,3.904405407196869
2024-08-21,0.0,9.225927080477039,13.093572492999868,0.0,19.114159192042216,18.141398677631514,16.02310242330887,10.323769659182917,10.181140111047766,3.896930363309809
2024-08-22,0.0,9.215971232760783,13.12722061644355,0.0,19.093853120641594,18.11828758617752,16.055714669001063,10.270175168206528,10.187492506602942,3.931285100166023
2024-08-23,0.0,9.244510135102775,13.193564369518661,0.0,19.152980649990347,18.174394102459598,15.979673743211686,10.301978601481004,10.013045401588231,3.9398529966476943
2024-08-26,0.0,9.24642735183831,13.220646334063415,0.0,19.181298536445507,18.178163285685343,15.97351997053154,10.29690156948828,9.967332190474492,3.935710761473116
2024-08-27,0.0,9.315605448917355,13.401261830034178,0.0,19.349857595069178,18.315951221551067,15.430007816032369,10.254570507819787,9.990642738481464,3.9421028420946005
2024-08-28,0.0,9.292302853154617,13.494993009709583,0.0,19.062040005189267,18.263900313892666,15.514802818728615,10.214557343211302,9.910159004646424,4.247244651467526
2024-08-29,0.0,9.29515790664469,13.560442955132338,0.0,18.91618340970449,18.273965907451064,15.639378511121377,10.287717066796422,9.872564468303734,4.154589774845887
2024-08-30,0.0,9.256788276421185,13.482104984807117,0.0,18.832246950889637,18.19941989980994,15.742588488235892,10.333316462459049,9.79392393318641,4.359611004190773
2024-09-02,66.9613924979868,3.0413807524555128,4.761537537501909,0.0,6.147421247844057,5.979543199678481,5.143860512917859,3.3858866763854016,3.2089621962957087,1.370015378934271
2024-09-03,66.61734143392027,3.023510723853531,5.555096193963774,0.0,6.092282701472569,5.94440961506604,4.899862439402773,3.3674667663125852,3.217529648789714,1.2825004772187372
2024-09-04,66.72546937310986,3.0250039810854887,5.558134762661776,0.0,6.033782565354154,5.9473454514027155,4.825728020537977,3.4838877037867246,3.0463920041622097,1.354256137899093
2024-09-05,66.65922093449315,3.019797662719017,5.566974903761546,0.0,6.0397425751777805,5.937109506574545,4.83523970405229,3.652382544669519,3.0465971153528604,1.242935053199299
2024-09-09,66.72065675057345,3.021626340193977,5.598929805604521,0.0,6.050030270189442,5.940704799913261,4.754184567926617,3.6388290288556,3.0488840383086586,1.226154398434478
2024-09-10,66.60936427773734,3.016586157981082,5.6017993186257335,0.0,6.044057208476823,5.930795489067546,4.899231283590595,3.652028531809748,3.066156546865402,1.1799811858457305
2024-09-11,66.59329979269516,3.0158586341000366,5.621624611105265,0.0,6.055687667915223,5.92936513199305,4.89290269522998,3.652177159053755,3.0789463732276414,1.1601379346798901
2024-09-12,66.5806691474432,3.0152866209897695,5.667901953982774,0.0,6.061302464906537,5.928240518739394,4.8493360314747695,3.6478087120516958,3.098652503284542,1.1508020471273126
2024-09-13,66.54681525057062,3.0137534552283647,5.601682416256935,0.0,6.1112712692181965,5.9252262197585175,4.870530074440886,3.6703484639059702,3.1158871909112063,1.144485659709309
2024-09-16,66.57655787819309,3.015100430984113,5.5631672743786735,0.0,6.113561596528787,5.927874457639918,4.869472468042949,3.664490844659597,3.118455980183539,1.1513190693893403
2024-09-17,66.61844021869211,3.016997186642768,5.4800732190557335,0.0,6.118878680711559,5.931603596910298,4.899163268459989,3.6610587081525217,3.1204177553091355,1.1533673660658914
2024-09-19,66.66904896255235,3.019289141202866,5.47716952767329,0.0,6.121613150537116,5.936109721732961,4.910835215231266,3.673704015039746,3.11469090458786,1.0775393614425481
2024-09-20,66.68858722729013,3.020173984641894,5.4718530859191725,0.0,6.123554439993885,5.937849378816129,4.907414554818697,3.67345523078347,3.096458855133629,1.080653242602995
2024-09-23,66.6857392296754,3.0200450053268124,5.481633207823475,0.0,6.119905906542407,5.937595797482791,4.898516532923304,3.6784525155089947,3.096326618002807,1.0817851867140027
2024-09-24,66.66100134958357,3.018924683169831,5.500797562569555,0.0,6.116163581838314,5.935393174634659,4.918044409012136,3.677676777824843,3.0954724126046034,1.0765260487624817
2024-09-25,66.6020657309344,3.016255623445918,5.487256711215826,0.0,6.100460832323473,5.930145637670149,4.917667399333807,3.692957014292157,3.091559060114745,1.1616319906695276
2024-09-26,66.60944324794328,3.0165897343615615,5.495072107659034,0.0,6.078631303515288,5.930802520453391,4.934833674570705,3.6657125399855897,3.0465967709233794,1.22231810058777
2024-09-27,66.62702514777578,3.01812163920944,5.528008838263112,0.0,6.060372949789735,5.9323679858102,4.926425527502056,3.6674157840849464,3.0504907105605867,1.1897714170041518
2024-09-30,35.52519013364368,1.6092470711632698,2.951052310139951,0.0,3.2253193017469663,3.163108365880322,2.6511429592400693,1.9485437894775655,1.6272121459595643,0.623318588635482
2024-10-02,66.62200610759835,3.0178942829116924,5.475982785041222,0.0,6.032110539348818,5.931921098181614,5.065230939714652,3.625945619687104,3.0763013433278164,1.1526072841887254
2024-10-03,66.61910636199961,3.005993755591929,5.4766271289507955,0.0,6.003601975821027,5.93166290928726,5.172551286967759,3.5428151334686455,3.1232441360160843,1.124397311896888
2024-10-04,66.59304683903753,3.004817895278342,5.439926405799523,0.0,5.978606740691088,5.92934260938789,5.2555269388468355,3.5527526810565977,3.144228034010974,1.1017518558912218
2024-10-07,66.57434749776165,3.003974141794116,5.438398873343716,0.0,5.967665950360042,5.927677648761256,5.275221463116354,3.573072360503313,3.14937278253382,1.0902692818257311
2024-10-08,66.59010907437161,3.00468533717717,5.443362687955711,0.0,5.962314475661212,5.929081035334189,5.269559000525811,3.569653822736544,3.1477655913284637,1.0834689749092834
2024-10-09,66.608523344838,3.004045314818161,5.438395933293108,0.0,5.934250804535273,5.930720613693788,5.259101806101382,3.566669480179737,3.1420169402061764,1.116275762334379
2024-10-10,66.60669938801169,3.003963054340322,5.446336811568462,0.0,5.921732975945815,5.930558211379415,5.253809740879497,3.5759853976948497,3.1459022575640607,1.1150121626158827
2024-10-14,66.57722347781439,3.0026336903868565,5.437457632254951,0.0,5.919259413830741,5.927933721607896,5.260600111429864,3.6182154982333903,3.1483326566099077,1.1083437978320076
2024-10-15,66.16921683268846,2.9842325851054827,5.420062349667987,0.0,5.87816228926325,5.8916054365888,5.247649455461646,4.183448999244478,3.1290386611883076,1.0965833907915854
2024-10-16,66.1616761847451,2.9838925017799953,5.317463727841174,0.0,5.878076831592457,5.890934028877706,5.248220269129863,4.243167313161368,3.158633501247697,1.1179356416246309
2024-10-17,66.21536890679617,2.986314044279628,5.207286377575139,0.0,5.889134707602312,5.895714746381756,5.267247931402868,4.256553974880281,3.1590035064690345,1.123375804612808
2024-10-18,66.19997776259187,2.9856199034652877,5.145261328629043,0.0,5.88367253854808,5.894344342541272,5.291021944186415,4.270183488234885,3.1642629785294107,1.1656557132737244
2024-10-21,65.88320083378552,2.971333259638992,5.199059345404909,0.0,5.8536269092843956,5.866139011342318,5.694024863266476,4.253532741458433,3.1204600574223718,1.158622978396574
2024-10-22,65.86748456667286,2.970624455777032,5.198400942659155,0.0,5.8500487189392585,5.864739659057433,5.731503014025275,4.2532453464905355,3.1170974924008132,1.1468558039776398
2024-10-23,65.86834684503451,2.9706633445429484,5.194832576567404,0.0,5.850125302559509,5.864816434998369,5.730850761966784,4.253010112671561,3.1178655824451895,1.1494890392137278
2024-10-24,65.85263775880351,2.9699548645388507,5.213952738887054,0.0,5.845821652039232,5.863417722088158,5.740681497945242,4.257812685640356,3.1313733583760985,1.1243477216815
2024-10-25,65.80477033448098,2.967796043046531,5.188365330412102,0.0,5.841572400451819,5.859155680146704,5.763392198172084,4.255299002523212,3.136508338300755,1.1831406724658184
2024-10-28,65.75193211622296,2.965413038679664,5.171276539150789,0.0,5.836881885221751,5.858371437673623,5.816553930199709,4.273371744669304,3.1351514631137105,1.1910478450684814
2024-10-29,65.7813505235871,2.9667398092545656,5.1438109944992085,0.0,5.837314424672451,5.8621546786695395,5.779644361299095,4.301867145437238,3.1490469365431366,1.1780711260376795
2024-10-30,65.79234141974334,2.967235498821694,5.113869184168661,0.0,5.840033203282418,5.863279429586656,5.784678126895448,4.315516624467549,3.1484107750803556,1.1746357379538803
2024-10-31,35.52519013364368,1.6022650115262822,2.7382956164825245,0.0,3.1525960513707,3.1664032704281144,3.1367491294979857,2.3288699144226994,1.7004060969855153,0.6330788019570164
2024-11-01,65.80400534259272,2.9679068565736837,5.036015238731124,0.0,5.835401274942686,5.865626726674341,5.853565608916036,4.318316101488453,3.1498408256507617,1.169322024430192
2024-11-04,65.79078335629023,2.967310515612364,5.00232865010161,0.0,5.834809910767144,5.86502928930452,5.87171242109644,4.34069409885187,3.1492079287315704,1.1781238292442509
2024-11-05,65.78374718157076,2.9669931684982296,5.004960547024286,0.0,5.80440555427513,5.864402037754848,5.852489903020377,4.305074547025315,3.1539555758551248,1.263971484975926
2024-11-06,65.76367034352229,2.9660876584917775,5.005756670179141,0.0,5.792613515191026,5.862612254487591,5.858400712081781,4.307536527542332,3.152993005949617,1.290329312554435
2024-11-07,65.74461617829127,2.9652282733017565,5.056717569306795,0.0,5.773222791218387,5.860913639097073,5.784256738964713,4.30759512675593,3.1571608906786133,1.3502887923854658
2024-11-08,65.75604357108436,2.96574367410824,5.084895748591922,0.0,5.773209801958255,5.861932353117682,5.789327974100147,4.298760072870169,3.158435696020776,1.3116511081484394
2024-11-11,65.77022392810818,2.9663832397185788,5.130220963584018,0.0,5.774745280611569,5.863196484733612,5.712727769675423,4.289810779882879,3.1538881732515143,1.3388033804342192
2024-11-12,65.78426906075472,2.9670167064090354,5.130154345868063,0.0,5.774816300096551,5.8644485615465305,5.6950624726475425,4.296392434980769,3.1471528558384905,1.3406872618582855
2024-11-13,65.75694867196319,2.9657844961689968,5.1259908279919815,0.0,5.77241800292352,5.862013039847544,5.714624121731037,4.312759475921426,3.1419251441249796,1.3475362193273261
2024-11-14,65.78826594934186,2.967196974965348,5.083029098305857,0.0,5.775893563146168,5.864804870856645,5.7093553622778686,4.33006785344899,3.1556250241491535,1.3257613035081108
2024-11-15,65.79842536047228,2.967655186981406,5.066482530617454,0.0,5.786666070384571,5.865710548533705,5.7057326616914334,4.326377457519161,3.1510267520994306,1.3319234317005586
2024-11-18,65.80436431282139,2.9679230469286235,5.1364599110293865,0.0,5.787188373674717,5.866239986362202,5.683287816557896,4.316741188408818,3.145353229081965,1.2924421351350002
2024-11-19,65.86772830173425,2.9707809036225323,5.063732704983112,0.0,5.815015617167137,5.8718886750067565,5.666796573845977,4.312025063057676,3.140672800186923,1.2913593603956424
2024-11-20,65.82943047939439,2.9377988608687464,5.003512369750455,0.0,5.813088269999477,5.868474551655718,5.688650849795426,4.323618868818756,3.1433531975142213,1.39207255220281
2024-11-21,65.80345025648936,2.9286471905389706,5.065852253777326,0.0,5.8214019599177185,5.866158501283502,5.676088513924914,4.320604689704039,3.1363001048626873,1.381496529501493
