date,HANG SENG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CORNERSTONE SECURITIES LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,INTERACTIVE BROKERS HONG KONG LTD,CINDA INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,PHILLIP SECURITIES (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-09-17,2.6640625,0.7203125,1.1640625,1.3984375,0.059375,0.3125,0.36874999999999997,0.27499999999999997,6.9625
2024-09-19,2.6640625,0.7203125,1.1640625,1.3984375,0.059375,0.3125,0.30625,0.27499999999999997,6.9
2024-09-20,2.6640625,0.759375,1.1640625,1.3671875,0.059375,0.3125,0.30625,0.26875,6.9015625
2024-09-24,2.659375,0.7703125,1.1640625,1.3671875,0.059375,0.3125,0.30625,0.2671875,6.90625
2024-09-25,2.7359375,0.7734375,1.1640625,1.3671875,0.059375,0.3125,0.30312500000000003,0.259375,6.9750000000000005
2024-09-27,2.753125,0.7796875,1.1640625,1.3671875,0.056249999999999994,0.3125,0.30312500000000003,0.259375,6.995312500000001
2024-09-30,2.671875,0.7875,1.1640625,1.3671875,0.056249999999999994,0.3125,0.30312500000000003,0.259375,6.921875
2024-10-02,2.671875,0.7984375,1.1640625,1.3671875,0.056249999999999994,0.3125,0.30312500000000003,0.259375,6.932812500000001
2024-10-03,2.671875,0.8265625000000001,1.1640625,1.3671875,0.056249999999999994,0.3125,0.30312500000000003,0.259375,6.9609375
2024-10-04,2.671875,0.8296875,1.1640625,1.3671875,0.056249999999999994,0.3125,0.2984375,0.259375,6.959375
2024-10-07,2.671875,0.8453125,1.1640625,1.3515625,0.056249999999999994,0.3125,0.2984375,0.259375,6.959375
2024-10-08,2.671875,0.8406250000000001,1.1640625,1.3484375,0.056249999999999994,0.3125,0.2984375,0.259375,6.9515625
2024-10-09,2.671875,0.8406250000000001,1.1640625,1.3203125,0.056249999999999994,0.3125,0.2984375,0.259375,6.9234375
2024-10-14,2.671875,0.8390625,1.1640625,1.3203125,0.056249999999999994,0.3125,0.2984375,0.259375,6.921875
2024-10-15,2.671875,0.8421875000000001,1.1640625,1.3203125,0.056249999999999994,0.3125,0.2984375,0.259375,6.925000000000001
2024-10-28,2.671875,0.8453125,1.1640625,1.3171875,0.056249999999999994,0.3125,0.2984375,0.259375,6.925000000000001
2024-10-30,2.675,0.8421875000000001,1.1640625,1.3171875,0.056249999999999994,0.3125,0.2984375,0.259375,6.925000000000001
2024-11-04,2.675,0.8546875,1.1640625,1.3171875,0.056249999999999994,0.3125,0.2984375,0.259375,6.937500000000001
2024-11-06,2.675,0.8546875,1.1640625,1.2796874999999999,0.056249999999999994,0.3125,0.2984375,0.259375,6.9
2024-11-08,2.675,0.853125,1.1640625,1.2796874999999999,0.056249999999999994,0.3125,0.2984375,0.259375,6.8984375
2024-11-11,2.675,0.8625,1.1640625,1.275,0.056249999999999994,0.3125,0.2984375,0.259375,6.903125
2024-11-12,2.675,0.8703125,1.1640625,1.2625000000000002,0.056249999999999994,0.3125,0.2984375,0.259375,6.8984375
2024-11-14,2.675,0.8687500000000001,1.1640625,1.2625000000000002,0.056249999999999994,0.3125,0.2984375,0.259375,6.896875
2024-11-18,2.675,0.8703125,1.1640625,1.2625000000000002,0.056249999999999994,0.3125,0.2984375,0.259375,6.8984375
2024-11-21,2.675,0.8796875,1.1640625,1.240625,0.056249999999999994,0.3125,0.2984375,0.2609375,6.8875
2024-11-25,2.675,0.8984374999999999,1.1640625,1.2203125000000001,0.056249999999999994,0.3125,0.2984375,0.2609375,6.8859375
2024-11-26,2.675,0.8937499999999999,1.1640625,1.2203125000000001,0.056249999999999994,0.3125,0.2984375,0.2609375,6.88125
2024-12-02,2.675,0.8890624999999999,1.1640625,1.2203125000000001,0.056249999999999994,0.3125,0.2984375,0.2609375,6.8765624999999995
2024-12-03,2.675,0.8843749999999999,1.1640625,1.2203125000000001,0.056249999999999994,0.3125,0.2984375,0.2609375,6.871874999999999
2024-12-05,2.675,0.8812499999999999,1.1640625,1.2203125000000001,0.056249999999999994,0.3125,0.2984375,0.2609375,6.8687499999999995
2024-12-06,2.675,0.8875,1.1640625,1.2203125000000001,0.056249999999999994,0.3125,0.2984375,0.2609375,6.875000000000001
2024-12-12,2.675,0.8906249999999999,1.1640625,1.2203125000000001,0.056249999999999994,0.3125,0.2984375,0.2609375,6.878125
2024-12-16,2.675,0.8937499999999999,1.1640625,1.2203125000000001,0.056249999999999994,0.3125,0.2984375,0.2609375,6.88125
2024-12-20,2.6703125,0.8718750000000001,1.1640625,1.2203125000000001,0.056249999999999994,0.3125,0.2984375,0.2609375,6.854687499999999
2024-12-27,2.6703125,0.8718750000000001,1.1640625,1.2203125000000001,0.05468750000000001,0.3125,0.2984375,0.2609375,6.853125
2025-01-03,2.6703125,0.8796875,1.1640625,1.2125000000000001,0.05468750000000001,0.3125,0.2984375,0.2609375,6.853125
2025-01-06,2.6703125,0.8640625000000001,1.1640625,1.2125000000000001,0.053125000000000006,0.3125,0.2984375,0.259375,6.834375
2025-01-07,2.6703125,0.8937499999999999,1.1640625,1.2125000000000001,0.053125000000000006,0.3125,0.2984375,0.259375,6.864062499999999
2025-01-08,2.6703125,0.9015624999999999,1.1640625,1.2125000000000001,0.06874999999999999,0.3125,0.2984375,0.259375,6.8875
2025-01-09,2.6703125,0.9093749999999999,1.1640625,1.2125000000000001,0.06874999999999999,0.3125,0.2984375,0.259375,6.8953125
2025-01-10,2.6703125,0.9125,1.1640625,1.2125000000000001,0.06874999999999999,0.3125,0.2984375,0.259375,6.8984375
2025-01-14,2.6703125,0.91875,1.1640625,1.2125000000000001,0.06874999999999999,0.3125,0.2984375,0.259375,6.9046875
2025-01-16,2.6703125,0.9203125,1.1640625,1.2125000000000001,0.0859375,0.3125,0.2984375,0.259375,6.9234375
2025-01-22,2.6703125,0.921875,1.1640625,1.2125000000000001,0.0859375,0.3125,0.28281249999999997,0.259375,6.909375
2025-01-23,2.6703125,0.9249999999999999,1.1640625,1.2125000000000001,0.0859375,0.3125,0.28281249999999997,0.259375,6.9125000000000005
2025-01-24,2.6703125,0.928125,1.1640625,1.2125000000000001,0.0859375,0.3125,0.28281249999999997,0.259375,6.915625
2025-01-27,2.6703125,0.9765625,1.1640625,1.2125000000000001,0.0859375,0.3125,0.271875,0.259375,6.953125
2025-02-03,2.6703125,1.0375,1.1640625,1.2125000000000001,0.09062500000000001,0.3125,0.271875,0.259375,7.01875
2025-02-04,2.6531249999999997,1.10625,1.1640625,1.175,0.15625,0.3125,0.271875,0.259375,7.0984375
2025-02-05,2.640625,1.1203125,1.1640625,1.175,0.15625,0.3125,0.271875,0.259375,7.1
2025-02-06,2.5765625,1.15,1.1640625,1.175,0.21406250000000002,0.3125,0.271875,0.259375,7.1234375000000005
2025-02-10,2.5765625,1.165625,1.1640625,1.175,0.2375,0.3125,0.271875,0.259375,7.1625
2025-02-11,2.5765625,1.165625,1.1640625,1.175,0.240625,0.3125,0.271875,0.259375,7.165625
2025-02-13,2.5765625,1.1703125,1.1640625,1.175,0.265625,0.3125,0.271875,0.259375,7.195312500000001
2025-02-14,2.5765625,1.1671875,1.1640625,1.175,0.2953125,0.3125,0.271875,0.259375,7.221875
2025-02-17,2.5765625,1.16875,1.1640625,1.175,0.30625,0.3125,0.271875,0.259375,7.234375
2025-02-24,2.5765625,1.1671875,1.1640625,1.175,0.30625,0.3125,0.271875,0.259375,7.2328125
2025-02-25,2.5765625,1.1703125,1.1640625,1.175,0.31875,0.3125,0.271875,0.259375,7.2484375000000005
2025-02-26,2.5765625,1.20625,1.1640625,1.175,0.31875,0.3125,0.271875,0.259375,7.284375
2025-02-27,2.5765625,1.2109375,1.1640625,1.175,0.31875,0.3125,0.271875,0.259375,7.2890625
2025-02-28,2.5765625,1.2140625,1.1640625,1.175,0.334375,0.3125,0.271875,0.259375,7.307812499999999
2025-03-03,2.5765625,1.215625,1.1640625,1.175,0.334375,0.3125,0.271875,0.259375,7.309375
2025-03-11,2.5765625,1.2203125000000001,1.1640625,1.175,0.334375,0.3125,0.271875,0.259375,7.3140625
2025-03-12,2.5765625,1.2203125000000001,1.1640625,1.1640625,0.334375,0.3125,0.271875,0.259375,7.3031250000000005
2025-03-13,2.5765625,1.2281250000000001,1.1640625,1.1640625,0.334375,0.3125,0.271875,0.259375,7.3109375000000005
2025-03-17,2.5765625,1.2359375000000001,1.1640625,1.14375,0.34375,0.3125,0.271875,0.259375,7.307812499999999
2025-03-18,2.5765625,1.2328125,1.1640625,1.140625,0.346875,0.3125,0.271875,0.259375,7.3046875
2025-03-19,2.5765625,1.234375,1.1640625,1.1390624999999999,0.346875,0.3125,0.271875,0.259375,7.3046875
2025-03-20,2.578125,1.2375,1.1640625,1.134375,0.346875,0.3125,0.271875,0.259375,7.3046875
2025-03-24,2.578125,1.2375,1.1640625,1.128125,0.353125,0.3125,0.271875,0.259375,7.3046875
2025-03-26,2.578125,1.2375,1.1640625,1.125,0.353125,0.3125,0.271875,0.259375,7.3015625
2025-03-27,2.578125,1.2375,1.1640625,1.121875,0.353125,0.3125,0.271875,0.259375,7.2984375
2025-03-28,2.578125,1.2359375000000001,1.1640625,1.121875,0.353125,0.3125,0.271875,0.259375,7.296875
2025-03-31,2.5796875,1.2468750000000002,1.1640625,1.109375,0.353125,0.3125,0.271875,0.259375,7.296875
2025-04-01,2.5796875,1.2468750000000002,1.1640625,1.109375,0.3546875,0.3125,0.271875,0.259375,7.2984375
2025-04-09,2.5796875,1.2546875000000002,1.1640625,1.109375,0.3546875,0.3125,0.271875,0.2625,7.309375
2025-04-10,2.5796875,1.25625,1.1640625,1.109375,0.359375,0.3125,0.271875,0.2625,7.315625000000001
2025-04-16,2.5796875,1.2625000000000002,1.1640625,1.109375,0.359375,0.3125,0.271875,0.25625000000000003,7.315625000000001
2025-04-17,2.5796875,1.265625,1.1640625,1.065625,0.390625,0.3125,0.2734375,0.2546875,7.30625
2025-04-24,2.5796875,1.2640625,1.1640625,1.065625,0.42812500000000003,0.3125,0.2734375,0.22031249999999997,7.307812499999999
2025-04-25,2.5796875,1.265625,1.1640625,1.065625,0.42812500000000003,0.3125,0.2734375,0.22031249999999997,7.309375
2025-04-30,2.5796875,1.2625000000000002,1.1640625,1.065625,0.42812500000000003,0.3125,0.2734375,0.22031249999999997,7.30625
