date,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,EVERBRIGHT SECURITIES INVESTMENT,GF SECURITIES (HONG KONG) BROKERAGE LTD,ZHONGTAI INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL
2024-04-23,0.0,28.989042223211097,25.86233547841718,20.87686376474646,15.382086391153862,0.0,8.889672142471394
2024-04-24,0.0,28.95784940783548,25.83819220380814,20.857374579198297,15.367726746948044,0.0,8.978857062210036
2024-04-26,0.0,28.99869571867611,25.72158791029897,20.88679481664006,15.389403596453652,0.0,9.003517957931209
2024-04-29,0.0,2.2475880914451016,1.9935908580541346,1.6188628534801106,1.1927791716354739,0.0,0.7007488825748867
2024-04-30,0.0,1.7480164855648388,1.5561220564409033,1.2563498996707743,0.9256793985927529,0.0,0.5470394267298238
2024-05-02,0.0,1.7055796522473368,1.5183438702074177,1.2258493227476903,0.9032065542758226,0.0,0.5270826640673273
2024-05-03,0.0,1.589747547456747,1.4152679166757172,1.1426299741483863,0.8418904857324405,0.0,0.48403663444313405
2024-05-06,0.0,29.037989449738326,25.857238786954202,20.876086950437024,15.38151403388065,0.0,8.847170778989799
2024-05-07,0.0,29.02862827036413,25.848903008376112,20.869356980550073,15.376555387822629,0.0,8.876556352887052
2024-05-08,0.0,29.030134689040782,25.850612473485274,20.87073713341758,15.37757228532602,0.0,8.870943418730347
2024-05-09,0.0,29.042761235665466,25.86243127331651,20.88027915354431,15.384602851774574,0.0,8.829925485699135
2024-05-10,0.0,29.03382360619827,25.8788267134328,20.876825958445114,15.382058535447182,0.0,8.828465186476638
2024-05-13,0.0,29.028422772840894,25.8740127684127,20.87294247897091,15.379197185320859,0.0,8.845424794454635
2024-05-14,0.0,29.024103552644178,25.87016290170123,20.86983673549233,15.376908871566716,0.0,8.858987938595545
2024-05-16,0.0,1.1035304988811752,0.9852836347803148,0.7948426406957572,0.5856405590575778,0.0,0.33738514283522947
2024-05-17,0.0,28.98941713911996,25.8831072797295,20.88027915354431,15.384602851774574,0.0,8.862593575831653
2024-05-20,0.0,29.023371870837106,25.865459064612175,20.866042081687787,15.374112968249834,0.0,8.871014014613102
2024-05-21,0.0,29.02295863266464,25.865459064612175,20.866042081687787,15.374112968249834,0.0,8.871427252785564
2024-05-22,0.0,29.01118173434845,25.85680419961653,20.859060076197018,15.36896862219993,0.0,8.90398536763807
2024-05-23,0.0,28.974925699513292,25.949004357201204,20.833585274391424,15.350198772159866,0.0,8.892285896734215
2024-05-24,0.0,28.967526981339166,25.943117151449822,20.828858634349253,15.34671618079519,0.0,8.913781052066565
2024-05-27,0.0,28.967233969915718,25.94322416771101,20.828944554116056,15.34677948653357,0.0,8.913817821723644
2024-05-30,94.03128741330993,1.7289638079424388,1.548470098798337,1.243214706972286,0.9160013803267247,0.0,0.5320625926502872
2024-05-31,60.11839819498137,1.105325010861945,0.9839928454608136,0.7948426406957572,0.5856405590575778,0.0,0.34176123345500176
2024-06-04,94.03800182370864,1.728964152539636,1.5391747580474422,1.2433034801241374,0.9160667884410075,0.0,0.5344889971391386
2024-06-06,94.03904380092021,1.728983310127118,1.5391918126954718,1.2433172564046648,0.9160769388131904,0.0,0.5333868810393468
2024-06-07,94.03906695623162,1.7289837358561062,1.5391921916919429,1.2433175625476995,0.9160771643795714,0.0,0.5333623892930571
2024-06-11,94.04469403498193,1.7262799948355019,1.5392842933679256,1.2433919597749643,0.9161319803035506,0.0,0.5302177367361202
2024-06-12,94.044462454669,1.726275743958134,1.5392805029580359,1.2433888979850132,0.9161297243747831,0.0,0.5304626760550333
2024-06-13,94.04469403498193,1.7262799948355019,1.5392842933679256,1.2433919597749643,0.9161319803035506,0.0,0.5302177367361202
2024-06-18,94.0434898298089,1.7262578905017991,1.5392645834403442,1.24337603863188,0.9161202495952826,0.0,0.5314914080217934
