date,HAFOO SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,PHILLIP SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,BOCI SECURITIES LTD
2024-12-05,21.673631858447624,16.52964633578152,14.233224227448439,13.792311182648486,12.033251847665346,10.485466217176485,2.062187053283107,9.190281277548992
2024-12-06,21.597253386806255,16.471395409857113,14.183065955861956,13.743706700694888,11.53318044813557,10.448515147353685,3.784896916907983,8.237986034382551
2024-12-27,21.594288496022042,16.469134201564597,14.181118891538953,13.741819952014028,11.531597162529254,10.447080765596235,3.798105414642571,8.236855116092325
2025-01-03,21.592312354372215,16.467627074249968,14.179821145623967,13.740562407327776,11.530541880275056,10.44612472986374,3.8069090652336692,8.23610134305361
2025-01-07,21.589348819958687,16.465366900409265,14.177874972038984,13.738676521791893,11.528959318986203,10.444691004303602,3.820111520378365,8.234970942133002
2025-01-08,21.547944590526697,16.41095843576032,14.150684527663113,13.712328375789715,11.502282776761335,10.424660090620431,3.835616328892228,8.415524873986161
2025-01-09,21.52926623222814,16.396732960082208,14.138418320337998,13.700442147781544,11.487750026011964,10.41562370501552,3.9235365458182243,8.408230062724403
2025-01-16,21.52926623222814,16.396732960082208,14.138418320337998,13.700442147781544,11.487750026011964,10.41562370501552,4.1197133731091355,8.212053235433494
2025-01-17,21.514543017844925,16.385519730056085,14.128749483428996,13.691072829537681,11.479893901024269,10.408500774810205,4.185283002835694,8.206437260462145
2025-01-20,21.469517132918643,16.32847997246133,14.099180672793999,13.6624199936755,11.455868646045591,10.386717743780775,4.408553104852334,8.189262733471828
2025-02-04,21.473424944444368,16.313250355124616,14.101746959701863,13.664906782828234,11.457953805914583,10.388608300287578,4.409355535318201,8.19075331638056
2025-02-06,21.47440211961314,16.31399271006847,14.102388677406466,13.665528621571996,11.453924588909995,10.389081046954464,4.409556188579176,8.1911260468963
2025-02-11,21.47440211961314,16.31399271006847,14.102388677406466,13.665528621571996,11.453924588909995,10.343574791138375,4.455062444395266,8.1911260468963
2025-02-14,21.368410914904146,16.23347173764174,14.032783518814993,13.598079673120822,11.619271542200476,10.29252200992455,4.7047634966275504,8.150697106765726
2025-02-17,21.37131410003753,16.235677272437922,14.034690060609515,13.599927154569336,11.60726383521852,10.293920387043148,4.705402701830683,8.15180448825335
2025-02-18,21.37131410003753,16.235677272437922,14.034690060609515,13.599927154569336,11.398939942740933,10.293920387043148,4.913726594308269,8.15180448825335
2025-02-25,21.35197441993647,16.22098501705282,14.021989558674111,13.58762008541412,11.38862462703541,10.284605043759191,4.999773624503031,8.144427623624846
2025-02-28,21.35197441993647,16.22098501705282,14.021989558674111,13.58762008541412,11.38862462703541,10.280080361746064,5.004298306516156,8.144427623624846
2025-03-07,21.34231769983499,16.213648856518,14.01564792366786,13.581474899894994,11.383473967044855,10.275431055938473,5.047261401359577,8.140744195741254
2025-03-19,21.33170539136082,16.17394403269528,14.008678747155582,13.57472161268416,11.459180582135978,10.27032167439874,5.044751688230277,8.136696271339156
2025-03-20,21.295125753183502,16.146208930894378,13.98465664528834,13.551443661116775,11.453068269035754,10.252710112457407,5.194043174806995,8.122743453216847
2025-03-24,21.293203983925075,16.14475182337019,13.983394606099555,13.55022071704323,11.452034691926645,10.251784861142246,5.202598896686927,8.122010419806132
2025-03-25,21.187086910522638,16.064292639510487,13.913706788664898,13.482691670332587,11.394962190910459,10.200693939952691,5.675032391375421,8.081533468730822
2025-03-26,21.182331751550528,16.06068722336253,13.910584042817353,13.304605067089586,11.392404743681976,10.198404530298824,5.8712629648290084,8.079719676370194
2025-03-28,21.172827834125208,16.05348124401356,13.904342754387372,13.29863566440922,11.387293291589272,10.19382879257255,5.9134958858607805,8.076094533042037
2025-04-01,21.132057981839765,16.022569073749242,13.877568909879514,13.317808950623322,11.356410053389626,10.174199818240345,6.0588417989890235,8.060543413289166
2025-04-09,20.997596639516868,15.87612307899898,13.789267214635045,13.23306895654231,10.825842895516962,10.10946232008481,7.159383978169663,8.00925491653536
2025-04-10,20.997596639516868,15.87612307899898,13.789267214635045,13.23306895654231,10.825842895516962,9.82023922587659,7.448607072377884,8.00925491653536
2025-04-14,20.90735842155425,15.807894648888658,13.7300071515992,13.176199183238472,10.779318296173233,9.778036258416877,7.846351295734812,7.974834744394502
2025-04-16,20.90735842155425,15.772450938913568,13.7300071515992,13.176199183238472,10.779318296173233,9.778036258416877,7.881795005709899,7.974834744394502
2025-04-24,20.90735842155425,15.772450938913568,13.7300071515992,13.176199183238472,10.686278557488633,9.778036258416877,7.974834744394502,7.974834744394502
