date,THE HONGKONG AND SHANGHAI BANKING,HANG SENG BANK LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HSBC BROKING SECURITIES (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CLSA LTD,UBS SECURITIES HONG KONG LTD,TOTAL_CCASS_PCT
2024-09-16,17.788948293452226,2.7469190021354817,1.262147909106085,1.480337627675626,0.919253714716268,0.7805732136118557,0.5494935587226539,0.3052971786434418,0.0005436347142130574,0.29955131695987913,26.13306544973773
2024-09-17,17.708177563866553,2.7469190021354817,1.3303753549307173,1.4774867295721905,0.9159115416878086,0.7808993944403836,0.5494935587226539,0.3239205507103406,0.0005436347142130574,0.29991517944031215,26.133642510220657
2024-09-19,17.749386131408492,2.7469190021354817,1.3158321943802938,1.4756231497718681,0.9161445279938998,0.781318769791348,0.5494935587226539,0.3239205507103406,0.0005436347142130574,0.29895372261717534,26.158135242245766
2024-09-20,17.73507292834218,2.7469190021354817,1.3542562183187705,1.4726098602130873,0.8842409364797965,0.7826907018885564,0.5521482046942583,0.3239205507103406,0.0005436347142130574,0.2997212727039626,26.152123310200647
2024-09-23,17.625367567273347,2.7468724048742637,1.3523195274155968,1.4745980100250664,0.883277926414619,0.7856647565533916,0.5521482046942583,0.3247282365714571,0.0005436347142130574,0.3058172506758989,26.051337519212115
2024-09-24,17.61788303751437,2.7478043500986287,1.2925913599074939,1.4694101816094334,0.8774066715011181,0.7983793473790882,0.5521482046942583,0.3247903662530815,0.0005436347142130574,0.3060502369819902,25.987007390653673
2024-09-25,17.63712239430973,2.7478043500986287,1.2593222511858095,1.4704210315294615,0.8740827335342153,0.8502788177568539,0.5521482046942583,0.31559517337267773,0.0005436347142130574,0.317048184704406,26.024366775900255
2024-09-26,17.599077097378014,2.7478043500986287,1.3293903198934043,1.4746788562732802,0.8735546312404083,0.8661995486730933,0.5521482046942583,0.3139021395484142,0.0005436347142130574,0.33419597683272645,26.091494759346446
2024-09-27,17.588288930525607,2.7478043500986287,1.38429501850376,1.4703142461391696,0.8710383791346221,0.8759539086881162,0.5521482046942583,0.3141661906953177,0.0005436347142130574,0.301942905859486,26.10649576905318
2024-09-30,17.4967405961334,2.7478043500986287,1.3974707202940522,1.4601888321330656,0.8614704081644725,0.8712631177254779,0.5521482046942583,0.33586498200262177,0.0005436347142130574,0.30555942802957825,26.02905427398977
2024-10-02,17.45371919320861,2.7478043500986287,1.4481120956837656,1.4666813838628103,0.8555680884101592,0.8720325317027138,0.5523501261595374,0.3488034882008925,0.0005436347142130574,0.3195344126415472,26.065149304682876
2024-10-03,17.369511729219045,2.7478043500986287,1.5388048111654813,1.4716593848111774,0.8508786177032552,0.8685375507222993,0.5523501261595374,0.3787499947438289,0.0005436347142130574,0.30050903046969807,26.079349229807164
2024-10-04,17.198477926432513,2.7478043500986287,1.5348437954432024,1.483291707647819,0.8578579710209471,0.8657508791772431,0.5535927197920244,0.3787499947438289,0.0005436347142130574,0.3273167765618132,25.94822975563223
2024-10-07,17.23052172910562,2.7478043500986287,1.4919064695100674,1.479068613396028,0.8580598924862262,0.8789564964092373,0.5535927197920244,0.3787499947438289,0.0005436347142130574,0.3382627994028115,25.95746669965869
2024-10-08,17.154915094397204,2.7478043500986287,1.4970236409452733,1.4802950688437133,0.8660901538361734,0.8798879135313088,0.5535927197920244,0.3787499947438289,0.020192146527913558,0.33481297116851744,25.913364053884585
2024-10-09,17.143938969725458,2.7478043500986287,1.5499255582036275,1.475231810439737,0.867303096078105,0.8548375520811996,0.5541363545062375,0.3787499947438289,0.020192146527913558,0.3309184186731563,25.92303825107789
2024-10-10,17.16606028946507,2.7478043500986287,1.464019328926672,1.502480071506989,0.8866720243244961,0.8780896009615329,0.5541363545062375,0.40010707280219904,0.020192146527913558,0.30081080986576797,25.920372048985506
2024-10-14,17.188670600863905,2.7478043500986287,1.291862376820575,1.5267939477111232,0.8937237431888597,0.8867409572062582,0.5541363545062375,0.44279016407812705,0.0061663709012166786,0.30519438508519436,25.843883250460127
2024-10-15,17.138959477664734,2.7478043500986287,1.2834919709961548,1.5310221055319662,0.894671220833631,0.8866772121529117,0.5555342723427854,0.4543152200194439,0.0061663709012166786,0.37150228779878125,25.87014448834025
2024-10-16,17.036517014248105,2.7478043500986287,1.422013124999621,1.5323296091493304,0.8954758002106664,0.8866755967811893,0.558873742730094,0.4637278667855328,0.0061663709012166786,0.3049923859578132,25.8545758618622
2024-10-17,17.05661163270829,2.7478043500986287,1.4493417197452134,1.5301008621452608,0.894857609878504,0.8883375657646408,0.5587184185260332,0.468558449531826,0.0061663709012166786,0.30157525346847397,25.902072232768088
2024-10-18,17.086540137175977,2.7478043500986287,1.4664258910795507,1.5362629926957065,0.8965019029675333,0.8884773575482955,0.5598056879544594,0.4701893536744652,0.0061663709012166786,0.30781863411006405,25.965992678205897
