date,UOB KAY HIAN (HONG KONG) LTD,PHILLIP SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,HANG SENG SECURITIES LTD,TOTAL_CCASS_PCT
2024-11-18,7.8965,1.7635,1.3995,1.119,0.966,0.599,0.5735,14.316999999999998
2024-11-28,7.8965,1.7635,1.3995,1.119,0.966,0.5904999999999999,0.5735,14.308499999999999
2024-12-03,7.8965,1.7635,1.403,1.119,0.966,0.587,0.5735,14.308499999999999
2024-12-06,7.8965,1.7635,1.405,1.119,0.966,0.587,0.5735,14.310500000000001
2024-12-09,7.8965,1.7635,1.409,1.11900005,0.967,0.587,0.5735,14.315500049999999
2024-12-10,7.8965,1.7635,1.4165,1.11900005,0.967,0.5795,0.5735,14.315500049999999
2024-12-11,7.8965,1.7635,1.4165,1.11900005,0.967,0.5805,0.5735,14.31650005
2024-12-12,7.8965,1.7635,1.427,1.11900005,0.967,0.5700000000000001,0.5735,14.31650005
2024-12-13,7.8965,1.7635,1.43,1.11900005,0.967,0.5700000000000001,0.5735,14.31950005
2024-12-16,7.8965,1.7635,1.431,1.119,0.967,0.5700000000000001,0.5735,14.3205
2024-12-18,7.8965,1.7635,1.433,1.119,0.967,0.5700000000000001,0.5735,14.3225
2024-12-19,7.8965,1.7635,1.4445,1.119,0.967,0.5585,0.5735,14.3225
2024-12-30,7.8965,1.7635,1.4445,1.1185,0.967,0.5585,0.5735,14.322
2025-01-06,7.8965,1.7635,1.4449999999999998,1.1185,0.967,0.5585,0.5735,14.3225
2025-01-13,7.8965,1.7635,1.4455,1.1185,0.967,0.5585,0.5735,14.323
2025-01-14,7.8965,1.7635,1.455,1.109,0.967,0.5585,0.5735,14.323
2025-01-16,7.8965,1.7635,1.4555,1.109,0.962,0.5585,0.5735,14.3185
2025-01-21,7.8965,1.7635,1.4585000000000001,1.106,0.962,0.5585,0.5735,14.3185
2025-01-24,7.8965,1.7635,1.4605,1.1039999999999999,0.962,0.5585,0.5735,14.3185
2025-01-27,7.8965,1.7635,1.465,1.1039999999999999,0.962,0.5585,0.5735,14.323
2025-02-04,7.8965,1.7635,1.4725,1.0959999999999999,0.962,0.5585,0.5735,14.3225
2025-02-05,7.8965,1.7635,1.4775,1.0959999999999999,0.962,0.5535,0.5735,14.3225
2025-02-07,7.8965,1.7635,1.4789999999999999,1.0959999999999999,0.962,0.5519999999999999,0.5735,14.3225
2025-02-11,7.8965,1.7635,1.484,1.0959999999999999,0.9570000000000001,0.5519999999999999,0.5735,14.3225
2025-02-13,7.8965,1.7624999999999997,1.485,1.0959999999999999,0.9570000000000001,0.5519999999999999,0.5735,14.3225
2025-02-17,7.8965,1.7624999999999997,1.4765000000000001,1.0835,0.9820000000000001,0.5519999999999999,0.5700000000000001,14.323
2025-02-18,7.8965,1.7624999999999997,1.4765000000000001,1.0835,0.9820000000000001,0.5515,0.5685,14.321
2025-02-19,7.886500000000001,1.7624999999999997,1.503,1.075,0.983,0.5515,0.5685,14.330000000000002
2025-02-20,7.886500000000001,1.7624999999999997,1.509,1.06,0.983,0.5605,0.5685,14.330000000000002
2025-02-21,7.886500000000001,1.7624999999999997,1.5065,1.06,0.983,0.5605,0.5685,14.3275
2025-02-24,7.886500000000001,1.7624999999999997,1.509,1.06,0.9730000000000001,0.567,0.5685,14.326500000000001
2025-02-25,7.886500000000001,1.7624999999999997,1.522,1.06,0.9724999999999999,0.5695,0.5685,14.341499999999998
2025-02-28,7.886500000000001,1.7624999999999997,1.5315,1.0505,0.9724999999999999,0.5700000000000001,0.5685,14.341999999999999
2025-03-03,7.886500000000001,1.7624999999999997,1.53,1.0505,0.9724999999999999,0.5700000000000001,0.5685,14.3405
2025-03-07,7.886500000000001,1.7624999999999997,1.53,1.0505,0.9724999999999999,0.5705,0.5685,14.341000000000001
2025-03-10,7.886500000000001,1.7624999999999997,1.543,1.0505,0.9724999999999999,0.5680000000000001,0.5685,14.3515
2025-03-11,7.886500000000001,1.7624999999999997,1.544,1.0505,0.9724999999999999,0.5720000000000001,0.5685,14.3565
2025-03-12,7.886500000000001,1.7624999999999997,1.5505,1.049,0.9724999999999999,0.5720000000000001,0.5685,14.3615
2025-03-20,7.886500000000001,1.7605,1.547,1.049,0.9724999999999999,0.5755,0.5685,14.3595
2025-03-21,7.886500000000001,1.7605,1.5599999999999998,1.049,0.9724999999999999,0.5755,0.5685,14.372499999999999
2025-03-25,7.886500000000001,1.7605,1.5585,1.049,0.9724999999999999,0.5755,0.5685,14.371
2025-03-27,7.886500000000001,1.7605,1.5599999999999998,1.049,0.9724999999999999,0.5755,0.5685,14.372499999999999
2025-03-31,7.886500000000001,1.7605,1.5599999999999998,1.0739999999999998,0.9724999999999999,0.5755,0.5685,14.397499999999999
2025-04-01,7.886500000000001,1.755,1.595,1.0739999999999998,0.9724999999999999,0.5755,0.5685,14.427000000000001
2025-04-02,7.886500000000001,1.755,1.5945,1.0739999999999998,0.9724999999999999,0.5755,0.5685,14.4265
2025-04-03,7.886500000000001,1.755,1.5945,1.0405,0.9724999999999999,0.5755,0.5685,14.393
2025-04-07,7.886500000000001,1.755,1.6,1.0405,0.9724999999999999,0.5755,0.5685,14.3985
2025-04-09,7.886500000000001,1.755,1.5975,1.3195000000000001,0.9730000000000001,0.577,0.5685,14.677000000000001
2025-04-10,7.886500000000001,1.755,1.584,1.0405,0.9730000000000001,0.5910000000000001,0.5685,14.3985
2025-04-11,7.886500000000001,1.755,1.582,1.0405,0.9730000000000001,0.5910000000000001,0.5685,14.396500000000001
2025-04-14,7.886500000000001,1.755,1.5845000000000002,1.0405,0.9730000000000001,0.5910000000000001,0.5685,14.399000000000001
2025-04-15,7.886500000000001,1.755,1.584,1.0405,0.9755,0.5910000000000001,0.5685,14.401
2025-04-16,7.886500000000001,1.755,1.584,1.0405,0.9755,0.5915,0.5685,14.4015
2025-04-17,7.886500000000001,1.755,1.583,1.0405,0.9755,0.5945,0.5685,14.4035
2025-04-24,7.886500000000001,1.755,1.6019999999999999,1.0405,0.9755,0.5795,0.5685,14.4075
2025-04-25,7.886500000000001,1.755,1.6055,1.0405,0.9755,0.5795,0.5685,14.411
2025-04-28,7.886500000000001,1.755,1.6209999999999998,1.0354999999999999,0.9755,0.5795,0.5635,14.4165
2025-05-02,7.886500000000001,1.755,1.624,1.0354999999999999,0.9755,0.5835,0.5635,14.4235
