date,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,NANYANG COMMERCIAL BANK LTD,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-09-13,51.79280555548371,32.953634745459766,10.145904337067032,0.0,3.0020283931736014,1.3828741029847653,0.7227528658311252
2024-09-16,51.7931403424209,32.953847756636264,10.1459699198483,0.0,3.0044717854551553,1.3798126579582721,0.7227575376811185
2024-09-17,51.79305664528084,32.953794503583964,10.145953524073496,0.0,3.0044669302620903,1.3799720270866467,0.7227563697129579
2024-09-20,51.79272185942567,32.95358149309592,10.145887941504192,0.0,3.004447509646747,1.3806094984494044,0.7227516978780638
2024-09-23,51.79264395737682,32.953634745459766,10.145904337067032,0.0,3.004452364777045,1.3806117294882176,0.7227528658311252
2024-09-24,51.79322983552922,32.95400751682582,10.146019107490654,0.0,3.004486351128503,1.3794961474175562,0.7227610416082495
2024-09-25,51.793146137838775,32.95395426325719,10.146002711556877,0.0,3.0044814958883617,1.379655517830031,0.7227598736287643
2024-10-02,51.79289504639052,32.953794503583964,10.145953524073496,0.0,3.005274924713683,1.3793256315253728,0.7227563697129579
2024-10-03,51.7955455177835,32.95363967131212,10.145905853659274,0.0,3.005260804532649,1.3768951788454835,0.722752973866974
2024-10-04,51.79596402433262,32.95390593579262,10.14598783229284,0.0,3.0101330700581164,1.3712503238331513,0.7227588136906488
2024-10-07,51.79596402433262,32.95390593579262,10.14598783229284,0.0,3.0149810531609176,1.3664023407303505,0.7227588136906488
2024-10-09,51.79654994486342,32.954278713294144,10.146102604605476,0.0,3.0166311715413943,1.3636705760932215,0.7227669896023386
2024-10-16,51.79772182569384,32.955024293599116,10.14633215702081,0.0,3.016699421883282,1.3614389598222985,0.722783341980651
2024-10-17,51.80550780893923,32.95997793360407,10.147857304641057,0.0,3.0171528775629395,1.3466120879727503,0.7228919872799491
2024-10-18,51.821488935647686,32.94938002472707,10.144594375666165,0.0,3.0161827461105215,1.344078595901776,0.7242753219467761
2024-10-22,47.75723294518387,30.365225885237525,9.34897407781392,7.84637421590922,2.7796295507857782,1.2350914716535557,0.6674718534161299
2024-11-01,47.75716183235253,30.36518066994648,9.348960156739022,7.846362532278242,2.7796254117828405,1.235238537382655,0.6674708595182339
2024-11-07,47.75933086898777,30.36655979690423,9.349384768175366,7.846718898677183,2.7871227812687684,1.2233817112509682,0.6675011747357155
2024-11-08,47.761820170209845,30.368142555980565,9.349872074728987,7.847127883614542,2.786523454239613,1.218977895142949,0.6675359660834956
2024-11-11,47.76926613843901,30.368142555980565,9.349872074728987,7.847127883614542,2.786523454239613,1.211531926913786,0.6675359660834956
2024-11-12,47.77638096673466,30.37266563404749,9.351264659120075,7.84829664696427,2.7869384833476856,1.1968182198642838,0.6676353899215359
2024-11-14,47.77630980796076,30.372620396597455,9.351250731222772,7.848284957607408,2.7869343324446363,1.1969653786304209,0.6676343955365532
2024-11-20,47.779427384005615,30.370807254833252,9.350692493473545,7.847816441784665,2.786767961977872,1.1968939238830216,0.6675945400420336
2024-11-26,47.77978318197047,30.371033416426307,9.350762125060639,7.847874881939172,2.786044046434913,1.1969028367655232,0.6675995114029667
2024-12-02,47.7802498183081,30.370762022918836,9.35067856728057,7.847804753858206,2.7860191505331056,1.1968921413224503,0.6675935457787316
2024-12-06,47.783808092377164,30.37302378369603,9.351374927747512,7.848389192831649,2.786226629977791,1.1895341107978539,0.6676432625720019
2024-12-10,47.787687208390686,30.37293330679698,9.35134707133745,7.848365813601391,2.786218330206674,1.1858069959087205,0.6676412737580959
2024-12-17,47.786477241130946,30.372164274918045,9.351110298552411,7.848167095767746,2.7886797486156354,1.1857769716969364,0.6676243693182768
2024-12-19,47.78683310749395,30.372390456722215,9.35117993636219,7.848225541144803,2.7887005159409757,1.185041101212391,0.6676293411234794
2024-12-23,47.78683310749395,30.372390456722215,9.35117993636219,7.848225541144803,2.7909346188727002,1.1828069982806664,0.6676293411234794
2025-01-09,47.78549264573492,30.372390456722215,9.35117993636219,7.848225541144803,2.796892226690632,1.178189852221769,0.6676293411234794
2025-01-10,47.786551349806714,30.37306336750887,9.3513871149791,7.848399421288688,2.7969541928026227,1.1785138424148671,0.6651307111991354
2025-01-15,47.79226099540483,30.373946950305097,9.351282169231546,7.848627739078787,2.7970355589979485,1.1716965264649282,0.6651500605168695
2025-01-16,47.79574934120464,30.37616393749217,9.351964717100143,7.8492006085567665,2.7972397139602987,1.1644830720238872,0.6651986096620978
2025-01-17,47.813554953657594,30.387480136324353,9.355448655770875,7.8521247142780455,2.7982817850015795,1.1276633352216883,0.6654464197458634
2025-01-20,47.81697514946296,30.389653811387813,9.356117869057377,7.852686391903503,2.7984819514947965,1.1205908062818137,0.6654940204117358
2025-01-22,47.82267656328247,30.393277294296723,9.35723343731632,7.853622699868929,2.7943443473502234,1.1132722878954888,0.6655733699898492
