date,STANDARD CHARTERED BANK (HONG KONG) LTD,SHANGHAI COMMERCIAL BANK LTD,CHINA MERCHANTS BANK CO LTD,FUTU SECURITIES INTERNATIONAL,CMB INTERNATIONAL SECURITIES LTD,HANG SENG SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,CITIBANK N.A.
2024-05-14,0.0,52.372827130212215,28.537911912125413,10.387117414951478,0.0,5.822757811666844,2.7940705982723686,0.08531513277167536
2024-05-16,0.0,52.35607675906183,28.52878464818763,10.415778251599148,0.0,5.820895522388059,2.79317697228145,0.08528784648187633
2024-05-20,0.0,52.26136000851336,28.47717356603171,10.577843992763649,0.0,5.81036501010961,2.7881238693199957,0.08513355326167926
2024-05-21,0.0,51.62409334594765,28.129927467675813,11.668243456322926,0.0,5.739514348785872,2.75412593293388,0.08409544833385893
2024-05-22,0.0,51.532004197271775,28.079748163693598,11.825813221406085,0.0,5.729275970619097,2.7492130115424973,0.08394543546694648
2024-05-23,0.0,51.49418055992451,28.05913809374017,11.890531613715005,0.0,5.725070776973891,2.747195134738387,0.08388382090804236
2024-05-24,0.0,51.66194820174059,27.891370451924086,11.890531613715005,0.0,5.725070776973891,2.747195134738387,0.08388382090804236
2024-05-27,0.0,51.651116469231575,27.88552259146661,11.919488415976517,0.0,5.723870426669462,2.7466191424677637,0.07338295418807003
2024-05-31,0.0,7.389022195560887,3.9892021595680864,1.7426514697060587,0.0,0.8188362327534494,0.3929214157168567,0.010497900419916016
2024-06-03,0.0,51.53765690376569,27.824267782426777,12.11297071129707,0.0,5.711297071129707,2.7405857740585775,0.07322175732217573
2024-06-07,0.0,51.607834921965015,27.86215565098984,11.993296323452393,0.0,5.719074054676862,2.7443175866764427,0.07332146223944694
2024-06-13,0.0,51.39251069156149,27.745905914258895,11.94325649316783,0.0,5.695212266611035,3.1500990925211227,0.07301554187962866
2024-06-19,0.0,51.38179163624987,27.740118886223797,11.961622692668683,0.0,5.694024402961727,3.1494420690374385,0.07300031285848368
2024-06-21,0.0,51.345993322203675,27.754590984974957,11.967863105175292,0.0,5.696994991652755,3.151085141903172,0.08347245409015025
2024-06-24,0.0,51.292474463206176,27.725661872003336,12.059620596205962,0.0,5.691056910569105,3.1478007087763187,0.08338544923910778
2024-06-27,0.0,50.3994264645637,27.24293322408849,13.047931175747646,0.0,5.591970503891847,3.6255632937320774,0.09217533797623924
2024-06-28,0.0,50.50287356321839,27.298850574712645,12.869458128078817,0.0,5.603448275862069,3.633004926108374,0.09236453201970443
2024-07-03,0.0,49.097076723535864,26.53896039110047,15.294821909607903,0.0,5.447470817120623,3.5318766836276563,0.08979347500748279
2024-07-04,0.0,49.10215482841181,26.536312849162012,15.293296089385475,0.0,5.4469273743016755,3.531524341580208,0.08978451715881883
2024-07-05,0.0,49.10705377631447,26.53896039110047,15.284844856829293,0.0,5.447470817120623,3.5318766836276563,0.08979347500748279
2024-07-08,0.0,49.10215482841181,26.536312849162012,15.283320031923383,0.0,5.4469273743016755,3.531524341580208,0.09976057462090981
2024-07-10,0.0,49.10215482841181,26.536312849162012,15.273343974461293,0.0,5.4469273743016755,3.541500399042299,0.09976057462090981
2024-07-11,0.0,49.10215482841181,26.536312849162012,15.393056664006386,0.0,5.4469273743016755,3.4217877094972065,0.09976057462090981
2024-07-16,0.0,48.90213611525087,26.428216592151017,15.340288127173373,0.0,5.424739195230998,3.805265772478887,0.09935419771485346
2024-07-17,0.0,48.421052631578945,26.168224299065418,15.189375307427447,0.0,5.371372356123954,4.751598622725036,0.0983767830791933
2024-08-06,0.0,48.41628959276018,26.165650206570923,15.227228014951798,0.0,5.3708439897698215,4.721621089907535,0.09836710603974032
2024-08-07,0.0,48.344956291130536,26.12709949906689,15.352126510165995,0.0,5.362930949808467,4.714664571260191,0.09822217856792063
2024-08-12,0.0,48.39248844754695,26.15278733654508,15.268901779569363,0.0,5.368203716448726,4.719299970504375,0.0983187493855078
2024-08-16,0.0,48.295902285263985,26.20173364854216,15.297478329393224,0.0,5.378250591016549,4.7281323877068555,0.09850275807722615
2024-08-27,0.0,48.17769897557132,26.20173364854216,15.415681639085893,0.0,5.378250591016549,4.7281323877068555,0.09850275807722615
2024-08-29,0.0,48.18244507930253,26.204314845827998,15.40734902965225,0.0,5.378780415722589,4.72859816766821,0.09851246182642104
2024-08-30,0.0,48.172953806756624,26.199152959716336,15.404313995863292,0.0,5.377720870678617,4.757214616369546,0.0886437506155816
2024-09-05,0.0,48.168209572582235,26.196572779200316,15.422493598581841,0.0,5.377191254677959,4.756746109907425,0.07878668505022651
2024-09-19,0.0,48.17769897557132,26.20173364854216,15.317178881008669,0.0,5.378250591016549,4.836485421591805,0.08865248226950355
2024-09-30,0.0,7.335032993401319,3.9892021595680864,2.2780443911217754,0.0,0.8188362327534494,0.7603479304139172,0.013497300539892022
2024-10-02,0.0,48.248988852717765,26.240505080398542,15.034033737792246,0.0,5.386208937555489,5.001479727730097,0.08878366380585972
2024-10-03,0.0,48.22995759787003,26.230154817079182,15.008381816388916,0.0,5.384084409821517,5.058672714722414,0.08874864411793709
2024-10-04,0.0,48.22520212975744,26.227568526917764,15.016761979885624,0.0,5.383553539735752,5.058173930191283,0.08873989351212778
2024-10-07,63.807620950478096,17.45040673612102,9.490509490509492,5.440987583844727,0.0,1.948051948051948,1.8303125445982587,0.03211074639646068
2024-10-08,63.714418041255485,17.424917168406427,9.476646834586198,5.593359221917417,0.0,1.945206455520325,1.8133884356407424,0.032063842673411946
2024-10-09,61.19418306244654,16.735671514114628,9.10179640718563,5.218135158254919,3.904191616766467,1.868263473053892,1.9469632164242943,0.030795551753635585
2024-10-10,61.29065423763665,16.76205490249837,9.116145172898317,5.031015456321327,3.910346482059015,1.8712087460159705,1.987730902361287,0.030844100209054454
2024-10-18,61.29065423763665,16.76205490249837,9.116145172898317,5.174954590630247,3.910346482059015,1.8712087460159705,1.8437917680523663,0.030844100209054454
2024-10-23,61.36636585114778,16.78276086881927,9.127406238204715,5.181347150259067,3.915176886387812,1.8735202278420202,1.7225405757814913,0.0308822015578355
2024-10-24,61.36215474352375,16.7816091954023,9.126779893635272,5.180991593755361,3.9149082175330245,1.8733916623777664,1.7292846114256306,0.030880082346886256
2024-11-05,61.35583916563744,16.77988198161109,9.125840537944283,5.180458350487169,3.9145052833813643,1.8731988472622478,1.7393989296006587,0.03087690407575134
2024-11-14,61.372683596431024,16.78448867536033,9.128345916266301,5.161290322580645,3.9087165408373368,1.873713109128346,1.739876458476321,0.03088538091969801
2024-12-12,61.36426022508922,16.782185012352457,9.127093055174306,5.1743068899258855,3.9081800713697503,1.8734559429041997,1.7396376612681854,0.030881141916003295
2024-12-13,61.36215474352375,16.7816091954023,9.126779893635272,5.17412935323383,3.9080459770114944,1.8733916623777664,1.7395779722079259,0.03431120260765139
2024-12-19,61.36004940643656,16.78103341796473,9.126466753585397,5.300898922665203,3.9079118918547997,1.873327386262266,1.6160021958416249,0.03431002538941879
2024-12-20,61.35583916563744,16.77988198161109,9.125840537944283,5.307396733909702,3.907643749142308,1.8731988472622478,1.6158913132976533,0.03430767119527927
2024-12-23,61.353734261895774,16.779306322686885,9.125527462348623,5.3106453051562665,3.907509691584617,1.8731345843768226,1.6158358777316546,0.03430649421935572
2025-01-03,61.2948555368955,16.76320389347774,9.116770058607807,5.401514891866881,3.903759810809884,1.8713370120300235,1.6142852246632624,0.03427357164890153
2025-01-08,61.286453514272985,16.760906069017512,9.115520372845344,5.414482025975806,3.903224701004078,1.8710804975840445,1.614063945718104,0.03426887358212535
2025-01-09,61.29065423763665,16.76205490249837,9.116145172898317,5.407998903320881,3.903492237568114,1.8712087460159705,1.6141745776071832,0.03427122245450495
2025-01-14,61.28855380397532,16.761480466072655,9.115832762165867,5.411240575736806,3.90335846470185,1.8711446196024675,1.6141192597669638,0.034270047978067174
2025-01-17,61.242380658858984,16.748852818300115,9.108965139374016,5.485925621532772,3.9004177796041364,1.869734949660982,1.6129032258064515,0.030819806862543663
2025-01-24,61.240283532513786,16.748279286374686,9.108653220559532,5.485737766667808,3.9002842173749275,1.8696709242201144,1.6128479950689996,0.034243057220148615
2025-02-06,61.2381865497877,16.747705793726887,9.108341323106425,5.488974113135187,3.9001506642925627,1.8696069031639502,1.6127927681139569,0.03424188467333242
2025-02-10,61.25077060072608,16.751147338858825,9.110213028289609,5.472977601205562,3.90095212000822,1.8699910952804988,1.6131241865881225,0.030824029043085146
2025-02-12,61.25077060072608,16.751147338858825,9.110213028289609,5.469552709089664,3.90095212000822,1.8699910952804988,1.6165490787040209,0.030824029043085146
2025-02-18,61.240283532513786,16.748279286374686,9.108653220559532,5.485737766667808,3.9002842173749275,1.8696709242201144,1.6162723007910145,0.030818751498133755
2025-02-20,61.22770378992776,16.74483891951111,9.106782156184739,5.484610907596974,3.899483036050532,1.8692868636379196,1.6364819062617688,0.03081242082919648
2025-02-24,60.029538131041896,16.4171589688507,8.928571428571429,7.3241138560687435,3.823174006444683,1.8327067669172932,1.6145273899033297,0.030209452201933405
2025-02-25,60.031553153637006,16.41771004665839,8.92887113557786,7.32100298747944,3.823302339632775,1.8327682857238763,1.6145815850424623,0.03021046624819576
2025-02-27,60.01342281879195,16.41275167785235,8.926174496644295,7.348993288590604,3.822147651006711,1.832214765100671,1.6140939597315436,0.030201342281879193
2025-03-04,59.99530343184944,16.407796303129928,8.923479486061257,7.37025730484082,3.8209936596329963,1.831661578717837,1.6136066288704751,0.036901606897245795
2025-03-05,59.95909746203104,16.397894525094713,8.918094344050692,7.426157508297851,3.8186877661179466,1.8305562074630368,1.6126328494317228,0.036879337512991585
2025-03-06,59.94301994301995,16.393497569968158,8.915703033350091,7.450980392156863,3.8176638176638176,1.8300653594771243,1.6122004357298474,0.03686944863415451
2025-03-18,59.90888382687927,16.38416186520166,8.910625753718344,7.503684845236499,3.8154897494305238,1.8290231810263968,1.6112823261423022,0.03684845236500067
2025-03-19,59.90286384190253,16.382515491542453,8.909730363423213,7.512979400435437,3.815106347345503,1.8288393903868698,1.611120415340814,0.0368447496231787
2025-03-26,59.90687703078418,16.383613037215692,8.910327270291093,7.500083743677352,3.822061434361706,1.8289619133755401,1.6112283522594042,0.036847218035038355
2025-03-28,58.99584350465131,16.134459325724087,8.774823513887972,8.903476941347233,3.7639374546414195,1.8011479844296365,1.58672560533087,0.03958566998746454
2025-03-31,26.82063587282543,7.335032993401319,3.9892021595680864,4.08368326334733,1.7111577684463106,0.8188362327534494,0.7213557288542292,0.017996400719856028
2025-04-01,58.93751647772212,16.11850777748484,8.766148167677299,7.497363564460849,3.76021618771421,1.7993672554706037,1.5851568679145795,1.535723701555497
2025-04-07,58.92586490939045,16.11532125205931,8.764415156507413,7.482701812191103,3.7594728171334433,1.799011532125206,1.6177924217462933,1.5354200988467874
2025-04-08,58.918099756210054,16.113197601634052,8.763260196349739,7.4817157541016,3.7589774000131775,1.798774461355999,1.6307570666139553,1.5352177637214204
2025-04-10,58.927806517512934,16.115852252133514,8.764703944116775,7.466473359913012,3.759596691818511,1.7990708095818642,1.6310257339615801,1.535470690961811
2025-04-15,58.9064558629776,16.110013175230566,8.761528326745719,7.5,3.7582345191040845,1.7984189723320159,1.6304347826086956,1.5349143610013174
2025-04-16,58.78447227426618,16.076652532623346,8.743384939026393,7.691549156887881,3.7504519606876374,1.794694803273839,1.6270584754955135,1.5317358577392104
2025-04-23,58.76322534008017,16.07084182164684,8.740224748636393,7.724912926332392,3.7490964053361373,1.7940461326148387,1.626470394953013,1.5311822304002103
