date,CHINA INTERNATIONAL CAPITAL CORPORATION,VALUABLE CAPITAL LTD,CITIC SECURITIES BROKERAGE (HK) LTD,PHILLIP SECURITIES (HONG KONG) LTD,LIVERMORE HOLDINGS LTD,GRANSING SECURITIES CO LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,FIRST SHANGHAI SECURITIES LTD,GUOYUAN SECURITIES BROKERAGE (HONG KONG)
2025-04-07,37.38415555366614,34.866153473861836,18.404960137083958,0.4434299766512534,4.642280198039229,1.1543567976245757,1.2367641384181716,0.6906519990320408,0.6867278399466314,0.49051988567616533
2025-04-08,37.387089811429355,29.952186909285945,18.406404730290998,5.358205733646418,4.64264456755643,1.1544474023298252,1.23097451058625,0.6907062078528586,0.6867817407627856,0.49055838625913256
2025-04-09,37.06489599003994,29.69471390776573,18.247782331275612,5.236162265912745,5.33148311459252,1.4194376718369042,1.1717331534989885,0.6665974996109353,0.6808632048555273,0.48633086061109093
2025-04-10,37.0701843132677,29.698950672529413,18.250385877530903,5.236909347964253,5.334189397771638,1.4196401935224459,1.1563355253771224,0.6660440743478994,0.6809603486516985,0.48640024903692747
2025-04-11,37.06057030226798,29.691248362877186,18.2456527095193,5.234902810015949,5.395049081266128,1.419272015249556,1.1489036139891333,0.6373432576474708,0.6807837441809199,0.48627410298637136
2025-04-14,37.089186646335534,27.876585666547708,18.259741102423515,7.072640560620316,5.397268273691724,1.4203679070823736,1.1997534308795381,0.6553547675437174,0.5424520650163839,0.486649579859196
2025-04-15,37.08052493983172,27.872021589220957,18.25547677277475,7.0703401210501395,5.466717698879671,1.4200361982731218,1.2565601261101127,0.5494612425478914,0.5423253822550615,0.4865359290565744
2025-04-16,37.09375973419167,27.874831274011008,18.261992524140798,7.070267884954834,5.471913612293635,1.4205430381061157,1.2278060429861906,0.5496573564531202,0.5425189492264562,0.48670958363617484
2025-04-17,37.06153147896,27.813654930947283,18.24612591583998,7.064125008104778,5.603968099591519,1.419308824482915,1.2137716397588019,0.5491797964079621,0.5420475912598067,0.48628671464695583
2025-04-22,37.044718081659106,27.801036941023977,18.237848347375245,7.030460142579391,5.6843810758263125,1.4186649384316268,1.206092028515878,0.5489306545690213,0.5418016850291639,0.48606610499027864
2025-04-23,37.040637130063445,27.797974299655902,18.235839214085292,7.0296856470771205,5.703195370568376,1.4185086542636263,1.1975349443029608,0.5488701828055237,0.5417419986132442,0.4860125585645133
2025-04-24,37.04111719534718,27.799630625668275,18.236075559731717,7.029776755338108,5.782328354340149,1.4185270388491074,1.1158992968927195,0.5488772964391019,0.5417490198619707,0.4860188575316722
2025-04-25,37.03679705571719,27.79638832913246,18.23394866943557,6.9583303635645,5.847744811543869,1.4183615947334658,1.0995704094393293,0.5488132803742557,0.54168583517459,0.5183596508847752
2025-04-28,37.030078841158065,27.790050595681553,18.2306411593602,6.957068171364529,5.863527704536767,1.4181043139134886,1.1019622832192069,0.5487137295042142,0.5415875771729907,0.5182656240889861
2025-04-29,37.013293962999654,27.778101546969197,18.222377631434103,6.924775466065751,5.961885890786176,1.4174615200315999,1.0742661771276494,0.5484650102634834,0.5413420880522694,0.5180307062701142
2025-04-30,37.01065772264022,27.776123075329252,18.22107975809689,6.918454824464848,5.974411105787286,1.4173605625412775,1.074189663433522,0.5484259463099416,0.5413035314227995,0.5179938099739708
2025-05-02,36.998919030882064,27.76731330627674,18.21530056767061,6.896194600332706,6.014589846657734,1.4169110174702733,1.0835582655300309,0.5482520017347289,0.5411318458680441,0.5178295175770756
