date,BANK OF CHINA (HONG KONG) LTD,PHILLIP SECURITIES (HONG KONG) LTD,BOCI SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,HANG SENG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,MATRIX SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,UOB KAY HIAN (HONG KONG) LTD,VALUABLE CAPITAL LTD
2024-05-30,4.71,0.0,0.0,4.1209999999999996,0.0,6.21252975,29.010391749999997,7.619284499999999,0.0,10.643574749999999
2024-05-31,4.715,2.6605,1.2355,4.1419999999999995,0.8049999999999999,6.28852975,28.22089175,7.709284499999999,1.264,10.05107475
2024-06-03,4.8765,2.733,1.1905000000000001,4.165,0.0,6.34952975,31.455615875,7.9887844999999995,0.0,10.037574750000001
2024-06-04,4.8614999999999995,2.738,0.0,4.529,0.8,6.37852975,34.685185875,8.1842845,0.0,9.98607475
2024-06-05,4.098333333333333,2.2854166666666664,1.0116666666666667,3.9225000000000003,0.6354166666666666,5.329608125,44.9680715625,7.115653750000001,1.1054166666666667,8.169228958333333
2024-06-06,0.0,2.28375,0.9491666666666667,3.919583333333333,0.0,5.593358125,44.72473822916667,7.15315375,0.0,0.0
2024-06-07,4.1025,0.0,0.905,3.9908333333333332,0.6791666666666666,5.556691458333334,44.68140489583333,7.1427370833333335,0.0,0.0
2024-06-11,4.1425,2.2733333333333334,0.92625,4.0129166666666665,0.7104166666666667,5.564608125,44.47223822916666,7.138987083333332,0.0,8.185895625
2024-06-12,4.100416666666667,2.2870833333333334,0.9383333333333334,3.9816666666666665,0.6625,5.648774791666666,44.272654895833334,7.138570416666666,0.0,8.212978958333334
2024-06-13,4.112916666666667,0.0,1.0170833333333333,3.9837499999999997,0.0,5.825441458333333,44.2343215625,0.0,0.0,8.168812291666667
2024-06-14,4.144166666666667,0.0,1.0191666666666666,3.995,0.6604166666666667,5.8321081249999995,44.119738229166664,7.148987083333333,0.0,8.177978958333334
2024-06-17,4.1025,0.0,1.0179166666666666,3.997083333333333,0.0,5.852108125,0.0,0.0,0.0,8.178812291666667
2024-06-18,4.092083333333333,0.0,0.0,0.0,0.0,5.862108125,43.84098822916667,7.208570416666666,0.0,8.183395625000001
2024-06-19,3.7554166666666666,0.0,1.0316666666666667,3.9808333333333334,0.6916666666666667,5.856274791666666,43.776821562500004,7.232737083333333,0.0,8.175895625
2024-06-20,3.73,2.29125,1.0525,3.9804166666666667,0.0,5.938358125,43.5543215625,7.20690375,0.0,8.175062291666666
2024-06-21,3.76375,2.2849999999999997,0.0,0.0,0.0,5.958358125,43.4230715625,7.2277370833333325,0.0,0.0
2024-06-24,3.91,2.2866666666666666,1.1008333333333333,3.899583333333333,0.0,6.206274791666667,42.7818215625,7.353570416666666,1.1575,8.185062291666668
2024-06-25,3.9629166666666666,2.283333333333333,1.1441666666666666,3.86375,0.6291666666666667,6.546274791666666,41.9068215625,7.35565375,0.0,8.015895624999999
2024-06-26,4.041666666666666,2.2783333333333333,1.1741666666666666,3.87125,0.6258333333333334,6.630858125,41.5630715625,7.429820416666668,0.0,8.019645625
2024-06-27,4.077916666666667,2.2858333333333336,1.045,3.958333333333333,0.5820833333333333,6.874608124999999,40.6255715625,7.624820416666667,0.0,8.033812291666667
2024-06-28,4.057916666666666,2.296666666666667,1.0208333333333333,3.9120833333333334,0.56375,6.814608125,0.0,7.606070416666667,0.0,8.060478958333334
2024-07-02,4.121666666666666,2.2983333333333333,1.0104166666666665,3.8754166666666667,0.6683333333333333,7.072524791666666,0.0,7.5977370833333335,1.1741666666666666,8.067145625
2024-07-03,4.101666666666667,0.0,0.0,3.8804166666666666,0.0,7.130024791666667,0.0,7.61440375,0.0,8.064228958333333
2024-07-04,4.109166666666667,2.29625,1.0274999999999999,3.3854166666666665,0.0,7.3721081250000005,0.0,7.556903750000001,0.0,8.054645625
2024-07-05,4.0875,0.0,1.0395833333333333,3.3933333333333335,0.6641666666666667,7.332941458333334,0.0,7.573570416666667,1.1795833333333334,8.043395624999999
2024-07-08,4.189583333333333,2.2891666666666666,1.1083333333333334,1.9320833333333332,0.6758333333333333,7.7400247916666665,0.0,7.795237083333334,0.0,8.055062291666665
2024-07-09,4.239583333333333,2.2816666666666667,1.1041666666666667,1.9425000000000001,0.6754166666666667,7.7175247916666665,40.34890489583333,0.0,0.0,8.054645625
2024-07-10,4.229166666666666,2.2733333333333334,0.0,2.07125,0.67875,7.637108125,39.82473822916667,7.7485704166666665,0.0,8.057978958333333
2024-07-11,4.20125,2.30875,1.1458333333333333,2.2795833333333335,0.7145833333333333,7.711274791666667,39.23223822916667,8.044820416666667,0.0,7.637145625
