date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,CMBC SECURITIES CO LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,MIDAS SECURITIES LTD
2024-06-20,523865802.0,2931996000.0,207141060.0,86546267.0,77900400.0,0.0,0.0,0.0
2024-06-21,527209065.0,2972278000.0,208641060.0,75099618.0,83382400.0,0.0,15433838230.0,0.0
2024-06-24,523182165.0,2962918000.0,209573060.0,209404331.0,82840400.0,0.0,0.0,0.0
2024-06-25,534027470.0,2955884000.0,226387060.0,69472735.0,101374400.0,0.0,15432678230.0,0.0
2024-06-26,536085027.0,2956574000.0,239679060.0,100967095.0,109300400.0,0.0,0.0,0.0
2024-06-27,541079269.0,2900996000.0,238901060.0,135915202.0,105774400.0,0.0,0.0,0.0
2024-06-28,542607918.0,2968908000.0,241955060.0,88763946.0,110394400.0,0.0,0.0,0.0
2024-07-02,539968819.0,2884556000.0,257581060.0,115687511.0,125908400.0,0.0,15433136230.0,0.0
2024-07-03,543304819.0,2738182000.0,299037060.0,147511664.0,129896400.0,1120079659.0,15398136230.0,0.0
2024-07-04,558263125.0,2721496000.0,298187060.0,135683233.0,131028400.0,1142179659.0,0.0,0.0
2024-07-05,564051435.0,2674382000.0,298429060.0,137359552.0,130936400.0,1209379659.0,0.0,0.0
2024-07-08,560885435.0,2602296000.0,299633060.0,100636607.0,132270400.0,1299379659.0,0.0,0.0
2024-07-09,558091996.0,2564716000.0,300285060.0,92265714.0,132850400.0,1359379659.0,15388336230.0,0.0
2024-07-10,552690996.0,2474758000.0,299985060.0,82293200.0,132360400.0,1468893659.0,0.0,0.0
2024-07-11,542383996.0,2341504000.0,299673060.0,119796478.0,131148400.0,1551425659.0,0.0,0.0
2024-07-12,536650996.0,2382572000.0,299323060.0,104871545.0,133132400.0,1551837659.0,0.0,0.0
2024-07-15,537165026.0,2347874000.0,298045060.0,121513299.0,132672400.0,1534090262.0,15388038230.0,0.0
2024-07-16,543065166.0,2394220000.0,298351060.0,77614060.0,138462400.0,0.0,0.0,0.0
2024-07-17,517812659.0,2432786000.0,298477060.0,95100398.0,138826400.0,0.0,0.0,0.0
2024-07-18,517062733.0,2392218000.0,299357060.0,83825163.0,136500400.0,1624090262.0,15377888230.0,0.0
2024-07-19,527347526.0,2234574000.0,297489060.0,90486285.0,136184400.0,1684648262.0,0.0,0.0
2024-07-22,527430887.0,2202534000.0,297279060.0,92572543.0,135090400.0,1697928262.0,0.0,0.0
2024-07-23,521532787.0,2181856000.0,296889060.0,81789491.0,135334400.0,1757928262.0,0.0,0.0
2024-07-24,505523817.0,2206064000.0,296759060.0,78696231.0,134448400.0,0.0,0.0,0.0
2024-07-25,505860818.0,2216446000.0,296613060.0,77292231.0,133546400.0,0.0,0.0,0.0
2024-07-26,489796818.0,2220702000.0,296253060.0,74450231.0,133118400.0,0.0,0.0,0.0
2024-07-29,491154003.0,2146216000.0,293809060.0,102109103.0,129248400.0,0.0,0.0,0.0
