date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BNP PARIBAS,STANDARD CHARTERED BANK (HONG KONG) LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,CLSA LTD,DBS BANK (HONG KONG) LTD,HANG SENG BANK LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,UBS SECURITIES HONG KONG LTD
2024-06-26,64.11691569338149,15.20903147401852,3.954618498411913,5.000463605632454,2.1834548883973937,2.7744951086085994,2.7710805328341066,2.322937085541425,0.07920877188168174,1.5877943412924134
2024-06-27,63.8738378591878,15.31123255797062,3.9755341866232334,5.027646931752462,2.211581317667542,2.7851541417260868,2.7804187368359483,2.3318613266575117,0.11419899741015752,1.5885339441686395
2024-06-28,64.00927016355786,15.190894939031525,3.980619979097782,5.0237272001523925,2.192171682730945,2.7859662724452643,2.7812294867454534,2.3325412804840773,0.11454300777910813,1.5890359879755929
2024-07-02,63.9799739350366,15.152162791102478,3.976287359705187,5.020390373446226,2.2632891310162764,2.782739328544163,2.7780080293938036,2.3298395321055803,0.11461723487798739,1.6026922847717018
2024-07-03,64.0849100420151,15.129561369237535,3.9608253891206013,5.017052126151529,2.1843317242811975,2.779285419247839,2.7745599925404902,2.3269477576816024,0.11550819198310504,1.6270179877410085
2024-07-04,63.94149281891984,15.28277380082864,3.9699510901822506,5.008519253655739,2.17990692380548,2.7771893989937726,2.772467536004644,2.3252931213761463,0.11531783658888158,1.6270882196446093
2024-07-05,63.92982517514619,15.090082870806784,3.919969577081443,4.992012896965941,2.414578111220927,2.773926361088905,2.769210046017365,2.322561035621488,0.14312858690211255,1.6447053391488453
2024-07-08,64.18031028892572,15.082810612298884,3.925716244281837,4.989088152119659,2.1762947689804935,2.7731028981317603,2.7678734949114516,2.3214400583503068,0.14295643341659592,1.6404070485832958
2024-07-09,64.18642220027309,15.086313798828158,3.9240930802041523,4.986701556899022,2.176116675859518,2.7723606440133963,2.7676469910222727,2.3212500875287794,0.14284167037898832,1.6362532949926265
2024-07-10,64.33178037552517,15.03038555264466,3.8898083736246507,4.981100862428369,2.1669960878777004,2.765062676170757,2.76036143140943,2.3151396240398068,0.11800088373327784,1.641364132546176
2024-07-11,64.40347991273002,15.057270623828423,3.772524040701141,5.017537365450962,2.172965800401403,2.763503735337187,2.7589078763313855,2.313834349578423,0.1178316197028966,1.622144675938153
2024-07-12,64.4592152732394,15.074615493952972,3.7498508195823352,5.005317936422951,2.163034240787407,2.756999454080206,2.7524144120525786,2.3114632281264154,0.11734930019718591,1.6097398415585558
2024-07-15,64.4494283229339,15.103017464828646,3.7466996727750406,4.998907162282209,2.1622314766184525,2.7566293541282714,2.752044927597261,2.311152937013241,0.11733354721243353,1.602555134610543
2024-07-16,64.4000437065016,15.159885344579777,3.754416827904917,4.993832602759664,2.1656391964568567,2.754056843708174,2.7488120184664124,2.3055907547770906,0.1160978265127627,1.6016248783327396
2024-07-17,64.41887078547286,15.13780537561378,3.744668143335337,4.9953975714860315,2.1650306232263086,2.7532829173435096,2.7490631182687713,2.3049428533093614,0.11616755671960066,1.6147710552244388
2024-07-18,64.45279631354003,15.140642069847296,3.750820484666163,4.995982837148645,2.160153427902374,2.753154199679999,2.7489345978834527,2.304835095818573,0.11616212581514018,1.576518847698323
2024-07-19,64.4789823236446,15.10854435816925,3.7501390215949706,4.993671654215089,2.1571999143976215,2.7639613789692614,2.748282249024174,2.304288136081247,0.11582758094652057,1.5791033829572656
2024-07-22,67.81855722672843,13.693147535472349,3.3959995438016763,4.528532251025498,1.9567298367534822,2.496117031897911,2.492291376250505,2.089653437884984,0.10513152636501205,1.4238402338201535
2024-07-23,67.85405133065373,13.689479900812158,3.4016977315394796,4.528209540745254,1.9556724550801219,2.49542781243746,2.4916959824024385,2.0890764497884393,0.1088132692079503,1.3858755273329704
2024-07-24,67.81486977128277,13.721881395030078,3.413167828272913,4.525929858764519,1.9546878912661128,2.494171514166134,2.4904415628837646,2.0880247250623394,0.10885121083303584,1.3879742424383363
2024-07-25,67.84747140170617,13.717512849430754,3.3887764926474375,4.524098019891892,1.9578008233424329,2.4943884744411107,2.4906581987018024,2.0882063558828086,0.10886067946360106,1.382226704491992
2024-07-26,67.92075824256787,13.615892045846214,3.4095312319173274,4.524264828872927,1.9522084557015313,2.491620477378573,2.4878943410876277,2.085889094911519,0.10670206750869361,1.4052392142077177
2024-07-29,67.9145738398908,13.64046981904113,3.3750197282345304,4.523690164852606,1.95271758201875,2.492033797284996,2.488307042887756,2.085864538042732,0.11024020586232948,1.417083281884368
2024-07-30,67.92946759695377,13.642301118799447,3.376008878679135,4.505292106787859,1.9550245195120477,2.4932035999137483,2.489567782713754,2.086843677981557,0.11029195447133809,1.4119987641873373
2024-07-31,67.86605896597146,13.663905186423248,3.3826332068429243,4.498980850429401,1.9880141957537578,2.4945047130428137,2.489478776557025,2.0867690698761816,0.11705389114361729,1.4126011439595698
2024-08-01,68.06367965915769,13.533221807090701,3.35063779435687,4.491434782640252,1.9569007868022195,2.4921255455066222,2.4884014228405626,2.0843915580287247,0.12247518980907177,1.4167314537672875
