date,THE HONGKONG AND SHANGHAI BANKING,CHANGJIANG SECURITIES BROKERAGE (HK) LTD,BOCI SECURITIES LTD,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,TOTAL_CCASS_PCT
2024-11-04,5.072419920100446,0.0,1.5039592147068546,1.4413054671977392,0.09256310527951649,8.110247707284556
2024-11-05,5.076436087891499,0.0,1.4942056643571535,1.4420704515388922,0.09638802698528162,8.109100230772826
2024-11-06,5.085424653900047,0.0,1.4942056643571535,1.4420704515388922,0.09638802698528162,8.118088796781374
2024-11-18,5.116597765802033,0.0,1.4942056643571535,1.4420704515388922,0.09638802698528162,8.14926190868336
2024-11-21,5.116597765802033,0.0,1.4942056643571535,1.4420704515388922,0.09543179655884033,8.14830567825692
2024-12-04,5.116597765802033,0.0,1.4942056643571535,1.4420704515388922,0.10327288605565887,8.156146767753738
2024-12-09,5.116597765802033,1.7017076668949125,1.4942056643571535,1.4422616976241804,0.10327288605565887,9.85804568073394
2024-12-10,5.116597765802033,1.701516420809624,1.4942056643571535,1.4414967132830276,0.10346413214094716,9.857280696392785
2024-12-11,5.116597765802033,1.701516420809624,1.4942056643571535,1.4413054671977392,0.10346413214094716,9.857089450307496
2024-12-12,5.116406519716745,1.701516420809624,1.4942056643571535,1.4413054671977392,0.10327288605565887,9.856706958136922
2025-01-02,6.07263694615803,1.701516420809624,1.4942056643571535,1.4413054671977392,0.10327288605565887,10.812937384578207
2025-01-08,6.07378442266976,1.701516420809624,1.4942056643571535,1.4413054671977392,0.10212540954392935,10.812937384578207
2025-02-12,6.07378442266976,1.701516420809624,1.4942056643571535,1.4413054671977392,0.1023166556292176,10.813128630663495
2025-02-13,6.07378442266976,1.701516420809624,1.4942056643571535,1.4413054671977392,0.10250790171450586,10.813319876748782
2025-02-18,6.07378442266976,1.701516420809624,1.4942056643571535,1.4413054671977392,0.818724491119029,11.529536466153306
2025-02-19,6.073593176584472,1.701516420809624,1.4942056643571535,1.441879205453604,0.8206369519719117,11.531831419176765
2025-02-21,6.073593176584472,1.701516420809624,1.486364574860335,1.441879205453604,0.8206369519719117,11.523990329679947
2025-02-24,6.073593176584472,1.701516420809624,1.4576776620670964,1.441879205453604,0.8206369519719117,11.495303416886708
2025-02-25,6.073593176584472,1.701516420809624,1.4385530535382707,1.4424529437094686,0.8286692875540184,11.484784882195855
2025-02-26,6.073593176584472,1.701516420809624,1.4385530535382707,1.4424529437094686,0.8303905023216127,11.48650609696345
2025-02-27,6.073593176584472,1.701516420809624,1.4385530535382707,1.4424529437094686,0.8307729944921892,11.486888589134024
2025-02-28,6.073593176584472,1.701516420809624,1.4385530535382707,1.442644189794757,0.8252268580188299,11.481533698745954
2025-03-03,6.073593176584472,1.701516420809624,1.4385530535382707,1.442644189794757,0.9365320796565956,11.59283892038372
2025-03-04,6.073593176584472,1.701516420809624,1.4385530535382707,1.4424529437094686,0.9464768760915848,11.602592470733422
2025-03-05,6.073593176584472,1.701516420809624,1.4385530535382707,1.441879205453604,0.9648365002792576,11.620378356665228
2025-03-06,6.073593176584472,1.701516420809624,1.4385530535382707,1.3940676841315396,0.927926005818624,11.53565634088253
2025-03-07,6.073593176584472,1.701516420809624,1.4385530535382707,1.3959801449844222,0.8998128312812501,11.50945562719804
2025-03-10,6.073593176584472,1.701516420809624,1.4385530535382707,1.3959801449844222,0.912435072910275,11.522077868827065
2025-03-11,6.073593176584472,1.701516420809624,1.4385530535382707,1.396553883240287,0.9082276590339333,11.518444193206587
2025-03-14,6.073593176584472,1.701516420809624,1.4385530535382707,1.3944501763021162,0.8913980035285667,11.49951083076305
2025-03-20,6.107061241509917,1.701516420809624,1.4385530535382707,1.3944501763021162,0.881835699264154,11.523416591424082
2025-03-21,6.11662354577433,1.701516420809624,1.400303836480619,1.3944501763021162,0.9112875963985455,11.524181575765235
2025-03-26,6.122934666588843,1.701516420809624,1.400303836480619,1.3944501763021162,0.912435072910275,11.531640173091477
2025-03-28,6.1227434205035545,1.701516420809624,1.400303836480619,1.3944501763021162,0.912435072910275,11.531448927006188
2025-03-31,6.1227434205035545,1.701516420809624,1.400303836480619,1.395023914557981,0.9141562876778694,11.533743880029649
2025-04-01,6.122552174418265,1.701516420809624,1.400303836480619,1.3946414223874044,0.9139650415925812,11.532978895688494
2025-04-09,6.122360928332977,1.701516420809624,1.400303836480619,1.3959801449844222,0.9141562876778694,11.534317618285513
2025-04-10,6.122360928332977,1.701516420809624,1.400303836480619,1.3959801449844222,0.9269697753921826,11.547131105999826
2025-04-14,6.122169682247689,1.701516420809624,1.400303836480619,1.3959801449844222,0.911670088569122,11.531640173091477
2025-04-15,6.122169682247689,1.701516420809624,1.400303836480619,1.3959801449844222,0.92065865457767,11.540628739100026
2025-04-22,6.122169682247689,1.701516420809624,1.400303836480619,1.3959801449844222,0.9355758492301542,11.555545933752509
2025-04-25,6.122169682247689,1.701516420809624,1.400303836480619,1.3959801449844222,0.9468593682621613,11.566829452784516
2025-04-28,6.122552174418265,1.701516420809624,1.400303836480619,1.3959801449844222,0.9468593682621613,11.567211944955092
