date,BOCI SECURITIES LTD,LUK FOOK SECURITIES (HK) LTD,KGI ASIA LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,REALINK FINANCIAL TRADE LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD
2024-07-18,37.2425351739955,32.620297269880474,0.0,9.48484982137344,7.731663211749658,3.79746835443038,3.4269836369249767,3.052088387068319,2.6441141445772502
2024-07-19,37.22939905647899,32.644063312905075,0.0,9.481504342842026,7.728936113927958,3.7961289184780216,3.4257748776508974,3.0510118601472596,2.643181517569772
2024-07-22,35.69571558411363,31.29927501003995,0.0,13.21045845575025,7.410538775337659,3.6397455137283083,3.2846483904377415,2.9253239204413353,2.5342943501511277
2024-07-23,35.67987830643117,31.32975576776811,0.0,13.204597312600356,7.407250908476295,3.6381306515676495,3.2831910758049525,2.924026028902223,2.533169948449252
2024-07-25,35.67987830643117,31.382574157018507,0.0,13.151778923349951,7.407250908476295,3.6381306515676495,3.2831910758049525,2.924026028902223,2.533169948449252
2024-07-26,35.67912450087677,31.4896583778759,0.0,13.045866520186761,7.40709441615786,3.6380537891111913,3.2831217121247334,2.9239642532693892,2.533116430397397
2024-07-29,35.65050347258871,31.6206117666927,0.0,12.959405543475967,7.401152603913787,3.635135420404889,3.280488062316607,2.9216187118701313,2.531084418737202
2024-08-01,35.65125606924214,31.6233903314334,0.0,12.955457040320878,7.401308845260714,3.63521215959468,3.2805573147561744,2.921680388431497,2.5311378509605236
2024-08-14,35.64899837460157,31.627720431469402,0.0,12.954636607350178,7.400840141008591,3.6349819517446647,3.2803495662085997,2.9214953665590104,2.5309775610579868
2024-08-22,35.64899837460157,31.659384037320837,0.0,12.954636607350178,7.400840141008591,3.6033183458932303,3.2803495662085997,2.9214953665590104,2.5309775610579868
2024-10-08,35.64975090770919,31.6600523516001,0.0,12.954910073461114,7.39888541754623,3.6033944102001185,3.2804188128008107,2.921557037912691,2.5310309887697375
2024-10-09,35.66405507570798,31.672755686017783,0.0,12.917872151711613,7.403965957806263,3.6048402424344816,3.281735053745275,2.9227292885350455,2.5320465440415605
2024-10-10,31.937667839176974,28.363402549264343,10.34645788418624,11.55111766708272,6.654941563599229,3.2281856348575966,2.938840349483717,2.6173455879571845,2.3620409243919966
2024-10-21,31.914732784035078,28.34303424295109,10.386272582961675,11.54282258674125,6.650162521732557,3.225867412502835,2.936729911557941,2.640033260261547,2.3603446972560285
2024-10-22,31.934044323424853,28.360184554874817,10.394448226306634,11.549807125028364,6.591785795325618,3.2278193782618563,2.938506920807806,2.6416307389758718,2.361772936994176
2024-10-23,31.92136849069086,28.3489273225593,10.430016066534355,11.545222568755316,6.589169265664871,3.2265381343918342,2.93734051601928,2.64058217559777,2.3608354597864096
2024-10-25,31.936459909228443,28.36232980332829,10.46142208774584,11.533661119515886,6.563918305597579,3.228063540090772,2.950075642965204,2.6021180030257187,2.361951588502269
2024-11-01,31.92981792743567,28.356431150857425,10.515966799644552,11.531262407592974,6.468019133690042,3.2273921839254314,2.949462101302679,2.660187933674916,2.3614603618763117
2024-11-18,31.885207212310018,28.31681298971019,10.501274426508072,11.654866421221561,6.458982346832815,3.222883035967148,2.9453412630982725,2.6564712546020957,2.358161049749835
2024-12-04,31.90026445032112,28.330185115224783,10.510011333585192,11.609369097091045,6.4620324896108805,3.224404986777484,2.9467321496033247,2.657725727238383,2.35927465054779
2024-12-05,31.92559265000567,28.35267874021702,10.70361828424515,11.412529774282582,6.455820635940867,3.2269651026503836,2.9490717985557113,2.6598359106204397,2.313887103482173
2024-12-06,31.93066031493979,28.35214276262311,10.703415943590617,11.408533242594379,6.455698595436586,3.2269041002665455,2.9490160494527307,2.659785629217944,2.313843361878296
2024-12-09,31.930056710775045,28.351606805293006,10.703213610586012,11.410207939508506,6.455576559546314,3.2268431001890354,2.9489603024574667,2.659735349716446,2.3137996219281662
2024-12-11,31.932471264367816,28.353750756200846,10.704022988505747,11.403508771929824,6.456064730792499,3.227087114337568,2.9491833030852996,2.6599364791288567,2.3139745916515424
2024-12-12,31.935489969938175,28.356431150857425,10.70503488306139,11.404586791703693,6.447221644514189,3.2273921839254314,2.949462101302679,2.660187933674916,2.314193341022102
2024-12-18,31.934886183165695,28.35589503138471,10.704832488845193,11.151024729637752,6.689102321712167,3.227331165393632,2.9626408530590638,2.6601376389624143,2.3141495878393705
2024-12-23,31.93669761197981,28.357503450623,10.705439694454423,11.09871617916769,6.68948174478625,3.2747830361700916,2.962808901661971,2.6602885288056117,2.3142808523511507
2025-01-02,31.93850924630337,28.359112052338993,10.706046968952085,11.09367318382937,6.689861210906479,3.2749688008168514,2.9629769693302577,2.6604394357675,2.3144121317550956
2025-01-03,32.00083360172783,28.60390656082451,10.726938597654549,10.730727696417407,6.70291571149802,3.2813595286361137,2.9687588807002254,2.665630979671485,2.318928442869863
2025-01-17,31.917989417989418,28.529856386999242,10.956160241874528,10.702947845804989,6.685563114134542,3.235071806500378,3.000755857898715,2.6587301587301586,2.312925170068027
2025-01-24,31.899303129308226,28.513153670374496,11.008290683839776,10.69668183792563,6.6816490717833465,3.233177843666786,2.9989990746161546,2.657173613340636,2.311571075144945
2025-02-04,31.899303129308226,28.513153670374496,11.055504145341919,10.69668183792563,6.634435610281203,3.233177843666786,2.9989990746161546,2.657173613340636,2.311571075144945
2025-02-13,31.897495939872343,28.511538316274503,11.054877818483968,10.696075839407788,6.634059749971674,3.2386599690297238,2.9988291724893306,2.657023076632549,2.311440117838124
2025-02-17,31.867406233491813,28.48464266847785,11.044449475511282,10.685985963323523,6.627801675345257,3.3299373632178706,2.9960003018640102,2.654516640253566,2.309259678514829
2025-03-24,31.867406233491813,28.48464266847785,11.044449475511282,10.685985963323523,6.386310467134555,3.401630065655422,3.1657988076371595,2.654516640253566,2.309259678514829
2025-03-25,31.888463063301174,28.503464290434028,11.05174724839057,10.69304687647492,6.390530310181426,3.3321376654269477,3.1735543431063453,2.656270648870094,2.3107855538144952
2025-03-27,31.86379928315412,28.481418600264103,11.043199396340313,10.684776457272212,6.479909451046972,3.331446896811922,3.152235427277872,2.6542161856253537,2.3089983022071308
2025-03-31,13.101212313945101,11.710502842693927,4.540553956890333,4.3931837396356075,2.664298401420959,1.368991755024161,1.2960822791191915,1.0913152404073623,0.9493744522093898
2025-04-09,31.863198204146308,28.48088132651714,11.042991077323574,10.68457489954915,6.479787213974459,3.329497651430835,3.1559487653505878,2.6541661164663934,2.3089547452415538
2025-04-10,31.828472248424706,28.483567897973817,11.04403275100932,10.685582764215372,6.508697128626947,3.3298117194279895,3.156246462664604,2.6544164811530773,2.3091725465041693
2025-04-23,31.821183929953012,28.490555356367825,11.046742022531278,10.686317060743871,6.510293812390315,3.3306285735851904,3.174004113750873,2.6305361085426378,2.309739022134999
2025-04-24,31.82058346227875,28.490017737857116,11.046533569838095,10.686115409291617,6.5101709627505,3.2833905725176438,3.1739442201003887,2.679548628146583,2.309695437219308
2025-04-25,31.816981132075473,28.48679245283019,11.045283018867924,10.684905660377359,6.509433962264151,3.283018867924528,3.1735849056603773,2.690566037735849,2.309433962264151
2025-04-29,31.815780536583528,28.48571752009358,11.044866231462963,10.684502471604846,6.5091883325157545,3.2828949850949023,3.1734651522584056,2.6942379532847816,2.3093468171012415
2025-05-02,31.812179293691518,28.48249320857229,11.043616057953516,10.6832930878358,6.508451554482342,3.2825233926954427,3.173105946272261,2.7052520374283127,2.309085421068518
