date,GET NICE SECURITIES LTD,CORNERSTONE SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,YUANTA SECURITIES (HONG KONG) CO LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,THE HONGKONG AND SHANGHAI BANKING,I WIN SECURITIES LTD,BOCI SECURITIES LTD,TFI SECURITIES AND FUTURES LTD,TOTAL_CCASS_PCT
2024-04-11,82.19193548387096,0.0,0.5391129032258065,0.0,0.059274193548387095,0.4830645161290323,0.0,0.23588709677419356,0.04395161290322581,83.55322580645162
2024-04-12,82.19193548387096,5.1322580645161295,0.5362903225806451,0.0,0.059274193548387095,0.4846774193548387,0.0,0.23588709677419356,0.04395161290322581,88.68427419354839
2024-04-15,82.19193548387096,5.143548387096774,0.5362903225806451,0.0,0.059274193548387095,0.4846774193548387,0.0,0.23588709677419356,0.04395161290322581,88.69556451612904
2024-04-16,82.19193548387096,5.148387096774194,0.5362903225806451,0.0,0.059274193548387095,0.4846774193548387,0.0,0.23588709677419356,0.04395161290322581,88.70040322580645
2024-04-17,82.19233870967741,5.148387096774194,0.5362903225806451,0.0,0.059274193548387095,0.4846774193548387,0.0,0.23588709677419356,0.04395161290322581,88.7008064516129
2024-04-18,82.19233870967741,5.154435483870968,0.5375,0.0,0.059274193548387095,0.48064516129032264,0.0,0.23588709677419356,0.04395161290322581,88.70403225806452
2024-04-22,82.19233870967741,5.158467741935484,0.5375,0.0,0.059274193548387095,0.4774193548387097,0.0,0.23588709677419356,0.04395161290322581,88.70483870967743
2024-04-23,82.19233870967741,5.159274193548387,0.5375,0.0,0.059274193548387095,0.4766129032258064,0.0,0.23588709677419356,0.04395161290322581,88.70483870967743
2024-04-24,82.19233870967741,5.175403225806452,0.5375,0.0,0.059274193548387095,0.4766129032258064,0.0,0.23588709677419356,0.04395161290322581,88.72096774193548
2024-04-26,82.19233870967741,5.21733870967742,0.5375,0.0,0.059274193548387095,0.4685483870967742,0.0,0.23588709677419356,0.04395161290322581,88.75483870967741
2024-04-29,82.19233870967741,5.2375,0.5338709677419354,0.0,0.059274193548387095,0.4685483870967742,0.0,0.23588709677419356,0.04395161290322581,88.77137096774193
2024-04-30,82.19233870967741,5.238306451612903,0.5330645161290323,0.0,0.059274193548387095,0.4685483870967742,0.0,0.23588709677419356,0.04395161290322581,88.77137096774193
2024-05-02,82.19233870967741,5.272177419354838,0.5282258064516129,0.0,0.059274193548387095,0.4451612903225806,0.0,0.23588709677419356,0.04395161290322581,88.77701612903226
2024-05-03,82.19233870967741,5.283870967741936,0.5266129032258065,0.0,0.059274193548387095,0.43870967741935485,0.0,0.23588709677419356,0.04395161290322581,88.78064516129032
2024-05-06,82.19233870967741,5.2854838709677425,0.5290322580645161,0.0,0.059274193548387095,0.43870967741935485,0.0,0.23588709677419356,0.04395161290322581,88.78467741935484
2024-05-07,82.19233870967741,5.290725806451613,0.5290322580645161,0.0,0.059274193548387095,0.43870967741935485,0.0,0.23588709677419356,0.04395161290322581,88.7899193548387
2024-05-08,82.19233870967741,5.306854838709677,0.5088709677419354,0.0,0.1786290322580645,0.43870967741935485,0.12903225806451613,0.23588709677419356,0.04395161290322581,89.03427419354838
2024-05-09,82.16451612903226,5.346370967741936,0.5040322580645161,0.0,0.1786290322580645,0.4391129032258065,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.20282258064516
2024-05-10,82.16451612903226,5.347177419354838,0.5016129032258064,0.0,0.1786290322580645,0.4391129032258065,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.20120967741936
2024-05-13,82.16451612903226,5.347177419354838,0.502016129032258,0.0,0.1786290322580645,0.4391129032258065,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.20161290322581
2024-05-14,82.16451612903226,5.356854838709677,0.49758064516129036,0.0,0.1786290322580645,0.4391129032258065,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.20685483870969
2024-05-20,82.16451612903226,5.356854838709677,0.4995967741935484,0.0,0.1786290322580645,0.4254032258064516,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.19516129032257
2024-05-21,82.16451612903226,5.374596774193549,0.5004032258064516,0.0,0.1786290322580645,0.4145161290322581,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.20282258064516
2024-05-22,82.16451612903226,5.374596774193549,0.5076612903225806,0.0,0.1786290322580645,0.41048387096774197,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.20604838709677
2024-05-23,82.16451612903226,5.374596774193549,0.5165322580645161,0.0,0.1786290322580645,0.4020161290322581,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.20645161290322
2024-05-27,82.16612903225806,5.374596774193549,0.5229838709677419,0.0,0.1786290322580645,0.40161290322580645,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.21411290322581
2024-05-28,82.16612903225806,5.374596774193549,0.525,0.0,0.1786290322580645,0.4,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.21451612903226
2024-05-29,82.16612903225806,5.374596774193549,0.5233870967741936,0.0,0.1786290322580645,0.4,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.21290322580646
2024-05-30,82.16653225806452,5.374596774193549,0.521774193548387,0.0,0.1786290322580645,0.4,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.21169354838709
2024-06-03,82.16653225806452,5.374596774193549,0.5225806451612903,0.0,0.1786290322580645,0.4,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.21249999999999
2024-06-06,82.16814516129031,5.374596774193549,0.5225806451612903,0.0,0.1786290322580645,0.40080645161290324,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.21491935483871
2024-06-07,82.16895161290323,5.374596774193549,0.5233870967741936,0.0,0.1786290322580645,0.3983870967741936,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.21411290322581
2024-06-11,82.16975806451613,5.374596774193549,0.5233870967741936,0.0,0.1786290322580645,0.3959677419354839,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.21249999999999
2024-06-12,82.17096774193548,5.374596774193549,0.5266129032258065,0.0,0.1786290322580645,0.3939516129032258,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.21491935483871
2024-06-14,82.17096774193548,5.374596774193549,0.5270161290322581,0.0,0.1786290322580645,0.3939516129032258,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.21532258064516
2024-06-17,82.17096774193548,5.374596774193549,0.5274193548387097,0.0,0.1786290322580645,0.39354838709677414,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.21532258064516
2024-06-18,82.17177419354839,5.374596774193549,0.5245967741935484,0.0,0.1786290322580645,0.39314516129032256,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.21290322580646
2024-06-20,82.17177419354839,5.374596774193549,0.5278225806451613,0.0,0.1786290322580645,0.39233870967741935,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.21532258064516
2024-06-25,82.17177419354839,5.374596774193549,0.5282258064516129,0.0,0.1786290322580645,0.3919354838709677,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.21532258064516
2024-06-26,82.17177419354839,5.374596774193549,0.5286290322580646,0.0,0.1786290322580645,0.3915322580645161,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.21532258064516
2024-06-27,82.17177419354839,5.374596774193549,0.532258064516129,0.0,0.1786290322580645,0.3915322580645161,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.21895161290323
2024-07-02,82.17177419354839,5.374596774193549,0.532258064516129,0.0,0.1786290322580645,0.3919354838709677,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.21935483870968
2024-07-08,82.1741935483871,5.374596774193549,0.5358870967741935,0.0,0.1786290322580645,0.38548387096774195,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.21895161290323
2024-07-09,82.17540322580645,5.374596774193549,0.5463709677419355,0.0,0.1786290322580645,0.37459677419354837,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.21975806451613
2024-07-10,82.17298387096774,5.3762096774193555,0.5475806451612903,0.0,0.1786290322580645,0.3713709677419355,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.21693548387097
2024-07-11,82.17217741935484,5.3762096774193555,0.5459677419354838,0.0,0.1786290322580645,0.35766129032258065,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.2008064516129
2024-07-15,82.17056451612903,5.3762096774193555,0.5459677419354838,0.0,0.1786290322580645,0.35766129032258065,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.1991935483871
2024-07-16,82.17217741935484,5.3762096774193555,0.5447580645161291,0.0,0.1786290322580645,0.35766129032258065,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.19959677419355
2024-07-25,82.17217741935484,5.3762096774193555,0.5451612903225806,0.0,0.27661290322580645,0.35766129032258065,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.29798387096774
2024-08-02,82.17217741935484,5.3762096774193555,0.5455645161290322,0.0,0.27661290322580645,0.35766129032258065,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.29838709677419
2024-08-13,82.17217741935484,5.3762096774193555,0.5455645161290322,0.0,0.27056451612903226,0.35766129032258065,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.29233870967742
2024-08-27,82.17217741935484,5.3762096774193555,0.5455645161290322,0.0,0.27056451612903226,0.3560483870967742,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.2907258064516
2024-08-29,82.17217741935484,5.3762096774193555,0.5455645161290322,0.0,0.27056451612903226,0.3556451612903226,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.29032258064517
2024-09-05,82.17217741935484,5.3762096774193555,0.5451612903225806,0.0,0.27056451612903226,0.34838709677419355,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.28266129032258
2024-09-09,82.17217741935484,5.3762096774193555,0.5455645161290322,0.0,0.27056451612903226,0.34798387096774197,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.28266129032258
2024-09-19,82.17217741935484,5.3762096774193555,0.5463709677419355,0.0,0.27056451612903226,0.34798387096774197,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.28346774193548
2024-09-25,82.17217741935484,5.3762096774193555,0.5479838709677419,0.0,0.27056451612903226,0.34798387096774197,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.28508064516129
2024-09-27,82.17338709677419,5.3762096774193555,0.5528225806451613,0.0,0.27056451612903226,0.34798387096774197,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.29112903225807
2024-10-08,82.17298387096774,5.3762096774193555,0.5536290322580646,0.0,0.27056451612903226,0.34798387096774197,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.29153225806452
2024-10-09,82.17298387096774,5.3762096774193555,0.5540322580645162,0.0,0.27056451612903226,0.3495967741935484,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.29354838709678
2024-10-15,82.17298387096774,5.3762096774193555,0.5633064516129032,0.0,0.27056451612903226,0.3495967741935484,0.2903225806451613,0.23588709677419356,0.04395161290322581,89.30282258064516
2024-10-17,81.83266129032259,5.3762096774193555,0.5633064516129032,0.0,0.27056451612903226,0.3495967741935484,0.2903225806451613,0.23588709677419356,0.04395161290322581,88.9625
2024-10-21,81.83266129032259,5.3762096774193555,0.5633064516129032,0.0,0.27056451612903226,0.35161290322580646,0.2903225806451613,0.23588709677419356,0.04395161290322581,88.96451612903226
2024-10-23,81.83185483870967,5.3762096774193555,0.5629032258064516,0.0,0.27056451612903226,0.35282258064516125,0.2903225806451613,0.23588709677419356,0.04395161290322581,88.96451612903226
