date,HAITONG INTERNATIONAL SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING,PRUDENTIAL BROKERAGE LTD,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,CORE PACIFIC - YAMAICHI INTERNATIONAL,VICTORY SECURITIES CO LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,RIFA SECURITIES LTD,DBS BANK (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-08-09,1412.8013919425523,80.61550779047077,0.0,57.89268597148153,41.074684171839635,27.768094131598776,0.0,25.239372150063577,0.0,14.780743918475721,1660.1724800764823
2024-08-15,1412.8013919425523,80.6155077047688,0.0,57.89268597148153,41.074684171839635,27.768094131598776,0.0,25.239372150063577,0.0,14.780743918475721,1660.1724799907804
2024-09-26,1412.8013919425523,80.6155077047688,0.0,57.89268597148153,41.074684171839635,27.768094131598776,0.0,25.213661559960126,0.0,14.780743918475721,1660.1467694006767
2024-10-03,1412.8013919425523,80.53837593445847,0.0,57.97410284014245,41.16038613885113,27.768094131598776,0.0,25.213661559960126,0.0,14.780743918475721,1660.236756466039
2024-10-04,1412.762826057397,80.52980573775731,0.0,56.75284981022868,41.16038613885113,27.768094131598776,0.0,25.162240379753232,0.0,14.780743918475721,1658.916946174062
2024-10-07,1412.8313876310062,79.69421155939527,0.0,56.85540652598642,41.43891753163848,26.56826659343788,0.0,25.17938077315553,0.0,14.780743918475721,1657.3483145330958
2024-10-08,1412.8313876310062,79.98131314888377,56.97720401895398,58.25234858827375,42.03454620236835,26.68396424890339,0.0,25.2179466583107,19.548058784370973,14.780743918475721,1736.307513199547
2024-10-09,1412.8313876310062,79.94703236207917,56.97720401895398,58.63372234147489,41.88456776009824,26.68396424890339,0.0,25.2179466583107,19.548058784370973,14.780743918475721,1736.5046277236734
2024-10-10,1412.8313876310062,80.37554219713662,56.97720401895398,58.907968635911665,41.29322418771894,26.68396424890339,0.0,25.2179466583107,19.548058784370973,14.780743918475721,1736.6160402807882
2024-10-14,1412.8313876310062,78.78577070907345,57.260020510091906,58.84369216065305,41.39178144978216,26.68396424890339,0.0,25.2179466583107,19.548058784370973,14.780743918475721,1735.3433660706678
2024-10-15,1412.8313876310062,78.7086389387631,57.23859501833903,59.14364904519327,42.03454620236835,26.68396424890339,0.0,25.2179466583107,19.548058784370973,14.780743918475721,1736.187530445731
2024-10-16,1412.8313876310062,78.7086389387631,57.23859501833903,59.01081099632546,42.0773971858741,26.68396424890339,0.0,25.2179466583107,19.548058784370973,14.780743918475721,1736.0975433803687
2024-10-17,1412.8313876310062,78.48152872618265,57.23859501833903,59.045091783130054,42.03454620236835,26.68396424890339,0.0,25.2179466583107,19.548058784370973,14.780743918475721,1735.8618629710872
2024-10-22,1412.8313876310062,78.48152872618265,57.23859501833903,59.30219768416454,42.03454620236835,26.68396424890339,0.0,25.2179466583107,19.548058784370973,14.780743918475721,1736.1189688721217
2024-10-23,1412.8313876310062,78.48152872618265,57.23859501833903,59.19507022540017,42.03454620236835,26.68396424890339,0.0,25.2179466583107,19.548058784370973,14.780743918475721,1736.0118414133574
2024-10-24,1412.8313876310062,78.52437970968839,57.23859501833903,59.19507022540017,42.03454620236835,26.68396424890339,0.0,25.2179466583107,19.548058784370973,14.780743918475721,1736.0546923968632
2024-10-25,1412.8313876310062,78.78148561072287,57.23859501833903,59.19507022540017,42.03454620236835,26.64111326539765,0.0,25.2179466583107,19.548058784370973,14.780743918475721,1736.2689473143917
2024-10-28,1412.8313876310062,78.95288954474586,57.23859501833903,59.19507022540017,41.95312933370744,26.64111326539765,0.0,25.213661559960126,19.548058784370973,14.780743918475721,1736.3546492814035
2024-10-29,1412.8313876310062,78.94860444639528,57.23859501833903,59.19507022540017,41.95312933370744,26.666823855501093,0.0,25.213661559960126,19.548058784370973,14.780743918475721,1736.3760747731562
2024-11-05,1412.8313876310062,78.94860444639528,57.23859501833903,59.186500028699015,41.95312933370744,26.666823855501093,0.0,25.213661559960126,19.548058784370973,14.780743918475721,1736.3675045764553
