date,BANK OF CHINA (HONG KONG) LTD,KGI ASIA LTD,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,HAITONG INTERNATIONAL SECURITIES CO LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL
2024-12-10,32.383770423978284,25.993661878778557,15.011339734994616,11.38305776441511,0.0,10.094205362925674,5.133964834907755
2024-12-12,32.32076030535011,25.943085194929854,14.982131700071994,11.360909391613033,0.0,10.07456475069776,5.318548657337245
2024-12-19,32.317266931978104,25.940281149413856,14.980512363786502,11.359681453347486,0.0,10.073475846355715,5.328782255118342
2025-01-06,32.31377431368353,25.937477709980094,14.978893377513502,11.358453780495449,0.0,10.072387177375603,5.339013640951819
2025-01-08,32.310282450221635,25.93467487643208,14.977274741139526,11.357226372970882,0.0,10.071298743681124,5.349242815554754
2025-01-17,32.306791341347726,25.931872648573425,14.975656454551151,11.355999230687779,0.0,10.070210545196012,5.359469779643912
2025-02-19,32.33124495838028,25.951500969937346,14.98699181013882,11.36459479975173,0.0,10.077832876659004,5.287834585132818
2025-02-20,32.317266931978104,25.940281149413856,14.980512363786502,11.359681453347486,0.0,10.073475846355715,5.328782255118342
2025-02-21,32.306791341347726,25.931872648573425,14.975656454551151,11.237144814381816,0.0,10.070210545196012,5.478324195949873
2025-02-27,29.284957326234423,23.50632026186041,13.574899951224387,10.186072113472843,9.715945708235635,9.128287701689125,4.603516937283179
2025-03-31,29.293564625130546,23.51322913053957,13.578889822886604,10.189065956567147,9.718801373956355,9.130970645692866,4.575478445226913
2025-04-01,29.282089350525215,23.50401820777944,13.573570514992625,10.185074556704423,9.754167556228467,7.540872508329237,6.160207305440593
2025-04-25,29.25630282523909,23.48331999350295,13.561617296247952,10.176105330517943,9.745577797303724,7.534231831248863,6.24284492593948
2025-05-02,29.199161720387263,23.43745422372222,13.535129814199582,10.156230163612962,9.785137138404027,7.519516563444212,6.367370376229734
