date,CITIBANK N.A.,MIRAE ASSET SECURITIES (HK) LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA MERCHANTS SECURITIES (HK) CO LTD,ABN AMRO CLEARING HONG KONG LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,CHINA MERCHANTS BANK CO LTD
2024-06-18,84.30776586298751,6.830134553650708,0.5293354279079298,0.3449217949593607,6.947954374701181,0.8640120210368144,0.09220681647428454,0.06317874462126903,0.02049040366095212,0.0
2024-06-20,62.403279528567765,6.832351182850799,0.4611837048424289,0.20838671107694934,29.104107951148688,0.8318387565120847,0.09223674096848578,0.06319924844136988,0.0034161755914253996,0.0
2024-06-21,62.54936488126784,6.838425110697006,0.46159369497204794,0.3299540115911306,28.82396184158788,0.8325782572273606,0.0923187389944096,0.06325543227394731,0.008548031388371258,0.0
2024-06-24,64.51813506336347,6.722915055968268,0.4571582238058422,0.32438065145046896,26.992503949712592,0.8185149080641366,0.09075935325557162,0.06722915055968268,0.008403643819960335,0.0
2024-06-25,64.5114121483075,6.722915055968268,0.4571582238058422,0.32438065145046896,26.992503949712592,0.8185149080641366,0.09075935325557162,0.07395206561565094,0.008403643819960335,0.0
2024-06-26,64.51645433459949,6.722915055968268,0.4571582238058422,0.32438065145046896,26.992503949712592,0.8151534505361525,0.09075935325557162,0.07227133685165889,0.008403643819960335,0.0
2024-06-27,64.51368930570261,6.722802063900233,0.458831240861191,0.3243751995831863,26.992050286559437,0.808416948184003,0.09916133044252844,0.07227012218692751,0.008403502579875292,0.0
2024-06-28,64.51656274684458,6.722576091158132,0.4504125981075948,0.3243642963983799,26.991143005999902,0.8016671988706071,0.1126031495268987,0.07226769297994991,0.008403220113947665,0.0
2024-07-03,79.93647165593856,6.722576091158132,0.4504125981075948,0.6941059814120771,11.204853699937816,0.7983059108250281,0.1126031495268987,0.07226769297994991,0.008403220113947665,0.0
2024-07-04,79.77512982975075,6.722576091158132,0.4655383943127006,0.5596544595889145,11.539301860472934,0.7445253020957632,0.1126031495268987,0.07226769297994991,0.008403220113947665,0.0
2024-07-05,79.74564454076575,6.7200913932429485,0.4653663289820742,0.6216084538749728,11.536716899349832,0.7173697562286847,0.11256153083681938,0.0722409824773617,0.008400114241553685,0.0
2024-07-08,79.81444754445528,6.722915055968268,0.3983327170661199,0.6218696426770648,11.541564422333524,0.7059060808766681,0.11260882718746848,0.07395206561565094,0.008403643819960335,0.0
2024-07-09,79.80086783948333,6.727437855292812,0.3986006929260991,0.6222880016145851,11.549328938073934,0.704699115341922,0.11268458407615459,0.07400181640822093,0.010091156782939217,0.0
