date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,CHINA INDUSTRIAL SECURITIES,CMB INTERNATIONAL SECURITIES LTD,ORIENT SECURITIES (HONG KONG) LTD,TOYO SECURITIES ASIA LTD,ZHONGTAI INTERNATIONAL SECURITIES LTD
2024-08-05,0.0,104.61149999999999,0.0,0.0,0.0,0.0,0.0,0.0,84.2085,0.0
2024-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.2385,0.0
2024-08-08,248.87201100000001,104.8425,56.304,52.589597,60.001351,0.0,0.0,0.0,86.4885,0.0
2024-08-09,0.0,0.0,56.4675,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-12,0.0,0.0,56.5065,0.0,60.004351,0.0,0.0,0.0,0.0,0.0
2024-08-13,0.0,104.81700000000001,56.508,52.583597000000005,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.5575,0.0
2024-08-19,248.87501099999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-21,248.861511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.565,0.0
2024-08-27,0.0,0.0,56.4585,0.0,0.0,0.0,0.0,0.0,86.622,0.0
2024-08-28,0.0,104.77499999999999,55.987500000000004,0.0,0.0,0.0,0.0,0.0,86.772,0.0
2024-08-29,0.0,0.0,55.9365,0.0,0.0,0.0,0.0,0.0,86.835,0.0
2024-08-30,248.741511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.96249999999999,0.0
2024-09-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.9715,0.0
2024-09-03,248.72651100000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.9985,0.0
2024-09-04,0.0,0.0,0.0,0.0,0.0,600.9276169999999,0.0,0.0,87.003,0.0
2024-09-05,0.0,0.0,55.923,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.1395,0.0
2024-09-10,0.0,104.874,55.967999999999996,0.0,0.0,0.0,0.0,0.0,87.43950000000001,0.0
2024-09-11,0.0,108.444,0.0,0.0,0.0,0.0,0.0,0.0,87.9705,0.0
2024-09-12,0.0,0.0,0.0,52.571597000000004,0.0,0.0,0.0,0.0,87.98700000000001,0.0
2024-09-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.044,0.0
2024-09-16,0.0,109.10249999999999,55.969500000000004,0.0,0.0,0.0,0.0,0.0,88.047,0.0
2024-09-17,0.0,0.0,55.971000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-19,0.0,109.1475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-23,248.717511,0.0,56.289,0.0,0.0,0.0,0.0,0.0,0.0,0.0
