date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,BOCI SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,UBS SECURITIES HONG KONG LTD,HANG SENG SECURITIES LTD,CHINA INDUSTRIAL SECURITIES,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,TOTAL_CCASS_PCT
2024-03-15,14.968397147896756,9.1683800575572,6.228639675960082,1.7561873676308526,5.288535449368359,2.6260968010049526,1.7419154239438315,0.5204106796663199,0.9349342414766797,0.14587629780467684,43.37937314230971
2024-03-18,14.95549144734877,9.158143553071378,6.228859815841497,1.7624613542511949,5.299128910671897,2.6260968010049526,1.7421355638252471,0.5204106796663199,0.9396672489271136,0.1495086058480331,43.38190398045641
2024-03-19,14.929625011282443,9.03981836681053,6.217962891711429,1.8050584213051009,5.345028075947035,2.6332513471509578,1.7362468219973817,0.5204106796663199,0.9434096269111778,0.15378207129601215,43.324593314078385
2024-03-20,14.980784584128918,8.965411086892079,6.2158715628379815,1.8617444407696007,5.382111079251244,2.6352326060836972,1.7348434302533577,0.5204106796663199,0.9428592772076388,0.14728794479425392,43.38655669188509
2024-03-21,15.003293887003657,8.994689691120346,6.216394284986403,1.8598732517775682,5.368773904535685,2.6361131656093595,1.733192381142741,0.5204106796663199,0.945611025725333,0.14288514716594328,43.421237418733355
2024-03-22,15.040662631873944,9.004155706021214,6.215403655520032,1.8616343708288927,5.380369717754277,2.6352326060836972,1.730440632625047,0.5204106796663199,0.9453908858439174,0.14464626621726753,43.47834715243461
2024-03-25,15.003191136714007,9.025729414399935,6.2137526064094155,1.841711711560787,5.42234109223023,2.6412864528226243,1.7309909823285858,0.5204106796663199,0.9490231938872739,0.14398584657302094,43.4924231165922
2024-03-26,15.020692257286541,9.038057247759205,6.212872046883755,1.9004890598987343,5.383402034550835,2.6351225361429895,1.725707625174613,0.5204106796663199,0.9515548025235524,0.1433254269287743,43.53163371681532
2024-03-27,15.030818691831655,9.037066618292835,6.214743235875786,1.9079738158668627,5.375036719057046,2.6346822563801586,1.723836436182581,0.5204106796663199,0.9524353620492145,0.1437657066916054,43.54076952189406
2024-03-28,15.059546946356381,9.034314869775141,6.212294179695038,1.8890417860651265,5.348289723465058,2.6384246343642226,1.725129372741105,0.5204106796663199,0.9539763412191232,0.14618724538717626,43.52761577873469
2024-04-02,15.006328130024176,8.993699061653976,6.21372508892424,1.8714305955518837,5.336512239809327,2.635012466202282,1.7208091275683248,0.5204106796663199,0.9512245927014291,0.14453619627655978,43.39368817837852
2024-04-03,14.96373106297027,8.980600738709752,6.226134869354366,1.812433107332521,5.4165965970596615,2.643707991518195,1.7198184981019553,0.5204106796663199,0.951774942404968,0.1460771754464685,43.38128566256448
2024-04-05,14.952876570802346,9.048635959690689,6.1935541669048675,1.7797423349423143,5.502243613938515,2.638822482164911,1.7197084281612474,0.5204106796663199,0.9453908858439174,0.13760179001197048,43.4389869121271
2024-04-08,14.941243168699,9.057991904650848,6.160423114751829,1.7971333855741414,5.5231562422533464,2.642950104941452,1.7165163998807222,0.5204106796663199,0.942749207266931,0.13429969179073747,43.43687389947533
2024-04-09,14.879053652199111,9.057991904650848,6.160423114751829,1.7971333855741414,5.504780065652184,2.6430601748821596,1.7165163998807222,0.5204106796663199,0.9344939617138486,0.1358406709606462,43.34970400993181
2024-04-10,14.862063806501165,9.049406449275644,6.160092904929707,1.8168359049608316,5.5010693327760745,2.6430601748821596,1.7170667495842606,0.5204106796663199,0.918753960192638,0.1358406709606462,43.324600633729446
2024-04-11,14.856560309465777,9.050176938860597,6.160092904929707,1.818156744249325,5.5157636698605605,2.6430601748821596,1.7170667495842606,0.5204106796663199,0.9156720018528205,0.13529032125710738,43.33225049460863
2024-04-12,14.846213735039246,9.04555400135087,6.1586619957005055,1.8226696118183432,5.4985284782647765,2.642399755237913,1.7179473091099229,0.5204106796663199,0.9151216521492817,0.16038626773847814,43.32789348607566
2024-04-15,14.813943925137277,8.979732176807627,6.157341156412012,1.9890953621684864,5.485584253237543,2.6424190725125074,1.7140947511152103,0.5198603299627812,0.9110490643430943,0.14882892396416267,43.3619490156607
2024-04-16,14.831665185591229,8.961130356828013,6.158772065641213,1.9857932639472533,5.477218937743753,2.638786764469151,1.7146451008187493,0.5198603299627812,0.9115994140466331,0.15422235105884322,43.35369377010762
2024-04-17,14.820327981698329,8.968615112796142,6.137748706966029,2.0370858563170726,5.441660843398108,2.636145085892165,1.7146451008187493,0.5198603299627812,0.9128101833944186,0.1644588555446655,43.35335805678846
2024-04-18,14.787524827898658,8.995031898566005,6.1382990566695685,2.0576689352294246,5.43037977517497,2.634163826959425,1.7145350308780414,0.5194200501999501,0.9129202533351264,0.1664401144774053,43.35638376938857
2024-04-19,14.772335176080986,9.017266026588974,6.1379688468474445,2.0531560676604066,5.436947153222269,2.6342738969001323,1.7150853805815804,0.5194200501999501,0.9151216521492817,0.17150333174996257,43.37307758198099
2024-04-22,14.751862167109342,9.019907705165961,6.1379688468474445,2.0630623623241053,5.441790560823232,2.636145085892165,1.7182774088621056,0.5194200501999501,0.9141310226829118,0.17117312192783926,43.37373833183506
2024-04-23,14.544270258934494,9.010661830146509,6.137198357262491,2.077811734378946,5.430565298060032,2.8589266458846843,1.718607618684229,0.5194200501999501,0.9130303232758341,0.16831130346943732,43.378803420296606
2024-04-24,14.467629659919085,8.993160709573973,6.137748706966029,2.0736290766320513,5.439040683494531,2.9161630150527227,1.7167364296921968,0.5194200501999501,0.9160022116749439,0.1644588555446655,43.343989398750146
2024-04-25,14.441763223852758,8.9864464431908,6.137198357262491,2.082654811770088,5.443904233894644,2.695362713992943,1.7156357302851193,0.5196401900813656,0.9164424914377748,0.16621997459598975,43.10526817036398
2024-04-26,14.459869729099188,8.902903358193605,6.137088287321784,2.076931174853284,5.513667938189485,2.697619147777452,1.7148652407001648,0.5197502600220734,0.9091778753510624,0.1661649396256359,43.09803795113373
2024-04-29,14.481937651511686,8.910828393924564,6.136207727796121,2.098614953172714,5.416067435819709,2.697619147777452,1.7168464996329045,0.5196401900813656,0.9098382949953089,0.16429375063360385,43.05189404534543
2024-04-30,14.525195138209837,8.811875517228282,6.136207727796121,2.104668799911641,5.442087969803025,2.6956378888447126,1.7155256603444116,0.5196401900813656,0.9486929840651505,0.16990731760969996,43.06943919389425
