date,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,BNP PARIBAS,UBS SECURITIES HONG KONG LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,MORGAN STANLEY HONG KONG SECURITIES LTD,DEUTSCHE BANK AG
2024-08-29,83.72946524911109,6.382562350473557,5.979840204526699,0.5632610758514894,0.9265739930626562,1.0868151668636328,0.5236753061828121,0.5748417662523941,0.10027834433702904,0.1326865433386423
2024-08-30,83.4776771128562,6.403013977805984,5.962034760694239,0.560061266500016,1.2451550798036692,0.9933876439708244,0.43837366629699914,0.5741741604935818,0.21356990315091312,0.13255242842758172
2024-09-02,83.48527833765247,6.3823733692014235,5.996384473981889,0.5579870637559772,1.248016082413813,0.9951944987614165,0.42154545163952106,0.5719985983358368,0.20917194073595533,0.13205018352168701
2024-09-03,83.28143155498428,6.381723986983677,5.877395091004177,0.558278026200088,1.362761816267685,1.0770961107814434,0.3745818970018495,0.5644859490034243,0.38888699729791876,0.1333585704754561
2024-09-04,83.42715226236604,6.380576487067521,5.827149372041615,0.5613232249340748,1.2457055472137215,1.1217327883339707,0.3374696004693289,0.5660092475197219,0.39905121842598085,0.13383025162803003
2024-09-05,83.3070092865946,6.331362822870895,5.545790547071648,0.5612083010402988,1.4641844162340911,1.2704505043883132,0.41190549865615195,0.5653128326194101,0.40728016180969445,0.13549562871489332
2024-09-09,724.1146418629169,55.03784547587254,48.14750669566639,4.968805181312108,13.08379607003596,11.032884819847865,3.5947665425574287,4.917003701218579,3.5353696870122806,1.1674444264706276
2024-09-10,728.787498151701,55.72275965185837,48.71233417294681,5.060477119582956,10.156152274590598,8.480113902535262,3.5675971009922307,4.917687380572011,3.585085115327249,1.4922047287336775
2024-09-11,733.256757855419,55.73825214325064,52.30594582325458,5.15166141091859,7.820758581495882,8.477944995494607,2.8623473184791517,4.882214809667793,1.4616245669959163,1.1684774190583498
2024-09-12,732.883176512091,56.48366263535672,54.23309148001897,5.176956589653756,7.115163583753841,8.476057359155448,2.1885194651231,4.827678058946542,1.800586641950519,1.1669245821638439
2024-09-13,731.6740404671875,56.4862801156295,53.61836621261467,5.156693189585285,8.62193716756061,8.374279181383901,2.897687278027241,4.813975733141423,1.5721071827961193,1.1673187401477876
2024-09-16,732.8459833237835,56.442223137341344,53.324699992743895,5.162418961105314,6.982929787427658,8.365520237667733,2.6987532753842842,4.859767125551536,2.4424830808012503,1.167481139016092
2024-09-17,733.2721644230545,56.419838375433905,53.41990503569449,5.124817003026825,6.617866824742386,8.347851265519871,2.5167869294482323,4.858606206369763,2.2974335020783414,1.1672949721537866
2024-09-19,731.5775923892605,56.35493362848087,53.02215063488194,5.1185838074198085,7.734048896784294,8.840655113068664,2.5438127292588266,4.859282074381962,2.1491400339624196,1.1679210427957105
2024-09-20,732.7782414116393,56.34187849199457,52.61300326755721,5.118275399218328,7.5734354874201975,8.336704668141246,2.6345528322327385,4.71646772963699,1.8022716446091536,1.167542889237917
2024-09-23,731.7884406125648,56.548797837369314,53.7027173477482,5.136188554029627,7.582532960280627,8.348924223480491,2.897920064150251,4.698945327390985,0.9658413896026646,1.1676349011988008
2024-09-24,732.284063423837,56.61476826343137,53.33236982289957,5.126168520089005,7.576946927520681,8.34843356139118,2.9416786745000594,4.68155310222797,0.9318947550441165,1.1719049166437137
2024-09-25,730.0215176589662,56.51769935036648,52.78864772210434,5.1031675680538475,7.593703010764677,8.352239216820735,2.8069364138921475,4.679116903379976,0.9922283150134634,1.171537428640101
2024-09-26,730.62565191919,56.646952208412415,53.74421188069765,5.16652348361595,9.095656574219655,8.485312853888939,2.3798274986408066,4.688453695353592,0.8756548939198795,1.1709991448849852
2024-09-27,83.89689021308749,6.48797733131513,6.062713678905837,0.5902489689746873,1.0336033226059076,0.9194221073286948,0.23226657696814346,0.5365643981840014,0.10792582420987118,0.1323875784202402
2024-09-30,732.0591552702742,56.451709378755666,52.88682558682603,5.135049625755998,8.338957839820734,7.847080859517956,2.128993625196623,4.678087823546172,0.9737310352559752,1.2708443314996145
2024-10-02,83.70915303488242,6.509673930197275,6.102311901642725,0.5850507983644471,0.949986912763202,0.9197669790554567,0.4132481488614308,0.5399749302516749,0.1283548719040899,0.1424784920772718
2024-10-03,83.65328463935853,6.604660781711155,5.927886426561845,0.5796277052509295,1.0421283143014022,0.8869012832170153,0.3750354370802666,0.5393288954822215,0.24855910484753385,0.1425874121890941
2024-10-04,83.61620952356995,6.650508688422425,5.902675798024666,0.5778084340163262,0.9592805156231429,0.8755730110812052,0.5115047287477892,0.5384404584293999,0.22292137754249458,0.14507746454260384
2024-10-07,83.60290959099926,6.72035533686505,5.933699229470445,0.5840304995699557,0.9647036027813136,0.8604281826821504,0.5009346042077809,0.5420593096632269,0.14598757824796174,0.14489206551284928
2024-10-08,83.71030822392093,6.650926053995781,5.837816413868999,0.582677705337303,1.004982799283883,0.8236999740242428,0.5486990645587058,0.5327504383786998,0.16221976880975625,0.14591955782169524
2024-10-09,83.75881243387713,6.649620904328247,5.85396185906926,0.5834586358408146,0.9581012347492371,0.8287552658829365,0.5906659661273009,0.5264966388568911,0.10465096397135713,0.1454760972968248
2024-10-10,83.81623284737249,6.623442406652337,5.950682583211972,0.5813414245006251,0.9862617494986804,0.8224805579015032,0.4075869039910056,0.5265472961952514,0.1443286609087414,0.14109556976740315
2024-10-14,83.71953252641686,6.620365638797613,6.013230587358874,0.5773224280897442,0.9535455344450553,0.8359307602673498,0.48962555104311567,0.49643786730912437,0.15308435258713857,0.14092475368512505
2024-10-15,83.83704541327103,6.598382744525172,5.9116013541224985,0.5880767942058565,0.9829193231500333,0.8441568703100181,0.5194861036075819,0.48711620187412047,0.09045057729256296,0.14076461764112796
2024-10-16,83.70220588004031,6.603379759854254,5.996421297087029,0.5914036065468422,1.0217310487265139,0.8220813867167107,0.5685621322000131,0.48721729384647955,0.06621283218225671,0.14078476279958044
2024-10-17,83.60505657694112,6.63911001747047,5.867471683018569,0.5926662187649914,0.9874596377901951,0.8158580904099519,0.8033761119382347,0.4734768013594593,0.07458992249868555,0.1409349398083211
2024-10-18,83.52488205056662,6.637272313320251,5.997321144619992,0.5941438325925801,0.9820377564458067,0.8181609127381608,0.7044496174324034,0.47357803116003516,0.07795332948118418,0.19020101164296443
2024-10-21,83.49993013472005,6.575765195021489,5.689329793228153,0.5969269885670111,1.001506770136109,0.8118640939844644,1.0757761492142304,0.4739447800371038,0.08452297630756186,0.19043311878383387
2024-10-22,83.60199868574294,6.576366277780886,5.975470651469427,0.5964021667139534,1.0123322358925586,0.8114942208032824,0.6866074608592571,0.4763097901487667,0.07292829563132036,0.19009021495761322
2024-10-23,83.5218270928861,6.673301055502277,5.9489795725374695,0.5996821221985904,1.0101772273644847,0.8090292552453868,0.7008143729980582,0.4687045359197822,0.07802405642531544,0.18946070892254685
2024-10-24,83.49221902086137,6.663745951729433,5.978401940346776,0.6000666542943192,1.007612344150985,0.8089551696130222,0.6579433011285275,0.46847659628659855,0.1331269828689467,0.1894520387200274
2024-10-25,83.50255382868286,6.666996552252978,5.947318749702801,0.6011431006427701,0.9754309588547637,0.8096301739563269,0.696827873390046,0.46608188212420865,0.14465400073903117,0.189362879654204
2024-10-28,83.42610411701838,6.669489143731965,5.965779152925038,0.5989365678036224,0.9817184880679637,0.8188083583274198,0.7204721596963692,0.4585503478858754,0.1707241403622735,0.18941752418108493
2024-10-29,83.35063502395606,6.691695830353693,5.985046708222913,0.600722849905399,0.9663129892940018,0.8175120746437154,0.7183269222757017,0.45588464060662326,0.22472929879572015,0.1891336619461632
2024-10-30,83.36721335255068,6.591565228475614,6.05686018668943,0.6013760860326398,0.9768487015415628,0.8135961515835984,0.7228232679088902,0.4506005597772176,0.22993879045725263,0.1891776749831226
2024-10-31,728.2105298939274,57.815731634705415,52.75841009032324,5.231329623039381,8.691966423753419,7.150109538046677,6.37093661913213,3.9112184661505416,2.1085122112774104,1.2214733510991238
2024-11-01,83.29221048699245,6.650311794323563,6.071587248121112,0.599495315070289,0.9961460124254423,0.8101691981849689,0.7589637970709501,0.44760910079482313,0.2332372370749772,0.1402698099414328
2024-11-04,83.22665987954738,6.655181916585769,6.140566609567359,0.6002227708430874,0.9745949149188085,0.8112873024917354,0.7639770064216386,0.447753100641267,0.2385735113569757,0.14118298762598325
2024-11-05,83.21624252068283,6.681429887139938,6.153703825586953,0.5995557047980168,0.9826652058686014,0.7249460508447086,0.8039221610859444,0.4478439239306611,0.24843409494095223,0.14125662512140244
