date,HSBC BROKING SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,HANG SENG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,DBS BANK LTD,INTERACTIVE BROKERS HONG KONG LTD,UBS SECURITIES HONG KONG LTD,DBS VICKERS (HONG KONG) LTD
2024-07-15,0.0,430.62650102040817,125.91973367346938,103.83507653061224,90.53678571428571,74.98841632653061,0.0,39.67501734693877,51.6453693877551,0.0
2024-07-16,542.6415142857143,430.76200918367346,126.31217346938774,103.76058673469389,90.47147959183674,74.33637551020408,76.78421428571428,39.79440510204081,51.887922448979594,0.0
2024-07-17,0.0,430.7494826530612,125.89627857142858,103.80548469387756,90.47964285714286,74.52821224489796,76.76278571428571,39.822976530612245,51.87138571428571,0.0
2024-07-18,542.6384530612245,434.7421295918368,125.87893163265306,103.87487244897959,90.35821428571428,74.46800816326531,0.0,39.775017346938775,48.370575510204084,0.0
2024-07-19,0.0,434.58702755102036,125.97993775510203,103.85140306122449,90.23780612244899,74.52515102040816,76.75462244897959,39.81073163265306,48.40016734693878,0.0
2024-07-22,542.525187755102,449.62781224489794,125.9636112244898,103.84732142857143,90.05821428571429,74.61290612244898,0.0,39.79032346938776,48.37261632653061,0.0
2024-07-23,0.0,448.7417724489796,126.02585612244899,104.12691326530611,90.15413265306123,74.6976,0.0,39.902568367346944,48.66875816326531,0.0
2024-07-24,0.0,447.91764693877553,126.51502142857143,104.32895408163265,90.16433673469388,74.8271918367347,0.0,39.933180612244904,48.79835,0.0
2024-07-25,542.601718367347,443.6472387755102,126.4752255102041,104.37793367346939,90.21331632653062,75.08841632653062,0.0,39.91685408163265,52.290186734693876,0.0
2024-07-26,0.0,443.57297244897956,126.37596836734694,104.45344387755102,90.18270408163266,75.08127346938775,0.0,39.86481326530612,52.15016734693878,70.7158806122449
2024-07-29,0.0,444.1431020408163,126.2694693877551,104.47589285714285,90.39494897959185,75.0741306122449,0.0,39.4801193877551,52.15935102040816,0.0
2024-07-30,0.0,444.1216734693877,126.30147346938776,104.47079081632653,90.40413265306123,75.10474285714285,0.0,39.33828265306122,52.16343265306123,0.0
2024-07-31,0.0,444.2693387755102,126.35759591836735,104.17385204081633,90.24392857142857,75.13943673469387,0.0,39.251547959183675,52.20016734693878,0.0
2024-08-01,0.0,444.16015510204085,126.61677959183673,104.27385204081632,90.43270408163265,74.97821224489796,0.0,39.532160204081634,52.185881632653064,0.0
2024-08-02,0.0,444.10768265306126,125.73772142857142,104.33405612244897,90.30005102040816,74.95882448979592,0.0,40.05154795918367,52.15016734693878,0.0
2024-08-05,0.0,444.22048775510206,125.6535530612245,104.36875,90.31739795918368,74.36086530612245,0.0,40.021956122448984,52.16751428571429,0.0
2024-08-06,0.0,444.25901122448977,125.6897857142857,104.44936224489796,90.3194387755102,74.44045714285714,0.0,39.86685408163265,52.11476326530612,0.0
2024-08-07,543.2955959183673,443.7446887755102,126.68712653061225,104.44323979591836,90.37045918367347,74.50168163265306,76.74033673469388,40.23930306122449,51.683130612244895,0.0
2024-08-08,543.3466163265306,445.0260234693878,125.49151530612247,104.51466836734693,90.28882653061224,74.5241306122449,0.0,40.2535887755102,51.678738775510205,70.7189418367347
2024-08-09,0.0,445.221468367347,126.36132653061225,104.51160714285714,90.06229591836735,74.0476,76.70462244897959,40.12603775510204,51.64608571428572,70.7158806122449
2024-08-12,0.0,499.31524591836734,124.93446530612245,104.67385204081631,90.33780612244898,73.97413061224489,0.0,40.36583367346939,52.02363673469388,70.86894183673469
