date,BNP PARIBAS,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BRIGHT SMART SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,SOOCHOW SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,TOTAL_CCASS_PCT
2024-06-24,71.07188209439562,3.2148137193298183,3.5465557350875807,0.49013224113242165,1.1483900839475936,2.0846093499672893,1.3193460045584737,0.5757495664698712,0.9426600991890797,84.39413889407776
2024-06-25,71.07188209439562,3.2148137193298183,3.5465557350875807,0.49857591335237955,1.1483900839475936,2.066833197925273,1.3193460045584737,0.5757495664698712,0.9426600991890797,84.38480641425569
2024-06-26,71.07232649819667,3.2096586352376333,3.5465557350875807,0.49857591335237955,1.1483900839475936,2.066833197925273,1.3193460045584737,0.5757495664698712,0.9426600991890797,84.38009573396455
2024-06-27,71.07232649819667,3.2096586352376333,3.552332984501236,0.4976871057502787,1.1480615806578571,2.066833197925273,1.3193460045584737,0.5757495664698712,0.9404380801838277,84.38243365348113
2024-06-28,71.07232649819667,3.2096586352376333,3.549222157893883,0.49546508674502665,1.1698373669093276,2.066833197925273,1.3193460045584737,0.5753051626688208,0.9404380801838277,84.39843219031894
2024-07-02,71.07232649819667,3.250632665694482,3.509225815799346,0.4510247066399851,1.2187217850248733,2.0868313689725415,1.2526854344009115,0.5634840215608796,0.9848784602888692,84.38981075657856
2024-07-03,71.07232649819667,3.249299454291331,3.497671316972035,0.4025846923254898,1.2031676519881085,2.0921642145851465,1.2526854344009115,0.5765183850456884,0.9848784602888692,84.33129610809425
2024-07-04,71.07232649819667,3.2185467112586417,3.4927828751604806,0.43324855459796846,1.2036120557891592,2.0943862335903987,1.2526854344009115,0.5765183850456884,0.9848784602888692,84.32898520832879
2024-07-05,71.07232649819667,3.212758796153761,3.4923384713594303,0.4367815648163193,1.2036120557891592,2.101496694407205,1.2526854344009115,0.5854064610666967,0.9848784602888692,84.34228443647902
2024-07-08,71.07277090199771,3.216314026562164,3.4923384713594303,0.4492248712457309,1.2071672861975624,2.1012167200125433,1.2526854344009115,0.5849620572656463,0.9848784602888692,84.36155822933058
2024-07-09,71.07677053620718,3.216314026562164,3.4923384713594303,0.4665566194866971,1.2382755522710915,2.100772316211493,1.2526854344009115,0.5849620572656463,0.9848784602888692,84.41355347405349
2024-07-10,71.07632613240612,3.2305349481957775,3.4923384713594303,0.46877863849194923,1.2382755522710915,2.100772316211493,1.2526854344009115,0.5849620572656463,0.9848784602888692,84.4295520108913
2024-07-11,71.08565861222819,3.2740865206987184,3.4923384713594303,0.4661122156856467,1.2382755522710915,2.1754321547879627,1.2526854344009115,0.5845176534645958,0.9848784602888692,84.55398507518541
2024-07-12,71.08699182363132,3.278530558709223,3.4923384713594303,0.4523356978530838,1.2324983028574361,2.173654539583761,1.2526854344009115,0.5845176534645958,0.9848784602888692,84.53843094214865
2024-07-15,71.08699182363132,3.2629764256724583,3.4923384713594303,0.4456696408373276,1.2324983028574361,2.173654539583761,1.2526854344009115,0.5840732496635455,0.9848784602888692,84.51576634829507
2024-07-16,71.08165897801872,3.2763085397039706,3.4758955307205643,0.43900358382157134,1.2431639940826462,2.173654539583761,1.2526854344009115,0.5840732496635455,0.9848784602888692,84.51132231028457
2024-07-17,71.08165897801872,3.278530558709223,3.4803395687310688,0.42522706598900845,1.237831148470041,2.158544810348047,1.2526854344009115,0.5934057294856042,0.9848784602888692,84.4931017544415
2024-07-18,71.08788063123343,3.3247485540184663,3.4670074546995564,0.4341151420100168,1.237831148470041,2.0843293755726275,1.2526854344009115,0.5938501332866546,0.9848784602888692,84.46732633398058
2024-07-19,71.08788063123343,3.3265261692226678,3.4590081862806485,0.4323375268058151,1.2298318800511336,2.083440567970527,1.2526854344009115,0.5938501332866546,0.9848784602888692,84.45043898954067
2024-07-22,71.08788063123343,3.3354142452436757,3.4661186470974554,0.47011184989510046,1.2400531674752933,2.083440567970527,1.2526854344009115,0.5938501332866546,0.9848784602888692,84.51443313689192
