date,SHANGHAI COMMERCIAL BANK LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,CMB WING LUNG BANK LTD,INTERACTIVE BROKERS HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,HANG SENG BANK LTD,BRIGHT SMART SECURITIES INTERNATIONAL,TOTAL_CCASS_PCT
2024-07-05,48.01072711995129,4.365218549436527,3.369974179617141,1.2349247394689633,0.6933049236307698,0.6506821266697241,0.6375225809855222,0.28114913038954786,59.24350335014948
2024-07-15,48.01072711995129,4.365218549436527,3.369974179617141,1.2334527544931018,0.6933049236307698,0.6506821266697241,0.6375225809855222,0.28114913038954786,59.24203136517362
2024-07-16,48.01072711995129,4.365218549436527,3.369974179617141,1.2334527544931018,0.6903609536790468,0.6506821266697241,0.6375225809855222,0.28556508531713237,59.24350335014948
2024-07-22,48.01072711995129,8.95873608068927,3.369974179617141,1.2334527544931018,0.6903609536790468,0.6506821266697241,0.6375225809855222,0.28556508531713237,63.83702088140223
2024-07-30,48.01072711995129,8.95873608068927,3.369974179617141,1.2334527544931018,0.6903609536790468,0.6506821266697241,0.6375225809855222,0.28703707029299386,63.8384928663781
2024-08-01,48.01072711995129,8.95873608068927,3.369974179617141,1.2334527544931018,0.6903609536790468,0.6506821266697241,0.6375225809855222,0.2899810402447169,63.84143683632981
2024-08-07,48.01072711995129,8.95873608068927,3.369974179617141,1.2334527544931018,0.6918329386549084,0.6506821266697241,0.6375225809855222,0.29586898014816293,63.84879676120912
2024-08-12,48.01072711995129,8.95873608068927,3.369974179617141,1.2334527544931018,0.6918329386549084,0.6506821266697241,0.6375225809855222,0.31647676981022405,63.86940455087118
2024-08-13,48.01367108990301,8.95873608068927,3.369974179617141,1.2334527544931018,0.6918329386549084,0.6506821266697241,0.6375225809855222,0.31647676981022405,63.87234852082291
2024-08-20,47.997479255168535,8.95873608068927,3.369974179617141,1.2334527544931018,0.6918329386549084,0.6506821266697241,0.6375225809855222,0.3282526496171161,63.86793256589532
2024-08-28,47.997479255168535,8.95873608068927,3.369974179617141,1.2334527544931018,0.6918329386549084,0.6506821266697241,0.6375225809855222,0.35033242425503874,63.89001234053324
2024-08-29,47.997479255168535,8.95873608068927,3.369974179617141,1.2334527544931018,0.6918329386549084,0.6506821266697241,0.6375225809855222,0.3532763942067617,63.89295631048497
2024-08-30,47.997479255168535,8.983023832790986,3.369974179617141,1.2334527544931018,0.6918329386549084,0.6506821266697241,0.6375225809855222,0.3532763942067617,63.91724406258669
2024-09-02,47.997479255168535,8.986703795230639,3.369974179617141,1.2334527544931018,0.6918329386549084,0.6506821266697241,0.6375225809855222,0.3532763942067617,63.92092402502634
2024-09-11,47.997479255168535,8.986703795230639,3.369974179617141,1.2334527544931018,0.6815290438238778,0.6506821266697241,0.6375225809855222,0.36358028903779227,63.92092402502634
2024-09-25,47.997479255168535,8.986703795230639,3.369974179617141,1.2334527544931018,0.6815290438238778,0.6506821266697241,0.6375225809855222,0.36505227401365375,63.92239601000219
2024-09-27,47.997479255168535,8.986703795230639,3.369974179617141,1.2334527544931018,0.6815290438238778,0.6506821266697241,0.6375225809855222,0.36652425898951524,63.92386799497805
2024-09-30,47.997479255168535,8.986703795230639,3.369974179617141,1.2334527544931018,0.6815290438238778,0.6506821266697241,0.6375225809855222,0.3915480035791609,63.948891739567706
2024-10-04,47.997479255168535,8.986703795230639,3.369974179617141,1.2334527544931018,0.6844730137756008,0.6506821266697241,0.6375225809855222,0.3915480035791609,63.95183570951942
2024-10-09,47.997479255168535,8.986703795230639,3.369974179617141,1.2334527544931018,0.6844730137756008,0.6506821266697241,0.6375225809855222,0.3959639585067455,63.95625166444702
2024-10-10,47.997479255168535,8.986703795230639,3.369974179617141,1.2422846643482708,0.6844730137756008,0.6506821266697241,0.6375225809855222,0.3959639585067455,63.965083574302184
2024-10-14,47.997479255168535,8.986703795230639,3.369974179617141,1.2422846643482708,0.6844730137756008,0.7095615257041844,0.6375225809855222,0.3959639585067455,64.02396297333665
2024-10-16,47.997479255168535,8.986703795230639,3.369974179617141,1.2422846643482708,0.6800570588480163,0.7095615257041844,0.6375225809855222,0.3959639585067455,64.01954701840906
2024-10-17,47.997479255168535,8.986703795230639,3.369974179617141,1.2422846643482708,0.6800570588480163,0.7095615257041844,0.6375225809855222,0.409211823289499,64.03279488319181
2024-10-18,47.997479255168535,8.986703795230639,3.369974179617141,1.2422846643482708,0.6623932391376782,0.7095615257041844,0.6375225809855222,0.4239316730481141,64.02985091324008
2024-11-01,48.82494677743922,8.986703795230639,3.369974179617141,1.2422846643482708,0.6623932391376782,0.7095615257041844,0.6375225809855222,0.4239316730481141,64.85731843551078
2024-11-05,48.82494677743922,8.986703795230639,3.369974179617141,1.2422846643482708,0.6623932391376782,0.7095615257041844,0.6439993148793128,0.4239316730481141,64.86379516940457
2024-11-15,47.997479255168535,8.986703795230639,3.369974179617141,1.2422846643482708,0.6623932391376782,0.7095615257041844,0.6439993148793128,0.4239316730481141,64.03632764713387
2024-11-18,47.997479255168535,9.044111209289238,3.369974179617141,1.2422846643482708,0.6623932391376782,0.7095615257041844,0.6439993148793128,0.42687564299983705,64.0966790311442
2024-11-27,47.997479255168535,9.049422131082146,3.369974179617141,1.2422846643482708,0.6623932391376782,0.7095615257041844,0.6439993148793128,0.42687564299983705,64.10198995293712
2024-12-02,47.997479255168535,9.049422131082146,3.369974179617141,1.2422846643482708,0.6623932391376782,0.7095615257041844,0.6439993148793128,0.38124410874813036,64.0563584186854
2024-12-06,47.997479255168535,9.049422131082146,3.369974179617141,1.2422846643482708,0.6623932391376782,0.7095615257041844,0.6439993148793128,0.3841880786998534,64.05930238863714
2025-01-02,47.997479255168535,9.049422131082146,3.369974179617141,1.2422846643482708,0.6638652241135398,0.7095615257041844,0.6439993148793128,0.3841880786998534,64.06077437361299
2025-01-06,47.997479255168535,9.049422131082146,3.369974179617141,1.2422846643482708,0.6638652241135398,0.7095615257041844,0.6439993148793128,0.39007601860329943,64.06666231351643
2025-01-14,47.997479255168535,9.049422131082146,3.369974179617141,1.2422846643482708,0.6638652241135398,0.7095615257041844,0.6439993148793128,0.3944919735308839,64.07107826844401
2025-01-16,47.997479255168535,9.049422131082146,3.369974179617141,1.2422846643482708,0.6638652241135398,0.7095615257041844,0.6439993148793128,0.40037991343432994,64.07696620834746
2025-01-17,47.997479255168535,9.049422131082146,3.369974179617141,1.2422846643482708,0.6638652241135398,0.7095615257041844,0.6439993148793128,0.40332388338605296,64.07991017829919
2025-01-21,47.997479255168535,9.137741229633836,3.369974179617141,1.2422846643482708,0.6638652241135398,0.7095615257041844,0.6439993148793128,0.412155793241222,64.17706118670604
2025-02-05,47.997479255168535,9.139213214609699,3.369974179617141,1.2422846643482708,0.6638652241135398,0.7095615257041844,0.6439993148793128,0.412155793241222,64.1785331716819
2025-02-07,47.997479255168535,9.139213214609699,3.369974179617141,1.2422846643482708,0.6668091940652627,0.7095615257041844,0.6439993148793128,0.412155793241222,64.18147714163362
2025-02-10,47.98864734531337,9.143629169537283,3.3758621195205873,1.2422846643482708,0.6668091940652627,0.7095615257041844,0.6439993148793128,0.412155793241222,64.18294912660949
2025-02-11,47.9680395556513,9.143629169537283,3.3758621195205873,1.2422846643482708,0.6668091940652627,0.7095615257041844,0.6439993148793128,0.4327635829032831,64.18294912660949
2025-02-19,47.9680395556513,9.143629169537283,3.3758621195205873,1.2422846643482708,0.6668091940652627,0.7110335106800458,0.6439993148793128,0.4327635829032831,64.18442111158535
2025-02-21,47.962151615747864,9.143629169537283,3.3758621195205873,1.2422846643482708,0.6726971339687088,0.7110335106800458,0.6439993148793128,0.4327635829032831,64.18442111158535
2025-02-24,47.960679630772,9.143629169537283,3.3758621195205873,1.2422846643482708,0.6756411039204319,0.7110335106800458,0.6439993148793128,0.4327635829032831,64.1858930965612
