date,EVERBRIGHT SECURITIES INVESTMENT,MORTON SECURITIES LTD,CITIBANK N.A.,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,HANG SENG BANK LTD,MORGAN STANLEY HONG KONG SECURITIES LTD
2024-09-12,90.14318560242549,3.0662193412055925,2.67316746620768,1.9478962022772124,0.6718578568854552,0.6521758557823669,0.0,0.5176084771901851,0.3278891980260166
2024-09-19,90.1406706133005,3.0689237874992545,2.6730928850059854,1.9478418560974917,0.6718391120941288,0.6521576601176151,0.0,0.5175940359467075,0.32788004993831893
2024-09-20,90.13885990802486,3.0736608329639292,2.6730391891175898,1.947802728725785,0.6690356789185724,0.6521445598676648,0.0,0.517583638750357,0.3278734636312484
2024-09-23,90.13775340172285,3.07485065947414,2.6730063760255307,1.947778818328021,0.6690274661211647,0.6521365544184495,0.0,0.5175772851137713,0.32786943879607594
2024-09-24,90.10915770201002,3.1036735857216904,2.672916889868897,1.9477136111358544,0.6690050686075777,0.65211472237406,0.0,0.5175599578068031,0.3278584624750995
2024-09-27,90.10898231619022,3.1037636383919884,2.6729944441917888,1.9477701237834686,0.6690244796993716,0.6521336433947371,0.0,0.5175749747391424,0.32775637960928017
2024-09-30,45.76118157636675,1.7827776653222203,1.3633837047332276,0.9934768301157251,0.3412416646326194,0.33262634894159926,0.0,0.2639935477869731,0.16711802764207312
2024-10-02,89.71770507115606,3.4952489266017386,2.6730004100953444,1.947774471046042,0.6690259729069354,0.6521350989033448,0.0,0.5175761299238786,0.3275339193666563
2024-10-03,89.71779889403041,3.4953308401540406,2.672839856692015,1.9478201184746964,0.6690416519887903,0.6521503821359997,0.0,0.5175882596749434,0.32742999684910007
2024-10-04,89.71794907985753,3.4953366912689785,2.672732732287176,1.947823379087186,0.6683173804918059,0.653044263311531,0.0,0.517589126107489,0.32720734758830033
2024-10-08,89.74509090661368,3.496394114269635,2.673876195245474,1.9184951463844513,0.6684079300464423,0.6526836625932833,0.0,0.5177457092052499,0.3273063356417798
2024-10-09,89.8093552469725,3.4988977995310586,2.675790894848012,1.851389243626136,0.6657586144093968,0.6531510339516028,0.0,0.5181164546815713,0.3275407119797253
2024-10-10,89.80746107006577,3.4990111555663534,2.6758775841611886,1.8525663843097733,0.6657801834180723,0.6537307745240669,0.0,0.5181332404325387,0.3274396075222396
2024-10-14,89.77245978862318,3.4976474618067543,2.6746113509995393,1.8910414057235974,0.6655207043135407,0.6534759915188002,0.0,0.5179313047898088,0.32731199222478236
2024-10-16,89.76662014836174,3.4996445209740754,2.676138479498298,1.8921211376337808,0.6659006980773791,0.6538491080875046,0.0,0.5182270291221115,0.32749887824511015
2024-10-17,89.76160533685419,3.5050355125513426,2.675988977043815,1.8920154343017515,0.6658634975402742,0.6538125808123769,0.0,0.5181980783733268,0.32748058252292944
2024-10-18,89.75913383934405,3.505881610677778,2.6766349474631532,1.8924721574100956,0.6660242336742486,0.6539704079150366,0.0,0.518323168810118,0.3275596347055177
2024-10-21,89.76304618077722,3.5060344219327284,2.6723929030357554,1.892554644806262,0.6660532637472166,0.6539989125965494,0.0,0.5183457610202071,0.32757391208405157
2024-10-22,89.76274521932778,3.525580920726543,2.652602166039188,1.8925482993666487,0.6660510305748345,0.6545555270970542,0.0,0.5183440230879712,0.3275728137799768
2024-10-23,89.7646513425927,3.5363851140432057,2.645393845784793,1.8925884878695134,0.6604769830240725,0.6545694266665842,0.0,0.5183550301889598,0.32757976983017084
2024-10-24,89.7582086284838,3.536360253626658,2.642692936010142,1.8925751831708895,0.6625164859213846,0.6617176596009375,0.0,0.518351386207449,0.327577466978737
2024-10-28,89.75024361791628,3.54284723334799,2.643139980091349,1.8930554553120513,0.6626846103975366,0.6618855813617464,0.0,0.5184829264137997,0.32766059515925067
2024-10-30,89.74533925955987,3.547361004755753,2.6432261669608046,1.893197256237886,0.6627342493508102,0.6619351604630719,0.0,0.5185217638175262,0.3276851388542717
2024-11-01,89.73916732879067,3.552958937877408,2.6432320772158047,1.8932014894278753,0.663294731346987,0.6619366405504139,0.0,0.5185229232324433,0.3276858715584022
2024-11-04,89.73545533113483,3.557171992820779,2.6431227417765926,1.8931231784773732,0.6632672946260859,0.6619092600059853,0.0,0.518501474895749,0.327448726262605
2024-11-06,89.73535501113585,3.5571680160705705,2.6432315821651597,1.8931210620551115,0.6632665531245906,0.6619085200227084,0.0,0.5185008952355998,0.3274483601904013
2024-11-07,89.72522384650956,3.5679446754114705,2.643044942704753,1.892907327779086,0.6631916700125776,0.6618337902332841,0.0,0.5184423562358058,0.32741139111346074
2024-11-08,89.72492295581128,3.568268057256839,2.6430360793371928,1.8929009799742749,0.6631894460203028,0.6618315707946162,0.0,0.5184406176557733,0.3274102931497235
2024-11-12,89.73415118864382,3.5686350546011276,2.643307916319844,1.8930956653570723,0.6529726279229967,0.6618996403524382,0.0,0.5184939394149007,0.3274439673877994
2024-11-13,89.73364960547148,3.5691740729046453,2.6432931411338916,1.8930850836006645,0.6529689780296415,0.661895940560141,0.0,0.518491041211357,0.3274421370881671
2024-11-14,89.73630806018255,3.5692798134787824,2.6433714515016815,1.8931411682576584,0.6500257166799553,0.6619155499306407,0.0,0.5185064020593467,0.3274518379093838
2024-11-18,89.68276806570715,3.5671502493633676,2.6414591292187497,1.8920116503414357,0.7096367686440483,0.6615206266754663,0.0,0.5181970419964935,0.3272564680532842
2024-11-19,89.68369077665345,3.5690704053684734,2.6403418052839367,1.8913713432667032,0.7093966086834207,0.6609616746532228,0.0,0.5180216703321404,0.32714571575865187
2024-11-20,89.68228842612382,3.571806852179903,2.6390719270238563,1.8913417685961917,0.7093855161123935,0.6609513394412516,0.0,0.518013570219874,0.3271406003027223
2024-11-21,89.68238859256437,3.5718108415426304,2.638963184285618,1.8913438810419843,0.7093863084273911,0.6609520776599592,0.0,0.5180141487909208,0.3271409656871262
2024-11-22,89.68927190347195,3.5719025993449893,2.6318826132438113,1.8913924685976327,0.709404532160834,0.6609690571453802,0.0,0.5180274562817125,0.3271493697536921
2024-11-25,89.69029330069573,3.5715874509526904,2.631538719322942,1.8912255913440943,0.70934194151297,0.6609107399516928,0.0,0.5179817508024972,0.3271205054173749
2024-11-26,89.69129500304305,3.5716273400800596,2.6313447403783554,1.8912467134192312,0.7093498637692334,0.6600246446004445,0.0,0.5179875358603506,0.32712415884926904
2024-11-27,89.69657870068959,3.5716153732482945,2.6260867659302,1.891240376747151,0.7093474870737738,0.6600224331704349,0.0,0.5179858003294265,0.3271230628111322
2024-11-28,89.69543753728657,3.5715076753708623,2.6257842176676447,1.8911833486091791,0.7110013102257287,0.6600025309671792,0.0,0.5179701810744382,0.32711319879839784
2024-11-29,89.69768265992766,3.57150368668532,2.6257812851728835,1.8911812365219691,0.7087669017429522,0.6600017938715902,0.0,0.5179696026016024,0.3271128334760171
2024-12-02,89.69799191775284,3.5712803345130966,2.6253937284447875,1.8910629671670138,0.7092809460664008,0.6599605191460783,0.0,0.5179372101848403,0.32709237672493174
2024-12-05,89.69809208696462,3.5712843226997713,2.625284986461289,1.8910650789900636,0.7092817381478261,0.6599612561494782,0.0,0.5179377885853259,0.32709274200162136
2024-12-06,89.69819225640012,3.571288310895354,2.625176244234918,1.8910671908178296,0.7092825302310207,0.6599619931545242,0.0,0.5179383669871035,0.3270931072791268
2024-12-10,89.69829242605934,3.5712922990998437,2.6250675017656726,1.891069302650313,0.7092833223159842,0.6599627301612163,0.0,0.5179389453901729,0.32709347255744814
2024-12-11,89.7045888665609,3.5713162285138442,2.6188312988616773,1.8910819737442635,0.7091764000031548,0.6599671522359366,0.0,0.5179424158357184,0.32709566424450875
2024-12-12,89.71882564986407,3.5721898716423284,2.6028283131232675,1.8915445849122612,0.7092381820665923,0.6601285985293152,0.0,0.5180691189344059,0.3271756809277536
2024-12-13,89.73333844365663,3.5721539600781824,2.5887278136396343,1.895770209146962,0.7046513087489084,0.6601219621938004,0.0,0.5180639107363354,0.3271723917995508
2024-12-16,89.74346312761519,3.5725570090511103,2.5674591656902774,1.9063734806855113,0.7046191014577166,0.6601964442799151,0.0,0.5181223642994985,0.3272093069207799
2024-12-17,89.75446413019492,3.5721100691469907,2.55742009475903,1.906134986414177,0.7045309510397251,0.660113851298261,0.0,0.5180575453031226,0.3271683718437771
2024-12-18,89.75325874604523,3.57505031406013,2.555515117047605,1.9062137680995,0.7045600697202387,0.6601411341937962,0.0,0.51807895692759,0.3271818939059091
2024-12-19,89.74458022105075,3.58748205241167,2.551708079792194,1.906290426800894,0.7044766949278274,0.6601676818784951,0.0,0.518099791558376,0.32719505157978923
2024-12-20,89.74002292778084,3.5933277211309336,2.5446638938002057,1.9063692213358927,0.7100914842055044,0.660194969224003,0.0,0.5181212066751835,0.32720857584743523
2024-12-23,89.72992644111606,3.6053232394171006,2.5406262045678294,1.9062733910010854,0.712401652633026,0.6601617822084812,0.0,0.5180951614956081,0.3271921275608052
2024-12-27,89.72952550162336,3.605977373547866,2.5403914377196575,1.9062648732153624,0.7123984694145777,0.6601588324130164,0.0,0.5180928464952569,0.3271906655709112
2024-12-30,89.7280220104365,3.6061403633093208,2.5401254605492403,1.906232932196833,0.7140621139399501,0.6601477709147983,0.0,0.5180841654281909,0.32718518322516876
2025-01-02,89.73012691220606,3.6114752366657075,2.532700609667591,1.9062776499224923,0.7140788649010605,0.660163257116099,0.0,0.5180963190035419,0.32708115051744213
2025-01-03,89.7364422100953,3.611729415977874,2.5259524775899638,1.9064118156885856,0.7141291225001908,0.66020972007974,0.0,0.5181327831511189,0.32699245491722095
2025-01-06,89.73664271030096,3.611737485748335,2.5259581213839315,1.9064160752285415,0.7141307180953848,0.6602111952015677,0.0,0.5181339408271646,0.32676975321412616
2025-01-07,89.73664271030096,3.611737485748335,2.5258464052289864,1.9064160752285415,0.7142424342503297,0.6602111952015677,0.0,0.5181339408271646,0.32676975321412616
2025-01-08,89.73924929450945,3.614970539245105,2.5198869260023065,1.9064714509801457,0.7142631808817383,0.6602303723851988,0.0,0.5181489910865376,0.326779244909523
2025-01-09,89.74526506680745,3.620799217353141,2.519944122589536,1.896096925869558,0.7126351589856177,0.6602746316765982,0.0,0.518183725791489,0.32680115092661743
2025-01-10,89.74516479732661,3.6263815101701726,2.5144666956830384,1.8960948074218134,0.7126343627814127,0.6602738939731161,0.0,0.5181831468415786,0.3268007858022655
