date,KINGSTON SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,SINOPAC SECURITIES (ASIA) LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,TOTAL_CCASS_PCT
2024-10-15,73.08208333333333,0.6608333333333333,1.0066666666666666,0.6608333333333333,0.6575,0.29583333333333334,76.36375
2024-10-18,73.08208333333333,0.6491666666666667,1.0066666666666666,0.6608333333333333,0.6575,0.29583333333333334,76.35208333333333
2024-10-21,73.08208333333333,0.65,1.0066666666666666,0.6608333333333333,0.6575,0.29583333333333334,76.35291666666667
2024-10-22,73.08208333333333,0.6658333333333333,1.0066666666666666,0.6608333333333333,0.6575,0.29583333333333334,76.36874999999999
2024-10-23,73.08208333333333,0.6675,1.0066666666666666,0.6608333333333333,0.6575,0.29583333333333334,76.37041666666666
2024-10-24,73.08208333333333,0.6658333333333333,1.0066666666666666,0.6608333333333333,0.6575,0.29583333333333334,76.36874999999999
2024-10-25,73.08208333333333,0.6675,1.0066666666666666,0.6608333333333333,0.6575,0.29583333333333334,76.37041666666666
2024-10-30,73.08208333333333,0.6691666666666667,1.0066666666666666,0.6608333333333333,0.6575,0.29583333333333334,76.37208333333334
2024-11-01,73.08208333333333,0.6691666666666667,1.0066666666666666,0.6608333333333333,0.6583333333333333,0.29583333333333334,76.37291666666667
2024-11-04,73.08208333333333,0.6691666666666667,1.0066666666666666,0.6608333333333333,0.675,0.30916666666666665,76.40291666666667
2024-11-05,73.08208333333333,0.675,1.0066666666666666,0.6608333333333333,0.675,0.30916666666666665,76.40875
2024-11-06,73.08208333333333,0.6708333333333334,1.0066666666666666,0.6608333333333333,0.675,0.315,76.41041666666666
2024-11-11,73.08208333333333,0.6541666666666667,1.0066666666666666,0.6608333333333333,0.675,0.3566666666666667,76.43541666666667
2024-11-15,73.08208333333333,0.6533333333333333,1.0066666666666666,0.6608333333333333,0.675,0.3566666666666667,76.43458333333332
2024-11-18,73.08208333333333,0.6816666666666668,1.0066666666666666,0.6608333333333333,0.7291666666666666,0.3566666666666667,76.51708333333333
2024-11-19,73.08208333333333,0.6625,1.0066666666666666,0.6608333333333333,0.7516666666666666,0.3566666666666667,76.52041666666666
2024-11-20,73.08208333333333,0.6616666666666666,1.0066666666666666,0.6608333333333333,0.7516666666666666,0.3566666666666667,76.51958333333333
2024-11-21,73.08208333333333,0.6566666666666667,1.0066666666666666,0.6608333333333333,0.7516666666666666,0.3566666666666667,76.51458333333333
