date,INNOVAX SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,PRUDENTIAL BROKERAGE LTD,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,CITIBANK N.A.,HANG SENG SECURITIES LTD,FULBRIGHT SECURITIES LTD
2024-11-29,75.78201182158068,11.243648107729198,6.191715885312033,2.500833748107095,1.6081460320175534,0.0,1.4053391423882415,1.268305262865209
2025-01-03,75.74506264404701,11.286923208567483,6.188696978793386,2.4996144119094956,1.607361945242753,0.0,1.4046539385487162,1.2676868728911501
2025-01-24,75.78201182158068,11.243648107729198,6.191715885312033,2.500833748107095,1.6081460320175534,0.0,1.4053391423882415,1.268305262865209
2025-02-04,75.81899706504328,11.200330766256181,6.194737738571995,2.5020542744933696,1.6089308841359902,0.0,1.4060250150522071,1.2689242564469894
2025-02-18,75.78201182158068,11.243648107729198,6.191715885312033,2.500833748107095,1.6081460320175534,0.0,1.4053391423882415,1.268305262865209
2025-02-25,75.70446014197955,11.378335051644356,6.185379579967575,2.4544165682976247,1.60650033242699,0.0,1.403900985650492,1.2670073400334196
2025-02-27,75.69954158429624,11.384092846762657,6.184977712677322,2.4542571035917486,1.6063959572747404,0.0,1.4038097734819275,1.2669250219153665
2025-03-07,75.70446014197955,11.38483252518299,6.185379579967575,2.447919094758992,1.60650033242699,0.0,1.403900985650492,1.2670073400334196
2025-03-18,75.66758653138805,11.427994594786792,6.182366847592697,2.4467267790712457,1.6057178492342967,0.0,1.403217183161751,1.2663902147651682
2025-03-21,75.74875594033715,11.332982481175964,6.18899873696474,2.4493514083956494,1.607440319511676,0.0,1.4047224288634519,1.2677486847513726
2025-03-24,75.74875594033715,11.381742045974093,6.18899873696474,2.4005918435975198,1.607440319511676,0.0,1.4047224288634519,1.2677486847513726
2025-03-25,75.72291042723339,11.411978639549135,6.186887047525492,2.3997727604696153,1.606891860077251,0.0,1.4042431368738788,1.2673161282712393
2025-03-26,75.73767713180985,11.414204086461465,6.18809355071935,2.3807397661735794,1.6072052196305249,0.0,1.4045169779536621,1.2675632672515766
2025-03-27,75.79680158809798,11.423114560562743,6.192924272765522,2.382598285599698,1.5303950940184645,0.0,1.4056134111400729,1.2685527878155178
2025-04-01,75.61234341687732,11.638674187859026,6.177853247841935,2.376800023492234,1.5266707431966213,0.0,1.402192727498682,1.2654656532341813
2025-04-02,74.51881450976298,11.422384261172791,6.088507238908194,2.342426012389456,1.5045915625511157,1.4941985283783397,1.3819137861040016,1.2471641007331247
2025-04-07,74.41173338374428,11.549667429802932,6.079758250948519,2.3390600219792184,1.5024295131441827,1.4920514134253333,1.3799280206936115,1.2453719662619154
2025-04-08,74.4188625502967,11.541193266874131,6.080340734478983,2.3392841203534194,1.502573456441098,1.492194362427424,1.3800602274873859,1.2454912816408676
2025-04-09,74.42480456601623,11.542114779908111,6.08082622268703,2.3394709018028967,1.5026934302594548,1.4923135075212122,1.3721858632159332,1.2455907285891337
2025-04-11,74.46047659651428,11.499716652055913,6.083740780806919,2.340592217174097,1.5034136756962555,1.4930287778301283,1.3728435559871413,1.2461877439352596
2025-04-14,74.47832543812002,11.478502343314654,6.085199107835302,2.3411532780436684,1.5037740573885565,1.4933866701696132,1.3731726388549967,1.2464864662731925
2025-04-23,73.72244980698761,11.818461235203632,6.265424496457395,2.410491232625306,1.5483113451732258,1.5376163146273958,1.4138419034258487,1.283403665499592
2025-04-25,73.73336861570503,11.80540093462081,6.266352449500048,2.4108482431797973,1.5485406608763423,1.5378440463219363,1.414051303267289,1.2835937465287428
2025-04-29,73.7697880151585,11.761838645343877,6.269447612480652,2.4120390424995417,1.5493055373760494,1.5386036394026759,1.4147497509339053,1.2842277568048017
